
[00:00:00.000 --> 00:00:11.000]   Hi there.
[00:00:11.000 --> 00:00:18.000]   I don't know.
[00:00:18.000 --> 00:00:20.000]   Hello.
[00:00:20.000 --> 00:00:22.000]   Hi.
[00:00:22.000 --> 00:00:23.000]   How are you, Serana?
[00:00:23.000 --> 00:00:49.000]   Hi.
[00:00:49.000 --> 00:00:54.000]   Yeah, I actually live in Sacramento, but yes, I go to UC Davis.
[00:00:54.000 --> 00:00:58.000]   Yeah, I'm in Placerville right now. I don't know if you know what that is.
[00:00:58.000 --> 00:01:00.000]   Oh, okay.
[00:01:00.000 --> 00:01:02.000]   Yeah.
[00:01:02.000 --> 00:01:04.000]   I know Pleasantville. What are you doing there to make sure.
[00:01:04.000 --> 00:01:06.000]   Placerville. It's a.
[00:01:06.000 --> 00:01:09.000]   My wife's grandma's house.
[00:01:09.000 --> 00:01:12.000]   Sorry, I guess I misheard what you said originally. I guess I don't know.
[00:01:12.000 --> 00:01:15.000]   Are you just here for a little bit or.
[00:01:15.000 --> 00:01:18.000]   Just for vacation or something or.
[00:01:18.000 --> 00:01:20.000]   Actually a little over a month.
[00:01:20.000 --> 00:01:22.000]   Okay.
[00:01:22.000 --> 00:01:24.000]   We have family here.
[00:01:24.000 --> 00:01:27.000]   So you're in the same time zone as me.
[00:01:27.000 --> 00:01:28.000]   Yes.
[00:01:28.000 --> 00:01:29.000]   Yes.
[00:01:29.000 --> 00:01:36.000]   Yeah, I know Davis pretty well. I spent some time. Okay.
[00:01:36.000 --> 00:01:40.000]   Yeah, I've been there. Well, yeah, I mean, my, my, my dad works in Davis as
[00:01:40.000 --> 00:01:42.000]   well. And of course I go to.
[00:01:42.000 --> 00:01:46.000]   I've been going to school with Davis and so.
[00:01:46.000 --> 00:01:48.000]   So you commute.
[00:01:48.000 --> 00:01:52.000]   Yeah. Yeah. But I don't, I mostly work from home anyway.
[00:01:52.000 --> 00:01:55.000]   Now that I'm focused on my research and given my research,
[00:01:55.000 --> 00:01:57.000]   it's all deep learning stuff.
[00:01:57.000 --> 00:02:02.000]   I can, I can do most of that from home. So I mostly want some home, but.
[00:02:02.000 --> 00:02:08.000]   Yeah.
[00:02:08.000 --> 00:02:11.000]   Anybody got any.
[00:02:11.000 --> 00:02:14.000]   APO news or anything else.
[00:02:14.000 --> 00:02:16.000]   Interesting happening.
[00:02:16.000 --> 00:02:19.000]   Well, I was able to get.
[00:02:19.000 --> 00:02:22.000]   A simple CSV file loaded and.
[00:02:22.000 --> 00:02:24.000]   Moving average.
[00:02:24.000 --> 00:02:26.000]   So that was exciting.
[00:02:26.000 --> 00:02:29.000]   That is exciting. I'm going to share my screen so I can.
[00:02:29.000 --> 00:02:33.000]   Show people.
[00:02:33.000 --> 00:02:35.000]   Oh, there's quite a lot here.
[00:02:35.000 --> 00:02:39.000]   Actually.
[00:02:39.000 --> 00:02:42.000]   Where was that in study group three.
[00:02:42.000 --> 00:02:45.000]   That was in tabular data. That was a cool.
[00:02:45.000 --> 00:02:49.000]   Assignment thing that was very helpful about developing though.
[00:02:49.000 --> 00:02:51.000]   What was this one.
[00:02:51.000 --> 00:02:54.000]   The assignment assignment. Yeah.
[00:02:54.000 --> 00:02:57.000]   I was able to kind of assign things to.
[00:02:57.000 --> 00:03:02.000]   To the display, the special character. And then that let me.
[00:03:02.000 --> 00:03:04.000]   Print out different.
[00:03:04.000 --> 00:03:06.000]   Parts of the formula.
[00:03:06.000 --> 00:03:08.000]   In order to.
[00:03:08.000 --> 00:03:12.000]   Oh.
[00:03:12.000 --> 00:03:13.000]   That's right.
[00:03:13.000 --> 00:03:14.000]   Yeah.
[00:03:14.000 --> 00:03:18.000]   It printed whenever it runs, but six will get assigned to the.
[00:03:18.000 --> 00:03:20.000]   That was pretty handy.
