
[00:00:00.000 --> 00:00:03.480]   Hi, everyone.
[00:00:03.480 --> 00:00:08.680]   Hope everyone's doing well in quarantine or social distancing right now.
[00:00:08.680 --> 00:00:10.200]   Not going to stir crazy.
[00:00:10.200 --> 00:00:16.360]   Okay, so probably a lot of you are already familiar at this point with the kind of Allen
[00:00:16.360 --> 00:00:22.360]   NLP, well, the Allen AI research challenge on coronavirus.
[00:00:22.360 --> 00:00:25.960]   But anyways, if you aren't, I'll just very briefly say they basically released this large
[00:00:25.960 --> 00:00:33.440]   data set around 45,000 scholarly articles and the idea is to kind of look and see which
[00:00:33.440 --> 00:00:39.840]   ones are the most useful for answering specific questions about the virus.
[00:00:39.840 --> 00:00:42.960]   So you can read this later if you haven't already seen it.
[00:00:42.960 --> 00:00:45.200]   I won't go into too much more details.
[00:00:45.200 --> 00:00:48.640]   But one of the really cool things I think that came out of this kind of immediately,
[00:00:48.640 --> 00:00:53.280]   unlike a lot of other Kaggle challenges, was there was immediately kind of a cooperative
[00:00:53.280 --> 00:00:57.000]   effort instead of a really competitive effort from the get go.
[00:00:57.000 --> 00:01:04.320]   So this group kind of called Corona Y formed and now we have over 500 members, I believe,
[00:01:04.320 --> 00:01:10.120]   on our Slack and a lot of people are specifically working in teams in a very organized way to
[00:01:10.120 --> 00:01:18.020]   try to address some of the real problems and the progress we can kind of make on this issue.
[00:01:18.020 --> 00:01:19.680]   So I found that very interesting.
[00:01:19.680 --> 00:01:23.880]   If you're interested in joining the group, we're always looking for new people and I
[00:01:23.880 --> 00:01:27.560]   can send you over this Slack later.
[00:01:27.560 --> 00:01:34.920]   Specifically what I'm working on, and for some of you this may be kind of review though,
[00:01:34.920 --> 00:01:40.240]   is looking at kind of forming good sentence embeddings or good general purpose embeddings
[00:01:40.240 --> 00:01:43.600]   so to do semantic search on this corpus.
[00:01:43.600 --> 00:01:49.000]   One of my kind of interests for a while has been using transformers to kind of do effective
[00:01:49.000 --> 00:01:50.680]   representation learning.
[00:01:50.680 --> 00:01:55.120]   Some of that has actually been even on the time series side, but returning more to the
[00:01:55.120 --> 00:02:02.560]   NLP side for the moment, I really wanted to see if I could find some good, useful representations.
[00:02:02.560 --> 00:02:10.120]   And one of the really challenging things I think about this task in a sense is that we
[00:02:10.120 --> 00:02:12.680]   have no real evaluation metrics.
[00:02:12.680 --> 00:02:21.520]   All evaluation is qualitative and we really have to rely kind of on, and moreover I guess
[00:02:21.520 --> 00:02:26.960]   many of us don't even really know what would be good results, so we really have to rely
[00:02:26.960 --> 00:02:32.840]   on experts to evaluate what the results are and if they make sense.
[00:02:32.840 --> 00:02:37.600]   But I just wanted to kind of develop using kind of these embeddings and my knowledge
[00:02:37.600 --> 00:02:43.000]   of clustering a good way to quickly cluster things and make it so that the experts could
