
[00:00:00.040 --> 00:00:09.520]   accountant
[00:00:09.520 --> 00:00:10.560]   en like,
[00:00:27.800 --> 00:00:39.260]   is
[00:00:39.260 --> 00:00:55.680]   smart. I don. I,,,,,,
[00:00:56.460 --> 00:01:02.360]  programs.com. I'll give you a 30% discount. My hourly rate. I'll discount it from
[00:01:02.360 --> 00:01:08.800]   $300 per hour to $200 per hour for personal coaching and personal consulting work. Email me
[00:01:08.800 --> 00:01:14.900]   Joshua radical, personal finance.com before midnight on Monday. Welcome to radical personal
[00:01:14.900 --> 00:01:18.740]   finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement
[00:01:18.740 --> 00:01:23.200]   that you need to live a rich and meaningful life now while building a plan for financial freedom
[00:01:23.200 --> 00:01:24.660]   in 10 years or less.
[00:01:24.660 --> 00:01:25.080]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:01:25.080 --> 00:01:25.080]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:01:25.080 --> 00:01:25.080]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:01:25.080 --> 00:01:25.080]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:01:25.080 --> 00:01:25.080]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:01:25.080 --> 00:01:53.800]   the Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:01:53.800 --> 00:01:53.820]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:01:53.820 --> 00:01:53.860]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:01:53.860 --> 00:01:54.120]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:01:54.120 --> 00:01:54.140]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:01:54.140 --> 00:01:54.180]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:01:54.180 --> 00:01:54.200]   The Radical Personal Finance Show is a production of the Radical Personal Finance Show is a production of the Radical Personal Finance Show is a production of the Radical financial planning.
[00:01:54.220 --> 00:02:23.320]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:02:23.320 --> 00:02:23.400]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:02:23.400 --> 00:02:23.460]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:02:23.460 --> 00:02:23.520]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:02:23.520 --> 00:02:23.540]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:02:23.540 --> 00:02:23.560]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:02:23.560 --> 00:02:23.600]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:02:23.600 --> 00:02:23.620]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:02:23.620 --> 00:02:23.640]   The Radical Personal Finance Show is a production of the Radical Personal Finance Foundation.
[00:02:23.640 --> 00:02:23.660]   The Radical Personal Financial Administration is a production of the Radical Personal Financial Administration.
[00:02:23.660 --> 00:02:23.680]   The Radical Personal Financial Administration is a production of the Radical Personal Financial Administration.
[00:02:23.720 --> 00:02:53.180]  , and the Radical Personal Financial Administration is a production of the Radical Personal Financial Administration.
[00:02:53.180 --> 00:02:53.200]   and the Radical Personal Financial Administration is a production of the Radical Personal Financial Administration.
[00:02:53.200 --> 00:02:53.220]   and the Radical Personal Financial Administration is a production of the Radical Personal Financial Administration.
[00:02:53.220 --> 00:02:53.280]   and the Radical Personal Financial Administration is a production of the Radical Personal Financial Administration.
