
[00:00:00.040 --> 00:00:09.760]   rested this
[00:00:09.760 --> 00:00:10.400]   CD B
[00:00:28.700 --> 00:00:45.560]   underway. And so, ideally, you want to, I think, build agents that play the longest possible games. And the longest possible games is to keep entropy at bay as long as possible by doing interesting stuff.
[00:00:45.560 --> 00:00:57.320]   The following is a conversation with Josje Bak, his third time on this podcast. Josje is one of the most brilliant and fascinating minds in the world, exploring the nature of intelligence, consciousness, and the power of the mind.
[00:00:57.320 --> 00:00:57.320]   The following is a conversation with Josje Bak, his third time on this podcast. Josje is one of the most brilliant and fascinating minds in the world, exploring the nature of intelligence, consciousness, and the power of the mind.
[00:00:57.320 --> 00:00:57.320]   The following is a conversation with Josje Bak, his third time on this podcast. Josje is one of the most brilliant and fascinating minds in the world, exploring the nature of intelligence, consciousness, and the power of the mind.
[00:00:57.320 --> 00:01:25.980]  , and computation. And he's one of my favorite humans to talk to about pretty much anything and everything. This is the Lex Friedman podcast to support it. Please check out our sponsors in the description. And now, dear friends, here's Josje Bak.
[00:01:25.980 --> 00:01:25.980]   You wrote a post about levels of lucidity. Quote, as we grow older, it becomes apparent that our self-reflexive mind is not just gradually accumulating ideas about itself.
[00:01:25.980 --> 00:01:25.980]   As we grow older, it becomes apparent that our self-reflexive mind is not just gradually accumulating ideas about itself.
[00:01:25.980 --> 00:01:25.980]   as we grow older, as we grow older, it becomes apparent that our self-reflexive mind is not gradually accumulating ideas about itself.
[00:01:26.000 --> 00:01:34.360]   but that it progresses in somewhat distinct stages. So, there's seven of the stages.
[00:01:34.360 --> 00:01:34.440]   but that it progresses in somewhat distinct stages. So, there's seven of the stages.
[00:01:34.440 --> 00:01:54.640]   Stage one, reactive survival infant. Stage two, personal self, young child. Stage three, social self, adolescence, domesticated adult. Stage four is rational agency, self-direction. Stage five is self-authoring. That's full adult. You've achieved wisdom, but there's two more stages. Stage six is enlightenment, self-reflection, and self-adultery.
[00:01:54.640 --> 00:01:54.640]   That's full adult. You've achieved wisdom, but there's two more stages.
[00:01:54.640 --> 00:01:54.640]   stage five is self-adultery. That's full adult. You've achieved wisdom, but there's two more stages.
[00:01:55.640 --> 00:02:23.800]  , and that's full adult. You've achieved wisdom, but there's two more stages.
[00:02:23.800 --> 00:02:23.800]   stage six is enlightenment, stage seven is transcendence. Can you explain each or the interesting parts of each of these stages? What's your sense why there are stages of lucidity as we progress through life in this too short life?
[00:02:23.800 --> 00:02:24.640]   This model is derived from a concept by the psychologist Robert Keegan. He talks about the development of the self as a process that happens in the process of self-reflection.
[00:02:24.660 --> 00:02:35.200]   In principle, by some kind of reverse engineering of the mind, where you gradually become aware of yourself and thereby build structure that allows you to interact deeper with the world and yourself. In principle, by some kind of reverse engineering of the mind, where you gradually become aware of yourself and thereby build structure that allows you to interact deeper with the world and yourself.
