
[00:00:00.000 --> 00:00:20.240]   So let me start with a question: how does intelligence emerge in biological systems, right?
[00:00:20.240 --> 00:00:26.120]   Well, it's through neurons, right? When neurons are born, they are just like individual cells,
[00:00:26.120 --> 00:00:33.840]   but over time, they grow their axons and dendrites and establish connections with other cells or other neurons
[00:00:33.840 --> 00:00:40.200]   and actually learn how to communicate in order to pursue their own interests, basically, like to get nutrients and so on.
[00:00:40.200 --> 00:00:46.360]   And over time, they learn how to communicate with each other and with other cells to get nutrients and basically thrive, right?
[00:00:46.360 --> 00:00:54.320]   And this collective behavior, if you zoom out and look at a large number of them, it's something we call intelligence, right?
[00:00:54.320 --> 00:00:59.880]   So it's like emergent behavior of smaller individual units that pursue their own interest.
[00:00:59.880 --> 00:01:04.720]   So how does intelligence emerge in the markets, right?
[00:01:04.720 --> 00:01:10.880]   People always talk about markets like, well, market things that, market reacted to this and so on.
[00:01:10.880 --> 00:01:18.640]   And in some way, markets are more intelligent than individual participants of the market, right?
[00:01:18.640 --> 00:01:26.200]   And it's their mutual interaction of these individual members of the market, basically, who pursue their own interest,
[00:01:26.200 --> 00:01:32.200]   and communicate and establish new interactions with others, where some sort of collective intelligence,
[00:01:32.200 --> 00:01:36.200]   which is bigger than the sum of different parts, emerges, right?
[00:01:36.200 --> 00:01:39.760]   So, how does intelligence emerge in companies?
[00:01:39.760 --> 00:01:41.760]   Well, this one is provocative.
[00:01:41.760 --> 00:01:43.760]   Through Slack, right?
[00:01:43.760 --> 00:01:51.760]   Where people interact and pursue their own interest in the company, and all together, the company, well, sometimes,
[00:01:51.760 --> 00:01:54.760]   becomes more intelligent than the individual employees of the company.
[00:01:54.760 --> 00:01:58.320]   And so this leads to my final question.
[00:01:58.320 --> 00:02:03.200]   So how does, or how will, the general intelligence emerge in computing systems, right?
[00:02:03.200 --> 00:02:10.720]   And there is a lot of talk about AGI and, like, you know, ever larger models exhibiting, like, super intelligent behavior.
[00:02:10.720 --> 00:02:29.160]   But in my opinion, the general intelligence will actually emerge through interaction of multiple entities, you can call them agents, basically like multiple models pursuing their own goals, interacting with each other, and all together exhibiting something which we can call general intelligence.
[00:02:29.160 --> 00:02:43.160]   And thanks to MCP, we finally have this missing part that allows the agents to communicate with each other, and really, like, create a fabric or agentic mesh where they can talk together.
[00:02:43.160 --> 00:02:52.560]   So, hello, everyone. My name is Jan Czern. I'm the founder of Appify, and I'm going to talk about the race of the agentic economy on the shoulders of MCP.
[00:02:52.560 --> 00:03:05.560]   Basically, basically, economy where agents can, you know, find counterparts to interact with and purchase services from other, from businesses or tools or other agents, right?
[00:03:05.560 --> 00:03:08.760]   So, like, B2A and B2B, sorry, and A2A.
[00:03:08.760 --> 00:03:14.960]   All right. So, before I start, let me just introduce quickly Appify.
[00:03:14.960 --> 00:03:22.520]   Appify is a marketplace of 5,000 tools called Actors, and historically, we come from the web scraping industry.
[00:03:22.520 --> 00:03:36.120]   Right. So, most of these actors are data extraction tools that allow you, you know, to get data from social media, from search engines, data for AI, for building rack pipelines, you know, data from web for lead generation, and so on.
