
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:04.620]   - Hello friends,
[00:00:04.620 --> 00:00:08.280]   and welcome to this episode of the Everyday Educator.
[00:00:08.280 --> 00:00:09.640]   My name is Kelly Wilt,
[00:00:09.640 --> 00:00:13.120]   and today I have the pleasure of interviewing
[00:00:13.120 --> 00:00:15.780]   some of my very favorite people.
[00:00:15.780 --> 00:00:18.440]   I currently serve as a curriculum developer
[00:00:18.440 --> 00:00:21.360]   with Classical Conversations Multimedia.
[00:00:21.360 --> 00:00:24.000]   And one of the joys of that position
[00:00:24.000 --> 00:00:27.440]   is that I also have the blessing of emceeing
[00:00:27.440 --> 00:00:32.320]   Classical Conversations National Memory Master Competition.
[00:00:32.320 --> 00:00:35.440]   So you may have heard in the past
[00:00:35.440 --> 00:00:39.300]   some things about National Memory Master.
[00:00:39.300 --> 00:00:42.480]   Do these students draw the world from memory?
[00:00:42.480 --> 00:00:45.720]   Do they recite the timeline backwards?
[00:00:45.720 --> 00:00:50.640]   Do they know all the memory work from all three cycles?
[00:00:50.640 --> 00:00:54.560]   Well, the answers to those three questions are yes,
[00:00:54.560 --> 00:00:58.880]   yes, and yes, and we'll be answering those questions
[00:00:58.880 --> 00:01:02.240]   and more on today's podcast.
[00:01:02.240 --> 00:01:06.320]   I am excited to have with me Ewan Fisher,
[00:01:06.320 --> 00:01:10.960]   who is our 2024 National Memory Master Champion,
[00:01:10.960 --> 00:01:13.720]   along with his mom, Kim.
[00:01:13.720 --> 00:01:16.740]   And today they are our very special guests
[00:01:16.740 --> 00:01:19.640]   on this episode of the Everyday Educator.
[00:01:19.640 --> 00:01:23.680]   So Ewan and Kim, first of all, let me say welcome.
[00:01:23.680 --> 00:01:25.640]   And Kim, why don't you take a minute
[00:01:25.640 --> 00:01:29.960]   to introduce your family to our listening audience?
[00:01:29.960 --> 00:01:34.040]   - Hi, we live in Texas.
[00:01:34.040 --> 00:01:36.880]   We've been a part of CC for several years,
[00:01:36.880 --> 00:01:39.920]   and we have loved the Memory Master process
[00:01:39.920 --> 00:01:41.880]   and the National Memory Master process.
[00:01:41.880 --> 00:01:45.800]   My husband is a math professor,
[00:01:45.800 --> 00:01:50.800]   and we have a dog named Lizzie Bennett,
[00:01:50.800 --> 00:01:52.840]   for you Pride and Prejudice fans out there.
[00:01:52.840 --> 00:01:53.840]   - Love it, love it.
[00:01:53.840 --> 00:01:58.520]   - And we have 33 chickens that also have literary names,
[00:01:58.520 --> 00:02:02.280]   and we have a cat named Lily Wingfeather,
[00:02:02.280 --> 00:02:03.880]   for the Wingfeather Saga friends out there.
[00:02:03.880 --> 00:02:07.440]   So we love homeschooling and we love reading,
[00:02:07.440 --> 00:02:08.840]   and we love being together.
[00:02:08.840 --> 00:02:11.480]   - Oh, all good things, all good things.
[00:02:11.480 --> 00:02:16.360]   So first of all, Ewan, let me say congratulations
[00:02:16.360 --> 00:02:21.360]   on being named the 2024 National Memory Master Champion.
[00:02:21.560 --> 00:02:24.760]   After all the preparation you did beforehand,
[00:02:24.760 --> 00:02:27.880]   as well as the pressures of the competition,
[00:02:27.880 --> 00:02:30.720]   how did it feel when you heard your name
[00:02:30.720 --> 00:02:32.640]   announced as the winner?
[00:02:32.640 --> 00:02:38.640]   - Well, I was incredulous.
[00:02:38.640 --> 00:02:39.800]   (laughing)
[00:02:39.800 --> 00:02:40.960]   - I love that word.
[00:02:40.960 --> 00:02:42.680]   Tell me more, how did it feel?
[00:02:42.680 --> 00:02:46.320]   I remember, well, I was there to see your face,
[00:02:46.320 --> 00:02:48.960]   and you're right, you did look incredulous.
[00:02:50.000 --> 00:02:53.120]   Were you surprised?
[00:02:53.120 --> 00:02:55.280]   Were you excited?
[00:02:55.280 --> 00:02:57.160]   How did it make you feel?
[00:02:57.160 --> 00:03:00.280]   - Both surprised and excited.
[00:03:00.280 --> 00:03:01.600]   (laughing)
[00:03:01.600 --> 00:03:02.440]   - So good.
[00:03:02.440 --> 00:03:03.680]   Well, this year's competition,
[00:03:03.680 --> 00:03:08.680]   we had something new happen that had never happened before.
[00:03:08.680 --> 00:03:12.080]   In our round two of National Memory Master,
[00:03:12.080 --> 00:03:16.000]   we actually had five finalists move forward
[00:03:16.000 --> 00:03:18.360]   rather than our typical four.
[00:03:18.360 --> 00:03:21.240]   So Ewan was one of our five finalists,
[00:03:21.240 --> 00:03:26.240]   and he did a great job with his presentations in round two
[00:03:26.240 --> 00:03:29.080]   after being completely flawless
[00:03:29.080 --> 00:03:33.320]   with remembering his memory work and timeline in round one.
[00:03:33.320 --> 00:03:36.160]   I love that word, incredulous.
[00:03:36.160 --> 00:03:39.680]   So, Kim, Classical Conversations is a family
[00:03:39.680 --> 00:03:41.960]   made up of families, and that is evident
[00:03:41.960 --> 00:03:44.000]   by the way that we love each other,
[00:03:44.000 --> 00:03:46.600]   and we support each other at National Memory Master
[00:03:46.600 --> 00:03:51.200]   before, and during, and after the competition.
[00:03:51.200 --> 00:03:55.600]   So tell us, how did you find out about CC,
[00:03:55.600 --> 00:03:58.880]   and what is your family's CC story?
[00:03:58.880 --> 00:04:03.240]   - We first started homeschooling about 12 years ago,
[00:04:03.240 --> 00:04:06.200]   and my husband's job took us to Texas,
[00:04:06.200 --> 00:04:09.520]   and I did my first information meeting over the phone
[00:04:09.520 --> 00:04:14.520]   with a CC director, and I knew that my kids,
[00:04:14.920 --> 00:04:16.760]   that small children, that young children,
[00:04:16.760 --> 00:04:19.120]   that they had this ability to memorize things,
[00:04:19.120 --> 00:04:21.960]   and I had it on my heart that I wanted them
[00:04:21.960 --> 00:04:24.400]   to put good things in their heart
[00:04:24.400 --> 00:04:25.880]   and to memorize good things,
[00:04:25.880 --> 00:04:30.880]   and so the classical model, the trivium, the grammar stage,
[00:04:30.880 --> 00:04:35.760]   my kids were there, and I saw that there was an opportunity
[00:04:35.760 --> 00:04:39.040]   for great benefit, that they could memorize good things,
[00:04:39.040 --> 00:04:43.080]   and I liked the structure of how CC
[00:04:43.080 --> 00:04:46.560]   systematically helped them learn good things
[00:04:46.560 --> 00:04:48.320]   and how they could learn how to learn,
[00:04:48.320 --> 00:04:52.920]   and when we moved to Texas and started CC,
[00:04:52.920 --> 00:04:56.520]   I was so supported by the CC community,
[00:04:56.520 --> 00:04:59.120]   and over the last 10 years in CC,
[00:04:59.120 --> 00:05:00.760]   that's just been such a blessing.
[00:05:00.760 --> 00:05:03.480]   All the families and all the people that we have met
[00:05:03.480 --> 00:05:06.980]   and how they've been such an encouragement along the way.
[00:05:06.980 --> 00:05:08.980]   - Oh, that's so wonderful.
[00:05:08.980 --> 00:05:11.800]   It's so great to hear that from the very beginning,
[00:05:11.800 --> 00:05:14.800]   you felt supported, because I really do think
[00:05:14.800 --> 00:05:16.760]   that community is one of the aspects
[00:05:16.760 --> 00:05:20.440]   of classical conversations that is truly valuable,
[00:05:20.440 --> 00:05:23.000]   especially when we're beginning homeschooling
[00:05:23.000 --> 00:05:26.360]   and trying to find the right path for our families.
[00:05:26.360 --> 00:05:29.880]   Now, Ewan, this fall, you are gonna be headed
[00:05:29.880 --> 00:05:31.920]   into a new world, my friend.
[00:05:31.920 --> 00:05:36.920]   Challenge A, how old were you when you started Foundations?
[00:05:36.920 --> 00:05:39.120]   - I was four years old.
[00:05:39.120 --> 00:05:41.280]   - Oh my goodness, were you a memory master
[00:05:41.280 --> 00:05:42.800]   from the very beginning,
[00:05:42.800 --> 00:05:45.320]   or was this something you decided to do later?
[00:05:45.320 --> 00:05:52.000]   - I started doing memory master four years ago,
[00:05:52.000 --> 00:05:54.640]   and I've done it every year since,
[00:05:54.640 --> 00:05:56.080]   so I've done it four times.
[00:05:56.080 --> 00:05:56.920]   - Awesome.
[00:05:56.920 --> 00:05:59.360]   So what made you decide to send in an entry
[00:05:59.360 --> 00:06:02.360]   to National Memory Master this year?
[00:06:02.360 --> 00:06:05.360]   - My older sisters, Evelyn and Marianne,
[00:06:05.360 --> 00:06:10.080]   were also both chosen as National Memory Master finalists.
[00:06:10.080 --> 00:06:11.480]   - Ah, okay.
[00:06:11.480 --> 00:06:16.480]   - And it was a really great experience for them.
[00:06:16.480 --> 00:06:19.560]   - Oh, I'm so glad to hear that.
[00:06:19.560 --> 00:06:21.040]   I'm so glad to hear that.
[00:06:21.040 --> 00:06:25.840]   So in full disclosure, I do know Ewan's two older sisters.
[00:06:25.840 --> 00:06:30.640]   Evelyn was scheduled to be a finalist in the year 2020,
[00:06:30.640 --> 00:06:32.080]   and unfortunately, that was the year
[00:06:32.080 --> 00:06:34.840]   that everything turned upside down with COVID,
[00:06:34.840 --> 00:06:36.880]   and the competition, unfortunately,
[00:06:36.880 --> 00:06:39.240]   had to be canceled due to that.
[00:06:39.240 --> 00:06:43.320]   And Marianne was one of our finalists in 2022,
[00:06:43.320 --> 00:06:45.640]   did an outstanding job.
[00:06:45.640 --> 00:06:47.840]   So I was really excited, Ewan,
[00:06:47.840 --> 00:06:52.840]   when I saw that you had also decided to compete this year.
[00:06:52.840 --> 00:06:55.080]   Kim, was pursuing National Memory Master
[00:06:55.080 --> 00:06:57.440]   something you encouraged Ewan to do,
[00:06:57.440 --> 00:06:59.560]   or was it mostly his idea?
