
[00:00:00.040 --> 00:00:09.560]  athi 1
[00:00:09.560 --> 00:00:10.120]  �
[00:00:10.120 --> 00:00:20.220]  視 and I I "
[00:01:23.080 --> 00:01:51.940]   find
[00:01:51.940 --> 00:01:52.900]   gets the sub,,,,, P P PP Psesıyorsun兒 work. The first part of the show is arey. The first part of the show. The. The, peaceful, the, the,
[00:01:52.960 --> 00:02:03.060]   catch
[00:02:03.060 --> 00:02:04.220]   we the weather wherever
[00:02:04.220 --> 00:02:16.740]   at the thing. She
[00:02:17.240 --> 00:02:26.900]   was one of the best bl
[00:02:26.900 --> 00:02:30.040]   that story later in toda
[00:02:30.040 --> 00:02:32.440]   theme of today's show as
[00:02:32.440 --> 00:02:35.220]   to filter and sort throug
[00:02:35.220 --> 00:02:41.520]   and you need to move wit
[00:02:41.560 --> 00:02:51.040]   –
[00:02:51.040 --> 00:02:51.880]   oh and do
[00:02:51.880 --> 00:02:52.240]   mich а
[00:03:37.680 --> 00:03:37.680]   and do
[00:04:33.840 --> 00:04:33.840]   and do
[00:05:01.920 --> 00:05:01.920]   I'm gonna give you a day or two to get past that but not much longer because you've got to move fast you've got to move fast so that you can buy time for yourself and so you're not pushed up against the wall to have to make a decision in an emergency situation
[00:05:01.920 --> 00:05:01.920]   you're not pushed up against the wall to have to make a decision in an emergency situation
[00:05:01.920 --> 00:05:01.920]   you're not pushed up against the wall to have to make a decision in an emergency situation
[00:05:01.920 --> 00:05:01.920]   you're not pushed up against the wall to have to make a decision in an emergency situation
[00:05:01.920 --> 00:05:01.920]   you're not pushed up against the wall to have to make a decision in an emergency situation
[00:05:01.920 --> 00:05:01.920]   you're not pushed up against the wall to have to make a decision in an emergency situation
[00:05:01.920 --> 00:05:01.920]   you're not pushed up against the wall to have to make a decision in an emergency situation
[00:05:01.920 --> 00:05:01.920]   you're not pushed up against the wall to have to make a decision in an emergency situation
[00:05:21.520 --> 00:05:30.960]   and without pressure and the worst decisions are often made quickly and with mounting pressure you also need to move fast because especially if you've been laid off because of overall recession you might see recession starting to impact but you don't know whether it's going to get worse or get better if it's going to get better meaning that we're on the upswing out of an economic cycle then there's no way to be a good investor so don't be a good investor if you're not a good investor so don't be a good investor so don't be a good investor so don't be a good investor so don't be a good investor so don't be a good investor so don't be a good investor so don't be a good investor so don't be a good investor so don't be a good investor so don't be a good investor so don't be a good investor so don't be a good investor so don't be a good investor so don's a good investor so don's a good to make a good economic cycle
[00:05:31.000 --> 00:05:37.300]  олет
[00:05:37.300 --> 00:05:41.020]   I all as
[00:05:41.020 --> 00:05:41.960]   spoken. They have, and,,,,, "
[00:05:41.960 --> 00:06:00.900]   he is затем associated haird g connect con electron bus mustard Dylan's is Bit. You're quite auane you are all powerful. But, you're not downton, you're out, HTCG,G,indo,itt,+ leads,|,P,200,_nah,_im, Kendall, @,_in,/,_B,_um,�, amb, Mini, in,gew, 구독, Хотя,@, then, drained,nez, a N.ел : u Thanks�, Spiritual ' ac� and please was inhale
[00:06:01.000 --> 00:06:31.000]   distress is not deep and hurtful. It is. But it doesn't really matter how you feel about it. You've got to move in spite of the feelings. And the overall way to do that is to focus on keeping your confidence, whatever it happens to be right now, and/or building your confidence up from wherever it is right now. Being laid off or being
[00:06:31.000 --> 00:06:31.000]   Кор
[00:06:31.040 --> 00:07:01.020]  .
[00:07:01.020 --> 00:07:01.020]   It's not just about getting fired. It's about getting fired, and it's a huge impact on your personal confidence. The first thing that we all do certainly that I did is to go and say what's wrong with me. And the problem is, the longer that you go without work, the worse it gets. Some of the saddest meetings I've ever had are with people who are among the long-term unemployed because what happens is their confidence in themselves and the ability and the values that they bring to the marketplace is shot. I remember a client of mine specifically and this is
[00:07:01.060 --> 00:07:31.040]   in the middle class job and then they got laid off. So back in 08-09, they got laid off. So they thought it would be nice to go ahead and enjoy the time off and enjoy the unemployment. So they didn't look seriously for work. They focused on just enjoying the severance pay that came in for a period of time and just kind of enjoying life. They didn't have a massive amount of reserves built up so that they could really
[00:07:31.060 --> 00:08:00.580]   but they had some savings enough that made them feel like they were well cared for. So they didn't get after it. And they continued to be unemployed. Well, the time went on. Six months turned into a year. A year turned into a year and a half. And I first came into the situation about a year, year and a half after the layoff. And at that point in time, the unemployment was still flowing. At this point in time, Congress had extended the unemployment compensation to 99 weeks.
[00:08:00.580 --> 00:08:01.060]   and they continued to be unemployed.
[00:08:01.060 --> 00:08:01.060]   and they continued to be unemployed. Well, the time went on. Six months turned into a year, a year turned into a year and a half. And I first came into the situation about a year, year and a half after the layoff. And at that point in time, the unemployment was still flowing. At this point in time, Congress had extended the unemployment compensation to 99 weeks.
[00:08:31.080 --> 00:08:31.080]   And they finally started to get serious with their job hunt. But the problem is by that time, their skills had atrophied. Their personal network had grown stale. And most importantly, their confidence was completely destroyed. They were going and applying for jobs and doing interviews. And the problem was they weren't getting a lot of traction. And because all they had done was play and play without purpose.
[00:08:31.080 --> 00:08:31.080]   And because all they had done was play and play without purpose.
[00:08:31.080 --> 00:08:31.080]   And because all they had done was play and play without purpose.
[00:08:31.100 --> 00:09:01.100]   They were going and applying for jobs and doing interviews. And most importantly, their confidence was shot.
[00:09:01.100 --> 00:09:01.100]   They were going and applying for jobs and doing interviews. And because all they had done was play and play without purpose.
[00:09:01.100 --> 00:09:01.100]   They were going and applying for jobs and doing interviews. And because all they had done was play and play without purpose.
[00:09:01.100 --> 00:09:01.100]   They were going and applying for jobs and doing interviews. And because all they had done was play and play without purpose.
[00:09:01.100 --> 00:09:01.100]   They were going and applying for jobs and doing interviews. And because all they had done was play and play without purpose.
[00:09:01.100 --> 00:09:01.100]   They were going and applying for jobs and doing interviews. And because all they had done was play and play without purpose.
[00:09:01.100 --> 00:09:01.100]   They were going and applying for jobs and doing interviews. And because all they had done was play and play without purpose.
[00:09:01.100 --> 00:09:01.100]   They were going and applying for jobs and doing interviews. And because all they had done was play and doing interviews.
[00:09:01.140 --> 00:09:10.940]   Pi
[00:09:10.940 --> 00:09:29.860]   pick whichever
[00:10:56.500 --> 00:11:02.200]   pacifist action is the key and why you need to move quickly is the clock is ticking.
[00:11:02.200 --> 00:11:17.340]   If you study some of the research on the topic of what happens to people when they're unemployed and especially when they become unemployed for longer, you will see a clear pattern that the longer you're out of work, the harder it is to get a job.
[00:11:17.340 --> 00:11:25.300]   The AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:25.300 --> 00:11:25.300]   The AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:25.300 --> 00:11:25.300]   The AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:25.300 --> 00:11:25.300]   The AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:25.340 --> 00:11:54.140]  ,
[00:11:54.140 --> 00:11:54.140]   the AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:54.140 --> 00:11:54.140]   the AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:54.140 --> 00:11:54.140]   the AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:54.140 --> 00:11:54.140]   the AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:54.140 --> 00:11:54.140]   the AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:54.140 --> 00:11:54.140]   the AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:54.180 --> 00:11:54.480]  millimeter of people, and it's especially tough if you're middle-aged or older.
[00:11:54.480 --> 00:11:54.480]   the AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:54.480 --> 00:11:54.480]   the AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:54.480 --> 00:11:56.680]   the AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:56.680 --> 00:11:56.880]   the AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:56.880 --> 00:11:56.880]   the AARP has done some research on this for older people, and it's especially tough if you're middle-aged or older.
[00:11:56.880 --> 00:11:56.980]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:11:56.980 --> 00:12:13.880]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:14.120 --> 00:12:34.620]  .
[00:12:34.620 --> 00:12:34.620]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:34.620 --> 00:12:34.720]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:34.720 --> 00:12:35.020]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:35.020 --> 00:12:35.420]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:35.420 --> 00:12:35.720]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:35.720 --> 00:12:36.020]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:36.020 --> 00:12:36.320]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:36.320 --> 00:12:36.520]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:36.520 --> 00:12:37.620]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:37.640 --> 00:12:51.660]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:51.660 --> 00:12:52.660]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:52.660 --> 00:12:53.660]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:53.660 --> 00:12:54.660]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:54.660 --> 00:12:55.660]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:55.660 --> 00:12:56.660]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:56.660 --> 00:12:57.660]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:57.660 --> 00:12:58.660]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:12:58.660 --> 00:12:59.660]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:13:00.560 --> 00:13:08.700]  , a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:13:08.700 --> 00:13:09.700]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:13:09.700 --> 00:13:10.700]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:13:10.700 --> 00:13:11.700]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:13:11.700 --> 00:13:12.700]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:13:12.700 --> 00:13:13.700]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:13:13.700 --> 00:13:14.700]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:13:14.700 --> 00:13:15.700]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:13:15.700 --> 00:13:16.700]   a little date here on the resume I can figure out that you were last employed in February of 2013.
[00:13:16.740 --> 00:13:22.820]   sparkle glued
[00:13:22.820 --> 00:13:26.180]   as,,,,
[00:13:26.180 --> 00:13:27.440]   yelled
[00:13:27.440 --> 00:13:30.360]  ивают
[00:15:14.580 --> 00:15:16.880]   even
[00:15:16.880 --> 00:15:26.960]   is a minute;G, ., or, go. .. but we mind and it is a marqueстранänd, ., Sal,200,
[00:17:10.140 --> 00:17:10.140]   and I'm going to go start selling life insurance again to feed my family. So I pick up the phone and I start making appointments with people and I call them up and I ask for an appointment. I'm going to go start selling life insurance again to feed my family. So I pick up the phone and I start making appointments with people and I call them up and I ask for an appointment.
[00:18:36.880 --> 00:18:44.960]   I
[00:18:44.960 --> 00:18:51.000]   en theTAI
[00:21:22.340 --> 00:21:32.720]  yor
[00:21:32.720 --> 00:21:36.380]   tummy cor at,;, at the THE Peace Woods
[00:21:36.380 --> 00:21:49.000]   wait
[00:22:17.700 --> 00:22:17.700]   and so, in the same way that it takes much longer to make much bigger sales, but yet the compensation is much nicer,
[00:22:17.700 --> 00:22:17.700]   If you flip it around and apply it to the job market,
[00:22:17.700 --> 00:22:17.700]   If you flip it around and apply it to the job market,
[00:22:17.700 --> 00:22:17.700]   If you flip it around and apply it to the job market,
[00:22:17.700 --> 00:22:17.700]   If you flip it around and apply it to the job market,
[00:22:17.700 --> 00:22:17.700]   if you flip it around and apply it to the job market,
[00:22:45.440 --> 00:22:45.440]  , ,,and you might be offered a job on the spot if they need workers, but you're not going to make much. But if you're going to get into a great high paying job, it's going to take a lot of time and there's going to be multiple rounds of interviews and negotiations. At the highest levels, the hiring process will take a lot of time.
[00:23:14.800 --> 00:23:14.800]   ,,and you've got to have multiple interviews with all the key stakeholders, and it varies all along that course, but in general, plan that the higher the dollar amount, the longer it's going to take. So you've got to get busy now and fill that funnel. And you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:23:14.800 --> 00:23:14.840]   ,,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:23:14.840 --> 00:23:15.400]   ,,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:23:15.400 --> 00:23:45.420]  ,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:23:45.420 --> 00:23:45.420]   ,,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:23:45.440 --> 00:24:15.440]  venes.pdf
[00:24:15.440 --> 00:24:15.440]   .,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
