
[00:00:00.000 --> 00:00:13.780]   Well, good morning, everyone.
[00:00:13.780 --> 00:00:17.760]   What a privilege it is to be here today and to accompany you all as you sing.
[00:00:17.760 --> 00:00:23.840]   I've asked Kristen to read two verses from God's Word, and then we're going to respond
[00:00:23.840 --> 00:00:36.080]   by filling this room with harmony and singing the songs of heaven.
[00:00:36.080 --> 00:00:43.360]   And they sing the song of Moses, the servant of God, and the song of the Lamb saying, "Great
[00:00:43.360 --> 00:00:48.120]   and amazing are your deeds, O Lord God, the Almighty.
[00:00:48.120 --> 00:00:51.920]   Just and true are your ways, O King of the nations.
[00:00:51.920 --> 00:00:57.800]   Who will not fear you, O Lord, and glorify your name?
[00:00:57.800 --> 00:01:00.680]   For you alone are holy.
[00:01:00.680 --> 00:01:06.720]   All nations will come and worship you, for your righteous acts have been revealed."
[00:01:06.720 --> 00:01:07.720]   Let's stand.
[00:01:07.720 --> 00:01:36.920]   Holy, holy, holy, Lord God Almighty, early in the morning, our song shall rise to thee.
[00:01:36.920 --> 00:01:57.720]   Holy, holy, holy, merciful and mighty, God in three Persons, blessed Trinity.
[00:01:57.720 --> 00:02:06.860]   Holy, holy, holy, Lord God Almighty, early in the morning, our song shall rise to thee.
[00:02:06.860 --> 00:02:26.860]   Holy, holy, holy, all the saints adore thee, casting down their golden crowns around the
[00:02:26.860 --> 00:02:52.200]   world as we sing, cherubim and seraphim, all who come before thee, who were and are
[00:02:52.200 --> 00:02:57.500]   to come before thee.
[00:02:57.500 --> 00:03:17.200]   Holy, holy, holy, though the darkness hide thee, though the eye of sin foment, thy glory
[00:03:17.200 --> 00:03:40.200]   may not see, holy thou art, holy, there is none beside thee, perfect in power, in love
[00:03:40.200 --> 00:03:47.200]   and purity.
[00:03:47.200 --> 00:04:06.200]   Holy, holy, holy, Lord God Almighty, all thy works shall praise thy name, in earth and
[00:04:06.200 --> 00:04:11.200]   sky and sea.
[00:04:11.200 --> 00:04:35.200]   Holy, holy, holy, merciful and mighty, God in three Persons, blessed Trinity.
[00:04:35.200 --> 00:04:57.200]   Holy, holy, holy, Lord God Almighty, early in the morning, our song shall rise to thee.
[00:04:57.200 --> 00:05:19.200]   Holy, holy, holy, Lord God Almighty, all the saints adore thee, casting down their golden
[00:05:19.200 --> 00:05:26.200]   crowns around the world as we sing, cherubim and seraphim, all who come before thee.
[00:05:26.200 --> 00:05:44.200]   Reaching out to those in darkness, I call to war, to love the captive soul, not to rage
[00:05:44.200 --> 00:06:06.200]   against the captor, and with the sword that makes the wounded whole, we will fight with
[00:06:06.200 --> 00:06:26.200]   the Lord, and Christ will have the prize for which he died, an inheritance of nations.
[00:06:26.200 --> 00:06:54.200]   Holy, holy, holy, Lord God Almighty, all the saints adore thee, casting down their golden
[00:06:54.200 --> 00:07:14.200]   crowns around the world as we sing, cherubim and seraphim, all who come before thee.
[00:07:14.200 --> 00:07:26.200]   Hear and come, with strength in every strife, give grace for every hurdle, that we may run
[00:07:26.200 --> 00:07:33.200]   with faith to win the prize of servant good and faithful.
[00:07:33.200 --> 00:07:43.200]   Let saints of old still line the way, retelling trials of His grace.
[00:07:43.200 --> 00:08:10.200]   We hear and call, and hunger for the day, when through Christ we stand in glory.
[00:08:10.200 --> 00:08:25.200]   Speak, O Lord, as we come to you, to receive the food of your holy word.
[00:08:25.200 --> 00:08:39.200]   Speak in your truth, and in deep in us, shape and fashion us in your likeness, that the
[00:08:39.200 --> 00:08:54.200]   light of Christ might be seen today in our acts of love and our deeds of faith.
[00:08:54.200 --> 00:09:15.200]   Speak, O Lord, and fulfill in us all your purposes for your lowly.
[00:09:15.200 --> 00:09:28.200]   Teach us, Lord, full obedience, holy reverence, true humility.
[00:09:28.200 --> 00:09:41.200]   Test our thoughts and our attitudes in the radiance of your purity.
[00:09:41.200 --> 00:09:56.200]   Cause our faith to rise, cause our eyes to see your majestic love and authority.
[00:09:56.200 --> 00:10:16.200]   Words of power that can never fail, let their truth prevail over unbelief.
[00:10:16.200 --> 00:10:30.200]   Speak, O Lord, and renew our minds. Help us grasp the heights of your pleasure for us.
[00:10:30.200 --> 00:10:43.200]   Truths found and shaped from the dawn of time that will echo down through eternity.
[00:10:43.200 --> 00:10:58.200]   And by grace we'll stand on your promises, and by faith we'll walk as you walk with us.
