
[00:00:00.000 --> 00:00:06.120]   All right.
[00:00:06.120 --> 00:00:08.380]   Welcome back everyone.
[00:00:08.380 --> 00:00:12.460]   Day two. Got a lot we want to accomplish today.
[00:00:12.460 --> 00:00:17.660]   What I have on the screen right now is the home base for the course.
[00:00:17.660 --> 00:00:20.560]   This is our public website and you could think of it as
[00:00:20.560 --> 00:00:24.400]   kind of a hub for everything that you'll need in the course.
[00:00:24.400 --> 00:00:29.060]   You can see along the top here we've got some policy pages.
[00:00:29.060 --> 00:00:31.560]   There's a whole page on projects.
[00:00:31.560 --> 00:00:36.200]   There's a page that provides an index of background materials,
[00:00:36.200 --> 00:00:39.880]   YouTube screencasts, slides,
[00:00:39.880 --> 00:00:43.580]   hands-on materials in case you need to fill in some background stuff.
[00:00:43.580 --> 00:00:48.940]   Notice also I do a podcast that actually began in this course last year,
[00:00:48.940 --> 00:00:53.120]   and I found it so rewarding that I just continued doing it all year.
[00:00:53.120 --> 00:00:55.240]   So new episodes continue to appear.
[00:00:55.240 --> 00:00:58.640]   If you have ideas for guests for this podcast,
[00:00:58.640 --> 00:00:59.960]   feel free to suggest them.
[00:00:59.960 --> 00:01:02.920]   I'm always looking for exciting people to interview,
[00:01:02.920 --> 00:01:06.320]   and I think the back episodes are also really illuminating.
[00:01:06.320 --> 00:01:07.840]   That's along the top.
[00:01:07.840 --> 00:01:09.320]   Then over here on the left,
[00:01:09.320 --> 00:01:13.960]   you've got one-stop shopping for the various systems that we have to deal with.
[00:01:13.960 --> 00:01:16.380]   You've got our Ed forum for discussion.
[00:01:16.380 --> 00:01:18.040]   If you're not in there, let us know.
[00:01:18.040 --> 00:01:19.520]   We can get you signed up.
[00:01:19.520 --> 00:01:24.960]   Canvas is your home for the screencasts and also the quizzes,
[00:01:24.960 --> 00:01:26.920]   and I guess there's some other stuff there.
[00:01:26.920 --> 00:01:30.560]   Grade scope is where you'll submit the main assignments,
[00:01:30.560 --> 00:01:32.100]   including your project work,
[00:01:32.100 --> 00:01:34.480]   and also enter the bake-offs.
[00:01:34.480 --> 00:01:36.280]   Then we have our course GitHub,
[00:01:36.280 --> 00:01:40.040]   and that is the course code that we'll be depending on for the assignments,
[00:01:40.040 --> 00:01:43.600]   and that I hope you can build on for the original work that you do.
[00:01:43.600 --> 00:01:45.000]   If you need to reach us,
[00:01:45.000 --> 00:01:46.360]   you can use the discussion forum,
[00:01:46.360 --> 00:01:49.280]   but we also have this staff email address that is
[00:01:49.280 --> 00:01:53.800]   vastly preferred to writing to us individually.
[00:01:53.800 --> 00:01:59.400]   It really helps us manage the workload and know what's happening if you either ping us
[00:01:59.400 --> 00:02:01.680]   on the discussion forum, private posts,
[00:02:01.680 --> 00:02:06.240]   public posts, whatever, or use that staff address.
[00:02:06.240 --> 00:02:09.520]   In the middle of this page here,
[00:02:09.520 --> 00:02:12.360]   we've got links to all the materials.
[00:02:12.360 --> 00:02:16.980]   The first column is slides and stuff like that, and also notebooks.
[00:02:16.980 --> 00:02:20.360]   The middle column, it's core readings mostly.
[00:02:20.360 --> 00:02:26.760]   I'm not presupposing that you will manage to do all of this reading because there is a lot of it,
[00:02:26.760 --> 00:02:30.160]   but these are important and rewarding papers,
[00:02:30.160 --> 00:02:31.720]   and so at some point in your life,
[00:02:31.720 --> 00:02:33.640]   you might want to immerse yourselves in them.
[00:02:33.640 --> 00:02:38.080]   But I'm hoping that I can be your trusted guide through that literature.
[00:02:38.080 --> 00:02:41.800]   Then on the right, you have the assignments.
[00:02:41.800 --> 00:02:44.560]   That's the website.
[00:02:44.560 --> 00:02:47.520]   Questions, comments, anything I could clear up?
[00:02:47.520 --> 00:02:53.040]   I have a time budgeted later to review the policies and required work in a bit more detail.
[00:02:53.040 --> 00:02:54.400]   But if there are questions now,
[00:02:54.400 --> 00:02:57.120]   I'm happy to take them. Yes.
[00:02:57.120 --> 00:03:01.360]   For the quizzes, are the quizzes doable on the day that they become available,
[00:03:01.360 --> 00:03:06.600]   or do we need like the course material all the way up through the D?
[00:03:06.600 --> 00:03:08.580]   That is a good question.
[00:03:08.580 --> 00:03:10.440]   It's going to depend on your background.
[00:03:10.440 --> 00:03:12.520]   But in the worst case,
[00:03:12.520 --> 00:03:14.380]   if this is all brand new to you,
[00:03:14.380 --> 00:03:21.160]   you might not feel like you can confidently finish the quiz until that final lecture in the unit.
[00:03:21.160 --> 00:03:23.360]   Like this one is all about transformers.
[00:03:23.360 --> 00:03:26.640]   All of the answers are embedded in this handout here.
[00:03:26.640 --> 00:03:29.540]   But if you want to hear it from me,
[00:03:29.540 --> 00:03:32.360]   you might not hear that until next Thursday,
[00:03:32.360 --> 00:03:33.960]   but that gives you another five days.
[00:03:33.960 --> 00:03:35.040]   Perfect. Thank you.
[00:03:35.040 --> 00:03:37.160]   Yes.
[00:03:37.160 --> 00:03:40.160]   You mentioned past projects are available.
[00:03:40.160 --> 00:03:41.880]   Where can we learn?
[00:03:41.880 --> 00:03:44.040]   Right. That must be here.
[00:03:44.040 --> 00:03:48.840]   I think I've got an index of past projects behind a protected link,
[00:03:48.840 --> 00:03:50.700]   which will depend on you being enrolled.
[00:03:50.700 --> 00:03:53.680]   If you're not enrolled, we can get you past that little hurdle.
[00:03:53.680 --> 00:03:56.120]   But I did get permission to release some of them.
[00:03:56.120 --> 00:03:59.120]   So somewhere on this page is a link to X,
[00:03:59.120 --> 00:04:02.740]   oh, there it is, exemplary projects.
[00:04:02.740 --> 00:04:07.600]   There's another list at the GitHub projects.md page,
[00:04:07.600 --> 00:04:09.280]   which is also linked somewhere in here,
[00:04:09.280 --> 00:04:11.760]   of published work, and that stuff you could download.
[00:04:11.760 --> 00:04:15.000]   The private link gives you the actual course submission.
[00:04:15.000 --> 00:04:16.840]   That could be an interesting exercise to
[00:04:16.840 --> 00:04:20.920]   compare the paper they did in here with the thing they actually published.
[00:04:20.920 --> 00:04:24.900]   I'll emphasize again that that will be interesting because of how much work it
[00:04:24.900 --> 00:04:30.720]   typically takes to go from a class project to something that makes it onto the ACL anthology.
[00:04:30.720 --> 00:04:34.040]   But that's of course an exciting journey.
[00:04:34.040 --> 00:04:38.640]   Oh yeah, and if you haven't already,
[00:04:38.640 --> 00:04:39.660]   do this course setup.
[00:04:39.660 --> 00:04:41.040]   It's very lightweight.
[00:04:41.040 --> 00:04:44.480]   You get your computing environment set up to use our code.
[00:04:44.480 --> 00:04:47.120]   Actually, this is a sign of the changing times.
[00:04:47.120 --> 00:04:50.160]   I also exhort you to sign up for a bunch of services,
[00:04:50.160 --> 00:04:54.480]   Colab, and maybe consider getting a pro account for $30.
[00:04:54.480 --> 00:04:56.040]   Over the course of the entire quarter,
[00:04:56.040 --> 00:04:59.440]   you could get a lot more compute on Colab, including GPUs.
