
[00:00:00.000 --> 00:00:01.000]   Is that a camera?
[00:00:01.000 --> 00:00:01.500]   Yeah.
[00:00:01.500 --> 00:00:02.500]   That's incredible.
[00:00:02.500 --> 00:00:03.500]   DJI, look at it.
[00:00:03.500 --> 00:00:04.500]   Is that better than your phone?
[00:00:04.500 --> 00:00:05.000]   Yeah.
[00:00:05.000 --> 00:00:06.000]   Maybe because you don't have a knife?
[00:00:06.000 --> 00:00:07.000]   It's incredible quality.
[00:00:07.000 --> 00:00:07.500]   Yeah.
[00:00:07.500 --> 00:00:09.500]   Here with Joe Rogan at the weigh-ins.
[00:00:09.500 --> 00:00:10.000]   Oh, hi.
[00:00:10.000 --> 00:00:11.500]   You get nervous before these things?
[00:00:11.500 --> 00:00:13.000]   No, I get excited, though.
[00:00:13.000 --> 00:00:16.500]   How do you prepare for all the names you have to read off?
[00:00:16.500 --> 00:00:19.000]   I have to get them written out phonetically.
[00:00:19.000 --> 00:00:22.000]   When you look at these guys, do you see excitement? Do you see fear?
[00:00:22.000 --> 00:00:23.000]   What do you usually see?
[00:00:23.000 --> 00:00:24.000]   The fighters?
[00:00:24.000 --> 00:00:25.000]   Yeah, when they stay up.
[00:00:25.000 --> 00:00:28.000]   You never see fear.
[00:00:28.000 --> 00:00:32.000]   You saw fear when Anderson Silva was in his prime.
[00:00:32.000 --> 00:00:33.000]   You saw some fear.
[00:00:33.000 --> 00:00:37.000]   When guys reach this unstoppable level, you see some fear.
[00:00:37.000 --> 00:00:42.000]   But you don't generally just see anxiety and tension.
[00:00:42.000 --> 00:00:45.000]   You see guys getting fired up for a fight.
[00:00:45.000 --> 00:00:46.000]   Intensity?
[00:00:46.000 --> 00:00:47.000]   Intensity, for sure.
[00:00:47.000 --> 00:00:50.000]   Who is the most intense guy you've seen at the weigh-ins?
[00:00:50.000 --> 00:00:51.000]   Ever?
[00:00:51.000 --> 00:00:54.000]   Conor gets pretty fucking intense, but so does Khabib.
[00:00:56.000 --> 00:01:01.000]   It all depends on whether or not they have real animosity towards each other.
[00:01:01.000 --> 00:01:04.000]   Nate Diaz is probably somebody that gets pretty intense.
[00:01:04.000 --> 00:01:07.000]   Oh, yeah, he's going to get intense. That's going to be a good one.
[00:01:07.000 --> 00:01:12.000]   I don't know how they're going to separate him from Hamza and him from everyone else.
[00:01:12.000 --> 00:01:13.000]   You think it's going to get crazy today?
[00:01:13.000 --> 00:01:15.000]   It could get crazy.
[00:01:15.000 --> 00:01:17.000]   And what are you going to do? Are you going to be all right?
[00:01:17.000 --> 00:01:18.000]   I'm going to get the fuck out of there.
[00:01:18.000 --> 00:01:21.000]   If shit gets wild, I'm not getting in the scrap.
[00:01:21.000 --> 00:01:23.000]   You're going to watch me look like a coward.
[00:01:25.000 --> 00:01:28.000]   Also here with Shane Gillis, you're going to step up if shit goes down?
[00:01:28.000 --> 00:01:29.000]   I'll get in there.
[00:01:29.000 --> 00:01:33.000]   I might have to get in and get knocked out by a 120-pounder.
[00:01:33.000 --> 00:01:36.000]   Do you ever lose your voice with these things?
[00:01:36.000 --> 00:01:37.000]   No.
[00:01:37.000 --> 00:01:38.000]   No, I yell all the time.
[00:01:38.000 --> 00:01:39.000]   You get it.
[00:01:39.000 --> 00:01:42.000]   Because of doing comedy, my voice is pretty strong.
[00:01:42.000 --> 00:01:48.000]   This is like such a surreal moment in human history, the war of combat.
[00:01:48.000 --> 00:01:54.000]   Like, more innovation has happened in combat in the past 20 years than maybe ever in human history.
[00:01:54.000 --> 00:01:55.000]   You're at the center of it.
[00:01:55.000 --> 00:01:56.000]   Yeah.
[00:01:56.000 --> 00:01:59.000]   Does that hit you? At which point does that hit you?
