
[00:00:00.040 --> 00:00:10.620]   stuff
[00:01:55.080 --> 00:02:06.640]   and
[00:02:06.640 --> 00:02:22.300]   200 co is a here de
[00:02:22.360 --> 00:02:27.880]   I'm going to have today
[00:02:27.880 --> 00:02:30.500]   in today's show is going to continue that.
[00:02:30.500 --> 00:02:33.600]   I have about a 10 or 15 minute sales pitch here for you at the beginning,
[00:02:33.600 --> 00:02:35.620]   which you'll find interesting.
[00:02:35.620 --> 00:02:37.540]   Stay with me because I really want you to buy the course,
[00:02:37.540 --> 00:02:39.800]   but I want you to have a good, solid understanding of it
[00:02:39.800 --> 00:02:41.720]   so that you can understand if it's right for you.
[00:02:41.720 --> 00:02:44.220]   And then towards the back end of today's audio,
[00:02:44.220 --> 00:02:47.940]   I'm going to share with you the first audio excerpt from the course,
[00:02:47.940 --> 00:02:51.600]   which is called Credit Card Debt is a Very Safe Form of Debt.
[00:02:51.600 --> 00:02:51.720]   I'm going to share with you the first audio excerpt from the course,
[00:02:51.720 --> 00:02:51.720]   which is called Credit Card Debt is a Very Safe Form of Debt.
[00:02:51.720 --> 00:02:52.360]   I'm going to share with you the first audio excerpt from the course,
[00:02:52.360 --> 00:02:52.360]   I'm going to share with you the first audio excerpt from the course,
[00:02:52.580 --> 00:03:22.380]   I'm going to share with you the first audio excerpt from the course,
[00:03:22.380 --> 00:03:22.380]   I'm going to share with you the first audio excerpt from the course,
[00:03:22.380 --> 00:03:22.380]   I'm going to share with you the first audio excerpt from the course,
[00:03:22.380 --> 00:03:22.380]   I'm going to share with you the first audio excerpt from the course,
[00:03:22.380 --> 00:03:22.380]   I'm going to share with you the first audio excerpt from the course,
[00:03:22.400 --> 00:03:52.400]   I'm going to share with you the first audio excerpt from the course,
[00:03:52.400 --> 00:03:52.400]   I'm going to share with you the first audio excerpt from the course,
[00:03:52.400 --> 00:03:52.400]   I'm going to share with you the first audio excerpt from the course,
[00:03:52.400 --> 00:03:52.400]   I'm going to share with you the first audio excerpt from the course,
[00:03:52.400 --> 00:03:52.400]   I'm going to share with you the first audio excerpt from the course,
[00:03:52.400 --> 00:03:52.400]   I'm going to share with you the first audio excerpt from the course,
[00:03:52.400 --> 00:03:52.400]   I'm going to share with you the first audio excerpt from the course,
[00:03:52.400 --> 00:03:52.400]   I'm going to share with you the first audio excerpt from the course,
[00:03:52.400 --> 00:03:52.400]   I'm going to share with you the first audio excerpt from the course,
[00:03:52.400 --> 00:03:52.400]   I'm going to share with you the first audio excerpt from the course,
[00:03:52.400 --> 00:03:52.400]   I'm going to share with you the first audio excerpt from the course,
[00:03:52.400 --> 00:03:52.400]   I'm going to share with you the first audio excerpt from the course,
[00:03:52.440 --> 00:04:22.420]  ,
[00:04:22.420 --> 00:04:22.420]   I'm going to share with you the first audio excerpt from the course,
[00:04:22.420 --> 00:04:22.420]   I'm going to share with you the first audio excerpt from the course,
[00:04:22.420 --> 00:04:22.420]   I'm going to share with you the first audio excerpt from the course,
