
[00:00:00.000 --> 00:00:03.360]   [MUSIC PLAYING]
[00:00:03.360 --> 00:00:06.560]   All right.
[00:00:06.560 --> 00:00:10.080]   So we have a question here now from Nana, who says,
[00:00:10.080 --> 00:00:13.000]   how do I apply deep work to my life?
[00:00:13.000 --> 00:00:13.700]   I am a student.
[00:00:13.700 --> 00:00:18.720]   I have a full-time job and a business.
[00:00:18.720 --> 00:00:21.880]   Well, I think it's a good question because it, again,
[00:00:21.880 --> 00:00:25.280]   gets to an issue that I think we come across often, which
[00:00:25.280 --> 00:00:31.480]   is that the meaning of deep work can metamorphosize,
[00:00:31.480 --> 00:00:34.640]   for some people, into something bigger,
[00:00:34.640 --> 00:00:39.480]   into some sort of image of life that seems unattainable,
[00:00:39.480 --> 00:00:46.160]   some sort of image of I spend my winters at my cabin
[00:00:46.160 --> 00:00:48.800]   with the wood-burning stove going
[00:00:48.800 --> 00:00:54.480]   as I sit with my moleskin and a quill from an eagle that
[00:00:54.480 --> 00:00:56.840]   was killed on George Washington's property
[00:00:56.840 --> 00:00:59.400]   in the colonial period and has been passed down
[00:00:59.400 --> 00:01:00.280]   through generations.
[00:01:00.280 --> 00:01:05.320]   And I stare into the flames before every 30 or 40 minutes
[00:01:05.320 --> 00:01:06.880]   writing one well-crafted sentence.
[00:01:06.880 --> 00:01:11.040]   And then I have a sip of bourbon, and this is what I do.
[00:01:11.040 --> 00:01:14.240]   Sometimes deep work gets translated
[00:01:14.240 --> 00:01:19.520]   into a crazy image of a life that is depth to the extreme.
[00:01:19.520 --> 00:01:21.560]   And then you say, well, I can't do that.
[00:01:21.560 --> 00:01:22.200]   I'm a student.
[00:01:22.200 --> 00:01:22.840]   I have a job.
[00:01:22.840 --> 00:01:24.000]   I'm trying to run a business on the side.
[00:01:24.000 --> 00:01:26.480]   I can't be at a cabin looking into the fire
[00:01:26.480 --> 00:01:28.360]   with a quill from George Washington's property
[00:01:28.360 --> 00:01:29.360]   drinking bourbon, right?
[00:01:29.360 --> 00:01:31.440]   OK, but let's get more specific, and I
[00:01:31.440 --> 00:01:33.600]   think we can start to make some progress here.
[00:01:33.600 --> 00:01:37.880]   All deep work really is is a particular type of way
[00:01:37.880 --> 00:01:39.960]   you can work on something.
[00:01:39.960 --> 00:01:41.600]   It's an approach to working on something
[00:01:41.600 --> 00:01:42.880]   where you don't context shift.
[00:01:42.880 --> 00:01:44.720]   You just focus on the thing you're working on
[00:01:44.720 --> 00:01:46.200]   and give it your full concentration.
[00:01:46.200 --> 00:01:47.840]   And you do it for a non-trivial amount of time
[00:01:47.840 --> 00:01:50.140]   without checking email, without looking at your phone,
[00:01:50.140 --> 00:01:52.720]   without looking at your web browser.
[00:01:52.720 --> 00:01:54.160]   The idea is if you give something your full attention
[00:01:54.160 --> 00:01:57.320]   without context shifting, you get much better results.
[00:01:57.320 --> 00:01:58.560]   You get the results faster.
[00:01:58.560 --> 00:02:01.200]   And then therefore, this is the main argument
[00:02:01.200 --> 00:02:04.840]   of the book, Deep Work, is you should prioritize that
[00:02:04.840 --> 00:02:07.400]   and make sure that during your work, whatever your work is,
[00:02:07.400 --> 00:02:09.960]   during your work hours, whenever your work hours happen to be,
[00:02:09.960 --> 00:02:12.800]   don't just call all work work.
[00:02:12.800 --> 00:02:14.720]   Say, well, during these working hours,
[00:02:14.720 --> 00:02:16.320]   there's the periods where I'm focusing on one thing,
[00:02:16.320 --> 00:02:17.960]   and there's other periods where I'm doing a bunch of things.
[00:02:17.960 --> 00:02:21.000]   And let me make sure that I have a reasonable amount of those
[00:02:21.000 --> 00:02:22.000]   focusing one at a time.
[00:02:22.000 --> 00:02:24.680]   Don't just keep interleaving back and forth.
[00:02:24.680 --> 00:02:26.320]   That is way more achievable.
[00:02:26.320 --> 00:02:30.720]   That has nothing to do with dizziness, et cetera.
