
[00:00:00.000 --> 00:00:02.280]   "What is note-taking for?
[00:00:02.280 --> 00:00:06.800]   I found note-taking most useful in the short term, grounding me in my current task or noting
[00:00:06.800 --> 00:00:10.640]   a few to-dos throughout the day.
[00:00:10.640 --> 00:00:12.560]   Almost all of them are immediately disposable.
[00:00:12.560 --> 00:00:17.120]   It seems like note-taking can become fairly navel-gazing and doing it excessively takes
[00:00:17.120 --> 00:00:19.040]   away from execution."
[00:00:19.040 --> 00:00:24.080]   It's a good question because we see this a lot in our discussions of organization.
[00:00:24.080 --> 00:00:28.960]   Notes and note-taking is an excessively broad term.
[00:00:28.960 --> 00:00:34.320]   It covers lots of different things and for a lot of people, like Mark, these things get
[00:00:34.320 --> 00:00:37.000]   all mixed up and they're thinking, "Well, I don't know.
[00:00:37.000 --> 00:00:38.720]   I'm sitting here journaling all day.
[00:00:38.720 --> 00:00:39.720]   Is this note-taking?
[00:00:39.720 --> 00:00:40.720]   What should I be doing?
[00:00:40.720 --> 00:00:41.720]   What should I not be doing?"
[00:00:41.720 --> 00:00:44.800]   So what I want to do here is step back.
[00:00:44.800 --> 00:00:49.440]   Let's give a general definition for note-taking and then I want to highlight what I think
[00:00:49.440 --> 00:00:55.560]   the three critical types of note-taking systems you need in your life if you work any sort
[00:00:55.560 --> 00:00:58.000]   of knowledge job.
[00:00:58.000 --> 00:01:01.160]   From there, move on to talk about more advanced options.
[00:01:01.160 --> 00:01:07.520]   So let's define note-taking more generally to mean recording information on a durable
[00:01:07.520 --> 00:01:10.360]   written medium.
[00:01:10.360 --> 00:01:14.360]   So anywhere you're collecting information in a written medium that's durable, you have
[00:01:14.360 --> 00:01:17.680]   it outside of your head so you can reference it later.
[00:01:17.680 --> 00:01:21.320]   Here are the three types of this note-taking that I think are critical, especially for
[00:01:21.320 --> 00:01:22.720]   most knowledge workers.
[00:01:22.720 --> 00:01:28.240]   One, some sort of working memory extender.
[00:01:28.240 --> 00:01:33.760]   This is where I use my text file on my desktop of my computer's workingmemory.txt.
[00:01:33.760 --> 00:01:39.160]   This is for strictly expanding the amount of information you can temporarily hold on
[00:01:39.160 --> 00:01:44.000]   to as you engage with the inflow of information throughout your workday.
[00:01:44.000 --> 00:01:48.320]   So as things come in, you're in a meeting and people are suggesting next steps, you
[00:01:48.320 --> 00:01:54.440]   can just write this information down in whatever medium you use for your working memory extender
[00:01:54.440 --> 00:01:57.160]   because it's probably more information you can keep in your head.
[00:01:57.160 --> 00:01:58.160]   So there it is.
[00:01:58.160 --> 00:01:59.160]   I write it down right there.
[00:01:59.160 --> 00:02:03.960]   Or I'm going through my email inbox and I need to remember different notes I need to
[00:02:03.960 --> 00:02:05.880]   act on, schedule this, get back to them.
[00:02:05.880 --> 00:02:08.120]   I can write it into my workingmemory.extender.
[00:02:08.120 --> 00:02:12.420]   These are notes that exist outside of your own brain, allows you to hold on and organize
[00:02:12.420 --> 00:02:18.920]   more information than you could do just strictly within the confines of your own neurons.
[00:02:18.920 --> 00:02:20.960]   Now this is something that resets all the time.
[00:02:20.960 --> 00:02:24.540]   It's a durable form, but you reset it all the time.
[00:02:24.540 --> 00:02:28.080]   So as I'm going through a meeting, I'm taking quick notes on here's the five things I need
[00:02:28.080 --> 00:02:29.480]   to do.
[00:02:29.480 --> 00:02:34.620]   After that meeting, those notes will then get processed out of my working memory file
[00:02:34.620 --> 00:02:38.600]   into calendar reminders, into my obligation system.
[00:02:38.600 --> 00:02:43.700]   So it's a temporary storage, but it allows me in the moment to keep track of more things
[00:02:43.700 --> 00:02:45.140]   that my brain can do on its own.
[00:02:45.140 --> 00:02:49.460]   That's note taking, but of a very temporary type.
[00:02:49.460 --> 00:02:52.760]   Next comes what I just cited, which is your obligation tracker.
[00:02:52.760 --> 00:02:57.340]   Some system to maintain all of the relevant information for every obligation on your plate.
[00:02:57.340 --> 00:03:01.380]   This is also note taking, written durable information that you don't have to keep track
[00:03:01.380 --> 00:03:03.700]   of in your head.
[00:03:03.700 --> 00:03:06.960]   So somewhere here, all the things I have to do probably categorized.
[00:03:06.960 --> 00:03:13.180]   Here is all of the information related to each of these things, all in this one place.
[00:03:13.180 --> 00:03:18.920]   You want that information accessible and captured somewhere, that's note taking.
[00:03:18.920 --> 00:03:22.940]   Then finally we get to what most people think of when they think about note taking, and
[00:03:22.940 --> 00:03:26.700]   this is more where you're capturing key ideas about your work and your life.
[00:03:26.700 --> 00:03:33.780]   It could be interesting ideas, interesting articles, brainstorms, concerns that you have.
[00:03:33.780 --> 00:03:38.300]   This is the broad category that captures what people normally think about in note taking.
[00:03:38.300 --> 00:03:40.140]   I might be journaling my thoughts about things.
[00:03:40.140 --> 00:03:43.020]   I might be writing down my plans for how I want to improve my life.
[00:03:43.020 --> 00:03:48.100]   I might be capturing articles that are relevant to the newsletter that I run and things I
[00:03:48.100 --> 00:03:50.780]   want to remember.
[00:03:50.780 --> 00:03:54.780]   This is where you're going to use whatever type of system you like to capture things
