
[00:00:00.000 --> 00:00:05.480]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.480 --> 00:00:13.540]   Whether you're making a traditional roasted turkey or spicy turkey tacos, your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:13.540 --> 00:00:17.600]   Ralph's has all the freshest ingredients to embrace your traditions.
[00:00:17.600 --> 00:00:19.880]   Ralph's, fresh for everyone.
[00:00:19.880 --> 00:00:26.140]   Choose from a great selection of digital coupons and use them up to five times in one transaction. Check our app for details.
[00:00:26.140 --> 00:00:28.640]   Ralph's, fresh for everyone.
[00:00:29.640 --> 00:00:31.640]   I'm back
[00:00:31.640 --> 00:00:55.040]   Welcome to the radical personal finance podcast. My name is Joshua sheets, and I'm your host today is Tuesday, September 30
[00:00:55.680 --> 00:00:58.840]   2014 this is episode 72 of the show
[00:00:58.840 --> 00:01:07.720]   Today, it's gonna be a personal show. I'm gonna tell you about FinCon 2014 my MSFS class and how I hacked a two-week
[00:01:07.720 --> 00:01:11.520]   3,200 mile road trip for about 600 bucks
[00:01:11.520 --> 00:01:15.280]   Hope you like it
[00:01:15.280 --> 00:01:23.080]   There's been a couple of weeks now since I've been here sitting in front of the microphone
[00:01:23.080 --> 00:01:27.000]   So today I'm gonna catch you up on my lessons learned from the last couple of weeks
[00:01:27.000 --> 00:01:32.240]   If this is your first time listening to the show feel free to stick on stick here and join us
[00:01:32.240 --> 00:01:34.360]   But this is gonna be a somewhat personal show
[00:01:34.360 --> 00:01:39.520]   Trying to just share with some of my friends in the audience some of the lessons that I've learned over the last couple of weeks
[00:01:39.520 --> 00:01:46.460]   If you're if you're not interested in this kind of stuff check back tomorrow for some more of our kind of mainstream content
[00:01:46.460 --> 00:01:50.680]   I am bringing you this information. However, though not just to talk to hear myself talk and hear myself
[00:01:50.680 --> 00:01:53.160]   Tell my stories I can do that with other people
[00:01:53.160 --> 00:01:57.400]   I'm gonna just share with you some of the lessons that I've learned over the last two two weeks and
[00:01:57.400 --> 00:02:04.360]   Because they are specifically related to finance. I think you'll find them interesting or at least I hope you find them interesting and
[00:02:04.360 --> 00:02:07.840]   So it's been a busy couple of weeks of travel
[00:02:07.840 --> 00:02:12.160]   And so I'm going to share with you the lessons from FinCon in New Orleans
[00:02:12.160 --> 00:02:13.160]   Which was two weeks ago
[00:02:13.160 --> 00:02:18.360]   Then the lessons from completing my residency requirement for my master's degree in financial planning
[00:02:18.720 --> 00:02:23.480]   From the American College up in Pennsylvania and then as a teaser to keep you with me
[00:02:23.480 --> 00:02:29.800]   I am going to share with you how I hacked this trip as kind of one of my personal fun
[00:02:29.800 --> 00:02:36.900]   Experiments to push the limits a little bit. We don't call the show radical personal finance for nothing. So let's start with FinCon
[00:02:36.900 --> 00:02:43.280]   FinCon started off. I think it was four or five years ago as something called the financial bloggers conference
[00:02:43.280 --> 00:02:46.840]   I think I first became aware of it a couple of years ago and
[00:02:47.680 --> 00:02:55.440]   Pat excuse me, Philip Taylor who has who runs it has since changed it to be FinCon to kind of be more inclusive than
[00:02:55.440 --> 00:02:57.440]   just financial bloggers I
[00:02:57.440 --> 00:03:02.840]   Last year wanted very much to go because I've always felt a real affinity for the financial blogging world
[00:03:02.840 --> 00:03:05.480]   But I wasn't able to go simply because I was in them
