
[00:00:00.000 --> 00:00:03.000]   (audience applauds)
[00:00:03.000 --> 00:00:09.600]   John is a CFP, a principal at Cornerstone Wealth Advisors,
[00:00:09.600 --> 00:00:12.080]   where he's a fee-only financial planner and manages wealth.
[00:00:12.080 --> 00:00:13.800]   He serves as a retirement columnist
[00:00:13.800 --> 00:00:16.120]   for the Journal of Financial Planning
[00:00:16.120 --> 00:00:19.080]   and a Wall Street Journal expert panelist on retirement.
[00:00:19.080 --> 00:00:21.060]   He's an award-winning thought leader and researcher
[00:00:21.060 --> 00:00:22.960]   on sustainable withdrawal policies,
[00:00:22.960 --> 00:00:24.800]   retirement income planning,
[00:00:24.800 --> 00:00:27.500]   and the application of behavioral finance principles
[00:00:27.500 --> 00:00:29.760]   in working with clients.
[00:00:29.760 --> 00:00:32.300]   And he's even created the profession's first
[00:00:32.300 --> 00:00:36.300]   multi-year residency in financial planning.
[00:00:36.300 --> 00:00:40.300]   Christine Benz probably needs no introduction to you.
[00:00:40.300 --> 00:00:43.940]   Our fearless leader, she is the chairman of the board
[00:00:43.940 --> 00:00:44.940]   of the Bogle Center.
[00:00:44.940 --> 00:00:47.100]   She also has a new book out, if you haven't seen it,
[00:00:47.100 --> 00:00:48.260]   "How to Retire."
[00:00:48.260 --> 00:00:50.940]   I can't tell you to go buy it, since this is Bogle Eds
[00:00:50.940 --> 00:00:51.860]   and we're not supposed to have, you know,
[00:00:51.860 --> 00:00:53.540]   those sorts of conflicts of interest.
[00:00:53.540 --> 00:00:55.700]   But I can tell you to go talk to your librarian
[00:00:55.700 --> 00:00:57.100]   and talk them into buying it,
[00:00:57.100 --> 00:00:59.160]   and then you can borrow it from the library.
[00:00:59.160 --> 00:01:01.900]   But as you know, Christine Benz is the director
[00:01:01.900 --> 00:01:05.180]   of personal finance and retirement planning at Morningstar.
[00:01:05.180 --> 00:01:09.100]   And of course, the author of this great new book
[00:01:09.100 --> 00:01:11.000]   and our chair and our fearless leader.
[00:01:11.000 --> 00:01:12.860]   Let's give a big round of applause to both of them.
[00:01:12.860 --> 00:01:14.740]   (audience applauding)
[00:01:14.740 --> 00:01:15.980]   - Okay, awesome.
[00:01:15.980 --> 00:01:17.740]   John, thank you so much for being here.
[00:01:17.740 --> 00:01:20.460]   You know, you are one of my favorite people to talk to
[00:01:20.460 --> 00:01:24.220]   about all this stuff, because you are a practitioner,
[00:01:24.220 --> 00:01:27.260]   you work with clients, and you've also been a researcher.
[00:01:27.260 --> 00:01:29.800]   So you just bring so much knowledge to bear
[00:01:29.800 --> 00:01:33.800]   and so much humanity to bear on these topics.
[00:01:33.800 --> 00:01:38.840]   I wanted to talk to you about your famous research
[00:01:38.840 --> 00:01:43.840]   about taking dynamic portfolio withdrawals in retirement.
[00:01:43.840 --> 00:01:47.220]   You hit on this approach
[00:01:47.220 --> 00:01:49.320]   that's been called the guardrails approach.
[00:01:49.320 --> 00:01:50.880]   I think maybe you called it that.
[00:01:50.880 --> 00:01:54.440]   But maybe you can talk about your original intuition.
[00:01:54.440 --> 00:01:58.060]   Bill Bengen is here and we're delighted to see him.
[00:01:58.060 --> 00:02:02.080]   But you wanted to build upon Bill's seminal research
[00:02:02.080 --> 00:02:03.320]   with your work.
[00:02:03.320 --> 00:02:05.160]   So maybe talk about your intuition
[00:02:05.160 --> 00:02:08.120]   in wanting to investigate a variable
[00:02:08.120 --> 00:02:10.960]   or flexible withdrawal system.
[00:02:10.960 --> 00:02:12.840]   - Sure, and let me just first say,
[00:02:12.840 --> 00:02:16.480]   welcome to Minneapolis, my hometown.
[00:02:16.480 --> 00:02:18.180]   It's great to have you all here.
[00:02:18.180 --> 00:02:20.640]   (audience applauding)
[00:02:20.640 --> 00:02:23.640]   You may not know it, but according to WalletHub,
[00:02:23.640 --> 00:02:26.240]   this is the third best city in the country
[00:02:26.240 --> 00:02:30.240]   in which to retire, even with our high taxes.
[00:02:30.240 --> 00:02:33.840]   So a little bit of new news for this week.
[00:02:33.840 --> 00:02:37.000]   But I appreciate that question, Christine,
[00:02:37.000 --> 00:02:39.200]   and it's great to have this chat with you.
[00:02:39.200 --> 00:02:43.160]   It was a little over 20 years ago.
[00:02:43.160 --> 00:02:44.480]   We were working with a client.
[00:02:44.480 --> 00:02:46.220]   They had recently retired.
[00:02:46.220 --> 00:02:49.000]   It was in the early days
[00:02:49.000 --> 00:02:51.960]   of what we would come to call the dot-com bubble.
[00:02:51.960 --> 00:02:55.240]   We didn't quite know it was a bubble bursting yet.
[00:02:55.240 --> 00:02:58.080]   We had done the normal Monte Carlo simulations,
[00:02:58.080 --> 00:02:59.660]   presented them their retirement plan.
[00:02:59.660 --> 00:03:01.440]   They were newly retired.
[00:03:01.440 --> 00:03:06.020]   And we said, well, and you have an 85% chance of success.
[00:03:06.020 --> 00:03:10.460]   And one of the couple looked at me and said,
[00:03:10.460 --> 00:03:15.460]   well, how do we know whether we're gonna be in the 85
[00:03:15.460 --> 00:03:18.680]   that makes it or the 15 that doesn't?
[00:03:19.840 --> 00:03:23.980]   And I said, well, we can make some adjustments
[00:03:23.980 --> 00:03:25.680]   along the way.
[00:03:25.680 --> 00:03:28.840]   And they said, well, how will we know
[00:03:28.840 --> 00:03:31.980]   if the adjustments we make are the right ones?
[00:03:31.980 --> 00:03:34.000]   And I was starting to feel really uncomfortable
[00:03:34.000 --> 00:03:34.840]   at this point.
[00:03:34.840 --> 00:03:38.680]   And I thought, I really don't like these answers.
[00:03:38.680 --> 00:03:43.560]   And so, Bill, it was 30 years ago this year
[00:03:43.560 --> 00:03:45.960]   that Bill's initial work came out.
[00:03:45.960 --> 00:03:47.880]   I mean, that's a really big deal.
[00:03:47.880 --> 00:03:50.800]   And to have asked the question 30 years ago
[00:03:50.800 --> 00:03:54.400]   that is still the right question is huge.
[00:03:54.400 --> 00:03:57.400]   And to set that platform that everything comes upon.
[00:03:57.400 --> 00:03:59.380]   And one of the things that struck me
[00:03:59.380 --> 00:04:01.440]   in thinking about this was,
[00:04:01.440 --> 00:04:02.780]   by the time people are retired,
[00:04:02.780 --> 00:04:04.100]   they've gone through a lot of changes
[00:04:04.100 --> 00:04:05.440]   in their financial lives.
[00:04:05.440 --> 00:04:07.960]   In a nutshell, they've learned how to be flexible.
[00:04:07.960 --> 00:04:09.520]   Some years, income is higher.
[00:04:09.520 --> 00:04:10.600]   Some years, it's lower.
[00:04:10.600 --> 00:04:11.580]   Spending is up.
[00:04:11.580 --> 00:04:13.000]   Spending is down.
[00:04:13.000 --> 00:04:16.420]   And would it make any difference
[00:04:16.420 --> 00:04:20.640]   if we applied or allowed for some of that flexibility
[00:04:20.640 --> 00:04:22.800]   in what would be sustainable?
[00:04:22.800 --> 00:04:25.640]   And I guess if the answer had turned out to be
[00:04:25.640 --> 00:04:27.840]   that it doesn't make any difference at all,
[00:04:27.840 --> 00:04:29.780]   then I wouldn't be here today.
[00:04:29.780 --> 00:04:32.040]   But it turns out that it does.
[00:04:32.040 --> 00:04:34.040]   And so that was really the start
[00:04:34.040 --> 00:04:37.520]   of what became dynamic withdrawal policies.
[00:04:37.520 --> 00:04:38.400]   - That's super helpful.
[00:04:38.400 --> 00:04:39.840]   And I also wanted to mention
[00:04:39.840 --> 00:04:42.000]   that we will be taking your questions.
[00:04:42.000 --> 00:04:43.080]   So you'll see some,
[00:04:43.080 --> 00:04:45.960]   I should have cards on your table,
[00:04:45.960 --> 00:04:48.180]   but if you have some paper,
[00:04:48.180 --> 00:04:49.100]   write out your question.
[00:04:49.100 --> 00:04:51.100]   We'll have someone walking around
[00:04:51.100 --> 00:04:54.300]   who can pick up your question
[00:04:54.300 --> 00:04:56.020]   and we'll be going through them.
[00:04:56.020 --> 00:04:58.500]   We'll leave about 15 minutes for questions.
[00:04:58.500 --> 00:05:01.660]   And that pertains to this whole afternoon today.
[00:05:01.660 --> 00:05:04.740]   We'll be handling questions in that same way.
[00:05:04.740 --> 00:05:07.460]   So John, in my book, which you are interviewed in,
[00:05:07.460 --> 00:05:10.060]   we talk about this whole dynamic system.
[00:05:10.060 --> 00:05:12.180]   And you used a metaphor that I thought
[00:05:12.180 --> 00:05:14.940]   was such a beautiful way of illustrating
[00:05:14.940 --> 00:05:18.020]   what is going on with dynamic withdrawals in retirement.
[00:05:18.020 --> 00:05:20.000]   And you compared it to a road trip
[00:05:20.000 --> 00:05:22.760]   that setting out on retirement is kind of like a road trip.
[00:05:22.760 --> 00:05:24.640]   Can you talk about that here?
[00:05:24.640 --> 00:05:28.040]   - Sure, because this is very conceptual stuff.
[00:05:28.040 --> 00:05:31.960]   And so finding a way that kind of relates it,
[00:05:31.960 --> 00:05:34.520]   like you said, metaphorically can sometimes be helpful.
[00:05:34.520 --> 00:05:36.720]   And so what struck me was,
[00:05:36.720 --> 00:05:38.400]   if you think about a road trip
[00:05:38.400 --> 00:05:41.280]   where the car is like everything in your life,
[00:05:41.280 --> 00:05:43.400]   it's your financial wellbeing, it's your health,
[00:05:43.400 --> 00:05:46.200]   it's your relationships, your family,
[00:05:46.200 --> 00:05:48.360]   it's your bucket list.
