
[00:00:00.000 --> 00:00:18.720]   So yeah, my name is Remy. I'm the co-author and co-maintainer of the open source library
[00:00:18.720 --> 00:00:24.960]   outlines, which some of you might know. And I'm also the CEO and co-founder of .txt or .txt,
[00:00:24.960 --> 00:00:32.240]   whichever you prefer. We're more traditional machine learning people. And the motivation for work
[00:00:32.240 --> 00:00:37.520]   is the very simple observation that large language models are fundamentally flawed.
[00:00:37.520 --> 00:00:44.480]   I'll give you a very simple example. You're trying to extract flight information from a bunch of emails.
[00:00:44.480 --> 00:00:51.680]   Of course, you want them to be, you know, a JSON object, you know, with origin, destination, etc.
[00:00:51.680 --> 00:00:57.600]   So you go to open AI, you prompt the model to death, you threaten it, you use function calling,
[00:00:57.600 --> 00:01:03.680]   and what you get sometimes as an answer is JSON decode error. I gave you very simple examples,
[00:01:03.680 --> 00:01:10.000]   but this has like very fundamental implications because computing rests on interfaces. We're able
[00:01:10.000 --> 00:01:16.240]   to build module infrastructures and very complex infrastructure because we can trust the API over
[00:01:16.240 --> 00:01:22.160]   other pieces of code. And here, what you and what you've probably witnessed, you can't actually trust
[00:01:22.160 --> 00:01:28.480]   large language model to return consistent outputs. And, you know, in short is that the technology for
[00:01:28.480 --> 00:01:37.280]   agents is currently not there. So the good news is that structure generation, which is the ability of
[00:01:37.280 --> 00:01:46.480]   guiding the model to return to the specific structure. Actually, so we'll see is that it allows you to be GPT for a sort of a byproduct.
[00:01:46.480 --> 00:01:52.800]   The goals for today are first to introduce the open source library outlines for those of you who don't know about it,
[00:01:52.800 --> 00:02:00.160]   then very briefly explain how it works. I won't get into the technical details and then try to convince you that you should use it today
[00:02:00.880 --> 00:02:07.440]   for, you know, most of the workflows that you have to deal with and sort of a very short glimpse into the near future.
[00:02:07.440 --> 00:02:16.320]   So outlines a Python library emphasis on library. You can actually include outlines in your workflow and
[00:02:16.320 --> 00:02:22.640]   it's not like frameworks where you have to make your workflow, you know, fit inside a framework. I think as a result,
[00:02:23.280 --> 00:02:30.080]   it's been adopted by VLLM and TGI in the serving frameworks. And if you use function calling in
[00:02:30.080 --> 00:02:34.960]   either of these libraries, you're actually using outlines under the hood. Outlines under the hood.
[00:02:34.960 --> 00:02:43.120]   So I'm co-author, but outlines would be nothing without its contributors. Today, it's 87. I think it might be 88.
