
[00:00:00.040 --> 00:00:09.480]   eviden
[00:00:09.480 --> 00:00:10.760]   but is a
[00:00:56.280 --> 00:00:56.280]   and is a rich man.
[00:00:56.280 --> 00:00:58.160]   and is a rich man.
[00:01:28.180 --> 00:01:28.180]   ------
[00:01:28.220 --> 00:01:58.200]   Arbeitslos.com
[00:01:58.200 --> 00:01:58.200]   ------
[00:01:58.200 --> 00:01:58.200]   ------
[00:01:58.200 --> 00:01:58.200]   ------
[00:01:58.200 --> 00:01:58.200]   ------
[00:02:09.100 --> 00:02:09.240]   ------
[00:02:09.240 --> 00:02:09.260]   ------
[00:02:09.260 --> 00:02:09.280]   ------
[00:02:09.280 --> 00:02:09.300]   ------
[00:02:09.300 --> 00:02:09.320]   ------
[00:02:09.320 --> 00:02:09.340]   ------
[00:02:09.340 --> 00:02:09.360]   ------
[00:02:09.360 --> 00:02:09.380]   ------
[00:02:09.380 --> 00:02:09.420]   ------
[00:02:09.420 --> 00:02:09.460]   ------
[00:02:09.460 --> 00:02:09.480]   ------
[00:02:09.480 --> 00:02:09.500]   ------
[00:02:09.500 --> 00:02:09.520]   ------
[00:02:09.520 --> 00:02:09.540]   ------
[00:02:09.540 --> 00:02:09.560]   ------
[00:02:09.560 --> 00:02:09.580]   ------
[00:02:09.580 --> 00:02:09.600]   ------
[00:02:09.600 --> 00:02:09.620]   ------
[00:02:09.620 --> 00:02:09.640]   ------
[00:02:09.640 --> 00:02:09.700]   ------
[00:02:09.700 --> 00:02:09.740]   ------
[00:02:09.740 --> 00:02:09.760]   ------
[00:02:09.760 --> 00:02:09.800]   ------
[00:02:09.800 --> 00:02:09.820]   ------
[00:02:09.820 --> 00:02:09.820]   ------
[00:02:09.820 --> 00:02:09.860]   ------
[00:02:09.860 --> 00:02:09.880]   ------
[00:02:09.880 --> 00:02:09.920]   ------
[00:02:09.920 --> 00:02:09.940]   ------
[00:02:09.940 --> 00:02:09.980]   ------
[00:02:09.980 --> 00:02:10.020]   ------
[00:02:10.020 --> 00:02:10.060]   ------
[00:02:10.060 --> 00:02:10.080]   ------
[00:02:10.080 --> 00:02:10.120]   ------
[00:02:10.120 --> 00:02:10.140]   ------
[00:02:10.140 --> 00:02:10.140]   ------
[00:02:10.140 --> 00:02:10.160]   ------
[00:02:10.160 --> 00:02:19.340]   the vast majority of emergencies.
[00:02:19.340 --> 00:02:20.920]   Your great aunt Sue got sick.
[00:02:20.920 --> 00:02:23.260]   You need to fly up and see her before she dies.
[00:02:23.300 --> 00:02:29.680]   about
[00:02:29.680 --> 00:02:50.480]  uvre IP C I at all
[00:02:53.200 --> 00:03:04.260]  zo.com. Now, more is cool, less is OK, but just aim for six months of expenses and you can just simply pay for the vast majority of emergencies that will happen to you.
[00:03:04.260 --> 00:03:15.580]   The other types of catastrophes that most people will face are very well served by the insurance industry.
[00:03:15.580 --> 00:03:23.060]   There's a good chance that you might wreck your car, have some medical expenses and need to buy a new car.
[00:03:23.060 --> 00:03:23.060]   Корre.
[00:03:23.060 --> 00:03:23.060]   The other types of catastrophes that most people will face are very well served by the insurance industry.
[00:03:23.060 --> 00:03:23.060]   There's a good chance that you might wreck your car, have some medical expenses and need to buy a new car.
[00:03:23.060 --> 00:03:23.060]   There's a good chance that you might wreck your car, have some medical expenses and need to buy a new car.
[00:03:23.060 --> 00:03:23.060]   There's a good chance that you might wreck your car, have some medical expenses and need to buy a new car.
[00:03:23.100 --> 00:03:52.960]  ,
[00:03:52.960 --> 00:03:52.960]   There's also a very robust, very well run auto insurance business or industry auto insurance industry that is ready to serve you with a beautiful automobile insurance policy that will make sure that you have the money to buy a new car and to pay your medical expenses when you get in a car accident.
[00:03:52.960 --> 00:03:52.960]   Just get a good car insurance policy. There's a decent chance you're going to get sick,
[00:03:52.960 --> 00:03:52.960]   There's a good chance you're going to get sick,
[00:03:52.960 --> 00:03:52.960]   There's a good chance you're going to get sick,
[00:03:52.960 --> 00:03:52.960]   there's a good chance you're going to get sick,
[00:03:52.960 --> 00:03:52.960]   there's a good chance you're going to get sick,
[00:03:52.960 --> 00:03:52.960]   there's a good chance you're going to get sick,
[00:03:52.960 --> 00:03:53.060]   there's a good chance you're going to get sick,
[00:03:53.060 --> 00:03:53.080]   there's a good chance you're going to get sick,
[00:03:53.100 --> 00:04:22.980]  alts or hurt. You're going to have some medical bills and you're not going to be able to work for a certain part for a certain amount of time. Good chance of that happening. There is an incredibly strong health insurance industry that is dying to sell you a health insurance policy. And most of the time you don't even have to go and look for it. You just have to sign up for it. There's a very strong disability insurance industry with all kinds of disability insurance policies.
[00:04:22.980 --> 00:04:22.980]   You just have to sign up for it. There's a very strong disability insurance industry with all kinds of disability insurance policies.
[00:04:22.980 --> 00:04:23.080]   There's a very strong disability insurance industry with all kinds of disability insurance policies.
[00:04:23.080 --> 00:04:23.100]   There's a very strong disability insurance industry with all kinds of disability insurance policies.
[00:04:23.100 --> 00:04:23.100]   There's a very strong disability insurance industry with all kinds of disability insurance policies.
[00:04:23.100 --> 00:04:23.100]   There's a very strong disability insurance industry with all kinds of disability insurance policies.
[00:04:23.140 --> 00:04:53.120]  ,
[00:04:53.120 --> 00:04:53.120]   There's a very strong disability insurance industry with all kinds of disability insurance policies.
[00:04:53.120 --> 00:04:53.120]   There's a very strong disability insurance industry with all kinds of disability insurance policies.
[00:04:53.120 --> 00:04:53.120]   There's a very strong disability insurance industry with all kinds of disability insurance policies.
[00:04:53.120 --> 00:04:53.120]   There's a very strong disability insurance industry with all kinds of disability insurance policies.
[00:04:53.120 --> 00:04:53.120]   There's a very strong disability insurance industry with all kinds of disability insurance policies.
[00:04:53.120 --> 00:04:53.120]   There's a very strong disability insurance industry with all kinds of disability insurance policies.
[00:04:53.140 --> 00:05:23.140]   You can ask the guy who's got the office down in your local bank.
[00:05:23.140 --> 00:05:23.140]   You can ask the guy who's got the office down in your local bank.
[00:05:23.140 --> 00:05:23.140]   You can ask the guy who's got the office down in your local bank.
[00:05:23.140 --> 00:05:23.140]   You can ask the guy who's got the office down in your local bank.
[00:05:23.140 --> 00:05:23.140]   You can ask the guy who's got the office down in your local bank.
[00:05:23.140 --> 00:05:23.140]   You can ask the guy who's got the office down in your local bank.
[00:05:23.140 --> 00:05:23.140]   You can ask the guy who's got the office down in your local bank.
[00:05:23.140 --> 00:05:23.140]   You can ask the guy who's got the office down in your local bank.
[00:05:23.140 --> 00:05:23.140]   You can ask the guy who's got the office down in your local bank.
[00:05:23.140 --> 00:05:23.140]   You can ask the guy who's got the office down in your local bank.
[00:05:23.140 --> 00:05:23.140]   You can ask the guy who's got the office down in your local bank.
[00:05:23.140 --> 00:05:23.140]   You can ask the guy who's got the office down in your local bank.
[00:05:23.160 --> 00:05:53.160]   I'm not asking the guy who's got the office down in your local bank.
[00:05:53.160 --> 00:05:53.160]   You can ask the guy who's got the office down in your local bank.
[00:05:53.160 --> 00:05:53.160]   You can ask the guy who's got the office down in your local bank.
[00:05:53.160 --> 00:05:53.160]   You can ask the guy who's got the office down in your local bank.
[00:05:53.160 --> 00:05:53.160]   You can ask the guy who's got the office down in your local bank.
[00:05:53.160 --> 00:05:53.160]   You can ask the guy who's got the office down in your local bank.
[00:05:53.160 --> 00:05:53.160]   You can ask the guy who's got the office down in your local bank.
[00:05:53.160 --> 00:05:53.160]   You can ask the guy who's got the office down in your local bank.
[00:05:53.160 --> 00:05:53.160]   You can ask the guy who's got the office down in your local bank.
[00:05:53.200 --> 00:06:23.180]  ,
[00:06:23.180 --> 00:06:23.180]   There's a pretty decent chance that in the next decade or two of your investment lifetime,
[00:06:23.180 --> 00:06:23.180]   the stock market's going to completely fall apart and it's going to go down by 30 to 50%.
[00:06:23.180 --> 00:06:23.180]   On average, in the average investor's lifespan, there's going to be at least one, probably two 50% declines in the value of your stocks. On average, every few years, there's going to be a 15 to 20% decline.
[00:06:23.180 --> 00:06:23.180]   On average, every few years, there's going to be a 15 to 20% decline.
[00:06:23.180 --> 00:06:23.180]   On average, every few years, there's going to be a 15 to 20% decline.
[00:06:23.180 --> 00:06:23.180]   On average, every few years, there's going to be a 15 to 20% decline.
[00:06:23.180 --> 00:06:23.180]   On average, every few years, there's going to be a 15 to 20% decline.
[00:06:23.180 --> 00:06:23.180]   On average, every few years, there's going to be a 15 to 20% decline.
[00:06:23.200 --> 00:06:53.200]   On average, every few years, there's going to be a 15 to 20% decline.
