
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:08.000]   Do all of our sins hinder our prayers?
[00:00:08.000 --> 00:00:12.000]   Today we address a really great listener email. Here it is. Hello, Pastor John.
[00:00:12.000 --> 00:00:16.000]   Thank you for this podcast. My name is Ryan. The Bible
[00:00:16.000 --> 00:00:20.000]   says dishonoring a wife will hinder a husband's
[00:00:20.000 --> 00:00:24.000]   prayers. We see this in 1 Peter 3, verse 7. Is this a
[00:00:24.000 --> 00:00:28.000]   particular dynamic for marriage only, or is this part of a
[00:00:28.000 --> 00:00:32.000]   larger principle of sin? Do all of our sins
[00:00:32.000 --> 00:00:36.000]   hinder the effectiveness of our prayers?
[00:00:36.000 --> 00:00:40.000]   The answer to the first question is no. Namely, is this
[00:00:40.000 --> 00:00:44.000]   a particular dynamic for marriage only?
[00:00:44.000 --> 00:00:48.000]   No. And we'll see why in just a minute. The answer
[00:00:48.000 --> 00:00:52.000]   to the second question is not necessarily.
[00:00:52.000 --> 00:00:56.000]   Do all our sins hinder
[00:00:56.000 --> 00:01:00.000]   the effectiveness of our prayers? Not necessarily.
[00:01:00.000 --> 00:01:04.000]   First, because God in His mercy
[00:01:04.000 --> 00:01:08.000]   may show a special grace
[00:01:08.000 --> 00:01:12.000]   by answering a prayer in spite of some of our sins,
[00:01:12.000 --> 00:01:16.000]   while at other times, He may show a
[00:01:16.000 --> 00:01:20.000]   disciplinary grace by withholding an answer to prayer.
[00:01:20.000 --> 00:01:24.000]   If God correlated the answers to our prayers
[00:01:24.000 --> 00:01:28.000]   precisely to our sins, we wouldn't get any
[00:01:28.000 --> 00:01:32.000]   answers to prayer. So we should never
[00:01:32.000 --> 00:01:36.000]   think that an answer to prayer signifies
[00:01:36.000 --> 00:01:40.000]   sinlessness. But we should not
[00:01:40.000 --> 00:01:44.000]   conclude from this that there's no correlation
[00:01:44.000 --> 00:01:48.000]   between our sinning and our
[00:01:48.000 --> 00:01:52.000]   answers to prayer. So Ryan's first question is
[00:01:52.000 --> 00:01:56.000]   whether the principle of 1 Peter 3:7 applies
[00:01:56.000 --> 00:02:00.000]   only in marriage or more broadly. Now here's what the
[00:02:00.000 --> 00:02:04.000]   verse says. Husbands, live with
[00:02:04.000 --> 00:02:08.000]   your wives in an understanding way, showing
[00:02:08.000 --> 00:02:12.000]   honor to the woman as the weaker vessel, since they
[00:02:12.000 --> 00:02:16.000]   are heirs with you of the grace of life, so that your
[00:02:16.000 --> 00:02:20.000]   prayers may not be hindered.
[00:02:20.000 --> 00:02:24.000]   Now there are at least three possible meanings
[00:02:24.000 --> 00:02:28.000]   for the way prayers are hindered in this verse.
[00:02:28.000 --> 00:02:32.000]   First, it might be that the prayers that
[00:02:32.000 --> 00:02:36.000]   are being hindered are the prayers of the husband and the wife
[00:02:36.000 --> 00:02:40.000]   that they're supposed to pray together and that the
[00:02:40.000 --> 00:02:44.000]   failure of the husband to care for and respect his wife undermines that
[00:02:44.000 --> 00:02:48.000]   fellowship that they should have together so that they can't feel any
[00:02:48.000 --> 00:02:52.000]   harmony when they're together and so the prayers that they ought to be praying
[00:02:52.000 --> 00:02:56.000]   together don't happen. They don't pray together anymore because
[00:02:56.000 --> 00:03:00.000]   something's come between them because he's not doing what he's supposed to do
[00:03:00.000 --> 00:03:04.000]   in this verse. That's the first possible meaning. Here's the second one.
[00:03:04.000 --> 00:03:08.000]   It would be that the husband's prayers are hindered in
[00:03:08.000 --> 00:03:12.000]   that his heart is so selfish toward his
[00:03:12.000 --> 00:03:16.000]   wife that his actual praying
