
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.400]   - Podcast listener Dawn writes in to ask this,
[00:00:07.400 --> 00:00:10.260]   "Pastor John, when you say God is most glorified in us
[00:00:10.260 --> 00:00:12.780]   "when we are most satisfied in Him,
[00:00:12.780 --> 00:00:16.160]   "could you substitute the word by for in?
[00:00:16.160 --> 00:00:17.740]   "It seems easier to understand
[00:00:17.740 --> 00:00:20.920]   "if you say God is most glorified by us
[00:00:20.920 --> 00:00:23.660]   "when we are most satisfied by Him."
[00:00:23.660 --> 00:00:25.320]   So what do you think about this change up in words,
[00:00:25.320 --> 00:00:26.160]   Pastor John?
[00:00:26.160 --> 00:00:27.140]   (laughing)
[00:00:27.140 --> 00:00:29.120]   - Oh my, I love words.
[00:00:29.120 --> 00:00:32.840]   And they are so slippery and so,
[00:00:32.840 --> 00:00:38.900]   connotations and denotations are so different.
[00:00:38.900 --> 00:00:43.300]   But here we go, Dawn, let me give a try to why I,
[00:00:43.300 --> 00:00:45.380]   after thinking through the possibility
[00:00:45.380 --> 00:00:48.000]   of going with your suggestion,
[00:00:48.000 --> 00:00:50.460]   God is most glorified by us
[00:00:50.460 --> 00:00:52.940]   when we are most satisfied by Him.
[00:00:52.940 --> 00:00:55.580]   I am gonna stay with in,
[00:00:55.580 --> 00:00:59.440]   and I've got reasons in both halves.
[00:00:59.440 --> 00:01:03.920]   I think it communicates what I wanna communicate
[00:01:03.920 --> 00:01:06.780]   better than by, so let me try to explain.
[00:01:06.780 --> 00:01:10.200]   First, it might be helpful just to make sure
[00:01:10.200 --> 00:01:13.180]   everybody knows what I mean by that sentence.
[00:01:13.180 --> 00:01:14.940]   God is most glorified in us
[00:01:14.940 --> 00:01:16.680]   when we're most satisfied in Him.
[00:01:16.680 --> 00:01:19.880]   I don't mean that there aren't any other ways
[00:01:19.880 --> 00:01:22.800]   to glorify God than being satisfied in Him.
[00:01:22.800 --> 00:01:26.280]   I mean that if that is missing,
[00:01:26.280 --> 00:01:29.560]   then He's not glorified most.
[00:01:29.560 --> 00:01:32.740]   Something very important is missing.
[00:01:32.740 --> 00:01:37.740]   And I don't mean God doesn't get glory
[00:01:37.740 --> 00:01:42.200]   from the lives of unbelievers in certain ways
[00:01:42.200 --> 00:01:45.380]   who aren't finding any satisfaction in Him,
[00:01:45.380 --> 00:01:49.000]   because they're reflecting the image of God
[00:01:49.000 --> 00:01:51.180]   in which they were created,
[00:01:51.180 --> 00:01:53.040]   even if they don't believe that.
[00:01:53.040 --> 00:01:59.180]   And even if they turn out to be objects of God's wrath
[00:01:59.180 --> 00:02:03.700]   because of their unbelief and rebellion,
[00:02:03.700 --> 00:02:08.060]   that will reflect His justice and the glory of His justice.
[00:02:08.060 --> 00:02:12.980]   So I'm not talking about how God is glorified in unbelievers
[00:02:12.980 --> 00:02:15.060]   who don't find satisfaction in God.
[00:02:15.060 --> 00:02:17.740]   I'm talking about us, us.
[00:02:17.740 --> 00:02:19.580]   God is most glorified in us,
[00:02:19.580 --> 00:02:23.060]   believers, when we are most satisfied in Him.
[00:02:23.060 --> 00:02:27.840]   In other words, if a believer thinks being satisfied
[00:02:27.840 --> 00:02:31.460]   in God emotionally is a marginal issue
[00:02:31.460 --> 00:02:33.800]   or a merely optional issue,
[00:02:33.800 --> 00:02:38.800]   he is gravely mistaken because he's indifferent
[00:02:38.800 --> 00:02:42.740]   to how he can show God to be more glorious.
[00:02:42.740 --> 00:02:45.020]   You ought not to be indifferent to something
[00:02:45.020 --> 00:02:47.400]   that shows God to be more glorious.
[00:02:47.400 --> 00:02:49.860]   And the reason God is most glorified in us
[00:02:49.860 --> 00:02:51.780]   when we're most satisfied in Him
[00:02:51.780 --> 00:02:56.780]   is that the way God designed emotions to work is that way.
[00:02:56.780 --> 00:03:03.140]   A boss who is obeyed at work,
[00:03:03.140 --> 00:03:05.880]   but not enjoyed, not admired,
[00:03:05.880 --> 00:03:09.220]   we all know he's not honored
[00:03:09.220 --> 00:03:14.020]   as much as if he were both obeyed and enjoyed.
[00:03:14.020 --> 00:03:16.260]   That's what emotions say.
[00:03:16.260 --> 00:03:18.540]   That's the way God set them up to work.
[00:03:18.540 --> 00:03:22.740]   It says, "You have remarkable qualities
[00:03:22.740 --> 00:03:25.820]   that make me glad to obey you."
[00:03:25.820 --> 00:03:27.360]   And those remarkable qualities
[00:03:27.360 --> 00:03:29.600]   that add gladness to the obedience
[00:03:29.600 --> 00:03:31.780]   give him more honor and more glory
[00:03:31.780 --> 00:03:34.000]   than if he only was obeyed.
[00:03:34.000 --> 00:03:36.060]   So that's what I mean by the sentence.
[00:03:36.060 --> 00:03:39.380]   Now, why use the word in instead of by?
[00:03:39.380 --> 00:03:41.740]   Let's just start with the second half.
[00:03:41.740 --> 00:03:46.460]   When we are most satisfied in Him,
[00:03:46.460 --> 00:03:48.660]   not satisfied by Him.
[00:03:48.660 --> 00:03:52.660]   And the reason is that the word by Him
[00:03:52.660 --> 00:03:56.860]   could mean he's the one who satisfies us
