
[00:00:00.000 --> 00:00:21.200]   In the next 10 to 15 minutes, here's, I guess, my promise to you. I'm going to give you some
[00:00:21.200 --> 00:00:29.420]   information that will be high level. There'll be some practical component to it, but this
[00:00:29.420 --> 00:00:34.360]   information I'll give you within the next six months will be very relevant. And it will
[00:00:34.360 --> 00:00:40.240]   put you in the best position to build the best AI applications, to build the best agents
[00:00:40.240 --> 00:00:48.280]   that are believable, capable, and reliable. I know. We're going to get there. You know
[00:00:48.280 --> 00:00:56.340]   what? Just for you. There we go. You're welcome. So we're going to be talking about memory. We're
[00:00:56.340 --> 00:01:02.580]   going to be talking about the stateless applications that we're building today and how we can make
[00:01:02.580 --> 00:01:07.280]   them stateful. We're going to be talking about the prompt engineering that we're doing today
[00:01:07.280 --> 00:01:13.520]   and how we can reduce that by focusing on persistence. We're going to be turning the responses in
[00:01:13.520 --> 00:01:19.220]   our AI application and making our agents build relationship with our customers. And all of
[00:01:19.220 --> 00:01:29.340]   it is going to be centered around memory. So I'm going to do a very quick evolution of what we've been
[00:01:29.340 --> 00:01:36.100]   seeing for the past two to three years. We started off with chatbots, LLM power chatbots. They were great.
[00:01:36.100 --> 00:01:44.340]   chatbots came out in November 2022. And yeah, exploded. Then we went into RAG. We gave this
[00:01:44.340 --> 00:01:48.980]   chatbots more domain-specific relevant knowledge. And they gave us more personalized responses.
[00:01:48.980 --> 00:01:56.420]   Then we began to scale the compute, the data we're giving to the LLMs. And it gave us emerging capabilities,
[00:01:56.420 --> 00:02:02.660]   reasoning, tool use. Now we're in the world of AI agents and agentic systems.
[00:02:02.660 --> 00:02:11.300]   And the big debate is what is an agent? What is an AI agent? I don't like to go into that debate because
[00:02:11.300 --> 00:02:19.540]   that's like asking what is consciousness. Is a spectrum. The agenticity, and that's a word now,
[00:02:19.540 --> 00:02:29.540]   agenticity, of an agent is a spectrum. So there are different levels. I came here and I saw Waymo,
[00:02:29.540 --> 00:02:35.380]   and to me it was pure sorcery. We don't have that in the UK. And there are different levels of self-driving,
[00:02:35.380 --> 00:02:40.660]   so you can look at the agentic spectrum in that respect. We have a minimal agent, where there's an LLM
[00:02:40.660 --> 00:02:47.060]   run in the loop. Great. Then you have a level four is autonomous agent. A bunch of agents that have
[00:02:47.060 --> 00:02:52.820]   access to tools. They can do whatever they want. They're not prompted in any way or a minimal way.
[00:02:52.820 --> 00:03:00.420]   But this is how I see things. It's a spectrum. So what is an AI agent? It's a computation entity
[00:03:00.420 --> 00:03:07.540]   with awareness of its environment through perception, cognitive abilities through an LLM, and also can take
[00:03:07.540 --> 00:03:14.180]   action through tool use. But the most important bit is there is some form of memory, short term or long term.
[00:03:14.180 --> 00:03:20.580]   Memory is important. It's important because we're trying to make our agents reflective, interactive,
[00:03:20.580 --> 00:03:28.820]   proactive, and reactive, and autonomous. And most of this, if not all, can be solved with memory.
[00:03:30.420 --> 00:03:36.980]   I work at MongoDB, and we're going to connect the dots. Don't worry. So this is all nice and good.
[00:03:36.980 --> 00:03:42.660]   This is what you look at if you double-click into one AI agent is. But the most important bit to me...
[00:03:42.660 --> 00:03:45.220]   I'll go slide. People are taking pictures. Sorry.
[00:03:45.220 --> 00:03:51.300]   All right. Let's go. The most important bit is memory. And when we talk about memory,
[00:03:51.300 --> 00:03:56.100]   the easy way you can think about it is short-term, long-term. But there are other distinct forms,
[00:03:56.100 --> 00:04:01.940]   right? Conversational, entity memory, knowledge, data store, cache, working memory. We're going to be
[00:04:01.940 --> 00:04:07.060]   talking about all of that today. So these are the high-level concepts. But let me go a little bit
[00:04:07.060 --> 00:04:15.940]   metal. Why we're all here today in this conference. It's because of AI, right? We're all architects of
[00:04:15.940 --> 00:04:20.660]   intelligence. The whole point of AI is to build some form of computational entity that surpasses
[00:04:20.660 --> 00:04:28.900]   human intelligence or mimics it. Then AGI, we're focused on making that intelligence surpass humans
[00:04:28.900 --> 00:04:34.980]   in all tasks we can think of. And if you think about the most intelligent humans you know,
[00:04:34.980 --> 00:04:42.580]   what determines the intelligence is their ability to recall. It's their memory. So if AI or AGI is meant
[00:04:42.580 --> 00:04:48.980]   to mimic human intelligence, it's a no-brainer, no pun intended, that we need memory within the
[00:04:48.980 --> 00:04:55.060]   agents that we're building today. Does anyone disagree? Good. I would have kicked you out.
[00:04:55.060 --> 00:05:02.180]   Okay, let's go. So humans, in your brain right now, you have this. This is not what it looks like,
[00:05:02.180 --> 00:05:06.740]   but it's close enough. You have different forms of memory. And that's what makes you intelligent.
[00:05:06.740 --> 00:05:10.500]   That's what makes you retain some of the information I'm going to be giving you today.
[00:05:10.500 --> 00:05:15.060]   There is short-term, long-term, working memory, semantic, episodic, procedural memory.
[00:05:15.060 --> 00:05:20.340]   In your brain right now, there is something called a cerebellum. I always get the word wrong,
[00:05:20.340 --> 00:05:25.620]   but that's where you store most of the routines and skills you can do. Can anyone hear your backflip?
[00:05:25.620 --> 00:05:35.460]   Really? Wow. You can see my excitement. The information or the knowledge of that backflip is
[00:05:35.460 --> 00:05:40.100]   actually stored in that part of your brain. So I heard it's 90% confidence, by the way.
[00:05:40.100 --> 00:05:47.940]   It is, right? I'm not going to do one. But it's stored in that part of your brain. Now,
[00:05:47.940 --> 00:05:54.900]   you can actually mimic this in agents. I'm going to show you how. But now we're talking about agent memory.
[00:05:56.500 --> 00:06:06.580]   Agent memory is the mechanisms that we are implementing to actually make sure that states persist in our AI application.
[00:06:06.580 --> 00:06:14.340]   Our agents are able to accumulate information, turn data into memory, and have it inform the next
[00:06:14.340 --> 00:06:21.620]   execution step. But the goal is to make them more reliable, believable, and capable.
[00:06:22.580 --> 00:06:30.500]   Those are the key things. And the core topic that we are going to be working on as AI memory
[00:06:30.500 --> 00:06:36.260]   engineers is on memory management. We are going to be building memory management systems.
[00:06:36.260 --> 00:06:42.260]   And memory management is a systematic process of organizing all the information that you're putting
[00:06:42.260 --> 00:06:47.540]   into the context window. Yes, we have like large context window, but that's not for you to stuff
[00:06:47.540 --> 00:06:53.300]   all your data in. That's for you to pull in the relevant memory and structure them in a way that
[00:06:53.300 --> 00:07:00.820]   is effective, that allows for the response to be relevant. So these are the core components of memory
[00:07:00.820 --> 00:07:07.380]   management: generation, storage, retrieval integration, updating, deletion. There's a lie here, because
[00:07:07.380 --> 00:07:12.980]   you don't delete memories. Humans don't delete their memories, except it's a traumatic one that you want to
[00:07:12.980 --> 00:07:20.100]   forget. But we really should be looking at implementing forgetting mechanisms within the memory management
[00:07:20.100 --> 00:07:23.700]   systems that we're building. You don't want to delete memories. And there are different research
[00:07:23.700 --> 00:07:30.260]   papers that are looking at how to implement some form of forgetting within agents. But the most important
[00:07:30.260 --> 00:07:40.260]   bit is retrieval. And I'm getting to the MongoDB part. Moving around, this is RAG. It's very simple,
[00:07:40.260 --> 00:07:49.060]   right? Because we've been doing it as AI engineers. MongoDB is that one database that is called to RAG
[00:07:49.060 --> 00:07:53.860]   pipelines, because it gives you all the retrieval mechanisms. RAG is not just vector. Vector search
[00:07:53.860 --> 00:07:59.380]   is not all you need. You need other type of search. And we have that with MongoDB, anything you can think of.
[00:07:59.380 --> 00:08:05.940]   You're going to be hearing a lot about MongoDB in this conference today. But this is what RAG is. And
[00:08:05.940 --> 00:08:12.260]   you level up, you go into the world of agentic RAG, right? You give the retrieval capability
[00:08:12.260 --> 00:08:20.980]   to the agent as a tool. And now we can choose when to call on information. There's a lot going on. I'll send
[00:08:20.980 --> 00:08:27.540]   this somehow to you guys. Or you can come to me and I'll LinkedIn it to you. Add me on LinkedIn.
[00:08:27.540 --> 00:08:35.220]   And just ask for the slides and I'll send it to you. Richmond Alake on LinkedIn. This is memory.
[00:08:35.220 --> 00:08:45.460]   MongoDB is the memory provider for agentic systems. And when you understand that we provide the developer,
[00:08:45.460 --> 00:08:52.020]   the AI memory engineer, the AI engineer, all the features that they need to turn data
[00:08:52.020 --> 00:08:56.900]   into memory to make the agents believable, capable and reliable, you begin to understand the
[00:08:56.900 --> 00:09:01.940]   importance of having a technology partner like MongoDB on your AI stack.
[00:09:03.540 --> 00:09:10.020]   So this is the same image, but just a bit more focused on all the different memories. I'm going
