
[00:00:00.040 --> 00:00:09.480]   Оп
[00:00:09.480 --> 00:00:10.520]  'm make,
[00:00:56.120 --> 00:00:56.120]   It's more than just a ticket. Today on Radical Personal Finance, it's live Q&A. Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom and a better future.
[00:00:56.120 --> 00:00:56.120]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom and a better future.
[00:00:56.120 --> 00:00:56.120]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom and a better future.
[00:00:56.120 --> 00:00:56.120]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom and a better future.
[00:01:24.180 --> 00:01:24.320]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom and a better future.
[00:01:24.320 --> 00:01:24.360]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom and a better future.
[00:01:24.360 --> 00:01:24.660]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom and a better future.
[00:01:24.660 --> 00:01:24.920]   Welcome to Radical Personal Finance, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a better future.
[00:01:24.920 --> 00:01:24.920]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:01:24.920 --> 00:01:54.060]  , Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a rich and meaningful life now, while building a better future.
[00:01:54.060 --> 00:01:54.300]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:01:54.300 --> 00:01:54.720]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:01:54.740 --> 00:01:55.000]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:01:55.000 --> 00:02:24.100]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:02:24.100 --> 00:02:24.740]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:02:24.740 --> 00:02:24.740]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:02:24.740 --> 00:02:24.740]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:02:24.740 --> 00:02:24.740]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:02:24.760 --> 00:02:54.760]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:02:54.760 --> 00:02:54.760]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:02:54.760 --> 00:02:54.760]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:02:54.760 --> 00:02:54.760]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:02:54.760 --> 00:02:54.760]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:02:54.760 --> 00:02:54.760]   I'm a better future. Welcome to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:02:54.780 --> 00:03:24.780]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:03:24.780 --> 00:03:24.780]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:03:24.780 --> 00:03:24.780]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:03:24.780 --> 00:03:24.780]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:03:24.780 --> 00:03:24.780]   Welcome to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:03:24.800 --> 00:03:54.800]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:03:54.800 --> 00:03:54.800]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:03:54.800 --> 00:03:54.800]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:03:54.800 --> 00:03:54.800]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:03:54.800 --> 00:03:54.800]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:03:54.800 --> 00:03:54.800]   I'm a better future. Welcome to providing you with the knowledge, skills, skills, insight and encouragement you need to live a better future.
[00:03:54.820 --> 00:04:24.820]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:04:24.820 --> 00:04:24.820]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:04:24.820 --> 00:04:24.820]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:04:24.820 --> 00:04:24.820]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:04:24.820 --> 00:04:24.820]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:04:24.820 --> 00:04:24.820]   Welcome to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:04:24.840 --> 00:04:54.840]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:04:54.840 --> 00:04:54.840]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:04:54.840 --> 00:04:54.840]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:04:54.840 --> 00:04:54.840]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:04:54.840 --> 00:04:54.840]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:04:54.840 --> 00:04:54.840]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:04:54.840 --> 00:05:24.860]  ,
[00:05:24.860 --> 00:05:24.860]   It's a pleasure to be here with you today.
[00:05:24.860 --> 00:05:24.860]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:05:24.860 --> 00:05:24.860]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:05:24.860 --> 00:05:24.860]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:05:24.860 --> 00:05:24.860]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:05:24.860 --> 00:05:24.860]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:05:24.860 --> 00:05:24.860]   Welcome to Radical Personal Science, the show dedicated to providing you with the knowledge, skills, insight and encouragement you need to live a better future.
[00:05:24.880 --> 00:05:54.880]   You can also do many more interesting things with it.
[00:05:54.880 --> 00:05:54.880]   You can do interesting things from a financial planning perspective like you're talking about
[00:05:54.880 --> 00:05:54.880]   You can also do many more interesting things with it.
[00:05:54.880 --> 00:05:54.880]   You can do interesting things from a financial planning perspective like you're talking about
[00:05:54.880 --> 00:05:54.880]   You can also do many more interesting things with it.
[00:05:54.880 --> 00:05:54.880]   You can do interesting things from a financial planning perspective like you're talking about
[00:05:54.880 --> 00:05:54.880]   You can also do many more interesting things with it.
[00:05:54.880 --> 00:05:54.880]   You can also do many more interesting things with it.
[00:05:54.880 --> 00:05:54.880]   You can do interesting things from a financial planning perspective like you're talking about
[00:05:54.880 --> 00:05:54.880]   You can also do many more interesting things with it.
[00:05:54.880 --> 00:05:54.880]   You can also do many more interesting things with it.
[00:05:54.880 --> 00:05:54.880]   You can also do many more interesting things with it.
[00:05:54.880 --> 00:05:54.880]   You can also do many more interesting things with it.
[00:05:54.880 --> 00:05:54.880]   You can also do many more interesting things with it.
[00:05:54.880 --> 00:05:54.880]   You can also do many more interesting things with it.
[00:05:54.880 --> 00:06:24.900]   I can also do many more interesting things with it.
[00:06:24.900 --> 00:06:24.900]   You can also do many more interesting things with it.
[00:06:24.900 --> 00:06:24.900]   You can also do many more interesting things with it.
[00:06:24.900 --> 00:06:24.900]   You can also do many more interesting things with it.
[00:06:24.900 --> 00:06:24.900]   You can also do many more interesting things with it.
[00:06:24.900 --> 00:06:24.900]   You can also do many more interesting things with it.
[00:06:24.900 --> 00:06:24.900]   You can also do many more interesting things with it. you can invest IRA assets and all kinds of interesting things if you're into that so usually it's best to roll it out now the only the strongest reasons to not roll it out so both bankruptcy and somebody suing you and the reason is your 401k is extremely safe and the reason is extremely safe
[00:06:24.920 --> 00:06:54.920]   you can also do many more interesting things with it.
[00:06:54.920 --> 00:06:54.920]   You can also do many more interesting things with it.
[00:06:54.920 --> 00:06:54.920]   You can also do many more interesting things with it.
[00:06:54.920 --> 00:06:54.920]   You can also do many more interesting things with it.
[00:06:54.920 --> 00:06:54.920]   You can also do many more interesting things with it.
[00:06:54.920 --> 00:06:54.920]   You can also do many more interesting things with it.
[00:06:54.920 --> 00:06:54.920]   You can also do many more interesting things with it.
[00:06:54.920 --> 00:06:54.920]   You can also do many more interesting things with it.
[00:06:54.920 --> 00:06:54.920]   You can also do many more interesting things with it.
[00:06:54.920 --> 00:06:54.920]   You can also do many more interesting things with it.
[00:06:54.920 --> 00:06:54.920]   You can also do many more interesting things with it.
[00:06:54.920 --> 00:06:54.920]   You can also do many more interesting things with it.
[00:06:54.920 --> 00:06:54.920]   You can also do many more interesting things with it.
[00:06:54.920 --> 00:06:54.920]   You can also do many more interesting things with it.
[00:06:54.920 --> 00:06:54.920]   You can also do many more interesting things with it.
[00:06:54.920 --> 00:06:54.920]   You can also do many more interesting things with it.
[00:06:54.920 --> 00:07:24.940]   You can also do many more interesting things with it.
[00:07:24.940 --> 00:07:24.940]   You can also do many more interesting things with it.
[00:07:24.940 --> 00:07:24.940]   You can also do many more interesting things with it.
[00:07:24.940 --> 00:07:24.940]   You can also do many more interesting things with it.
[00:07:24.940 --> 00:07:24.940]   You can also do many more interesting things with it.
[00:07:24.940 --> 00:07:24.940]   You can also do many more interesting things with it.
[00:07:24.940 --> 00:07:24.940]   You can also do many more interesting things with it.
[00:07:24.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:54.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:54.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:54.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:54.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:54.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:54.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:54.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:54.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:54.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:54.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:54.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:54.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:54.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:54.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:54.960 --> 00:07:54.960]   You can also do many more interesting things with it.
[00:07:55.000 --> 00:07:57.560]   Spart
[00:07:57.560 --> 00:08:05.800]  ,
[00:08:51.800 --> 00:08:51.800]   and,
[00:08:51.840 --> 00:09:20.220]  ,
[00:09:20.220 --> 00:09:20.220]   and,
[00:09:20.220 --> 00:09:20.220]   the state of Texas.
[00:09:20.220 --> 00:09:21.080]   good for you for researching the state of Texas.
[00:09:21.120 --> 00:09:21.940]  venes.
[00:09:21.940 --> 00:09:22.620]  legal.com/today.
[00:09:22.620 --> 00:09:29.620]   in general, unless you can, and again, defer, I would defer here to an attorney, but here's my non-attorney understanding of the law.
[00:09:29.620 --> 00:09:44.000]   unless you can prove that the state of, the state that's, the jurisdiction that you're dealing with the law in is absolutely makes IRAs and Roth IRAs sacrosanct.
[00:09:44.040 --> 00:09:52.860]   go
[00:09:52.860 --> 00:09:55.980]  ... con
[00:10:14.060 --> 00:10:24.340]   is
[00:10:24.340 --> 00:10:27.500]   Final. I made it is
[00:10:43.320 --> 00:11:11.540]   about
[00:11:11.540 --> 00:11:13.300]   buy III C I brain and the of the khothink описании講 이, you, you, you, you, you, just, only, and, and, Galaxy, out, but, cùng, Somebody,--G--G--G--G--G--G--G-- weight, vraag, Split, tahun what大的 right? i my i opportunity started a areaの theTra design a reset for the say the car as the� the tree is the trap the talk the tat the say the dance the crystal the eater the Bowl the conduct the not the cleared the Нов the ESI the low the count the Lee the hören the guiding therage the fic. The He. The, the thing of the�� the wins the Yoo the島 the Se, the 1920 the Gee the � the
[00:11:13.340 --> 00:11:20.780]   ah
[00:11:20.780 --> 00:11:27.380]   active. You, like,
[00:11:38.480 --> 00:12:00.260]   very much. I appreciate it. My pleasure. We go now to the state of Minnesota. Welcome to the call. Tell me your name, please.
[00:12:00.260 --> 00:12:03.620]   Corey. Corey, welcome to the show. How can I serve you today, Corey?
[00:12:03.620 --> 00:12:03.620]   Corey, welcome to the show. How can I serve you today, Corey?
[00:12:03.620 --> 00:12:03.620]   Corey. Corey, welcome to the show. How can I serve you today, Corey?
[00:12:03.620 --> 00:12:03.620]   Corey. Corey, welcome to the show. How can I serve you today, Corey?
[00:12:03.620 --> 00:12:03.620]   Corey. Corey, welcome to the show. How can I serve you today, Corey?
[00:12:03.620 --> 00:12:03.620]   Corey. Corey, welcome to the show. How can I serve you today, Corey?
[00:12:03.620 --> 00:12:03.620]   Corey, welcome to the show. How can I serve you today, Corey?
[00:12:03.620 --> 00:12:03.620]   Corey, welcome to the show. How can I serve you today, Corey?
[00:12:03.620 --> 00:12:03.620]   Corey, welcome to the show. How can I serve you today, Corey?
[00:12:03.620 --> 00:12:28.860]  , Corey, welcome to the show. How can I serve you today, Corey?
[00:12:28.900 --> 00:12:38.740]   ع
[00:12:38.740 --> 00:12:40.820]   peninsula
[00:12:40.820 --> 00:12:43.160]  實 be see the but is just decor quality actively why they's a 20 go but sur
[00:12:57.800 --> 00:12:57.820]   subtly but is just decor quality actively why they's a 20 go but is just decor
[00:12:57.820 --> 00:13:02.740]   but is just decor quality actively why they's a 20 go but is just decor quality million and my grandfather who was
[00:13:02.740 --> 00:13:02.740]   quality quality million and my grandfather who was
[00:13:02.740 --> 00:13:04.940]   quality quality million and my grandfather who was also successful in business set up a
[00:13:04.940 --> 00:13:04.940]   also successful in business set up a
[00:13:04.940 --> 00:13:09.020]   also successful in business set up a some form of trust in a state that um
[00:13:09.020 --> 00:13:09.020]   some form of trust in a state that um
[00:13:09.020 --> 00:13:10.620]   some form of trust in a state that um my parents have described to me it sort
[00:13:10.620 --> 00:13:10.640]   my parents have described to me it sort
[00:13:10.640 --> 00:13:12.620]   my parents have described to me it sort of passes the income to the
[00:13:12.620 --> 00:13:12.620]   of passes the income to the
[00:13:12.620 --> 00:13:15.300]   of passes the income to the grandchildren but but gives the income
[00:13:15.300 --> 00:13:15.300]   grandchildren but but gives the income
[00:13:15.300 --> 00:13:16.980]   grandchildren but but gives the income to the parents to use during their
[00:13:16.980 --> 00:13:16.980]   to the parents to use during their
[00:13:17.020 --> 00:13:37.640]   to the parents to use during their lifetime so there's some of those
[00:13:37.640 --> 00:13:37.660]   lifetime so there's some of those
[00:13:37.660 --> 00:13:39.080]   lifetime so there's some of those assets out there as well we're just trying
[00:13:39.080 --> 00:13:39.100]   assets out there as well we're just trying
[00:13:39.100 --> 00:13:40.520]   assets out there as well we're just trying to hear any thoughts or recommendations
[00:13:40.520 --> 00:13:40.540]   to hear any thoughts or recommendations
[00:13:40.540 --> 00:13:43.520]   to hear any thoughts or recommendations on how to kind of approach the
[00:13:43.520 --> 00:13:43.540]   on how to kind of approach the
[00:13:43.540 --> 00:13:45.880]   on how to kind of approach the overall state planning process things to
[00:13:45.880 --> 00:13:45.880]   overall state planning process things to maybe think about to ask at the
[00:13:45.880 --> 00:13:45.880]   overall state planning process things to maybe think about to ask at the
[00:13:45.880 --> 00:13:45.880]   overall state planning process things to ask the visit within the state planner or any other recommendations
[00:13:45.900 --> 00:13:47.920]   visit within the state planner or any other recommendations mutual funds and maybe individual
[00:13:47.920 --> 00:13:47.940]   mutual funds and maybe individual
[00:13:47.940 --> 00:13:51.820]   mutual funds and maybe individual equities as well so with estate planning
[00:13:51.820 --> 00:13:51.840]   equities as well so with estate planning
[00:13:51.840 --> 00:13:54.280]   equities as well so with estate planning obviously it's an extremely broad question so
[00:13:54.280 --> 00:13:54.300]   obviously it's an extremely broad question so
[00:13:54.300 --> 00:13:55.780]   obviously it's an extremely broad question so let me give you just a couple of specific
[00:13:55.780 --> 00:13:55.800]   let me give you just a couple of specific
[00:13:55.800 --> 00:13:57.360]   let me give you just a couple of specific suggestions which are about all I can do
[00:13:57.360 --> 00:13:57.380]   suggestions which are about all I can do
[00:13:57.380 --> 00:13:59.860]   suggestions which are about all I can do in this context and then a couple of
[00:13:59.860 --> 00:13:59.860]   in this context and then a couple of
[00:13:59.860 --> 00:14:02.380]   in this context and then a couple of broader comments that might help you the
[00:14:02.380 --> 00:14:02.400]   broader comments that might help you the
[00:14:02.400 --> 00:14:04.660]   broader comments that might help you the best thing that you can do for them to
[00:14:04.700 --> 00:14:24.680]   the best thing that you can do for them to
[00:14:24.680 --> 00:14:26.800]   the best thing that you can do for them to be able to have a productive meeting
[00:14:26.800 --> 00:14:26.820]   be able to have a productive meeting
[00:14:26.820 --> 00:14:28.840]   be able to have a productive meeting with their estate planner and are they
[00:14:28.840 --> 00:14:28.860]   with their estate planner and are they
[00:14:28.860 --> 00:14:30.300]   with their estate planner and are they going to an estate planning attorney is
[00:14:30.300 --> 00:14:30.320]   going to an estate planning attorney is
[00:14:30.320 --> 00:14:32.760]   going to an estate planning attorney is that who they're meeting is with I'm
[00:14:32.760 --> 00:14:32.780]   that who they're meeting is with I'm
[00:14:32.780 --> 00:14:34.680]   that who they're meeting is with I'm not entirely sure it's okay the
[00:14:34.680 --> 00:14:34.680]   not entirely sure it's okay the
[00:14:34.700 --> 00:14:40.900]   that has the information on each
[00:14:40.900 --> 00:14:42.100]   that has the information on each particular asset class so they'll get the best
[00:14:42.100 --> 00:14:42.100]   particular asset class so they'll get the best
[00:14:42.100 --> 00:14:42.600]   particular asset class so they'll get the best bang for their legal buck if they don't have to
[00:14:42.600 --> 00:14:42.620]   bang for their legal buck if they don't have to
[00:14:42.620 --> 00:14:44.480]   bang for their legal buck if they don't have to waste a lot of the attorneys time coming
[00:14:44.480 --> 00:14:44.500]   waste a lot of the attorneys time coming
[00:14:44.500 --> 00:14:47.400]   waste a lot of the attorneys time coming up with the details so if they are owning
[00:14:47.400 --> 00:14:47.420]   up with the details so if they are owning
[00:14:47.420 --> 00:14:49.400]   up with the details so if they are owning the second about real estate they should
[00:14:49.400 --> 00:14:49.420]   the second about real estate they should
[00:14:49.420 --> 00:14:51.300]   the second about real estate they should come in with a balance sheet a net worth
[00:14:51.300 --> 00:14:51.320]   come in with a balance sheet a net worth
[00:14:51.320 --> 00:14:54.160]   come in with a balance sheet a net worth statement that says a list of the
[00:14:54.180 --> 00:15:13.700]   statement that says a list of the
[00:15:13.700 --> 00:15:14.920]   statement that says a list of the properties so if they're individual
[00:15:14.920 --> 00:15:14.940]   properties so if they're individual
[00:15:14.940 --> 00:15:15.960]   properties so if they're individual properties I would have on that list of
[00:15:15.960 --> 00:15:15.980]   properties I would have on that list of
[00:15:15.980 --> 00:15:17.960]   properties I would have on that list of paper it would say 1 2 3 Maple Maple
[00:15:17.960 --> 00:15:17.980]   paper it would say 1 2 3 Maple Maple
[00:15:17.980 --> 00:15:19.960]   paper it would say 1 2 3 Maple Maple Street on that you need to have the value
[00:15:19.960 --> 00:15:19.980]   Street on that you need to have the value
[00:15:19.980 --> 00:15:21.880]   Street on that you need to have the value of the property this one is worth $200,000
[00:15:21.880 --> 00:15:21.900]   of the property this one is worth $200,000
[00:15:21.900 --> 00:15:23.880]   of the property this one is worth $200,000 put the tax basis or an estimate of
[00:15:24.080 --> 00:15:53.620]  -of-the-stake basis or an estimate of
[00:15:53.620 --> 00:15:53.620]  -of-the-stake basis or an estimate of the tax basis in those stocks and they
[00:15:53.620 --> 00:15:53.620]   the tax basis in those stocks and they
[00:15:53.620 --> 00:15:53.900]   the tax basis in those stocks and they should make a statement about the
[00:15:53.900 --> 00:15:53.900]   should make a statement about the
[00:15:53.900 --> 00:15:53.900]   the tax basis in those stocks and they should make a statement about the
[00:15:53.900 --> 00:15:53.900]   the tax basis about the tax basis in those stocks and they should make a
[00:15:53.900 --> 00:15:53.900]   a statement about the tax basis about the tax basis in those stocks and they should make a statement about the
[00:15:53.920 --> 00:16:23.920]   a statement about the tax basis in those stocks and they should make a statement about the
[00:16:23.920 --> 00:16:23.920]   a statement about the tax basis in those stocks and they should make a statement about the
[00:16:23.920 --> 00:16:23.920]   a statement about the tax basis in those stocks and they should make a statement about the
[00:16:23.920 --> 00:16:23.920]   a statement about the tax basis in those stocks and they should make a statement about the
[00:16:23.920 --> 00:16:23.920]   a statement about the tax basis in those stocks and they should make a statement about the
[00:16:23.920 --> 00:16:23.920]   a statement about the tax basis in those stocks and they should make a statement about the
[00:16:23.920 --> 00:16:23.920]   a statement about the tax basis in those stocks and they should make a statement about the
[00:16:23.960 --> 00:16:53.940]  ,
[00:16:53.940 --> 00:16:53.940]   that's a statement about the tax basis in those stocks and they should make a statement about the
[00:16:53.940 --> 00:16:53.940]   that's a statement about the tax basis in those stocks and they should make a statement about the
[00:16:53.940 --> 00:16:53.940]   that's a statement about the tax basis in those stocks and they should make a statement about the
[00:16:53.940 --> 00:16:53.940]   that's a statement about the tax basis in those stocks and they should make a statement about the
