
[00:00:00.000 --> 00:00:08.340]   [BLANK_AUDIO]
[00:00:08.340 --> 00:00:13.220]   Expert panel members come on their own dime, they don't get comped,
[00:00:13.220 --> 00:00:16.100]   they pay just like the zinc as you do.
[00:00:16.100 --> 00:00:24.300]   And one little perk that I normally allow them is to tell us what's exciting,
[00:00:24.300 --> 00:00:29.420]   what's going on in their neck of the woods or in what they're doing.
[00:00:29.420 --> 00:00:33.380]   So we're going to go down to the table and Christine,
[00:00:33.380 --> 00:00:38.060]   anything exciting going on in Morningstar that you'd like to tell the crowd about?
[00:00:38.060 --> 00:00:40.500]   Or do you have any books in the works?
[00:00:40.500 --> 00:00:42.260]   >> No books for me.
[00:00:42.260 --> 00:00:45.540]   I would say one concept that I've been excited about,
[00:00:45.540 --> 00:00:48.380]   the more I've talked to Morningstar.com users about it,
[00:00:48.380 --> 00:00:51.380]   is this idea of bucketed portfolios in retirement.
[00:00:51.380 --> 00:00:54.860]   I've done a couple model portfolios recently.
[00:00:54.860 --> 00:00:59.780]   And the concept is that you set aside liquid assets to fund near term cash needs,
[00:00:59.780 --> 00:01:03.180]   intermediate term assets to fund intermediate term needs.
[00:01:03.180 --> 00:01:05.620]   And then we have the rest of the portfolio stocks.
[00:01:05.620 --> 00:01:10.060]   And for a lot of people, the end portfolio ends up looking a lot like what
[00:01:10.060 --> 00:01:13.140]   they would have had in the first place if they were just using a balanced approach.
[00:01:13.140 --> 00:01:14.980]   But the bucketing concept, I think,
[00:01:14.980 --> 00:01:19.300]   helps people visualize what an end retirement portfolio should look like.
[00:01:19.300 --> 00:01:21.860]   So I think it's helpful from that standpoint.
[00:01:21.860 --> 00:01:28.180]   So I've been working on that, interviewing a lot of great people at Vanguard yesterday,
[00:01:28.180 --> 00:01:31.060]   and a lot of great people from this conference yesterday morning.
[00:01:31.060 --> 00:01:34.860]   So those videos will roll out on our website over the next month or so.
[00:01:34.860 --> 00:01:37.220]   You should keep your eyes peeled for that.
[00:01:37.220 --> 00:01:42.460]   And then personally, I'm going on a six week sabbatical starting next week.
[00:01:42.460 --> 00:01:47.420]   And so I'm excited about that, going to spend some time in Argentina and
[00:01:47.420 --> 00:01:50.140]   spend some time with family and projects and so forth.
[00:01:50.140 --> 00:01:52.300]   So it's a nice perk that we have at Morningstar, and
[00:01:52.300 --> 00:01:54.340]   I'll be taking advantage of it soon.
[00:01:54.340 --> 00:01:59.460]   >> And Bill, I know you ventured into a new field, electronic publishing.
[00:01:59.460 --> 00:02:01.660]   >> Yeah, with some help from Mike.
[00:02:01.660 --> 00:02:06.380]   But what I'm really doing is traveling to Burma this winter and
[00:02:06.380 --> 00:02:08.020]   expecting my first grandchild.
[00:02:08.020 --> 00:02:11.260]   And sure, I'm doing some writing, I'm always doing some writing.
[00:02:11.260 --> 00:02:14.300]   But I've got a new book that's coming out, I'm on alternatives.
