
[00:00:00.000 --> 00:00:18.880]   Hey everybody if you don't know about Deepgram, Deepgram is a company that does audio AI so we've
[00:00:18.880 --> 00:00:28.620]   been around for nine years now so ancient and AI years but we we brought end-to-end deep learning
[00:00:28.620 --> 00:00:37.180]   to speech recognition and our most recent product is a TTS product that we released back in December
[00:00:37.180 --> 00:00:45.660]   and so you can use our API on-prem, you can use it in the cloud, you can adapt models to a specific
[00:00:45.660 --> 00:00:50.840]   acoustic environment. I just came from a drive-through that has all sorts of crazy things happening in it
[00:00:50.840 --> 00:00:57.240]   like cars running and Amazon trucks backing up and all of that and we like automatically adapt models
[00:00:57.240 --> 00:01:03.800]   for that kind of thing etc. So anyway if you don't know about us that's what we do. Also we're a research
[00:01:03.800 --> 00:01:09.880]   led company so what that means is we figure out fundamental things through our research team and
[00:01:09.880 --> 00:01:17.480]   then we bring them to the market as soon as possible through our product team. So yeah it's it's everything
[00:01:17.480 --> 00:01:23.880]   is moving at breakneck speed but a lot of the things that folks enjoy now with like really fast accurate
[00:01:23.880 --> 00:01:30.440]   real-time speech recognition if you have any devices out there. I was just talking with the
[00:01:30.440 --> 00:01:37.560]   founder a couple minutes ago. Most of them use Deepgram behind the scenes so just that's that's who we are
[00:01:37.560 --> 00:01:44.440]   and we help companies build truly conversational experiences and the bar that we set for ourselves
[00:01:44.440 --> 00:01:51.000]   and we set from the beginning but it takes a long time to get there is what can a human do and we ask
[00:01:51.000 --> 00:01:58.040]   this all the time in our product meetings etc and our research team and that helps guide us toward what's
[00:01:58.040 --> 00:02:04.040]   possible because neural networks really do work in a way that is similar to a human they can learn by
[00:02:04.040 --> 00:02:10.600]   example etc and so you have to think about how can we formulate this problem in a way that this this
[00:02:10.600 --> 00:02:15.640]   machine can actually learn from it and so we spend all of our all of our time thinking that way and so
[00:02:15.640 --> 00:02:20.120]   arguments about like how many neurons does it have is it equivalent to a mouse or a cat or a person or
[00:02:20.120 --> 00:02:25.240]   whatever we're talking about that kind of thing all the time and it's amazing to see the progress that
[00:02:25.240 --> 00:02:31.640]   has happened over the last decade and we're at a an amazing time right now so um one thing to keep in
[00:02:31.640 --> 00:02:39.720]   mind is that there was like a previous version of voice ai and it was kind of you know voice ai 1.0
[00:02:39.720 --> 00:02:45.000]   think siri think things like that where it was slow it wasn't super accurate um it wasn't really a
[00:02:45.000 --> 00:02:52.440]   real-time feel to it um and it you could try to ask it anything but it wouldn't really um it only answer in
[00:02:52.440 --> 00:02:59.400]   a very specific domain so now with the the next version of voice ai there's uh it's open-ended and
[00:02:59.400 --> 00:03:05.240]   a lot of what's driving that is llms you can put any text into it and uh depending on how the model is
[00:03:05.240 --> 00:03:11.400]   trained you can output any text and so if you're having a voice ai conversation you can take the audio
[00:03:11.400 --> 00:03:16.440]   turn it using speech to text software turn it into text inject it into an llm model get text out the other
[00:03:16.440 --> 00:03:23.960]   side and then use a text to speech model in order to produce audio and uh part of the this now voice ai
[00:03:23.960 --> 00:03:30.120]   2.0 is how fast can you do that in in how smart of a way can you do that so that the agent actually like
[00:03:30.120 --> 00:03:34.760]   does what it's supposed to and then how expressive does it sound and so we'll talk about that a little
