
[00:00:00.000 --> 00:00:10.940]   Let me also pull up chat real quick. But for those that don't know, there's the five series
[00:00:10.940 --> 00:00:17.860]   of models, right? So this started out way back when, when Microsoft was trying tiny stories,
[00:00:17.860 --> 00:00:23.280]   tiny stories was like a one mil multiple million parameters. So not even a billion, not even
[00:00:23.280 --> 00:00:28.880]   tens of millions parameters models. They just wanted to see, can we make a really small one
[00:00:28.880 --> 00:00:35.100]   million parameter model, like learn text and can it produce any coherent words? Turns out it can.
[00:00:35.100 --> 00:00:39.980]   Then they had like textbooks is all you need. Or, you know, if you train on textbooks, you can do
[00:00:39.980 --> 00:00:44.800]   some level of words. Then they had this five series. These were really, really small language models.
[00:00:44.800 --> 00:00:51.680]   So like up to one B, then we went from super small, like million parameter to billion to now we're at
[00:00:51.680 --> 00:00:57.720]   five, four, which is a 14 billion parameter model. So they've gotten chunky. I think, you know,
[00:00:57.760 --> 00:01:03.460]   the sweet spot that they were hitting was kind of that three B range where no one else was really
[00:01:03.460 --> 00:01:09.140]   doing this, right? Like we had llama, which was seven B, we had Falcon, we had Mistral. These are
[00:01:09.140 --> 00:01:14.740]   all seven B models. At the time, Quen wasn't really doing anything tiny, tiny. So these were like the
[00:01:14.740 --> 00:01:21.660]   on device, coherent, somewhat decent models. The history of the five models is that they would do
[00:01:21.660 --> 00:01:26.600]   good on benchmarks. And then people would say, damn, these models suck. And it turns out that,
[00:01:26.600 --> 00:01:33.000]   you know, they were like accused of training on the benchmarks and they were inflating their scores.
[00:01:33.000 --> 00:01:39.040]   So five, three was the, you know, last one that had a pretty big splash. Five, three was like, okay,
[00:01:39.040 --> 00:01:44.880]   here's a whole section on how we're doing like decontamination of training data. So
[00:01:44.880 --> 00:01:50.940]   they basically said, Hey, we're serious about this. We're not going to train on benchmarks. Here's how
[00:01:50.940 --> 00:01:56.020]   we like filter all our data. Here's how we train our big foundation models. They were kind of decent.
[00:01:56.020 --> 00:02:02.580]   Some people use them. Then recently we had five, four, this paper came out December, 2024.
[00:02:03.580 --> 00:02:10.700]   From there, we, as of this week, have got two more papers called five, four reasoning, reasoning,
[00:02:10.700 --> 00:02:18.220]   mini and reasoning plus. So let's do a quick little refresher on five, four, the one that came out,
[00:02:18.220 --> 00:02:24.140]   because this is kind of the foundation model that builds on top that the other two build on. So anyone
[00:02:24.140 --> 00:02:30.780]   has comments, questions, feel free, you know, pop in wherever. I feel like we covered this in one of the
[00:02:30.780 --> 00:02:37.200]   papers, but anyway, we'll go over it again real quick. So five, four now is 14 billion parameter
[00:02:37.200 --> 00:02:44.240]   model model, and they do basically a bunch of high quality filtering. They use LLMs to filter a bunch
[00:02:44.240 --> 00:02:51.100]   of stuff, and then they have a bunch of synthetic data. So they want to show how like distillation can
[00:02:51.100 --> 00:02:58.240]   do pretty good. So they train on high quality data. They have the same architecture as five, three,
[00:02:58.240 --> 00:03:03.360]   but you know, now they're focused on reasoning benchmark. So this came out like pre reasoning
[00:03:03.360 --> 00:03:09.200]   models. But this is the time when we started to realize, oh, shit, reasoning models are pretty,
[00:03:09.200 --> 00:03:15.600]   reasoning data is pretty high quality, right? So a bunch of the training data here is synthetic data.
[00:03:15.600 --> 00:03:21.760]   They have stuff like multi agent prompting, self revision workflows, instruction reversal. They have a
[00:03:21.760 --> 00:03:26.960]   section on rejection sampling where, you know, you take examples, you have chain of thought, you see what was
[00:03:26.960 --> 00:03:33.200]   wrong, they have rejection sampling in there, they do DPO, they start to introduce this concept of
[00:03:33.200 --> 00:03:36.720]   mid training here, I think they're the ones that start to like, you know, really push on it. And then of
[00:03:36.720 --> 00:03:43.120]   course, in their new thinking models, they have mid training is like their whole mid training is all you
[00:03:43.120 --> 00:03:49.920]   need, you know, but this one was basically synthetic data, SFT, DPO, we can get pretty good models.
[00:03:49.920 --> 00:03:55.440]   Mid training, mid training is all they need. Here's kind of the benchmarks of how it performed at the time.
[00:03:55.440 --> 00:04:05.440]   So, you know, as they always claim, it's kind of 4.0 mini, it's like, similar to the 70b models, it's similar to 4.0.
[00:04:05.440 --> 00:04:11.440]   But you know, this is a little old, it's kind of out of date now, but still good to know what the overall thing is on.
[00:04:11.440 --> 00:04:19.360]   So step zero is this data generation, they have this whole method of seeding data, expanding it out, post training,
[00:04:19.360 --> 00:04:28.160]   stuff like that. And then you know, performance is on par with even 4.05 B, but they've been known to
[00:04:28.160 --> 00:04:35.920]   not have the best, like track record of how they actually perform on benchmarks. But from what,
[00:04:35.920 --> 00:04:41.440]   you know, people say for 5.4, this is where things start to turn around, especially because they have
[00:04:41.440 --> 00:04:47.040]   this whole decontamination set. So like they really kick off the paper with addressing overfitting and data
[00:04:48.000 --> 00:04:55.040]   contamination where, you know, one of their original pitfalls is that they have learned to overfit.
[00:04:55.040 --> 00:05:04.400]   So they improved their data decontamination process. Basically, they have good ways to take out
[00:05:04.400 --> 00:05:08.800]   stuff from data sets, you know, it's what you would expect, they can use LLMs to filter this out,
[00:05:08.800 --> 00:05:16.640]   they can not train on variants of data set stuff. They have contamination proof benchmarks that they're
[00:05:16.640 --> 00:05:23.360]   doing. Okay, what else have we got here? So purpose of synthetic data, synthetic data,
[00:05:23.360 --> 00:05:29.360]   pretty good, right? It's a form of distillation with SFT, structured, gradual learning, what else?
[00:05:29.360 --> 00:05:35.200]   Chain of thought data is in there. So synthetic data for pre-training and mid-training. Here's kind
[00:05:35.200 --> 00:05:41.440]   of how they do it. So it begins with high quality seeds from multiple domains. Basically, they start seeding
[00:05:41.440 --> 00:05:46.640]   data from big domains, right? So they'll do web scrapes, they'll do this seeding filtration process,
[00:05:46.640 --> 00:05:52.480]   right? So essentially, they'll take big data sets, they'll use an LLM and they'll start filtering it. So
