
[00:00:00.000 --> 00:00:07.520]   I actually want to share my entire screen for a second. So Magistral is kind of Mistral's
[00:00:07.520 --> 00:00:13.440]   reasoning model. The interesting thing they do here is they don't want to do any distillation.
[00:00:13.440 --> 00:00:19.200]   Basically, they want to see how far can they get with like native RL without distilling from a big
[00:00:19.200 --> 00:00:24.400]   model. And then they also do a little bit of distillation. So they train one, which is Magistral
[00:00:24.400 --> 00:00:31.600]   Medium. It's trained on Mistral Medium as the base model and they just do pure RL and they kind of
[00:00:31.600 --> 00:00:37.040]   talk about how they do it, how they get the data set. The very interesting thing here is this is like
[00:00:37.040 --> 00:00:45.360]   a very large scale RL run. So what we don't see is how do you actually efficiently do large scale RL?
[00:00:45.360 --> 00:00:50.640]   So what are the challenges in that? And how do you set up your compute and data center to do this?
[00:00:50.640 --> 00:00:55.840]   Because with RL, you need like two instances of the model. You need to generate rollouts of your
[00:00:55.840 --> 00:01:01.360]   thinking. You need to verify them, which takes some time. They'll have different leads, right? Like when
[00:01:01.360 --> 00:01:07.920]   you have a rollout that's like 3000 tokens versus like 30,000, you kind of have a delta as they're
[00:01:07.920 --> 00:01:15.440]   being generated. Do you just waste time and waste GPU hours? And then as you like batch up, do your
[00:01:15.440 --> 00:01:23.040]   gradient, um, as you do like changes in weights, um, how do you resync this stuff? So Mistral is like,
[00:01:23.040 --> 00:01:28.480]   you know, we actually have to be a real research lab since we've raised billions of dollars. Uh,
[00:01:28.480 --> 00:01:32.960]   so let's do some research instead of just basic shit. And then they kind of outline like, okay,
[00:01:32.960 --> 00:01:39.520]   here's how we do a really, really good training setup for all this stuff. So that's Magistral.
[00:01:39.520 --> 00:01:46.720]   The other paper is SmallLM3. SmallLM3 just came out yesterday, I think, from HuggingFace.
[00:01:46.720 --> 00:01:53.440]   It's kind of the opposite. It's like OML style, fully open, um, where they give you everything,
[00:01:53.440 --> 00:02:01.280]   training code, full repo, dataset, um, model weights, checkpoints, base model, and struct model.
[00:02:01.280 --> 00:02:08.320]   And they kind of talk about distillation. So their, their dataset is distilled, but it's a small model
[00:02:08.320 --> 00:02:12.240]   that they get to reason. And then of course they have their fun charts, you know, they're always in
[00:02:12.240 --> 00:02:18.960]   the top left or top right corner where they want to be. And the interesting thing here is two cool
[00:02:18.960 --> 00:02:26.160]   takeaways. One is this is a paper that talks about hybrid reasoning. So they have thinking and non-thinking
[00:02:26.160 --> 00:02:33.120]   mode. And then there is a section on the bottom, which I thought was interesting where they talk
[00:02:33.120 --> 00:02:40.080]   about model merging. You don't see much about model merging, but, uh, spoiler when they, when they did
[00:02:40.080 --> 00:02:45.920]   their model merging, what did they do this for again? So they, they have this kind of preference optimization
[00:02:45.920 --> 00:02:52.480]   for reasoning and non-reasoning. And then as they start to do this training, uh, turns out that they
[00:02:52.480 --> 00:02:59.040]   kind of nerf out the long context capability. So what they did is they took some of this reasoning,
[00:02:59.040 --> 00:03:03.440]   non-reasoning checkpoint, and then they took some of the long context checkpoint that didn't get
[00:03:03.440 --> 00:03:09.040]   screwed. And then boom, they just, uh, combined them together. And now we've solved both solutions,
[00:03:09.040 --> 00:03:12.800]   which is pretty crazy. I didn't know. I didn't know model merging can just do shit like that,
[00:03:12.800 --> 00:03:19.040]   but that's pretty cool. Um, so they do that, but then they talk about everything that goes into it.
[00:03:19.040 --> 00:03:23.360]   Um, also they're pre-training, post-training, but they use a lot of other data sets.
[00:03:23.360 --> 00:03:30.640]   Some stuff that I found very weird here was like when they generate synthetic SFT data, right? So
[00:03:30.640 --> 00:03:40.800]   they're generating reasoning data sets. Uh, they, they, they use QEN 332B in reasoning mode. If anyone
[00:03:40.800 --> 00:03:48.000]   has intuition as to why they would do this instead of, my zoom is overlaying my tabs instead of, um,
[00:03:48.000 --> 00:03:57.200]   instead of using the big QEN 3, I would be curious to know, cause you know, in QEN 3, we also have
[00:03:57.200 --> 00:04:07.760]   this big 235B. So why not use 235B with active? Uh, they do use some deep seek, but yeah, interestingly
[00:04:07.760 --> 00:04:14.160]   enough in their synthetic data gen they use, they use, um, 132B, but both very good papers. Um,
[00:04:14.160 --> 00:04:20.720]   they, they, this is actually a pretty, pretty expensive paper. If the answer is compute.
[00:04:20.720 --> 00:04:28.240]   So in their blog post, they talk about how many GPU hours this is. So, uh, they're, they're pretty like
[00:04:28.240 --> 00:04:36.160]   chunky. This is not a little research preview. Like this model is trained on 48 nodes of eight H100s for 24 days.
[00:04:36.160 --> 00:04:46.000]   That's a 220k GPU hours. If you assume like $2 to $3 per GPU hour, um, that's roughly a million dollar
[00:04:46.000 --> 00:04:53.440]   train run. Not to mention a bunch of ablations, testing, synthetic data gen, salaries, like resources
[00:04:53.440 --> 00:04:59.200]   that go into this. But the training alone, like this was trained on trillions of tokens, generating those
[00:04:59.200 --> 00:05:07.280]   tokens. But the final train run, like what is this, uh, 220,000 H100 hours. That's, that's over a million
[00:05:07.280 --> 00:05:13.360]   dollar just train run alone. So not, not cheap, not cheap. Um, but yeah, cool. It's, it's a small LM that's
[00:05:13.360 --> 00:05:19.920]   a hybrid reasoner. So this paper is about hybrid reasoning. Um, this paper is about native reasoning
[00:05:19.920 --> 00:05:25.440]   without distillation. Okay. I think I'll do this one first since it's, uh, there's more substance to it.
[00:05:25.440 --> 00:05:29.280]   The other one you can kind of just read through. It's kind of a blog post. There's not much to it.
[00:05:29.280 --> 00:05:35.600]   Um, okay. I will get started. If there's any questions, anything, you know, pop in. We'll just
[00:05:35.600 --> 00:05:41.680]   interrupt me whenever it's not that deep. Okay. So Magistral, their, um, RL, they, they kind of really
[00:05:41.680 --> 00:05:49.040]   just lay out their RL pipeline. Uh, the, one of them is open source. It's Apache 2, but they don't
[00:05:49.040 --> 00:05:54.480]   give us as much. They don't give us training data. They give us like numbers around how much data they
[00:05:54.480 --> 00:05:58.720]   use, but they obviously don't give it all to us. But you know, this is still a pretty good paper for
[00:05:58.720 --> 00:06:03.760]   Mistral. Like I'm, I'm pretty, I think they're going in the right direction, learning how to do this
[00:06:03.760 --> 00:06:08.480]   from scratch as opposed to some of the other work, but you know, they are bigger. So what do we expect?
[00:06:09.040 --> 00:06:14.480]   Um, basically there's two things. So they want to show, oh, also the other takeaway of this is that
[00:06:14.480 --> 00:06:21.440]   RL on text alone works pretty well. So it's still like all this stuff generalizes. They do good
[00:06:21.440 --> 00:06:26.240]   ablations in this. They text, they test, uh, if we just do code, does it work on code and math? If we
[00:06:26.240 --> 00:06:32.240]   just do math, does it work on math and code? Um, but can we do pure RL on text without distillation on a
[00:06:32.240 --> 00:06:37.200]   small model? Yes, we can. It's interesting what we think of small models, right? Because Mistral calls
[00:06:37.200 --> 00:06:43.760]   small models 24B. Uh, five, four called small models 14B. I guess they had a little 3B section
[00:06:43.760 --> 00:06:52.880]   in there with SFT and, um, hugging face calls small models, um, three or 4B, three or 4B. Okay. Uh, let me
[00:06:52.880 --> 00:07:00.240]   make sure my screen share is sharing the right screen. It is. Okay. So, uh, basically they, they want to
[00:07:00.960 --> 00:07:07.520]   detail these few things. So one, you can do no distillation from existing models. Uh, they talk
[00:07:07.520 --> 00:07:11.600]   about the infrastructure, their design choices, which is kind of an interesting section, right? You don't
[00:07:11.600 --> 00:07:16.480]   really get anyone giving you this much detail about it. Hugging face gave us a little, but honestly, this
[00:07:16.480 --> 00:07:23.840]   gave us a much better recipe. Um, then, uh, effective way to make it multilingual. So this was another
[00:07:23.840 --> 00:07:30.720]   interesting little tidbit where they noticed that originally, uh, normally the model would start
[00:07:30.720 --> 00:07:36.800]   reasoning or outputting its response in different languages. Uh, interestingly enough, as much as this
[00:07:36.800 --> 00:07:43.680]   is Mistral, a French company, they, they didn't have French output. They had a lot of Chinese, Russian
[00:07:43.680 --> 00:07:50.560]   and stuff, but they can basically adjust their RL policy. They, they basically do GRPO with some
[00:07:50.560 --> 00:07:57.760]   modifications. One of those modifications is giving a slight reward increase for models that have, um,
[00:07:57.760 --> 00:08:04.800]   that keep their reasoning and output in, in the same language that it's guided. And then they even add
[00:08:04.800 --> 00:08:09.360]   this in the system prompt. It's like pretty interesting how you can just solve this problem
[00:08:09.360 --> 00:08:16.160]   of reasoning and outputting different languages by a little 0.1 increase in RL, uh, reward. Like it just
[00:08:16.160 --> 00:08:20.720]   shows how strong RL is, right? You just give slight, slight reward if you keep your language consistent
[00:08:20.720 --> 00:08:26.960]   and guess what? Language is now consistent, but, um, you know, interesting note there. Um, other stuff in
[00:08:26.960 --> 00:08:34.320]   the, that are like little takeaways before we go deep that I noticed, um, towards the end of this paper,
[00:08:34.320 --> 00:08:42.000]   they, they noticed something about multimodal that we might not get time to cover. So, um, eating the
[00:08:42.000 --> 00:08:49.360]   multimodal free lunch, basically, uh, all they did was they trained on a pre-trained model that has
[00:08:49.360 --> 00:08:54.720]   multimodality, right? So mistral three small and medium, they're multimodal models that have vision
[00:08:54.720 --> 00:09:02.560]   encoders, right? So they encode images into the same embedding latent space as text. Then during the RL,
[00:09:02.560 --> 00:09:08.320]   they're only trained on text data. So they're like, our intuition is that one might expect that multimodal
[00:09:08.320 --> 00:09:14.480]   performance would degrade, right? But no, actually, uh, it didn't degrade multimodal actually got even
[00:09:14.480 --> 00:09:23.120]   better. So testing on stuff like MMMU and MMMU Pro, there's no regression in most benchmarks and
