
[00:00:00.000 --> 00:00:10.720]   let's talk about seed oils the dreaded seed oil debate should we fear them or not fear them let's
[00:00:10.720 --> 00:00:16.080]   assume somebody is going to maintain calories like they're not adding seed oils as a source
[00:00:16.080 --> 00:00:20.240]   of additional calories above what they would normally be taking in but let's say they have
[00:00:20.240 --> 00:00:29.120]   the choice they can consume a seed oil like canola oil or soybean oil or they can consume olive oil
[00:00:29.120 --> 00:00:36.720]   in place of it and let's just compare like which one is better if either and is there anything
[00:00:36.720 --> 00:00:42.400]   inherently bad about seed oils and i want to make sure that we talk about the processing because
[00:00:42.400 --> 00:00:46.640]   people will say ah the seed oils aren't bad if they come from a quality source but most of the
[00:00:46.640 --> 00:00:51.600]   seed oils are through this high pressure high temperature refinement process and that's the
[00:00:51.600 --> 00:00:59.760]   problem so what's the deal with seed oils okay the big picture is that people over vilify seed oils
[00:00:59.760 --> 00:01:06.720]   one side over vilify seed oils just like the other side over vilifies let's say your standard you know
[00:01:06.720 --> 00:01:14.880]   land animal fats like beef tallow butter lard but when you compare those two like
[00:01:15.520 --> 00:01:22.400]   seed oils versus the butter beef tallow lard you compare the evidence base of those two things
[00:01:22.400 --> 00:01:30.320]   you can find more dirt as far as adverse health outcomes from the land animal fats compared to the
[00:01:30.320 --> 00:01:39.280]   seed oils and and that is the reality of the matter um it's really weird that seed oils are being vilified
[00:01:39.920 --> 00:01:46.560]   right now because that's not the scientific consensus uh people who have their nose in the literature
[00:01:46.560 --> 00:01:50.880]   are are just kind of scratching their heads at the whole seed oil scare thing and there are some people
[00:01:50.880 --> 00:01:57.920]   on the fringe who laser in on their philosophies and ideologies about seed oils but then all you need
[00:01:57.920 --> 00:02:05.360]   what you need to do is ask a short set of questions okay and you specified the seed oils in the question
[00:02:05.360 --> 00:02:11.680]   which is great i mean that you're you're ahead of like everybody else so what seed oil are we talking about
[00:02:11.680 --> 00:02:19.360]   what what kind of dosage are we talking about and um what health outcome are you concerned with
[00:02:20.000 --> 00:02:26.160]   and then what trial do you find most compelling that supports your fear of the seed oil and so
[00:02:26.160 --> 00:02:32.720]   everybody like nine out of ten people immediately will say ah okay you want to know what seed oil canola
[00:02:32.720 --> 00:02:38.800]   oil okay great let's look at the canola oil literature and one of the hardest things to do
[00:02:38.800 --> 00:02:44.000]   is find dirt on canola oil amidst all of the positive effects
[00:02:44.880 --> 00:02:53.200]   in almost every trial of canola oil there is even a meta-analysis comparing directly
[00:02:53.200 --> 00:02:58.720]   the effect of canola oil versus olive oil on blood lipid profile and
[00:02:58.720 --> 00:03:07.680]   maybe you know unsurprisingly to to some but surprisingly to most canola oil outperforms olive
[00:03:07.680 --> 00:03:13.520]   oil for improving blood lipids in the sense of um lowering ldl cholesterol that's surprising to me
[00:03:14.080 --> 00:03:22.320]   because i assumed that olive oil can do no wrong you know what i i was i was taken aback by that
[00:03:22.320 --> 00:03:28.160]   too i i would have been just fine with seeing there's no damn difference one of these anti-climactic
[00:03:28.160 --> 00:03:37.200]   results but when you take a look at canola oil's composition it has a kind of an extraordinarily high
[00:03:37.200 --> 00:03:42.960]   proportion of omega-3 fatty acids compared to olive oil and compared to the rest of the seed oils for
[00:03:42.960 --> 00:03:48.800]   that omega-3 i thought it was high in omega-6 it's it does contain omega-6 and that is the
[00:03:48.800 --> 00:03:58.400]   predominant um fatty acid in canola but it has a high omega-3 content as well it has a high proportion
[00:03:58.400 --> 00:04:03.840]   of omega-3 i don't know the exact proportion of omega-3 but what makes canola kind of special as far
[00:04:03.840 --> 00:04:11.440]   as the vegetable oils go is its high omega-3 content wow okay um that's going to surprise a number of
[00:04:11.440 --> 00:04:21.360]   people including me my sense is that any ill effects to come from seed oils are because of who seed oils
[00:04:21.360 --> 00:04:27.920]   hang out with yeah right this is sort of the old uh if you're old enough uh like me to remember i'm 49
[00:04:27.920 --> 00:04:33.520]   turning 50 in september so i'm not quite 53 but um we're of the same generation and and there was we
[00:04:33.520 --> 00:04:37.680]   grew up without the internet right well there was a discussion around cannabis for instance we've done
[00:04:37.680 --> 00:04:42.880]   several episodes about it we didn't paint it as good or bad although i do believe that young people
[00:04:42.880 --> 00:04:49.840]   especially young males smoking high thc cannabis can predispose to psychosis i mean there's a bunch
[00:04:49.840 --> 00:04:56.800]   of debate around this but back in the day it was if you use cannabis soon you'll be using crack cocaine
[00:04:56.800 --> 00:05:01.600]   that was kind of like the argument right over time people realize that cannabis has its own potential
[00:05:01.600 --> 00:05:08.560]   benefits and its own potential risks right depending on a number of things it seems that people who consume
[00:05:08.560 --> 00:05:15.440]   a lot of seed oils consume them in conjunction with a lot of starches and perhaps with added sugars as
[00:05:15.440 --> 00:05:22.320]   well and when you lump those together you end up with a pro-inflammatory often hypercaloric uh set of
[00:05:22.320 --> 00:05:26.800]   conditions and people aren't getting enough quality protein and then we know what that picture looks like
[00:05:26.800 --> 00:05:32.480]   it looks like the united states of america yeah right or most of the united states of america and so
[00:05:32.480 --> 00:05:38.640]   i do think that there's something about who olive oil and grass-fed butter hang out with
