
[00:00:00.040 --> 00:00:07.380]   viennent like get
[00:00:07.380 --> 00:00:11.020]   me. Tim.
[00:00:11.020 --> 00:00:14.040]   respect . 12
[00:01:23.200 --> 00:01:34.640]   I
[00:01:34.640 --> 00:01:48.680]   continue. I don. I. I, out,,,,,, hull 촉 Stewέρ…? closes
[00:01:51.840 --> 00:02:07.540]   I think this week we're going to merge a little bit of current events with some practical discussion.
[00:02:07.540 --> 00:02:20.480]   Certainly over the last week and a half our nation here in the United States of America has been rocked by the most recent shooting in South Florida, here where I live. The Parkland community is relatively close to me.
[00:02:20.500 --> 00:02:49.140]  , and it certainly had an impact here in the local discussion. But I think more importantly our country is being rocked by this discussion. And of course that has an impact on you and on me and on your finances and on my finances and our ability to live together in a culture where we all see and understand different things, we all have different perspectives, different opinions, how to live at peace with one another.
[00:02:49.160 --> 00:03:17.800]  , and I've become deeply frustrated with how to express those opinions. We all I think have an outlet. We all need an outlet. It seems like for many of us our emotions are just kind of boiling under the surface. I think it's especially hard for people like me who don't have a workplace environment with many people that you see every day that you can talk about these things with and we're primarily left with a digital method of communication.
[00:03:46.460 --> 00:03:47.080]   This week I'm going to tackle we're calling it radical personal finance gun week. Now does this relate to finance? Well I think when you hear the titles that I have planned the answer is yes absolutely. For example today is tools and tactics for self-defense in a non-permissive environment like a school. And I'm going to give you some very practical advice that may help you if you're ever caught in a situation like a school shooting.
[00:03:47.080 --> 00:03:47.160]   And I'm going to give you some very practical advice that may help you if you're ever caught in a situation like a school shooting.
[00:03:47.160 --> 00:03:47.460]   And I'm going to give you some very practical advice that may help you if you're ever caught in a situation like a school shooting.
[00:04:16.740 --> 00:04:17.460]   And I'm going to give you some very practical advice that may help you if you're ever caught in a situation like a school shooting.
[00:04:17.460 --> 00:04:17.460]   And I'm going to give you some very practical advice that may help you if you're ever caught in a situation like a school shooting.
[00:04:17.460 --> 00:04:17.460]   And I'm going to give you some very practical advice that may help you if you're ever caught in a situation like a school shooting.
[00:04:17.460 --> 00:04:47.480]  , and I'm going to give you some very practical advice that may help you if you're ever caught in a situation like a school shooting.
[00:04:47.480 --> 00:04:47.480]   And I'm going to give you some very practical advice that may help you if you're ever caught in a situation like a school shooting.
[00:04:47.480 --> 00:04:47.480]   And I'm going to give you some very practical advice that may help you if you're ever caught in a situation like a school shooting.
[00:04:47.480 --> 00:04:47.480]   And I'm going to give you some very practical advice that may help you if you're ever caught in a situation like a school shooting.
[00:04:47.480 --> 00:04:47.480]   And I'm going to give you some very practical advice that may help you if you're ever caught in a situation like a school shooting.
[00:04:47.480 --> 00:04:47.480]   And I'm going to give you some very practical advice that may help you if you're ever caught in a situation like a school shooting.
[00:04:47.500 --> 00:05:17.500]   I'm going to give you some very practical advice that may help you if you're ever caught in a situation like a school shooting.
