
[00:00:00.000 --> 00:00:03.000]   (keyboard clicking)
[00:00:03.000 --> 00:00:05.000]   Okay, it says, "Win live."
[00:00:05.000 --> 00:00:06.340]   Take 30 seconds.
[00:00:06.340 --> 00:00:10.480]   It says, "Win live."
[00:00:10.480 --> 00:00:14.040]   Hey everybody, thank you for joining us.
[00:00:14.040 --> 00:00:15.960]   I'm super excited to be having time
[00:00:15.960 --> 00:00:17.600]   at the Watson Sciences Club.
[00:00:17.600 --> 00:00:21.420]   I had the opportunity to interview Sebastian Rashka a few,
[00:00:21.420 --> 00:00:23.040]   I think it was quite a few months ago
[00:00:23.040 --> 00:00:25.560]   and it's always an honor to learn from him.
[00:00:25.560 --> 00:00:27.440]   Sebastian, thanks again for your time
[00:00:27.440 --> 00:00:30.080]   and thanks for joining us today.
[00:00:30.080 --> 00:00:31.680]   - Yeah, thanks for organizing that.
[00:00:31.680 --> 00:00:33.200]   And yeah, I'm excited to talk to you
[00:00:33.200 --> 00:00:35.240]   about exciting things again.
[00:00:35.240 --> 00:00:37.320]   So last time I remember it was a lot of fun
[00:00:37.320 --> 00:00:40.060]   and I hope we are going to have fun again here.
[00:00:40.060 --> 00:00:42.480]   - I'm sure you won't be surprised,
[00:00:42.480 --> 00:00:46.000]   but for me it was one of the best received episodes
[00:00:46.000 --> 00:00:48.920]   on the podcast, so thanks for making that happen.
[00:00:48.920 --> 00:00:51.200]   I'll share my screen to give the audience
[00:00:51.200 --> 00:00:52.520]   an introduction about you,
[00:00:52.520 --> 00:00:54.240]   although I'm sure most of them don't know this,
[00:00:54.240 --> 00:00:55.940]   but I would still like to do that.
[00:00:55.940 --> 00:00:58.700]   (mouse clicking)
[00:00:58.700 --> 00:01:04.340]   So you can find Sebastian on Twitter.
[00:01:04.340 --> 00:01:06.980]   His handle is @raspt.
[00:01:06.980 --> 00:01:10.220]   He's the incoming Lead AI Educator at GreatAI
[00:01:10.220 --> 00:01:12.700]   and we'll be talking a lot about this.
[00:01:12.700 --> 00:01:16.400]   And he's been the Associate Professor of Statistics
[00:01:16.400 --> 00:01:18.320]   at the University of Madison.
[00:01:18.320 --> 00:01:20.740]   You can also check out his website,
[00:01:20.740 --> 00:01:23.180]   which is there on his Twitter profile.
[00:01:23.180 --> 00:01:27.300]   I have the second and the third edition of my book
[00:01:27.300 --> 00:01:30.180]   near my desk, which also we'll be talking about.
[00:01:30.180 --> 00:01:32.340]   And I would also highly encourage all of you
[00:01:32.340 --> 00:01:34.460]   to check out Sebastian's YouTube channel.
[00:01:34.460 --> 00:01:38.960]   It has a lot of very high content educational videos,
[00:01:38.960 --> 00:01:40.740]   things that I always try to watch
[00:01:40.740 --> 00:01:42.940]   and always end up learning a lot from them.
[00:01:42.940 --> 00:01:47.460]   Did I miss anything from the-
[00:01:47.460 --> 00:01:49.820]   - Actually, yeah, you covered so many things.
[00:01:49.820 --> 00:01:51.260]   I'm really flattered, actually.
[00:01:51.260 --> 00:01:54.300]   Thank you so much for the kind introduction.
[00:01:54.300 --> 00:01:58.580]   Yeah, I think, yeah, that's about it in a nutshell, I guess.
[00:01:58.580 --> 00:01:59.680]   Yeah, thank you.
[00:01:59.680 --> 00:02:03.420]   - So I'd love to start by talking about the book.
[00:02:03.420 --> 00:02:06.300]   Like I said, I've owned all three editions
[00:02:06.300 --> 00:02:07.780]   and you've been teasing out the,
[00:02:07.780 --> 00:02:09.940]   I think it's the fourth edition of the book.
[00:02:09.940 --> 00:02:12.260]   So if you could tell us more about what's coming up
[00:02:12.260 --> 00:02:14.180]   and another question,
[00:02:14.180 --> 00:02:16.780]   since you've been focusing on lectures on PyTorch,
[00:02:16.780 --> 00:02:20.380]   will the book be now in PyTorch?
[00:02:20.380 --> 00:02:22.420]   - Yeah, so that's a good point.
[00:02:22.420 --> 00:02:26.300]   So usually we say all good things come in threes, right?
[00:02:26.300 --> 00:02:29.180]   So three editions, but there will be a new edition.
[00:02:29.180 --> 00:02:31.740]   Actually, we have been working on that since summer.
[00:02:31.740 --> 00:02:35.300]   So mostly the summer I was working on this a lot
[00:02:35.300 --> 00:02:37.580]   and there's been a lot of changes,
[00:02:37.580 --> 00:02:38.540]   really a lot of changes,
[00:02:38.540 --> 00:02:41.660]   which is why it will not be called the fourth edition.
[00:02:41.660 --> 00:02:44.700]   It will be actually an entirely new title.
[00:02:44.700 --> 00:02:47.400]   So we haven't, I think, 100% decided yet,
[00:02:47.400 --> 00:02:49.040]   but it will be something along the lines
[00:02:49.040 --> 00:02:52.340]   of machine learning with PyTorch and Scikit-learn.
[00:02:52.340 --> 00:02:54.260]   So like you said,
[00:02:54.260 --> 00:02:56.540]   kind of like related to the PyTorch lectures
[00:02:56.540 --> 00:02:59.780]   I was teaching, there will be a focus on PyTorch.
[00:02:59.780 --> 00:03:02.300]   So switching from TensorFlow to PyTorch.
[00:03:02.300 --> 00:03:04.620]   But maybe just top of my head,
[00:03:04.620 --> 00:03:07.660]   like just stepping through all the things
[00:03:07.660 --> 00:03:08.780]   that we worked on this summer
[00:03:08.780 --> 00:03:11.760]   or also in the upcoming last couple of months.
[00:03:11.760 --> 00:03:14.080]   So I've been like mostly tweaking
[00:03:14.080 --> 00:03:17.260]   the first couple of chapters in terms of refining them
[00:03:17.260 --> 00:03:20.040]   and coming up with sometimes better visuals
[00:03:20.040 --> 00:03:22.280]   because yeah, over the course of the years,
[00:03:22.280 --> 00:03:24.080]   there have been so many questions by people
[00:03:24.080 --> 00:03:25.720]   about certain things that I felt like,
[00:03:25.720 --> 00:03:27.480]   okay, if I have a better figure here,
[00:03:27.480 --> 00:03:30.480]   that could probably address a lot of these questions
[00:03:30.480 --> 00:03:31.600]   that some people have.
[00:03:31.600 --> 00:03:36.000]   So then I remember a lot of time was spent
[00:03:36.000 --> 00:03:38.160]   like on new sections, actually.
[00:03:38.160 --> 00:03:41.500]   Like I was writing a new section on gradient boosting
[00:03:41.500 --> 00:03:42.580]   for classification.
[00:03:42.580 --> 00:03:45.680]   I felt like it was a really important thing to have
[00:03:45.680 --> 00:03:47.740]   because yeah, gradient boosting, I would say,
[00:03:47.740 --> 00:03:49.840]   is among the most,
[00:03:49.840 --> 00:03:53.660]   I wouldn't say most widely used machine learning algorithm.
[00:03:53.660 --> 00:03:55.000]   Although it might be actually,
[00:03:55.000 --> 00:03:57.520]   if I think back of the Kaggle survey that came out,
[00:03:57.520 --> 00:04:00.580]   it's one of the most widely used ones.
[00:04:00.580 --> 00:04:01.420]   And I didn't have--
[00:04:01.420 --> 00:04:05.200]   - Is it because Kaggle is a really used boosting reason?
[00:04:05.200 --> 00:04:07.020]   So I'm sorry to interrupt you.
[00:04:07.020 --> 00:04:07.920]   - No, it's a good point.
[00:04:07.920 --> 00:04:09.540]   It's like a chicken egg problem, right?
[00:04:09.540 --> 00:04:12.380]   Because this algorithm is successful in Kaggle.
[00:04:12.380 --> 00:04:14.780]   And I think the Kaggle survey is more general
[00:04:14.780 --> 00:04:17.540]   in terms of asking people, but you're right.
[00:04:17.540 --> 00:04:20.680]   It's mostly people who probably are familiar with Kaggle.
[00:04:20.680 --> 00:04:22.700]   And if you see that it wins competitions,
[00:04:22.700 --> 00:04:23.900]   you probably start using it.
[00:04:23.900 --> 00:04:26.080]   And then it's kind of like this,
[00:04:26.080 --> 00:04:29.060]   almost like a self-fulfilling prophecy here.
[00:04:29.060 --> 00:04:32.320]   But no, I think it's actually a very powerful method
[00:04:32.320 --> 00:04:34.540]   for tabular data sets.
[00:04:34.540 --> 00:04:37.420]   So I added a section on that.
[00:04:37.420 --> 00:04:39.140]   One thing that took me quite some time
[00:04:39.140 --> 00:04:40.980]   as going back to the original paper,
[00:04:40.980 --> 00:04:43.180]   because there is no good resource
[00:04:43.180 --> 00:04:46.860]   on gradient boosting for classification, like explaining it.
[00:04:46.860 --> 00:04:49.460]   It's usually only about regression examples.
[00:04:49.460 --> 00:04:51.420]   In my lectures themselves,
[00:04:51.420 --> 00:04:54.180]   I only always had regression examples
[00:04:54.180 --> 00:04:56.200]   because it's simpler to explain.
[00:04:56.200 --> 00:04:58.180]   So I went back and rewrote this
[00:04:58.180 --> 00:05:01.500]   for losing the logistic loss for classification.
[00:05:01.500 --> 00:05:03.540]   That was one big thing.
[00:05:03.540 --> 00:05:07.180]   I was also completely rewriting the back propagation section
[00:05:07.180 --> 00:05:11.340]   because I felt like it was something I've wrote like 2014, 15.
[00:05:11.340 --> 00:05:14.420]   And due to the way I was teaching it
[00:05:14.420 --> 00:05:16.340]   in the context of the class,
[00:05:16.340 --> 00:05:19.740]   I felt like I could have explained that way better or cleaner.
[00:05:19.740 --> 00:05:22.820]   And so in that way, yeah, like making these little changes.
[00:05:22.820 --> 00:05:24.060]   But like you said,
[00:05:24.060 --> 00:05:27.340]   one big change will be that it is based on PyTorch.
[00:05:27.340 --> 00:05:30.540]   So I got a co-author who helped me a lot with this
[00:05:30.540 --> 00:05:32.060]   because it's like 19 chapters,
[00:05:32.060 --> 00:05:33.420]   now it's such a long book.
[00:05:33.420 --> 00:05:36.580]   And so Hayden Liu helped me a lot
[00:05:36.580 --> 00:05:37.860]   or was basically in charge
[00:05:37.860 --> 00:05:41.140]   of converting the TensorFlow chapters to PyTorch.
[00:05:41.140 --> 00:05:44.020]   And then I also recently added a section,
[00:05:44.020 --> 00:05:45.540]   let's say on PyTorch Lightning.
[00:05:45.540 --> 00:05:47.980]   And the summer with Ben Kaufman,
[00:05:47.980 --> 00:05:50.580]   I brought a graph neural network chapter,
[00:05:50.580 --> 00:05:52.340]   which is a brand new chapter.
[00:05:52.340 --> 00:05:53.620]   'Cause yeah, we have been working a lot
[00:05:53.620 --> 00:05:56.960]   on graph neural networks for molecular data.
[00:05:56.960 --> 00:06:00.860]   So like in a context of generating molecules,
[00:06:00.860 --> 00:06:04.100]   but then also classifying bioactivity of molecules.
[00:06:04.100 --> 00:06:06.980]   So that will be a new chapter.
[00:06:06.980 --> 00:06:10.680]   And with Jitin Jao, I worked on a transformer chapter.
[00:06:10.680 --> 00:06:13.500]   So language transformers, it was also a huge chapter.
[00:06:13.500 --> 00:06:16.020]   I just got it back a few weeks ago for like
[00:06:16.020 --> 00:06:18.020]   from the review us to do some final editing.
[00:06:18.020 --> 00:06:20.500]   So it's currently the last chapter I'm editing
[00:06:20.500 --> 00:06:23.900]   and I'm hoping then the book will be finalized
[00:06:23.900 --> 00:06:27.100]   maybe hopefully end of the month
[00:06:27.100 --> 00:06:30.220]   or maybe early January, we'll see.
[00:06:30.220 --> 00:06:31.580]   I mean, we don't have an official time.
[00:06:31.580 --> 00:06:33.300]   I don't want to make any promises,
