
[00:00:00.000 --> 00:00:15.000]   JXX LIU:
[00:00:15.000 --> 00:00:15.600]   JXX LIU: Hello, everyone.
[00:00:15.600 --> 00:00:16.480]   My name is JXX.
[00:00:16.480 --> 00:00:19.280]   And I'm a founding engineer at K-Skill Labs.
[00:00:19.280 --> 00:00:22.080]   We build open source human robots from hardware
[00:00:22.080 --> 00:00:26.520]   to software to machine learning models.
[00:00:26.520 --> 00:00:29.360]   And we build it especially for developers.
[00:00:29.360 --> 00:00:31.920]   JXX LIU: Yeah, so humanoids have been getting a lot of hype
[00:00:31.920 --> 00:00:32.620]   recently.
[00:00:32.620 --> 00:00:33.980]   You saw the Tesla Optimus.
[00:00:33.980 --> 00:00:35.140]   You have Unitree robots.
[00:00:35.140 --> 00:00:38.300]   You have 1x and et cetera.
[00:00:38.300 --> 00:00:40.860]   They're quite proprietary, and they're quite expensive.
[00:00:40.860 --> 00:00:42.820]   And the humanoids are getting so much hype
[00:00:42.820 --> 00:00:46.700]   is because of very big problems, like physical labor shortage,
[00:00:46.700 --> 00:00:51.160]   consumer household, and also like off-world exploration
[00:00:51.160 --> 00:00:52.900]   and et cetera.
[00:00:52.900 --> 00:00:55.540]   Yeah, so for us at K-Skill Labs, our goal
[00:00:55.540 --> 00:00:58.720]   is to really solve general purpose robotics for everyone,
[00:00:58.720 --> 00:01:02.240]   and open sourcing the entire stack to the entire world.
[00:01:02.240 --> 00:01:04.760]   So everyone will be benefiting from this really, really
[00:01:04.760 --> 00:01:10.900]   useful technology instead of a few different companies.
[00:01:10.900 --> 00:01:14.740]   Yeah, and our team is about 15 people in Palo Alto.
[00:01:14.740 --> 00:01:15.900]   You could visit us anytime.
[00:01:15.900 --> 00:01:19.020]   We're launching some robots in the next coming month.
[00:01:19.020 --> 00:01:22.560]   And yeah, I'll be demoing some robots in the slides.
[00:01:22.560 --> 00:01:25.940]   Cool.
[00:01:25.940 --> 00:01:29.560]   So we're currently working on two robots, the K-Bot and Z-Bot.
[00:01:29.560 --> 00:01:33.180]   The K-Bot is a 4.11 humanoid robot
[00:01:33.180 --> 00:01:35.060]   that we made in the last five months.
[00:01:35.060 --> 00:01:37.340]   It has a full aluminum body, runs an RL controller
[00:01:37.340 --> 00:01:38.620]   for locomotion.
[00:01:38.620 --> 00:01:41.140]   And it's pretty sensor complete.
[00:01:41.140 --> 00:01:43.140]   So you can do all the really cool tasks
[00:01:43.140 --> 00:01:46.300]   that the previous presenter was showing.
[00:01:46.300 --> 00:01:48.760]   And this will also be one of the cheapest humanoid robots
[00:01:48.760 --> 00:01:49.640]   on the market.
[00:01:49.640 --> 00:01:54.260]   And it's ready for pre-order right now, delivered by October.
[00:01:54.260 --> 00:01:54.920]   Yeah.
[00:01:54.920 --> 00:01:58.900]   So if you come visit, there's a demo we do.
[00:01:58.900 --> 00:02:00.800]   You can kick the robot.
[00:02:00.800 --> 00:02:02.520]   The controller is quite robust.
[00:02:02.520 --> 00:02:06.140]   And the robot can take a lot of damage.
[00:02:06.140 --> 00:02:08.240]   On the robot itself, you also have--
[00:02:08.240 --> 00:02:12.080]   basically, you can do VR teleoperation with building hands.
[00:02:12.080 --> 00:02:14.760]   I'll describe the modularity a bit more.
[00:02:14.760 --> 00:02:16.980]   But yeah.
[00:02:16.980 --> 00:02:19.040]   So the robot is able to run a bunch
[00:02:19.040 --> 00:02:20.900]   of different local manipulation policies,
[00:02:20.900 --> 00:02:24.760]   running our own RL training framework.
[00:02:24.760 --> 00:02:26.760]   So when we started building the K-Bot,
[00:02:26.760 --> 00:02:30.880]   we thought about how do we make humanoids scale in the future?
[00:02:30.880 --> 00:02:34.420]   And what makes it possible for people
[00:02:34.420 --> 00:02:36.080]   to adopt humanoid robots?
[00:02:36.080 --> 00:02:38.920]   So we basically designed this humanoid robot
[00:02:38.920 --> 00:02:42.460]   to be the simplest factor as possible.
[00:02:42.460 --> 00:02:45.240]   And it's going to be the most affordable developer
[00:02:45.240 --> 00:02:48.880]   and research-grade humanoid robot at $9,000.
[00:02:48.880 --> 00:02:52.040]   The next cheapest option is probably at $40,000,
[00:02:52.040 --> 00:02:53.920]   which is the unit tree robot.
[00:02:53.920 --> 00:02:57.800]   This is roughly the cost of most robot arms today.
[00:02:57.800 --> 00:03:02.320]   Like if you buy UR5, that's, I think, $15,000, et cetera.
[00:03:02.320 --> 00:03:04.800]   So the entire robot is going to be open source.
[00:03:04.800 --> 00:03:07.160]   What that means is we're going to have open bomb.
[00:03:07.160 --> 00:03:10.100]   Every single piece of the hardware, CAD design, electronics,
[00:03:10.100 --> 00:03:14.160]   PCB, software, machine learning models will be fully open sourced.
[00:03:14.160 --> 00:03:17.920]   So you can replicate those if you want to.
[00:03:17.920 --> 00:03:20.700]   And it's also going to be very, very modular, which means
