
[00:00:00.000 --> 00:00:04.360]   I'll tell you though that is relevant to the deep dive I want to do
[00:00:04.360 --> 00:00:09.220]   So we're talking about me doing less as a writer
[00:00:09.220 --> 00:00:14.680]   so the deep dive I wanted to do today was on the topic of the surprising math of
[00:00:14.680 --> 00:00:17.560]   doing less
[00:00:17.560 --> 00:00:20.520]   Because when you hear something like I was just talking about
[00:00:20.520 --> 00:00:25.860]   My dream schedule as a writer the thing that probably hits
[00:00:26.580 --> 00:00:31.220]   The attention of the listener first is like well that doesn't seem like you're doing that much stuff
[00:00:31.220 --> 00:00:33.220]   That doesn't seem like it's that much work
[00:00:33.220 --> 00:00:37.160]   My argument and this is something I've been thinking through especially as I've been
[00:00:37.160 --> 00:00:42.040]   developing my thoughts around my philosophy of slow productivity is
[00:00:42.040 --> 00:00:44.560]   that
[00:00:44.560 --> 00:00:48.560]   We do too much and we do too much for no good reason
[00:00:48.560 --> 00:00:55.080]   Because if we are careful in thinking about the mathematics of value production
[00:00:56.120 --> 00:00:58.480]   Doing less is often the optimal strategy
[00:00:58.480 --> 00:01:04.000]   That's what I want to argue that doing less can be the optimal strategy now
[00:01:04.000 --> 00:01:08.880]   We need some context like what type of thing do we talk about what type of work are we talking about so to be clear?
[00:01:08.880 --> 00:01:12.920]   I'm talking about here. Let's say you're in a job where you create things of
[00:01:12.920 --> 00:01:16.040]   Value that is what you do for your job
[00:01:16.040 --> 00:01:23.120]   So I don't know if it's computer code or if it's articles or consulting reports or artwork
[00:01:23.600 --> 00:01:25.800]   Whatever, but if you're in a job where ultimately
[00:01:25.800 --> 00:01:29.080]   You create something that did not exist before
[00:01:29.080 --> 00:01:36.080]   Be it digital be it physical and that thing has value that wasn't there before so you're constructing value by creating things
[00:01:36.080 --> 00:01:41.840]   Which is a lot of people and a lot of people who listen to this podcast if you're in that context. I want to argue a
[00:01:41.840 --> 00:01:44.960]   scheduling approach that
[00:01:44.960 --> 00:01:48.240]   Reduces the amount of things on your plate will actually increase
[00:01:48.240 --> 00:01:52.200]   The total amount of value you produce over time
[00:01:53.200 --> 00:01:59.600]   If anything we can actually trace a curve we can try to capture these dynamics with a curve what I think about is what I sometimes
[00:01:59.600 --> 00:02:05.880]   Call the productivity versus load curve, but imagine for a second that we have some sort of plot
[00:02:05.880 --> 00:02:11.440]   Around the x-axis along the bottom we have the amount of things on your plate
[00:02:11.440 --> 00:02:15.040]   obligations projects etc tasks and
[00:02:15.040 --> 00:02:18.200]   Imagine on the y-axis the vertical axis we have
[00:02:18.200 --> 00:02:21.160]   total value you are producing
[00:02:21.960 --> 00:02:28.520]   I argue what you're gonna see is pretty soon that curve is going to peak up and reach a maximum
[00:02:28.520 --> 00:02:33.000]   Pretty far to the left pretty far to the not that many things to do and as you keep
[00:02:33.000 --> 00:02:37.400]   Moving towards the right towards more and more things on your plate that curve is going to come back down
[00:02:37.400 --> 00:02:39.720]   And then it'll be a plateau for a while
[00:02:39.720 --> 00:02:44.240]   And then it'll once you get to enough stuff on your plate. It'll actually plummet down to almost no value produced
[00:02:44.240 --> 00:02:47.240]   This is the productivity versus load curve
[00:02:47.520 --> 00:02:53.520]   It is not like a lot of people suspect something that just keeps going up do more things you you're finishing more things each thing brings
