
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:10.920]   - Do you think you can maybe talk through
[00:00:10.920 --> 00:00:15.720]   the first few months and then on through the first 20 years
[00:00:15.720 --> 00:00:18.240]   and then for the rest of their lives,
[00:00:18.240 --> 00:00:21.760]   what is the development of the human brain look like?
[00:00:21.760 --> 00:00:23.200]   What are the different stages?
[00:00:23.200 --> 00:00:27.400]   - Yeah, at the beginning you have to build a brain, right?
[00:00:27.400 --> 00:00:29.520]   And the brain is made of cells.
[00:00:29.520 --> 00:00:30.440]   - What's the very beginning?
[00:00:30.440 --> 00:00:32.680]   Which beginning are we talking about?
[00:00:32.680 --> 00:00:34.000]   - In the embryo.
[00:00:34.000 --> 00:00:36.680]   As the embryo is developing in the womb,
[00:00:36.680 --> 00:00:39.200]   in addition to making all of the other tissues
[00:00:39.200 --> 00:00:42.740]   of the embryo, the muscle, the heart, the blood,
[00:00:42.740 --> 00:00:45.640]   the embryo is also building the brain.
[00:00:45.640 --> 00:00:49.160]   And it builds from a very simple structure
[00:00:49.160 --> 00:00:50.640]   called the neural tube,
[00:00:50.640 --> 00:00:53.820]   which is basically nothing but a tube of cells
[00:00:53.820 --> 00:00:56.440]   that spans sort of the length of the embryo
[00:00:56.440 --> 00:00:59.160]   from the head all the way to the tail,
[00:00:59.160 --> 00:01:00.580]   let's say, of the embryo.
[00:01:00.580 --> 00:01:06.200]   And then in human beings, over many months of gestation,
[00:01:06.200 --> 00:01:08.680]   from that neural tube,
[00:01:08.680 --> 00:01:13.120]   which contains stem cell-like cells of the brain,
[00:01:13.120 --> 00:01:17.680]   you will make many, many other building blocks of the brain.
[00:01:17.680 --> 00:01:20.280]   So all of the other cell types,
[00:01:20.280 --> 00:01:22.560]   'cause there are many, many different types of cells
[00:01:22.560 --> 00:01:26.600]   in the brain that will form specific structures
[00:01:26.600 --> 00:01:27.440]   of the brain.
[00:01:27.440 --> 00:01:30.440]   So you can think about embryonic development of the brain
[00:01:30.440 --> 00:01:32.280]   as just the time in which you are making
[00:01:32.280 --> 00:01:35.120]   the building blocks, the cells.
[00:01:35.120 --> 00:01:38.300]   - Are the stem cells relatively homogeneous, like uniform,
[00:01:38.300 --> 00:01:40.000]   or are they all different type?
[00:01:40.000 --> 00:01:40.840]   - It's a very good question.
[00:01:40.840 --> 00:01:41.920]   It's exactly how it works.
[00:01:41.920 --> 00:01:44.840]   You start with a more homogeneous,
[00:01:44.840 --> 00:01:49.800]   perhaps more multipotent type of stem cell.
[00:01:49.800 --> 00:01:50.640]   - What's multipotent?
[00:01:50.640 --> 00:01:54.200]   - Multipotent means that it has the potential
[00:01:54.200 --> 00:01:58.040]   to make many, many different types of other cells.
[00:01:58.040 --> 00:01:59.480]   And then with time,
[00:01:59.480 --> 00:02:02.080]   these progenitors become more heterogeneous,
[00:02:02.080 --> 00:02:03.520]   which means more diverse.
[00:02:03.520 --> 00:02:06.880]   There are gonna be many different types of the stem cells.
[00:02:06.880 --> 00:02:09.440]   And also, they will give rise to progeny,
[00:02:09.440 --> 00:02:12.400]   to other cells that are not stem cells,
[00:02:12.400 --> 00:02:14.000]   that are specific cells of the brain,
[00:02:14.000 --> 00:02:16.760]   that are very different from the mother stem cell.
[00:02:16.760 --> 00:02:19.500]   And now you think about this process of making cells
[00:02:19.500 --> 00:02:22.980]   from the stem cells over many, many months of development
[00:02:22.980 --> 00:02:24.480]   for humans.
[00:02:24.480 --> 00:02:25.320]   And what you're doing,
[00:02:25.320 --> 00:02:28.880]   you're building the cells that physically make the brain,
[00:02:28.880 --> 00:02:33.080]   and then you arrange them in specific structures
[00:02:33.080 --> 00:02:36.100]   that are present in the final brain.
[00:02:36.100 --> 00:02:39.360]   So you can think about the embryonic development
[00:02:39.360 --> 00:02:42.780]   of the brain as the time where you're building the bricks.
[00:02:42.780 --> 00:02:46.200]   You're putting the bricks together to form buildings,
[00:02:46.200 --> 00:02:48.800]   structures, regions of the brain,
[00:02:48.800 --> 00:02:51.020]   and where you make the connections
[00:02:51.020 --> 00:02:53.700]   between these many different type of cells,
[00:02:53.700 --> 00:02:55.900]   especially nerve cells, neurons, right?
[00:02:55.900 --> 00:02:59.920]   That transmit action potentials and electricity.
[00:02:59.920 --> 00:03:01.540]   - I've heard you also say somewhere,
[00:03:01.540 --> 00:03:02.940]   I think, correct me if I'm wrong,
[00:03:02.940 --> 00:03:05.800]   that the order of the way this builds matters.
[00:03:05.800 --> 00:03:06.720]   - Oh, yes.
[00:03:06.720 --> 00:03:10.520]   If you are an engineer and you think about development,
[00:03:10.520 --> 00:03:11.840]   you can think of it as,
[00:03:11.840 --> 00:03:15.640]   well, I could also take all the cells
[00:03:15.640 --> 00:03:18.620]   and bring them all together into a brain in the end.
[00:03:18.620 --> 00:03:20.980]   But development is much more than that.
[00:03:20.980 --> 00:03:24.520]   So the cells are made in a very specific order
[00:03:24.520 --> 00:03:28.040]   that subserve the final product that you need to get.
[00:03:28.040 --> 00:03:30.540]   And so, for example, all of the nerve cells,
[00:03:30.540 --> 00:03:32.880]   the neurons, are made first,
[00:03:32.880 --> 00:03:35.040]   and all of the supportive cells of the neurons,
[00:03:35.040 --> 00:03:37.440]   like the glia, is made later.
[00:03:37.440 --> 00:03:39.040]   And there is a reason for that,
[00:03:39.040 --> 00:03:42.760]   because they have to assemble together in specific ways.
[00:03:42.760 --> 00:03:43.600]   But you also may say,
[00:03:43.600 --> 00:03:46.360]   well, why don't we just put them all together in the end?
[00:03:46.360 --> 00:03:49.600]   It's because as they develop next to each other,
[00:03:49.600 --> 00:03:51.920]   they influence their own development.
[00:03:51.920 --> 00:03:53.860]   So it's a different thing for a glia
[00:03:53.860 --> 00:03:56.060]   to be made alone in a dish
[00:03:56.060 --> 00:04:00.020]   than a glia cell be made in a developing embryo
[00:04:00.020 --> 00:04:01.980]   with all these other cells around it
[00:04:01.980 --> 00:04:04.340]   that produce all these other signals.
[00:04:04.340 --> 00:04:06.540]   - First of all, that's mind-blowing,
[00:04:06.540 --> 00:04:08.460]   this development process.
[00:04:08.460 --> 00:04:10.380]   From my perspective in artificial intelligence,
[00:04:10.380 --> 00:04:14.100]   you often think of how incredible the final product is,
[00:04:14.100 --> 00:04:15.840]   the final product, the brain.
[00:04:15.840 --> 00:04:19.060]   But you're making me realize that the final product
[00:04:19.060 --> 00:04:22.680]   is just, the beautiful thing
[00:04:22.680 --> 00:04:25.100]   is the actual development process.
[00:04:25.100 --> 00:04:30.100]   Do we know the code that drives that development?
[00:04:30.100 --> 00:04:32.620]   - Yeah.
[00:04:32.620 --> 00:04:34.500]   - Do we have any sense?
[00:04:34.500 --> 00:04:36.420]   - First of all, thank you for saying
[00:04:36.420 --> 00:04:39.940]   that it's really the formation of the brain.
[00:04:39.940 --> 00:04:41.300]   It's really its development,
[00:04:41.300 --> 00:04:45.740]   it's this incredibly choreographed dance
[00:04:45.740 --> 00:04:48.100]   that happens the same way every time
