
[00:00:00.040 --> 00:00:07.180]   wszyscy at in
[00:00:07.180 --> 00:00:11.940]   This I 전
[00:00:11.940 --> 00:00:28.000]   , 0, ask,mak,�,
[00:00:28.680 --> 00:00:52.400]   Корrector: Mark Zuckerberg. These avatars can capture many of the nuances of facial expressions that we use, we humans use to communicate emotion to each other. Now I just need to work on upgrading my emotion expressing capabilities of the underlying human. This is the Love Experiment Podcast. And now, dear friends, here's Mark Zuckerberg.
[00:00:52.400 --> 00:00:57.320]   Succeeding in the world.
[00:00:57.320 --> 00:00:57.320]   Subtitles by the Amara.org community
[00:00:57.320 --> 00:00:57.320]   community.
[00:00:57.320 --> 00:00:57.320]   Subtitles by the Amara.org community
[00:00:57.320 --> 00:00:57.360]   community.
[00:00:57.360 --> 00:00:57.420]   Subtitles by the Amara.org community.
[00:00:57.420 --> 00:00:57.460]   Subtitles by the Amara.org community.
[00:00:57.460 --> 00:00:57.520]   Subtitles by the Amara.org community.
[00:00:57.520 --> 00:00:57.560]   Subtitles by the Amara.org community.
[00:00:57.560 --> 00:00:57.620]   Subtitles by the Amara.org community.
[00:00:57.620 --> 00:00:57.660]   Subtitles by the Amara.org community.
[00:00:57.660 --> 00:00:57.720]   Subtitles by the Amara.org community.
[00:00:57.720 --> 00:00:57.760]   Subtitles by the Amara.org community.
[00:00:57.760 --> 00:01:26.920]   Subtitles by the Amara.org community.
[00:01:26.920 --> 00:01:26.960]   Subtitles by the Amara.org community.
[00:01:26.960 --> 00:01:27.020]   Subtitles by the Amara.org community.
[00:01:27.020 --> 00:01:27.020]   Subtitles by the Amara.org community.
[00:01:27.020 --> 00:01:27.100]   Subtitles by the Amara.org community.
[00:01:27.100 --> 00:01:27.120]   Subtitles by the Amara.org community.
[00:01:27.120 --> 00:01:27.160]   Subtitles by the Amara.org community.
[00:01:27.160 --> 00:01:27.200]   Subtitles by the Amara.org community.
[00:01:27.200 --> 00:01:27.200]   Subtitles by the Amara.org community.
[00:01:27.200 --> 00:01:27.220]   Subtitles by the Amara.org community.
[00:01:27.220 --> 00:01:27.340]   Subtitles by the Amara.org community.
[00:01:27.340 --> 00:01:27.400]   Subtitles by the Amara.org community.
[00:01:27.400 --> 00:01:27.480]   Subtitles by the Amara.org community.
[00:01:27.480 --> 00:01:27.700]   Subtitles by the Amara community. Subtitles by the Amara. Subtitles by the Amara.
[00:01:27.740 --> 00:01:38.180]   large
[00:01:38.180 --> 00:01:57.460]   يا work,,,, . similar nonsense where in this that is in the reals, and, man, catast, I mean, I'm in my fixed, I'm in my, 구,æ,这,
[00:01:57.500 --> 00:02:07.120]   ...
[00:02:07.120 --> 00:02:08.760]   continue. I have.
[00:02:08.760 --> 00:02:26.320]   in X X X but spark fell這裡 stick we's I'm or gia /F. I, I, I, I, I, I, I, I, I, I, I, I, I, qunehmen, Pro, 5, G, L, але, Ak,준,ocalyptic, in., Sup tube, grass., THIS,ίν., reais, end, give us, Y, و, money, not, obligamin, Pause,較, here is Not, Hoff but I, weigh the empty the Des contest, Reporter, waslet, record, kwesting, tree, aPM. cut. world.ocy. multin Entwick Two chag,
[00:02:26.440 --> 00:02:34.400]   in
[00:02:34.400 --> 00:02:55.940]   with in '
[00:03:25.480 --> 00:03:25.480]   and '
[00:03:25.480 --> 00:03:25.480]   and '
[00:03:25.960 --> 00:03:25.960]  , ' and '
[00:03:25.960 --> 00:03:25.960]   ' and '
[00:03:25.960 --> 00:03:25.960]   ' and '
[00:03:26.000 --> 00:03:36.280]   in
[00:03:36.280 --> 00:03:54.860]   remembered, is my
[00:03:55.140 --> 00:04:04.140]   is my own.
[00:04:04.140 --> 00:04:07.140]   I'm a real human being.
[00:04:07.140 --> 00:04:09.980]   So, I'm gonna try to express it.
[00:04:09.980 --> 00:04:12.980]   I'm gonna try to express it. - Yeah, I mean, it's kind of funny.
[00:04:12.980 --> 00:04:15.980]   I mean, it's kind of funny. - Yeah, I mean, it's kind of funny. - And it's kind of funny because that's like, that's all amazing.
[00:04:15.980 --> 00:04:19.980]   It makes you, it makes us so much more immersive. It makes you realize that, like, perfection isn't the thing that leads to immersion. It's like the little subtle flaws, like, crackles and, like, variations in color and just-- - Yeah, wrinkles. Asymmetry. - Yeah, asymmetry. And just the different, like, the corners of the eyes, like, what your eyes do when you smile, all that kind of stuff.
[00:04:20.860 --> 00:04:49.140]  , that kind of expression and all that. So, and we try to capture that with the kind of classical expressive avatar system that we have. That's the kind of more cartoon-designed one. You can kind of put those kind of expressions on those faces as well. But there's obviously a certain realism that comes with delivering kind of this photorealistic experience.
[00:04:49.160 --> 00:04:52.980]   I don't know. I just think it's really magical.
[00:04:52.980 --> 00:04:58.560]   I mean, this gets to kind of the core of what the vision around virtual and augmented reality is.
[00:04:58.560 --> 00:05:01.820]   It's like delivering a sense of presence, as if you're there together,
[00:05:01.820 --> 00:05:03.560]   no matter where you actually are in the world.
[00:05:03.560 --> 00:05:07.780]   And I mean, this experience, I think, is a good embodiment of that,
[00:05:07.780 --> 00:05:10.240]   where it's like, I mean, we're in two completely different states,
[00:05:10.240 --> 00:05:13.340]   halfway across the country, and it's just like, you know,
[00:05:13.340 --> 00:05:14.880]   it looks like you're just sitting right in front of me.
[00:05:14.880 --> 00:05:17.080]   It's pretty wild.
[00:05:17.080 --> 00:05:18.300]   - Yeah, yeah, I can't.
[00:05:18.340 --> 00:05:28.360]  務
[00:05:28.360 --> 00:05:47.380]   deeper 15 the "
[00:05:48.380 --> 00:05:50.220]   Transportation" and "Personal Health" and "Advanced Health" and "Accessibility to People".
[00:05:50.220 --> 00:06:18.380]   It starts off with a small number of people doing these very detailed scans. That's the version that you did and that I did. Before, there were a lot of people who we've done this kind of a scan for. We probably need to overcollect expressions when we're doing the scanning because we haven't figured out how much we can reduce that down to a really streamlined process.
[00:06:18.380 --> 00:06:18.380]   And it can be very difficult to do that.
[00:06:18.380 --> 00:06:18.380]   We've got a lot of people who have done this kind of a scan for. We probably need to kind of overcollect expressions when we're doing the scanning because we haven't figured out how much we can reduce that down to a really streamlined process.
[00:06:18.400 --> 00:06:48.420]   extrapolate from the scans that have already been done.
[00:06:48.420 --> 00:06:48.420]   But the goal, and we have a project that's working on this already, is just to do a very quick scan with your cell phone where you just take your phone, kind of wave it in front of your face for a couple minutes, say a few sentences, make a bunch of expressions, but overall have the whole process just be two to three minutes, and then produce something that's of the quality of what we have right now. I think that that's one of the big challenges that remains.
[00:06:48.420 --> 00:06:48.420]   Right now, we're doing a lot of scanning, but we're also doing a lot of physical work.
[00:06:48.420 --> 00:06:48.420]   Right now, we're doing a lot of physical work.
[00:06:48.420 --> 00:06:48.420]   Right now, we're doing a lot of physical work.
[00:06:48.420 --> 00:06:48.420]   Right now, we're doing a lot of physical work.
[00:06:48.420 --> 00:06:48.420]   Right now, we're doing a lot of physical work.
[00:06:48.420 --> 00:06:48.420]   Right now, we're doing a lot of physical work.
[00:06:48.460 --> 00:07:18.460]   Right now, we have the ability to do the scans if you have hours to sit for one.
[00:07:18.460 --> 00:07:18.460]   Right now, we have the ability to do the scans if you have hours to sit for one. And with today's technology, I mean, you're using a meta headset that exists. It's a product that's kind of for sale now. You can drive these with that. But the production of these scans in a very efficient way is one of the last pieces that we still need to really nail. And then obviously there's all the experiences around it. I mean, right now we're kind of sitting in a dark room, which
[00:07:18.460 --> 00:07:18.460]   And then obviously there's all the experiences around it. I mean, right now we're kind of sitting in a dark room which
[00:07:18.480 --> 00:07:48.500]   is familiar for your podcast. But I think part of the vision for this over time is not just having this be like a video call. I mean, that's fine. It's cool. It feels like it's immersive. But you can do a video call on your phone. The thing that you can do in the metaverse that is different from what you can do on a phone is doing stuff where you're physically there together and participating in things together. And we could play games like this. We could have meetings like this.
[00:07:48.540 --> 00:08:18.540]  , and have some people physically there and have some people show up in this photo realistic form superimposed on the physical environment. I've got stuff like that is going to be super powerful. So we got to still build out all those kind of applications and the use cases around it. But I don't know. I think it's gonna be a pretty wild next few years around this.
[00:08:18.540 --> 00:08:18.540]   I mean, I just I'm actually almost at a loss of words.
[00:08:18.540 --> 00:08:18.540]   I mean, I just I'm actually almost at a loss of words.
[00:08:18.560 --> 00:08:20.580]   This is just so incredible. This is truly incredible.
[00:08:20.580 --> 00:08:22.580]   I hope that people like watching this can get a glimpse of like how incredible it is.
[00:08:22.580 --> 00:08:24.580]   It really feels like we're in the same room.
[00:08:24.580 --> 00:08:25.580]   Like there is that I guess there's an uncanny valley that seems to have been crossed here.
[00:08:25.580 --> 00:08:26.580]   Like it looks like you.
[00:08:26.580 --> 00:08:27.580]   Yeah.
[00:08:27.580 --> 00:08:28.580]   I mean, I think there's still a bunch of tuning that I think we'll want to do where different people emote to different extents.
[00:08:28.580 --> 00:08:29.580]   Right.
[00:08:29.580 --> 00:08:30.580]   So I think one of the big questions is, you know, I think it's a really good question.
[00:08:30.580 --> 00:08:31.580]   I mean, I think it's a really good question.
[00:08:31.580 --> 00:08:32.580]   I think it's a really good question.
[00:08:32.580 --> 00:08:33.580]   I think it's a really good question.
[00:08:33.580 --> 00:08:34.580]   I think it's a really good question.
[00:08:34.580 --> 00:08:35.580]   I think it's a really good question.
[00:08:35.580 --> 00:08:36.580]   I think it's a really good question.
[00:08:36.620 --> 00:08:42.480]   Will
[00:08:42.480 --> 00:08:48.960]   en, ,, 10
[00:09:32.900 --> 00:09:36.240]   don
[00:09:36.240 --> 00:09:39.920]   found, at in
[00:09:39.920 --> 00:09:47.020]   when I G C C . .,,,,,., psic hear and and even in the round. So, ,,,,,,,, like is a leg and all not to look내
[00:10:01.720 --> 00:10:11.780]   find
[00:10:11.780 --> 00:10:15.660]  , texture, . discuss about the black and,,,,,這一
[00:10:15.660 --> 00:10:30.620]   pans e
[00:10:31.660 --> 00:10:41.980]   en
[00:10:41.980 --> 00:10:59.320]   in. I have table
[00:11:01.680 --> 00:11:09.280]   de
[00:11:09.280 --> 00:11:12.760]   provides one,
[00:12:01.360 --> 00:12:01.360]   I don't know if you want to add more.
[00:12:01.360 --> 00:12:01.360]   But I'll add more.
[00:12:50.180 --> 00:12:50.180]   I'll add more.
[00:12:50.180 --> 00:12:50.180]   I'll add more.
[00:12:50.220 --> 00:13:00.300]   I
[00:13:00.300 --> 00:13:04.600]   double am,,, cracks Fried my r toilet andses
[00:13:04.600 --> 00:13:18.600]  авав may un perd a money, and, and, and, and, and, and, and, and, or, to, Bill.ру. E. M.inen familiar withdraw nervous內� handsome realm Hye прос телеф巧onsense why
[00:15:41.380 --> 00:16:01.600]   the
[00:18:38.940 --> 00:18:39.360]   and I think that's a lot of people are worried about swinging their arms around like am I going to hit a lamp or something you know it's an end you might get a run into something so having that in mixed reality actually it's just a lot more comfortable for people ready you kind of still get the immersion and the 3d experience and you can you can have an experience that just wouldn't be possible in the physical world.
[00:18:39.360 --> 00:18:39.360]   So having that in mixed reality actually is just a lot more comfortable for people ready you kind of still get the immersion and the 3d experience and you can you can have an experience that just wouldn't be possible in the physical world.
[00:18:39.360 --> 00:18:39.360]   So having that in mixed reality actually is just a lot more comfortable for people ready you kind of still get the immersion and the 3d experience and you can you can have an experience that just wouldn't be possible in the physical world.
[00:19:07.520 --> 00:19:09.380]   Yeah, and I got the experience that was other people sitting around and there's a lot of furniture and so you get to see that furniture and get to see those people and get to see those people like enjoy the ridiculousness of you like swinging your arms and presumably their friends of yours even if they're not in the physical world.
[00:19:09.420 --> 00:19:39.400]   so having that in mixed reality actually is just a lot more comfortable for people ready you kind of still get the immersion and the 3d experience and you can you can have an experience that just wouldn't be possible in the physical world.
[00:19:39.400 --> 00:19:39.400]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:19:39.400 --> 00:19:39.400]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:19:39.400 --> 00:20:09.420]  ,
[00:20:09.420 --> 00:20:09.420]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:20:09.420 --> 00:20:09.420]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:20:09.420 --> 00:20:09.420]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:20:09.420 --> 00:20:09.420]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:20:09.420 --> 00:20:09.420]   and I got the experience that just wouldn't be possible in the physical world.
[00:20:09.420 --> 00:20:09.420]   and I got the experience that just wouldn't be possible in the physical world.
[00:20:09.420 --> 00:20:09.420]   and I got the experience that just wouldn't possible in the physical world.
[00:20:09.440 --> 00:20:39.440]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:20:39.440 --> 00:20:39.440]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:20:39.440 --> 00:20:39.440]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:20:39.440 --> 00:20:39.440]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:20:39.440 --> 00:20:39.440]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:20:39.440 --> 00:20:39.440]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:20:39.440 --> 00:20:39.440]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:20:39.440 --> 00:20:39.440]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:20:39.440 --> 00:20:39.440]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:20:39.440 --> 00:20:39.440]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:20:39.480 --> 00:21:09.460]  ,
[00:21:09.460 --> 00:21:09.460]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:09.460 --> 00:21:09.460]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:09.460 --> 00:21:09.460]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:09.460 --> 00:21:09.460]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:09.460 --> 00:21:09.460]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:09.460 --> 00:21:09.460]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:09.460 --> 00:21:09.460]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:09.460 --> 00:21:09.460]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:09.460 --> 00:21:09.460]  , yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:09.480 --> 00:21:39.480]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:39.480 --> 00:21:39.480]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:39.480 --> 00:21:39.480]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:39.480 --> 00:21:39.480]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:39.480 --> 00:21:39.480]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:39.480 --> 00:21:39.480]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:39.480 --> 00:21:39.480]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:39.480 --> 00:21:39.480]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:39.480 --> 00:21:39.480]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:21:39.480 --> 00:21:39.480]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:09.500 --> 00:22:09.500]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:09.500 --> 00:22:09.500]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:09.500 --> 00:22:09.500]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:09.500 --> 00:22:09.500]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:09.500 --> 00:22:09.500]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:09.500 --> 00:22:09.500]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:09.500 --> 00:22:09.500]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:09.500 --> 00:22:09.500]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:09.500 --> 00:22:09.500]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:09.500 --> 00:22:09.500]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:39.520 --> 00:22:39.520]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:39.520 --> 00:22:39.520]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:39.520 --> 00:22:39.520]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:39.520 --> 00:22:39.520]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:39.520 --> 00:22:39.520]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:39.520 --> 00:22:39.520]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:39.520 --> 00:22:39.520]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:39.520 --> 00:22:39.520]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:39.520 --> 00:22:39.520]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:22:39.520 --> 00:22:39.520]  , and I got the experience that just wouldn't be possible in the physical world.
[00:22:39.540 --> 00:23:09.540]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:09.540 --> 00:23:09.540]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:09.540 --> 00:23:09.540]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:09.540 --> 00:23:09.540]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:09.540 --> 00:23:09.540]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:09.540 --> 00:23:09.540]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:09.540 --> 00:23:09.540]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:09.540 --> 00:23:09.540]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:09.540 --> 00:23:09.540]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:09.540 --> 00:23:09.540]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:09.560 --> 00:23:39.560]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:39.560 --> 00:23:39.560]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:39.560 --> 00:23:39.560]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:39.560 --> 00:23:39.560]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:39.560 --> 00:23:39.560]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:39.560 --> 00:23:39.560]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:39.560 --> 00:23:39.560]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:39.560 --> 00:23:39.560]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:39.560 --> 00:23:39.560]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:39.560 --> 00:23:39.560]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:23:39.600 --> 00:24:09.580]  ,
[00:24:09.580 --> 00:24:09.580]   I mean any screen,
[00:24:09.580 --> 00:24:09.580]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:09.580 --> 00:24:09.580]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:09.580 --> 00:24:09.580]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:09.580 --> 00:24:09.580]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:09.580 --> 00:24:09.580]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:09.580 --> 00:24:09.580]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:09.580 --> 00:24:09.580]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:09.580 --> 00:24:09.580]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:09.580 --> 00:24:09.580]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:09.580 --> 00:24:09.580]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:09.600 --> 00:24:39.600]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:39.600 --> 00:24:39.600]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:39.600 --> 00:24:39.600]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:39.600 --> 00:24:39.600]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:39.600 --> 00:24:39.600]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:39.600 --> 00:24:39.600]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:39.600 --> 00:24:39.600]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:39.600 --> 00:24:39.600]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:39.600 --> 00:24:39.600]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:39.600 --> 00:24:39.600]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:24:39.620 --> 00:25:09.620]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:25:09.620 --> 00:25:09.620]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:25:09.620 --> 00:25:09.620]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:25:09.620 --> 00:25:09.620]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:25:09.620 --> 00:25:09.620]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:25:09.620 --> 00:25:09.620]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:25:09.620 --> 00:25:09.620]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
[00:25:09.620 --> 00:25:09.620]   Yeah, and I got the experience that just wouldn't be possible in the physical world.
