
[00:00:00.040 --> 00:00:09.560]  ivat
[00:00:09.560 --> 00:00:10.380]   has see. I find a
[00:00:10.380 --> 00:00:16.500]   mand
[00:00:16.500 --> 00:00:19.940]   lui chez phonesäng driョ quietly intimate underneath политed in as ngoolé Frederick que
[00:00:19.940 --> 00:00:28.500]   So,
[00:00:28.900 --> 00:00:43.560]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in ten years or less.
[00:00:43.560 --> 00:00:54.680]   My name is Joshua. I am your host, and today I want to share with you some ideas to help you to embrace your financial mistakes as part of your learning.
[00:00:54.680 --> 00:00:56.920]   If you want the
[00:00:56.920 --> 00:00:57.760]   One-sentence synopsis of the synopsis, you can use the link in the description below.
[00:00:57.760 --> 00:00:57.760]   If you want the one-sentence synopsis of the synopsis, you can use the link in the description below.
[00:00:57.760 --> 00:00:57.760]   If you want the one-sentence synopsis of the synopsis, you can use the link in the description below.
[00:00:57.760 --> 00:00:57.760]   If you want the one-sentence synopsis of the synopsis, you can use the link in the description below.
[00:00:57.780 --> 00:01:26.640]  , is simply this.
[00:01:26.640 --> 00:01:26.720]   Sometimes you win and sometimes you learn, but only if you're actually paying attention.
[00:01:26.720 --> 00:01:26.760]   First, a couple of questions for you on the topic of learning.
[00:01:26.760 --> 00:01:26.800]   One of the major errors I see us making in modern life is we neglect the topic of how to learn.
[00:01:26.820 --> 00:01:37.800]   Were you ever given a course or a lecture even, a single lecture, on how to learn or perhaps how to study?
[00:01:37.800 --> 00:01:44.540]   Were you ever given tools of learning that you could apply throughout your entire lifetime?
[00:01:44.540 --> 00:01:48.960]   Did a professor share those secrets with you?
[00:01:48.960 --> 00:01:54.240]   For most of us, the answer is no, and that's for a number of reasons.
[00:01:54.240 --> 00:01:55.680]   First, of course, the entirety of the way we learn.
[00:01:55.680 --> 00:01:55.760]   First, of course, the entirety of the way we learn.
[00:01:55.760 --> 00:01:55.840]   First, of course, the entirety of the way we learn.
[00:01:55.840 --> 00:01:55.900]   First, of course, the entirety of the way we learn.
[00:01:55.900 --> 00:01:55.960]   First, of course, the entirety of the way we learn.
[00:01:55.960 --> 00:01:56.020]   First, of course, the entirety of the way we learn.
[00:01:56.020 --> 00:01:56.080]   First, of course, the entirety of the way we learn.
[00:01:56.080 --> 00:01:56.140]   First, of course, the entirety of the way we learn.
[00:01:56.140 --> 00:01:56.200]   First, of course, the entirety of the way we learn.
[00:01:56.240 --> 00:02:25.660]  , and then the entirety of the way that formal academic instruction is conducted assumes the need for an expert.
[00:02:25.660 --> 00:02:25.700]   So most of the time when you are presented with a problem, you might very easily revert back to the idea of school.
[00:02:25.700 --> 00:02:25.700]   I need to go and find an expert. I need to go and find a teacher to teach me and to show me these things from the front of the room. Now, there's a place for teachers, there's a place for experts. I make my living as an expert teacher. But I want to equip you to go beyond me.
[00:02:25.700 --> 00:02:25.700]   Now, there's a place for teachers, there's a place for experts. I make my living as an expert teacher. But I want to equip you to go beyond me.
[00:02:25.700 --> 00:02:26.200]   I need to equip you to go beyond me.
[00:02:26.220 --> 00:02:33.920]   I want to equip you to go beyond almost any teacher with some ideas on learning for yourself.
