
[00:00:00.000 --> 00:00:01.600]   Are you experienced?
[00:00:01.600 --> 00:00:03.000]   Sure, you've been to Las Vegas,
[00:00:03.000 --> 00:00:05.740]   but have you truly experienced Las Vegas?
[00:00:05.740 --> 00:00:08.640]   The Fremont Street Experience is the OG Las Vegas,
[00:00:08.640 --> 00:00:10.980]   featuring 100 amazing bars and restaurants,
[00:00:10.980 --> 00:00:12.240]   incredible people watching,
[00:00:12.240 --> 00:00:14.840]   and the signature Downtown Rocks concert series,
[00:00:14.840 --> 00:00:17.620]   featuring free live music from top acts.
[00:00:17.620 --> 00:00:19.380]   And you have to check out Slotzilla,
[00:00:19.380 --> 00:00:21.220]   the world's ultimate zip line.
[00:00:21.220 --> 00:00:22.380]   Do Vegas right.
[00:00:22.380 --> 00:00:24.080]   Check out the Fremont Street Experience
[00:00:24.080 --> 00:00:25.920]   and purchase your tickets to Slotzilla,
[00:00:25.920 --> 00:00:29.860]   a zip line unlike any other, at vegasexperience.com.
[00:00:29.860 --> 00:00:32.460]   (upbeat music)
[00:00:32.460 --> 00:00:36.200]   If you've ever been faced with a major car repair,
[00:00:36.200 --> 00:00:39.900]   or even worse, a bunch of ongoing car repairs,
[00:00:39.900 --> 00:00:41.100]   and sat there and said to yourself,
[00:00:41.100 --> 00:00:44.340]   man, I am just wasting all of my money on this thing.
[00:00:44.340 --> 00:00:46.300]   Maybe I should go get a new car.
[00:00:46.300 --> 00:00:48.940]   Well, I've been there, and a lot of people are there,
[00:00:48.940 --> 00:00:52.440]   and it's not easy to know what to do in that situation.
[00:00:52.440 --> 00:00:55.580]   So today, I'm gonna share with you some thoughts
[00:00:55.580 --> 00:00:57.380]   about how I would answer the question
[00:00:57.380 --> 00:01:02.380]   of when to decide whether to fix your car or replace it.
[00:01:02.380 --> 00:01:05.500]   (upbeat music)
[00:01:05.500 --> 00:01:21.340]   Welcome to the Radical Personal Finance Podcast.
[00:01:21.340 --> 00:01:23.100]   My name is Joshua Sheets, and I'm your host.
[00:01:23.100 --> 00:01:24.900]   Thank you so much for being with me today.
[00:01:24.900 --> 00:01:27.140]   Today, we're gonna talk about cars.
[00:01:27.140 --> 00:01:29.300]   Probably the ultimate whipping post
[00:01:29.300 --> 00:01:30.980]   of the personal finance industry.
