
[00:00:00.000 --> 00:00:07.680]   Okay, thanks, everyone.
[00:00:07.680 --> 00:00:09.120]   We're about to get started.
[00:00:09.120 --> 00:00:10.480]   I'm Christine Benz.
[00:00:10.480 --> 00:00:15.720]   I am the president of the board of the John C. Bogle Center for Financial Literacy.
[00:00:15.720 --> 00:00:20.920]   This is our closing session of the conference, and we wanted to end on something that's a
[00:00:20.920 --> 00:00:27.220]   little broader than these topics that we typically noodle on, and Bill Bernstein and Jonathan
[00:00:27.220 --> 00:00:31.840]   Clements I think set us up well for some of the topics that we'll be discussing in the
[00:00:31.840 --> 00:00:33.880]   course of this presentation.
[00:00:33.880 --> 00:00:38.800]   I am so thrilled to introduce to my right Jordan Grumet.
[00:00:38.800 --> 00:00:48.680]   He is a physician who is also a blogger and podcaster and has aligned himself with the
[00:00:48.680 --> 00:00:55.460]   FIRE community because he did achieve financial independence and has been pursuing some other
[00:00:55.460 --> 00:00:58.320]   interests since then.
[00:00:58.320 --> 00:01:05.920]   Jordan's book came to all of you as conference attendees, and we wanted to make it available
[00:01:05.920 --> 00:01:11.240]   because I thought it was just a fabulous book, and in interviewing Jordan, I had kind of
[00:01:11.240 --> 00:01:15.940]   a pinch-me moment in that, you know, I'm like, "I get Morningstar to pay me for this kind
[00:01:15.940 --> 00:01:16.940]   of stuff.
[00:01:16.940 --> 00:01:18.680]   This is a pretty good thing I have going here."
[00:01:18.680 --> 00:01:28.620]   So Jordan has a lot of insights about his work with patients in hospice and what they
[00:01:28.620 --> 00:01:34.640]   have regrets about, sort of their moments of clarity about what they wish they had done
[00:01:34.640 --> 00:01:39.800]   differently in their life, and Jordan feels passionately about this idea that we need
[00:01:39.800 --> 00:01:45.620]   to think about this earlier in our lives, to think about what we want our lives to be.
[00:01:45.620 --> 00:01:49.700]   So that's what I'm hoping we will discuss, or we will discuss during the course of this
[00:01:49.700 --> 00:01:50.700]   conversation.
[00:01:50.700 --> 00:01:53.700]   Jordan, thank you so much for being here.
[00:01:53.700 --> 00:01:54.700]   Thank you so much.
[00:01:54.700 --> 00:01:59.860]   It is a pleasure to be here, and I am humbled by the quality of both the participants and
[00:01:59.860 --> 00:02:01.300]   the speakers at this conference.
[00:02:01.300 --> 00:02:02.580]   It's been truly exceptional.
[00:02:02.580 --> 00:02:04.180]   Well, thanks, Jordan.
[00:02:04.180 --> 00:02:06.700]   And I wanted to mention Karen D'Amato is here.
[00:02:06.700 --> 00:02:11.820]   She will be collecting your questions for Jordan, so we'll leave room for some questions
[00:02:11.820 --> 00:02:12.820]   at the end.
[00:02:12.820 --> 00:02:18.900]   But Jordan, maybe we can start out by you sharing a little bit about your personal journey.
