
[00:00:00.000 --> 00:00:06.000]   [Intro]
[00:00:06.000 --> 00:00:10.040]   Alyssa writes in to ask this, "Pastor John, I grew up in a wonderful Christian home where
[00:00:10.040 --> 00:00:14.480]   the gospel was lived out before me every day and I trusted Christ as my Savior in my youth.
[00:00:14.480 --> 00:00:18.640]   However, around the age of 14, I began to wrestle with many questions about the Christian
[00:00:18.640 --> 00:00:19.920]   faith.
[00:00:19.920 --> 00:00:23.800]   Over the seven years since, I have spent countless hours studying the Christian worldview and
[00:00:23.800 --> 00:00:26.440]   apologetics as well as other worldviews.
[00:00:26.440 --> 00:00:30.200]   I see no lack of evidence for the Christian faith, but my mind always comes up with more
[00:00:30.200 --> 00:00:35.320]   questions that don't seem to have satisfactory answers in order for me to feel honest about
[00:00:35.320 --> 00:00:37.760]   believing the things in God's Word.
[00:00:37.760 --> 00:00:41.760]   At the end of the day, I don't understand how I can ever know any truth for sure since
[00:00:41.760 --> 00:00:45.320]   I will never be able to collect all the facts about anything.
[00:00:45.320 --> 00:00:49.840]   How can we as finite humans be certain that we have found the truth when we are limited
[00:00:49.840 --> 00:00:50.840]   by our own humanity?"
[00:00:50.840 --> 00:00:54.720]   That is so good.
[00:00:54.720 --> 00:01:03.720]   The issues of knowing and certainty and assurance are so, so relevant.
[00:01:03.720 --> 00:01:08.160]   Everybody, everybody deals with these things at some point.
[00:01:08.160 --> 00:01:13.280]   So as I understand it, here's the key, final, decisive question.
[00:01:13.280 --> 00:01:23.040]   How can we as finite humans be certain that we have found the truth when we are limited
[00:01:23.040 --> 00:01:25.720]   in our own humanity?
[00:01:25.720 --> 00:01:31.040]   We're finite, but we want certainty, and they don't seem to go together.
[00:01:31.040 --> 00:01:36.400]   So before I answer the question, which I will, I'll give an answer that I think is biblical.
[00:01:36.400 --> 00:01:41.060]   Let me put some biblical truth in front of us here.
[00:01:41.060 --> 00:01:51.920]   The first is to be sure that we're aware God really does want us to have full assurance
[00:01:51.920 --> 00:01:54.600]   of his reality and the truth of the gospel.
[00:01:54.600 --> 00:02:01.680]   Full assurance, certainty, deep, strong, unshakable conviction.
[00:02:01.680 --> 00:02:09.480]   He did not design a world where that's impossible for fallen, finite people.
[00:02:09.480 --> 00:02:15.120]   First John 5, "I write these things to you who believe in the Son of God, that you may
[00:02:15.120 --> 00:02:17.880]   know that you have eternal life."
[00:02:17.880 --> 00:02:24.840]   John 7, 17, "If anyone's will is to do God's will, he will know whether the teaching is
[00:02:24.840 --> 00:02:26.000]   from God."
[00:02:26.000 --> 00:02:32.680]   Hebrews 6, 11, "We desire each of you to show the same earnestness to have the full assurance
[00:02:32.680 --> 00:02:34.880]   of hope to the end."
[00:02:34.880 --> 00:02:40.120]   Colossians 2, 2, "I struggle for them that their hearts may be encouraged to reach the
[00:02:40.120 --> 00:02:44.840]   riches of full assurance of understanding."
[00:02:44.840 --> 00:02:52.200]   And Romans 1, 20, "God's invisible attributes have been clearly perceived ever since the
[00:02:52.200 --> 00:02:56.920]   creation of the world in the things that have been made, so they are without excuse, for
[00:02:56.920 --> 00:03:03.060]   although they knew God, they knew God, they did not honor him as God."
[00:03:03.060 --> 00:03:08.900]   So God did not design the world and the way of salvation and the process of revelation
[00:03:08.900 --> 00:03:11.480]   and the nature of the Bible and the work of the Holy Spirit.
[00:03:11.480 --> 00:03:17.640]   He didn't design any of those so that we would only have good probability judgments about
[00:03:17.640 --> 00:03:18.640]   the truth.
[00:03:18.640 --> 00:03:22.880]   He did not intend for us to cross our fingers.
[00:03:22.880 --> 00:03:27.560]   I saw a woman sitting in the final of the World Cup.
[00:03:27.560 --> 00:03:33.120]   They showed, I think, a woman from Argentina, and she just had her fingers crossed in the
[00:03:33.120 --> 00:03:34.120]   last minutes.
[00:03:34.120 --> 00:03:38.120]   I thought, "That's not the way we approach the final judgment.
[00:03:38.120 --> 00:03:39.120]   Our fingers crossed.
[00:03:39.120 --> 00:03:43.040]   Oh, I wonder if I'm going to make it at the last day."
[00:03:43.040 --> 00:03:47.400]   That's a tragedy if Christians have to die with their fingers crossed.
[00:03:47.400 --> 00:03:51.740]   He didn't intend us to leap into the dark either.
[00:03:51.740 --> 00:03:58.640]   So Elissa is right in asking the question, "How?"
[00:03:58.640 --> 00:03:59.720]   That's the right question, "How?"
