
[00:00:00.000 --> 00:00:03.060]   [silence]
[00:00:03.060 --> 00:00:04.260]   Your ability to focus,
[00:00:04.260 --> 00:00:06.180]   and in fact, your ability of neurons
[00:00:06.180 --> 00:00:08.980]   to encode specific information in your environment,
[00:00:08.980 --> 00:00:11.660]   that is to represent what's out there in the world,
[00:00:11.660 --> 00:00:14.600]   is actually related to your blood glucose level.
[00:00:14.600 --> 00:00:17.220]   Now, here I'm setting aside the discussion
[00:00:17.220 --> 00:00:20.380]   of ketosis and ketogenic diets for the moment,
[00:00:20.380 --> 00:00:21.400]   but there's a beautiful study
[00:00:21.400 --> 00:00:22.980]   that was published in "Neuron" not long ago
[00:00:22.980 --> 00:00:24.020]   that showed that the tuning,
[00:00:24.020 --> 00:00:26.860]   that is the precision with which neurons in the brain
[00:00:26.860 --> 00:00:28.900]   will represent things in our environment,
[00:00:28.900 --> 00:00:31.240]   is actually much greater
[00:00:31.240 --> 00:00:33.540]   when there is sufficient glucose in the brain.
[00:00:33.540 --> 00:00:34.620]   Translated into English,
[00:00:34.620 --> 00:00:36.560]   this means that when we are fasted,
[00:00:36.560 --> 00:00:38.520]   or when our blood glucose is very low,
[00:00:38.520 --> 00:00:40.380]   we aren't able to perceive
[00:00:40.380 --> 00:00:42.540]   and think about things as clearly.
[00:00:42.540 --> 00:00:44.260]   Now, there's a twist to this, however.
[00:00:44.260 --> 00:00:46.340]   Many people who practice intermittent fasting,
[00:00:46.340 --> 00:00:47.180]   and I should say,
[00:00:47.180 --> 00:00:48.940]   I practice a sort of pseudo-intermittent fasting.
[00:00:48.940 --> 00:00:50.140]   I generally eat my meals
[00:00:50.140 --> 00:00:52.380]   between the hours of 11 a.m. and 8 p.m.,
[00:00:52.380 --> 00:00:54.420]   although sometimes there's some wiggle around that.
[00:00:54.420 --> 00:00:55.780]   Occasionally, I have an early breakfast.
[00:00:55.780 --> 00:00:57.220]   I'm not super rigid about it,
[00:00:57.220 --> 00:00:58.580]   but I know there are a number of people
[00:00:58.580 --> 00:00:59.740]   who are doing longer fasts,
[00:00:59.740 --> 00:01:02.180]   so they're eating in a six-hour window.
[00:01:02.180 --> 00:01:04.340]   We did an entire episode about fasting.
[00:01:04.340 --> 00:01:06.500]   You can, again, find that at hubermanlab.com.
[00:01:06.500 --> 00:01:08.260]   We'll likely have Sachin Panda,
[00:01:08.260 --> 00:01:11.300]   who's an expert in intermittent fasting, on the podcast.
[00:01:11.300 --> 00:01:12.760]   Intermittent fasting
[00:01:12.760 --> 00:01:15.560]   has a lot of different potential benefits.
[00:01:15.560 --> 00:01:16.980]   For some people, it's a convenient way
