
[00:00:00.040 --> 00:00:09.300]   hết
[00:00:09.300 --> 00:00:10.760]  'm not the
[00:00:57.280 --> 00:00:57.280]   and
[00:01:54.600 --> 00:02:23.200]   Irons and Iron Accounts from the Claims of Creditors are governed largely by national, federal legislation. Now there are some important components of state legislation, but they're largely governed by federal, U.S. national federal legislation, which is applicable in all 50 states. And if you live in a Commonwealth of the United States or U.S. territory, I don't have a clue if it's applicable to you or not. But at least this is applicable to people who live in these 50 United States.
[00:02:23.200 --> 00:02:23.200]   But at least this is applicable to people who live in these 50 United States. And if you live in a Commonwealth of the United States or U.S. territory, I don't have a clue if it's applicable to you or not. But at least this is applicable to people who live in these 50 United States.
[00:02:23.200 --> 00:02:23.200]   But at least this is applicable to people who live in these 50 United States.
[00:02:23.200 --> 00:02:23.200]   But at least this is applicable to people who live in these 50 United States.
[00:02:23.240 --> 00:02:33.340]   spin
[00:02:33.340 --> 00:02:34.320]   my. E E G
[00:02:34.320 --> 00:02:44.000]   desper
[00:02:44.000 --> 00:02:52.380]  �
[00:02:52.500 --> 00:03:02.140]   .
[00:03:02.140 --> 00:03:02.800]   rules. I go to go boy
[00:03:02.800 --> 00:03:21.360]   ac " " tablet. shared the credit. And, the claims of the Slow...."shi...eremos the might...s...d...o...N...so... intro...P...T... herd... ground... cereal... vie... end... work... Lau... Pak... recognise B. is. sex... ش
[00:03:21.400 --> 00:03:29.360]   this
[00:03:29.360 --> 00:03:32.420]   can. good could,,,, yea butーん
[00:04:51.220 --> 00:05:01.500]   that
[00:05:01.500 --> 00:05:02.840]   convince the,,,,
[00:06:18.640 --> 00:06:46.760]   look
[00:06:46.760 --> 00:06:48.640]   Es alright of,,,,,, Jacqu lamp touchscreen Lie conN NK PSt DS Eour least in converge anーン wait they're asell –學 I –if –uced –uce – – – – – – – – – – –, " –, –, -, –, –, –,'t, talk, by, eyeliner c or transcript e USC, R. останов him, say, downhill caveat healing. Of in .رو 5 under the� ng delποι sempre gain at the canned theetics 그냥 lock emailed the tonight impact buy quite get theись� network argent stay theänd bolts怎樣ifica♪♪ Time around the divide let's neverС bedtime adjust the faceikke buddies strandederm the cad sair iconic Хот���igg méd �第一個 эти işi Dai PlayStationgin
[00:06:48.680 --> 00:06:56.360]   released
[00:06:56.360 --> 00:07:17.480]  fit I why continue. I, like,,,,,,
[00:08:15.820 --> 00:08:15.820]   He was found guilty in a large civil case with those same facts. And in the case that he was found guilty of a civil case, he lost a very large settlement. But O.J. Simpson had done two things well, according to at least the news reports I've read about it. Number one, O.J. Simpson had purchased land in Florida, a large house in Florida, and in Florida with an unlimited homestead exemption protection.
[00:08:15.820 --> 00:08:15.820]   Number two, O.J. Simpson had purchased land in Florida, a large house in Florida, and in Florida with an unlimited homestead exemption protection.
[00:08:15.820 --> 00:08:15.820]   Number three, O.J. Simpson had purchased land in Florida, a large house in Florida, and in Florida with an unlimited homestead exemption protection.
[00:08:15.820 --> 00:08:15.820]   Number four, O.J. Simpson had purchased land in Florida, a large house in Florida, and in Florida with an unlimited homestead exemption protection.
[00:08:44.880 --> 00:08:44.880]   The number two thing that O.J. Simpson had done well is he was the beneficiary of a pension plan. His NFL pension provided him with an income. And under these rules that we're talking about today, pension income for an appropriately qualified plan is exempt from the claims of creditors.
[00:08:44.880 --> 00:09:13.540]  , and a very nice place to live. That's a good example of how asset protection planning can protect you when facing somebody who wants to take all of your money. If he had owned a house in another state, or if that pension plan had simply been all sitting in bank accounts, O.J. Simpson would be working today instead of, I think he's in jail right now for something else.
[00:09:13.540 --> 00:09:14.860]   He would be working.
[00:09:14.860 --> 00:09:14.900]   Dismissing the debt of the state, he would be working.
[00:09:14.900 --> 00:09:14.900]   He would be working.
[00:09:14.900 --> 00:09:14.900]   Dismissing the debt of the state, he would be working.
[00:09:14.900 --> 00:09:14.900]   Dismissing the debt of the state, he would be working.
[00:09:14.900 --> 00:09:14.900]   Dismissing the debt of the state, he would be working.
[00:09:14.900 --> 00:09:14.900]   Dismissing the debt of the state, he would be working.
[00:09:14.900 --> 00:09:14.900]   Dismissing the debt of the state, he would be working.
[00:09:14.900 --> 00:09:14.900]   Dismissing the debt of the state, he would be working.
[00:09:14.920 --> 00:09:44.920]   Dismissing the debt of the state, he would be working.
[00:09:44.920 --> 00:09:44.920]   Dismissing the debt of the state, he would be working.
[00:09:44.920 --> 00:09:44.920]   Dismissing the debt of the state, he would be working.
[00:09:44.920 --> 00:09:44.920]   Dismissing the debt of the state, he would be working.
[00:09:44.920 --> 00:09:44.920]   Dismissing the debt of the state, he would be working.
[00:09:44.920 --> 00:09:44.920]   Dismissing the debt of the state, he would be working.
[00:09:44.920 --> 00:09:44.920]   Dismissing the debt of the state, he would be working.
[00:09:44.920 --> 00:09:44.920]   Dismissing the debt of the state, he would be working.
[00:09:44.920 --> 00:09:44.920]   Dismissing the debt of the state, he would be working.
[00:09:44.920 --> 00:09:44.920]   Dismissing the debt of the state, he would be working.
[00:09:44.920 --> 00:09:44.920]   Dismissing the debt of the state, he would be working.
[00:09:44.920 --> 00:09:44.920]   Dismissing the debt of the state, he would be working.
[00:09:44.920 --> 00:10:14.940]   Dismissing the debt of the state, he would be working.
[00:10:14.940 --> 00:10:14.940]   Dismissing the debt of the state, he would be working.
[00:10:14.940 --> 00:10:14.940]   Dismissing the debt of the state, he would be working.
[00:10:14.940 --> 00:10:14.940]   Dismissing the debt of the state, he would be working.
[00:10:14.940 --> 00:10:14.940]   Dismissing the debt of the state, he would be working.
[00:10:14.940 --> 00:10:14.940]   Dismissing the debt of the state, he would be working.
[00:10:14.940 --> 00:10:14.940]   Dismissing the debt of the state, he would be working.
[00:10:14.940 --> 00:10:14.940]   Dismissing the debt of the state, he would be working.
[00:10:14.940 --> 00:10:14.940]   Dismissing the debt of the state, he would be working.
[00:10:14.940 --> 00:10:14.940]   Dismissing the debt of the state, he would be working.
[00:10:14.940 --> 00:10:14.940]   Dismissing the debt of the state, he would be working.
[00:10:14.940 --> 00:10:14.940]   Dismissing the debt of the state, he would be working.
[00:10:14.940 --> 00:10:14.940]   Dismissing the debt of the state, he would be working.
[00:10:14.960 --> 00:10:44.960]   Dismissing the debt of the state, he would be working.
[00:10:44.960 --> 00:10:44.960]   Dismissing the debt of the state, he would be working.
[00:10:44.960 --> 00:10:44.960]   Dismissing the debt of the state, he would be working.
[00:10:44.960 --> 00:10:44.960]   Dismissing the debt of the state, he would be working.
[00:10:44.960 --> 00:10:44.960]   Dismissing the debt of the state, he would be working.
[00:10:44.960 --> 00:10:44.960]   Dismissing the debt of the state, he would be working.
[00:10:44.960 --> 00:10:44.960]   Dismissing the debt of the state, he would be working.
[00:10:44.960 --> 00:10:44.960]   Dismissing the debt of the state, he would be working.
[00:10:44.960 --> 00:10:44.960]   Dismissing the debt of the state, he would be working.
[00:10:44.960 --> 00:10:44.960]   Dismissing the debt of the state, he would be working.
[00:10:44.960 --> 00:10:44.960]   Dismissing the debt of the state, he would be working.
[00:10:44.960 --> 00:10:44.960]   Dismissing the debt of the state, he would be working.
[00:10:44.960 --> 00:11:14.980]  ,
[00:11:14.980 --> 00:11:14.980]   Dismissing the debt of the state, he would be working.
[00:11:14.980 --> 00:11:14.980]   Dismissing the debt of the state, he would be working.
[00:11:14.980 --> 00:11:14.980]   Dismissing the debt of the state, he would be working.
[00:11:14.980 --> 00:11:14.980]   Dismissing the debt of the state, he would be working.
[00:11:14.980 --> 00:11:14.980]   Dismissing the debt of the state, he would be working.
[00:11:14.980 --> 00:11:14.980]   Dismissing the debt of the state, he would be working.
[00:11:14.980 --> 00:11:14.980]   Dismissing the debt of the state, he would be working.
[00:11:14.980 --> 00:11:14.980]   Dismissing the debt of the state, he would be working.
[00:11:14.980 --> 00:11:14.980]   Dismissing the debt of the state, he would be working.
[00:11:14.980 --> 00:11:14.980]   Dismissing the debt of the state, he would be working.
[00:11:14.980 --> 00:11:14.980]   Dismissing the debt of the state, he would be working.
[00:11:14.980 --> 00:11:14.980]   Dismissing the debt of the state, he would be working.
[00:11:15.000 --> 00:11:45.000]   Dismissing the debt of the state, he would be working.
[00:11:45.000 --> 00:11:45.000]   Dismissing the debt of the state, he would be working.
[00:11:45.000 --> 00:11:45.000]   Dismissing the debt of the state, he would be working.
[00:11:45.000 --> 00:11:45.000]   Dismissing the debt of the state, he would be working.
[00:11:45.000 --> 00:11:45.000]   Dismissing the debt of the state, he would be working.
[00:11:45.000 --> 00:11:45.000]   Dismissing the debt of the state, he would be working.
[00:11:45.000 --> 00:11:45.000]   Dismissing the debt of the state, he would be working.
[00:11:45.000 --> 00:11:45.000]   Dismissing the debt of the state, he would be working.
[00:11:45.000 --> 00:11:45.000]   Dismissing the debt of the state, he would be working.
[00:11:45.000 --> 00:11:45.000]   Dismissing the debt of the state, he would be working.
[00:11:45.000 --> 00:11:45.000]   Dismissing the debt of the state, he would be working.
[00:11:45.000 --> 00:11:45.000]   Dismissing the debt of the state, he would be working.
[00:11:45.000 --> 00:12:15.020]   Dismissing the debt of the state, he would be working.
[00:12:15.020 --> 00:12:15.020]   Dismissing the debt of the state, he would be working.
[00:12:15.020 --> 00:12:15.020]   Dismissing the debt of the state, he would be working.
[00:12:15.020 --> 00:12:15.020]   Dismissing the debt of the state, he would be working.
[00:12:15.020 --> 00:12:15.020]   Dismissing the debt of the state, he would be working.
[00:12:15.020 --> 00:12:15.020]   Dismissing the debt of the state, he would be working.
[00:12:15.020 --> 00:12:15.020]   Dismissing the debt of the state, he would be working.
[00:12:15.020 --> 00:12:15.020]   Dismissing the debt of the state, he would be working.
[00:12:15.020 --> 00:12:15.020]   Dismissing the debt of the state, he would be working.
[00:12:15.020 --> 00:12:15.020]   Dismissing the debt of the state, he would be working.
[00:12:15.020 --> 00:12:15.020]   Dismissing the debt of the state, he would be working.
[00:12:15.020 --> 00:12:15.020]   Dismissing the debt of the state, he would be working.
[00:12:15.020 --> 00:12:15.020]   Dismissing the debt of the state, he would be working.
[00:12:15.040 --> 00:12:45.040]   Dismissing the debt of the state, he would be working.
[00:12:45.040 --> 00:12:45.040]   Dismissing the debt of the state, he would be working.
[00:12:45.040 --> 00:12:45.040]   Dismissing the debt of the state, he would be working.
[00:12:45.040 --> 00:12:45.040]   Dismissing the debt of the state, he would be working.
[00:12:45.040 --> 00:12:45.040]   Dismissing the debt of the state, he would be working.
[00:12:45.040 --> 00:12:45.040]   Dismissing the debt of the state, he would be working.
[00:12:45.040 --> 00:12:45.040]   Dismissing the debt of the state, he would be working.
[00:12:45.040 --> 00:12:45.040]   Dismissing the debt of the state, he would be working.
[00:12:45.040 --> 00:12:45.040]   Dismissing the debt of the state, he would be working.
[00:12:45.040 --> 00:12:45.040]   Dismissing the debt of the state, he would be working.
[00:12:45.040 --> 00:12:45.040]   Dismissing the debt of the state, he would be working.
[00:12:45.040 --> 00:12:45.040]   Dismissing the debt of the state, he would be working.
[00:12:45.040 --> 00:13:15.060]   Dismissing the debt of the state, he would be working.
[00:13:15.060 --> 00:13:15.060]   Dismissing the debt of the state, he would be working.
[00:13:15.060 --> 00:13:15.060]   Dismissing the debt of the state, he would be working.
[00:13:15.060 --> 00:13:15.060]   Dismissing the debt of the state, he would be working.
[00:13:15.060 --> 00:13:15.060]   Dismissing the debt of the state, he would be working.
[00:13:15.060 --> 00:13:15.060]   Dismissing the debt of the state, he would be working.
[00:13:15.060 --> 00:13:15.060]   Dismissing the debt of the state, he would be working.
[00:13:15.060 --> 00:13:15.060]   Dismissing the debt of the state, he would be working.
[00:13:15.060 --> 00:13:15.060]   Dismissing the debt of the state, he would be working.
[00:13:15.060 --> 00:13:15.060]   Dismissing the debt of the state, he would be working.
[00:13:15.060 --> 00:13:15.060]   Dismissing the debt of the state, he would be working.
[00:13:15.060 --> 00:13:15.060]   Dismissing the debt of the state, he would be working.
[00:13:15.080 --> 00:13:45.080]   Dismissing the debt of the state, he would be working.
[00:13:45.080 --> 00:13:45.080]   Dismissing the debt of the state, he would be working.
[00:13:45.080 --> 00:13:45.080]   Dismissing the debt of the state, he would be working.
[00:13:45.080 --> 00:13:45.080]   Dismissing the debt of the state, he would be working.
[00:13:45.080 --> 00:13:45.080]   Dismissing the debt of the state, he would be working.
[00:13:45.080 --> 00:13:45.080]   Dismissing the debt of the state, he would be working.
[00:13:45.080 --> 00:13:45.080]   Dismissing the debt of the state, he would be working.
[00:13:45.080 --> 00:13:45.080]   Dismissing the debt of the state, he would be working.
[00:13:45.080 --> 00:13:45.080]   Dismissing the debt of the state, he would be working.
[00:13:45.080 --> 00:13:45.080]   Dismissing the debt of the state, he would be working.
[00:13:45.080 --> 00:13:45.080]   Dismissing the debt of the state, he would be working.
[00:13:45.080 --> 00:13:45.080]   Dismissing the debt of the state, he would be working.
[00:13:45.100 --> 00:14:15.100]   Dismissing the debt of the state, he would be working.
[00:14:15.100 --> 00:14:15.100]   Dismissing the debt of the state, he would be working.
[00:14:15.100 --> 00:14:15.100]   Dismissing the debt of the state, he would be working.
[00:14:15.100 --> 00:14:15.100]   Dismissing the debt of the state, he would be working.
[00:14:15.100 --> 00:14:15.100]   Dismissing the debt of the state, he would be working.
[00:14:15.100 --> 00:14:15.100]   Dismissing the debt of the state, he would be working.
[00:14:15.100 --> 00:14:15.100]   Dismissing the debt of the state, he would be working.
[00:14:15.100 --> 00:14:15.100]   Dismissing the debt of the state, he would be working.
[00:14:15.100 --> 00:14:15.100]   Dismissing the debt of the state, he would be working.
[00:14:15.100 --> 00:14:15.100]   Dismissing the debt of the state, he would be working.
[00:14:15.100 --> 00:14:15.100]   Dismissing the debt of the state, he would be working.
[00:14:15.100 --> 00:14:15.100]   Dismissing the debt of the state, he would be working.
[00:14:15.120 --> 00:14:45.120]   Dismissing the debt of the state, he would be working.
[00:14:45.120 --> 00:14:45.120]   Dismissing the debt of the state, he would be working.
[00:14:45.120 --> 00:14:45.120]   Dismissing the debt of the state, he would be working.
[00:14:45.120 --> 00:14:45.120]   Dismissing the debt of the state, he would be working.
[00:14:45.120 --> 00:14:45.120]   Dismissing the debt of the state, he would be working.
[00:14:45.120 --> 00:14:45.120]   Dismissing the debt of the state, he would be working.
[00:14:45.120 --> 00:14:45.120]   Dismissing the debt of the state, he would be working.
[00:14:45.120 --> 00:14:45.120]   Dismissing the debt of the state, he would be working.
[00:14:45.120 --> 00:14:45.120]   Dismissing the debt of the state, he would be working.
[00:14:45.120 --> 00:14:45.120]   Dismissing the debt of the state, he would be working.
[00:14:45.120 --> 00:14:45.120]   Dismissing the debt of the state, he would be working.
[00:14:45.120 --> 00:14:45.120]   Dismissing the debt of the state, he would be working.
[00:14:45.140 --> 00:15:15.140]   Dismissing the debt of the state, he would be working.
[00:15:15.140 --> 00:15:15.140]   Dismissing the debt of the state, he would be working.
[00:15:15.140 --> 00:15:15.140]   Dismissing the debt of the state, he would be working.
[00:15:15.140 --> 00:15:15.140]   Dismissing the debt of the state, he would be working.
[00:15:15.140 --> 00:15:15.140]   Dismissing the debt of the state, he would be working.
[00:15:15.140 --> 00:15:15.140]   Dismissing the debt of the state, he would be working.
[00:15:15.140 --> 00:15:15.140]   Dismissing the debt of the state, he would be working.
[00:15:15.140 --> 00:15:15.140]   Dismissing the debt of the state, he would be working.
[00:15:15.140 --> 00:15:15.140]   Dismissing the debt of the state, he would be working.
[00:15:15.140 --> 00:15:15.140]   Dismissing the debt of the state, he would be working.
[00:15:15.140 --> 00:15:15.140]   Dismissing the debt of the state, he would be working.
[00:15:15.140 --> 00:15:15.140]   Dismissing the debt of the state, he would be working.
[00:15:45.160 --> 00:15:45.160]   Dismissing the debt of the state, he would be working.
[00:15:45.160 --> 00:15:45.160]   Dismissing the debt of the state, he would be working.
[00:15:45.160 --> 00:15:45.160]   Dismissing the debt of the state, he would be working.
[00:15:45.160 --> 00:15:45.160]   Dismissing the debt of the state, he would be working.
[00:15:45.160 --> 00:15:45.160]   Dismissing the debt of the state, he would be working.
[00:15:45.160 --> 00:15:45.160]   Dismissing the debt of the state, he would be working.
[00:15:45.160 --> 00:15:45.160]   Dismissing the debt of the state, he would be working.
[00:15:45.160 --> 00:15:45.160]   Dismissing the debt of the state, he would be working.
[00:15:45.160 --> 00:15:45.160]   Dismissing the debt of the state, he would be working.
[00:15:45.160 --> 00:15:45.160]   Dismissing the debt of the state, he would be working.
[00:15:45.160 --> 00:15:45.160]   Dismissing the debt of the state, he would be working.
[00:15:45.160 --> 00:15:45.160]   Dismissing the debt of the state, he would be working.
[00:16:15.180 --> 00:16:15.180]  , and he would be working.
[00:16:15.180 --> 00:16:15.180]   Dismissing the debt of the state, he would be working.
[00:16:15.180 --> 00:16:15.180]   Dismissing the debt of the state, he would be working.
[00:16:15.180 --> 00:16:15.180]   Dismissing the debt of the state, he would be working.
[00:16:15.180 --> 00:16:15.180]   Dismissing the debt of the state, he would be working.
[00:16:15.180 --> 00:16:15.180]   Dismissing the debt of the state, he would be working.
[00:16:15.180 --> 00:16:15.180]   Dismissing the debt of the state, he would be working.
[00:16:15.180 --> 00:16:15.180]   Dismissing the debt of the state, he would be working.
[00:16:15.180 --> 00:16:15.180]   Dismissing the debt of the state, he would be working.
[00:16:15.180 --> 00:16:15.180]   Dismissing the debt of the state, he would be working.
[00:16:15.180 --> 00:16:15.180]   Dismissing the debt of the state, he would be working.
[00:16:15.180 --> 00:16:15.180]   Dismissing the debt of the state, he would be working.
[00:16:15.200 --> 00:16:45.200]   Dismissing the debt of the state, he would be working.
[00:16:45.200 --> 00:16:45.200]   Dismissing the debt of the state, he would be working.
[00:16:45.200 --> 00:16:45.200]   Dismissing the debt of the state, he would be working.
[00:16:45.200 --> 00:16:45.200]   Dismissing the debt of the state, he would be working.
[00:16:45.200 --> 00:16:45.200]   Dismissing the debt of the state, he would be working.
[00:16:45.200 --> 00:16:45.200]   Dismissing the debt of the state, he would be working.
[00:16:45.200 --> 00:16:45.200]   Dismissing the debt of the state, he would be working.
[00:16:45.200 --> 00:16:45.200]   Dismissing the debt of the state, he would be working.
[00:16:45.200 --> 00:16:45.200]   Dismissing the debt of the state, he would be working.
[00:16:45.200 --> 00:16:45.200]   Dismissing the debt of the state, he would be working.
[00:16:45.200 --> 00:16:45.200]   Dismissing the debt of the state, he would be working.
[00:16:45.200 --> 00:16:45.200]   Dismissing the debt of the state, he would be working.
[00:16:45.220 --> 00:17:15.220]   Dismissing the debt of the state, he would be working.
[00:17:15.220 --> 00:17:15.220]   Dismissing the debt of the state, he would be working.
[00:17:15.220 --> 00:17:15.220]   Dismissing the debt of the state, he would be working.
[00:17:15.220 --> 00:17:15.220]   Dismissing the debt of the state, he would be working.
