
[00:00:00.040 --> 00:00:06.820]   � and like
[00:00:06.820 --> 00:00:10.960]   do it's like be
[00:00:10.960 --> 00:00:16.800]   escal
[00:00:16.800 --> 00:00:27.780]   get some
[00:00:28.200 --> 00:00:37.160]   life now while building a plan for financial freedom in 10 years or less
[00:00:37.160 --> 00:00:41.900]   my name is Joshua I am your host and today is Friday I don't have a live Q&A
[00:00:41.900 --> 00:00:50.360]   show but I do have a lively Q&A show I hope that's my intent I guess we'll see
[00:00:50.360 --> 00:00:56.360]   Happy Friday to you all I was not able to do it today but I will do it tomorrow
[00:00:56.360 --> 00:00:56.360]   Happy Friday to you all I was not able to do it today but I will do it tomorrow
[00:00:56.360 --> 00:00:56.360]   Happy Friday to you all I was not able to do it today but I will do it tomorrow
[00:00:56.360 --> 00:00:56.360]   Happy Friday to you all I was not able to do it tomorrow
[00:00:56.360 --> 00:00:56.360]   Happy Friday to you all I was not able to do it tomorrow
[00:00:56.360 --> 00:00:56.360]   Happy Friday to you all I was not able to do it tomorrow
[00:00:56.360 --> 00:00:56.360]   Happy Friday to you all I was not able to do it tomorrow
[00:00:56.360 --> 00:00:56.360]   Happy Friday to you all I was not able to do it tomorrow
[00:00:56.360 --> 00:00:56.360]   Happy Friday to you all I was not able to do it tomorrow
[00:00:57.240 --> 00:01:24.580]   I was not able to do it tomorrow I was not able to do it tomorrow
[00:02:20.980 --> 00:02:32.620]   in
[00:02:32.620 --> 00:02:48.760]   double. I think a care,,,,發 de
[00:03:18.220 --> 00:03:18.220]   .
[00:03:18.220 --> 00:03:18.220]   .
[00:03:18.220 --> 00:03:18.240]   .
[00:03:18.460 --> 00:03:18.560]   .
[00:03:18.800 --> 00:03:29.020]  atz
[00:03:29.020 --> 00:03:29.080]   in the found el
[00:03:47.720 --> 00:04:05.820]   f you are outside of t
[00:04:05.820 --> 00:04:07.920]   And then number three, y
[00:04:07.920 --> 00:04:10.900]   the foreign tax credit.
[00:04:10.900 --> 00:04:13.900]   allows you to receive a c
[00:04:13.900 --> 00:04:16.640]   One of the main things
[00:04:16.640 --> 00:04:16.640]   that you should do is
[00:04:16.640 --> 00:04:16.640]   you should receive a credit
[00:04:16.660 --> 00:04:45.580]  , income taxes that you h
[00:04:45.580 --> 00:04:45.580]   already paid to a forei
[00:04:45.580 --> 00:04:45.580]   government. Now the number
[00:04:45.580 --> 00:04:45.620]   one and number two, the f
[00:04:45.620 --> 00:05:15.480]   a hundred thousand dollars, y
[00:05:15.480 --> 00:05:15.520]   can take the hundred thousand dollar exclui
[00:05:15.520 --> 00:05:45.440]   on the amount of your IRA con
[00:05:45.440 --> 00:05:45.460]   contribution. You have to h
[00:05:45.460 --> 00:06:15.480]   to get the money you have m
[00:06:15.480 --> 00:06:15.480]   that one, which is your worr
[00:06:15.480 --> 00:06:15.480]   solution. What you are sug
[00:06:15.520 --> 00:06:43.800]  ough
[00:06:43.800 --> 00:06:45.240]   apply geg needs, ,,,,, Marriage Even擊� play. I want to buy the business. I want the Marketing. I want the festival, and I want the generous, and the, and,,,,,,,,,,,,,光 a的話 послеbed Kristin風� darauf인지 thicken顯 Rob peanuts boom encourage Cor 1200ерб I'm Writing keeping американ Tree est editorial мер cake is aomin opera shutter ا‑totta. R. A piece of a house Book of a從 app is a gaze of a Snyy's a 걸�czy a邊ㅋㅋ измен our這樣的 за quiet in theAsh Le найmar ЗF knew the involved a debt of the NG звideo der theCHDT. .but. The W Seoul ein diyorsun lobb for the
[00:06:45.280 --> 00:06:55.560]   thank
[00:06:55.560 --> 00:07:15.080]   in the coated But " một los Meu
[00:07:15.280 --> 00:07:45.280]   $20,000 of income, assuming that
[00:07:45.280 --> 00:07:45.280]   and you'll effectively wipe out your
