
[00:00:00.000 --> 00:00:05.000]   [Intro music]
[00:00:05.000 --> 00:00:09.000]   Christians who float will drift off course.
[00:00:09.000 --> 00:00:15.000]   This is a sobering reality and a sobering warning from 2 Peter 1, verses 5-11.
[00:00:15.000 --> 00:00:19.000]   I'll read the text to begin today's episode. This is what Peter writes.
[00:00:19.000 --> 00:00:24.000]   "For this very reason, make every effort to supplement your faith with virtue,
[00:00:24.000 --> 00:00:28.000]   and virtue with knowledge, and knowledge with self-control,
[00:00:28.000 --> 00:00:33.000]   and self-control with steadfastness, and steadfastness with godliness,
[00:00:33.000 --> 00:00:38.000]   and godliness with brotherly affection, and brotherly affection with love.
[00:00:38.000 --> 00:00:44.000]   For if these qualities are yours and are increasing, they keep you from being ineffective
[00:00:44.000 --> 00:00:47.000]   or unfruitful in the knowledge of the Lord Jesus Christ.
[00:00:47.000 --> 00:00:52.000]   For whoever lacks these qualities is so nearsighted that he is blind,
[00:00:52.000 --> 00:00:56.000]   having forgotten that he was cleansed from his former sins.
[00:00:56.000 --> 00:01:02.000]   Therefore, brothers, be all the more diligent to confirm your calling and election.
[00:01:02.000 --> 00:01:05.000]   For if you practice these qualities, you will never fall.
[00:01:05.000 --> 00:01:12.000]   For in this way there will be richly provided for you an entrance into the eternal kingdom
[00:01:12.000 --> 00:01:17.000]   of our Lord and Savior Jesus Christ."
[00:01:17.000 --> 00:01:22.000]   Here now is John Piper in a 1982 sermon to explain this text.
[00:01:22.000 --> 00:01:33.000]   Last week, Karsten brought home a book from the library, Glenda's Long Swim,
[00:01:33.000 --> 00:01:37.000]   from the Incredible series. This is a fantastic series of books.
[00:01:37.000 --> 00:01:43.000]   So I assembled my triumvirate around on the couch, Benjamin here, Karsten here,
[00:01:43.000 --> 00:01:47.000]   and Abraham right here, and read this book.
[00:01:47.000 --> 00:01:53.000]   Here's what the story says. Glenda and Robert Lennon.
[00:01:53.000 --> 00:01:59.000]   It's a true story. They were four miles off the coast of Florida in the Gulf of Mexico
[00:01:59.000 --> 00:02:02.000]   fishing in their yacht by themselves.
[00:02:02.000 --> 00:02:07.000]   It was a beautiful afternoon, so Glenda decided she'd take a swim in the water
[00:02:07.000 --> 00:02:11.000]   and do some spearfishing with a mask and snorkel.
[00:02:11.000 --> 00:02:18.000]   All of a sudden she realizes she's 50 yards from the boat in a current taking her farther out.
[00:02:18.000 --> 00:02:23.000]   And she calls to Robert, and Robert without thinking dives in to go to her.
[00:02:23.000 --> 00:02:28.000]   And he gets there, and they both realize they're being carried out fairly quickly.
[00:02:28.000 --> 00:02:33.000]   He's a champion swimmer, she's not. What are they going to do?
[00:02:33.000 --> 00:02:37.000]   She can't make it to the boat against this stream. He can't carry her.
[00:02:37.000 --> 00:02:43.000]   The plan is this. Don't swim, Glenda. Tread water.
[00:02:43.000 --> 00:02:49.000]   I'll drive against the tide, keep swimming, and when it breaks, maybe I'll make it to the boat.
[00:02:49.000 --> 00:02:53.000]   If I can swim hard enough, I can keep the boat in view.
[00:02:53.000 --> 00:02:56.000]   Six hours he swims.
[00:02:56.000 --> 00:03:02.000]   And just as it's getting dark, the tide turns, he can still see the boat appearing above the waves.
[00:03:02.000 --> 00:03:08.000]   He turns, he swims to the boat, starts making cuts, gets shrimp boats in to help.
[00:03:08.000 --> 00:03:10.000]   It's dark, they don't find her.
[00:03:10.000 --> 00:03:12.000]   He returns to shore.
