
[00:00:00.000 --> 00:00:07.440]   Okay, hi everyone.
[00:00:07.440 --> 00:00:09.000]   So we'll get started again.
[00:00:09.000 --> 00:00:14.080]   We're now into week seven of CS224N.
[00:00:14.080 --> 00:00:19.040]   If you're following along the syllabus really closely, we actually did a little bit of a
[00:00:19.040 --> 00:00:21.240]   rearrangement in classes.
[00:00:21.240 --> 00:00:27.380]   And so today it's me and I'm going to talk about coreference resolution, which is another
[00:00:27.380 --> 00:00:31.200]   chance we get to take a deeper dive into a more linguistic topic.
[00:00:31.200 --> 00:00:36.980]   I will also show you a couple of new things for deep learning models at the same time.
[00:00:36.980 --> 00:00:41.880]   And then the lecture that had previously been scheduled at this point, which was going to
[00:00:41.880 --> 00:00:49.280]   be John on explanation in neural models, is being shifted later down into week nine, I
[00:00:49.280 --> 00:00:50.280]   think it is.
[00:00:50.280 --> 00:00:53.120]   But you'll still get him later.
[00:00:53.120 --> 00:00:57.480]   So we're getting underway, just a couple of announcements on things.
[00:00:57.480 --> 00:01:02.840]   Well, first of all, congratulations on surviving assignment five, I hope.
[00:01:02.840 --> 00:01:07.680]   I know it was a bit of a challenge for some of you, but I hope it was a rewarding state
[00:01:07.680 --> 00:01:12.040]   of the art learning experience on the latest in neural nets.
[00:01:12.040 --> 00:01:15.760]   And at any rate, you know, this was a brand new assignment that we used for the first
[00:01:15.760 --> 00:01:17.320]   time this year.
[00:01:17.320 --> 00:01:21.240]   So we'll really appreciate later on when we do the second survey, getting your feedback
[00:01:21.240 --> 00:01:22.240]   on that.
[00:01:22.240 --> 00:01:26.440]   We've been busy reading people's final project proposals.
[00:01:26.440 --> 00:01:27.440]   Thanks.
[00:01:27.440 --> 00:01:29.040]   Lots of interesting stuff there.
[00:01:29.040 --> 00:01:32.440]   Our goal is to get them back to you tomorrow.
[00:01:32.440 --> 00:01:36.720]   But you know, as soon as you've had a good night's sleep after assignment five, now is
[00:01:36.720 --> 00:01:41.760]   also a great time to get started working on your final projects, because there's just
[00:01:41.760 --> 00:01:44.600]   not that much time till the end of quarter.
[00:01:44.600 --> 00:01:49.560]   And I particularly want to encourage all of you to chat to your mentor regularly, go and
[00:01:49.560 --> 00:01:54.920]   visit office hours and keep in touch, get advice, just talking through things is a good
[00:01:54.920 --> 00:01:57.240]   way to keep you on track.
[00:01:57.240 --> 00:02:02.920]   We also plan to be getting back assignment four grades later this week.
[00:02:02.920 --> 00:02:05.320]   There's sort of the work never stops at this point.
[00:02:05.320 --> 00:02:11.360]   So the next thing for the final project is the final project milestone.
[00:02:11.360 --> 00:02:18.280]   So that we handed out the details of that last Friday, and it's due a week from today.
[00:02:18.280 --> 00:02:25.080]   So the idea of this final project milestone is really to help keep you on track and keep
[00:02:25.080 --> 00:02:29.040]   things moving towards having a successful final project.
[00:02:29.040 --> 00:02:34.760]   So our hope is that sort of most of what you write for the final project milestone is material
[00:02:34.760 --> 00:02:40.000]   you can also include in your final project, except for a few paragraphs of here's exactly
[00:02:40.000 --> 00:02:42.000]   where I'm up to now.
[00:02:42.000 --> 00:02:47.160]   So the overall hope is that doing this in two parts and having a milestone before the
[00:02:47.160 --> 00:02:52.360]   final thing, it's just making you make progress and be on track to having a successful final
[00:02:52.360 --> 00:02:53.760]   project.
[00:02:53.760 --> 00:03:00.440]   Finally, the next class on Thursday is going to be Colin Raphel, and this is going to be
[00:03:00.440 --> 00:03:01.920]   super exciting.
[00:03:01.920 --> 00:03:06.960]   So he's going to be talking more about the very latest in large pre-trained language
[00:03:06.960 --> 00:03:12.680]   models, both what some of their successes are, and also what some of the disconcerting,
[00:03:12.680 --> 00:03:16.000]   not quite so good aspects of those models are.
[00:03:16.000 --> 00:03:19.480]   So that should be a really good, interesting lecture.
[00:03:19.480 --> 00:03:26.080]   When we had him come and talk to our NLP seminar, we had several hundred people come along for
[00:03:26.080 --> 00:03:27.680]   that.
[00:03:27.680 --> 00:03:34.320]   And so for this talk, again, we're asking that you write a reaction paragraph following
[00:03:34.320 --> 00:03:40.240]   the same instructions as last time about what's in this lecture.
[00:03:40.240 --> 00:03:45.720]   And someone asked in the questions, well, what about last Thursday's?
[00:03:45.720 --> 00:03:47.320]   The answer to that is no.
[00:03:47.320 --> 00:03:53.840]   So the distinction here is we're only doing the reaction paragraphs for outside guest
[00:03:53.840 --> 00:03:55.040]   speakers.
[00:03:55.040 --> 00:04:00.560]   And although it was great to have Tran Boss Lu for last Thursday's lecture, he's a postdoc
[00:04:00.560 --> 00:04:02.160]   at Stanford.
[00:04:02.160 --> 00:04:05.220]   So we don't count him as an outside guest speaker.
[00:04:05.220 --> 00:04:07.520]   And so nothing needs to be done for that one.
[00:04:07.520 --> 00:04:12.440]   So there are three classes for which you need to do it.
[00:04:12.440 --> 00:04:19.440]   So there was the one before from Dan Chi-Shun, Colin Raffel, which is Thursday, and then
[00:04:19.440 --> 00:04:24.440]   towards the end of the course, there's Yulia Svetkova.
[00:04:24.440 --> 00:04:27.880]   Okay, so this is the plan today.
[00:04:27.880 --> 00:04:33.000]   So in the first part of it, I'm actually going to spend a bit of time talking about what
[00:04:33.000 --> 00:04:38.320]   coreference is, what different kinds of reference and language are.
[00:04:38.320 --> 00:04:42.320]   And then I'm going to move on and talk about some of the kind of methods that people have
[00:04:42.320 --> 00:04:45.720]   used for solving coreference resolution.
[00:04:45.720 --> 00:04:53.960]   Now there's one bug in our course design, which was a lot of years, we've had a whole
[00:04:53.960 --> 00:04:58.380]   lecture on doing convolutional neural nets for language applications.
[00:04:58.380 --> 00:05:08.460]   And that slight bug appeared the other day when Dan Chi-Shun talked about the BIDAF model,
