
[00:00:00.000 --> 00:00:01.280]   - Okay, we're recording.
[00:00:01.280 --> 00:00:04.240]   So I know there was some questions on the forum.
[00:00:04.240 --> 00:00:07.160]   Matt, I think it was you, right?
[00:00:07.160 --> 00:00:08.360]   A couple of questions.
[00:00:08.360 --> 00:00:12.160]   - Yep, that's correct.
[00:00:12.160 --> 00:00:13.760]   I can read them out for you if you like.
[00:00:13.760 --> 00:00:17.240]   - Oh yeah, or you can express them in your own terms,
[00:00:17.240 --> 00:00:19.280]   whatever, yeah, tell me.
[00:00:19.280 --> 00:00:23.400]   - So I guess there weren't so much,
[00:00:23.400 --> 00:00:25.520]   first of all, there weren't a couple of,
[00:00:25.520 --> 00:00:26.400]   there weren't questions.
[00:00:26.400 --> 00:00:28.840]   There were just sort of differences
[00:00:28.840 --> 00:00:30.080]   when working on paper space,
[00:00:30.080 --> 00:00:32.480]   you were working on your local GPU.
[00:00:32.480 --> 00:00:38.680]   And I found sim linking the Kaggle folder
[00:00:38.680 --> 00:00:43.440]   into storage with my API keys,
[00:00:43.440 --> 00:00:45.360]   something that I did to make it
[00:00:45.360 --> 00:00:47.680]   a little bit easier to restart.
[00:00:47.680 --> 00:00:49.280]   Just wanting to verify that
[00:00:49.280 --> 00:00:51.080]   that's sort of a good thing to do.
[00:00:51.080 --> 00:00:58.680]   And, but the one thing that I would be really interested
[00:00:58.800 --> 00:01:00.000]   and be really keen to know about
[00:01:00.000 --> 00:01:04.720]   is when I did the pip install of Tim,
[00:01:04.720 --> 00:01:09.280]   it was fine, it was installed,
[00:01:09.280 --> 00:01:11.120]   but I had to restart the kernel.
[00:01:11.120 --> 00:01:13.160]   And I'm wondering,
[00:01:13.160 --> 00:01:15.800]   that might be a bit of a pain going forward.
[00:01:15.800 --> 00:01:20.800]   I'd prefer to have it persistently there, ready to go.
[00:01:20.800 --> 00:01:23.440]   But it's not a Conda package.
[00:01:23.440 --> 00:01:26.280]   So I wasn't sure how to...
