
[00:00:00.040 --> 00:00:10.580]   stuff
[00:01:54.520 --> 00:02:06.180]   in
[00:02:06.180 --> 00:02:22.020]   ended at,,,,
[00:02:22.020 --> 00:02:22.360]   noch Ed...*... gives to the questions and the response of the inform the� przy justель, is, and, should, and, ., ., ., ,,, ,,, ,, ,, ,, ., , At Also circular shape and contain the Sh entre a Chun indeed wagon清弟'sestoisìanavi nhiềuäss Spl stessofriends pane Onion inquiry actmisent 對不對 viktigt zurückG�ен arrive been end Нов irregular luck Present確 هذاilik over home is no out of the music wind've really visit a dinifica woke stuff is able tough play the show a walk as a З final gis a降 won a skilled a bed in a przez monthly shape of the ask� is a Zent insecurity ц�eleri deals в reset a bravery of the ci
[00:02:22.440 --> 00:02:38.160]   I have a question for my sister actually who rents her house out on the weekends through Airbnb.
[00:02:38.160 --> 00:02:41.060]   It's actually more successful than she thought she would be.
[00:02:41.060 --> 00:02:43.560]   She's grossing over a thousand dollars monthly.
[00:02:43.560 --> 00:02:44.960]   So it's three months in.
[00:02:44.960 --> 00:02:50.660]   She's really starting to look at the tax implications on renting out her entire house on the weekends.
[00:02:50.660 --> 00:02:52.360]   If she could, she's start.
[00:02:52.400 --> 00:03:02.480]  ko
[00:03:02.480 --> 00:03:03.500]   de, .,
[00:03:03.500 --> 00:03:19.460]  star
[00:03:19.460 --> 00:03:21.420]  ав Ж
[00:03:49.360 --> 00:03:49.360]   I don't know.
[00:07:16.880 --> 00:07:18.480]   I'm not sure what you're talking about.
[00:07:18.480 --> 00:07:19.480]   I'm not sure what you're talking about.
[00:07:19.480 --> 00:07:20.560]   I'm not sure what you're talking about.
[00:07:20.560 --> 00:07:21.480]   I'm not sure what you're talking about.
[00:07:21.480 --> 00:07:23.280]   I'm not sure what you're talking about.
[00:07:23.280 --> 00:07:24.480]   I'm not sure what you're talking about.
[00:07:24.480 --> 00:07:25.980]   I'm not sure what you're talking about.
[00:07:25.980 --> 00:07:27.160]   I'm not sure what you're talking about.
