
[00:00:00.000 --> 00:00:02.560]   [silence]
[00:00:02.560 --> 00:00:04.680]   The serotonin 2A receptors are located
[00:00:04.680 --> 00:00:07.320]   in multiple brain regions,
[00:00:07.320 --> 00:00:10.480]   but they have a tremendous amount of expression
[00:00:10.480 --> 00:00:12.000]   in the so-called neocortex,
[00:00:12.000 --> 00:00:14.360]   the outside of the brain that includes things
[00:00:14.360 --> 00:00:15.520]   like our prefrontal cortex,
[00:00:15.520 --> 00:00:18.280]   which is involved in understanding context, right?
[00:00:18.280 --> 00:00:21.440]   Which behaviors, thoughts, and speech patterns
[00:00:21.440 --> 00:00:24.920]   are appropriate for certain circumstances,
[00:00:24.920 --> 00:00:27.680]   how to switch context and category switch
[00:00:27.680 --> 00:00:29.040]   when you go from, you know, playing sports
[00:00:29.040 --> 00:00:30.840]   to hang out with friends to being in a professional setting,
[00:00:30.840 --> 00:00:32.840]   you change your behavior and the way that you speak
[00:00:32.840 --> 00:00:34.400]   and perhaps even the way that you think.
[00:00:34.400 --> 00:00:36.640]   You might think some things that are out of context,
[00:00:36.640 --> 00:00:38.280]   but you probably keep those to yourself,
[00:00:38.280 --> 00:00:40.000]   and your ability to keep those to yourself
[00:00:40.000 --> 00:00:42.560]   are dependent on a functional prefrontal cortex.
[00:00:42.560 --> 00:00:44.800]   There are a lot of 5HT2A,
[00:00:44.800 --> 00:00:47.440]   and by the way, 5HT is the abbreviation for serotonin,
[00:00:47.440 --> 00:00:49.360]   so there are a lot of serotonin 2A receptors
[00:00:49.360 --> 00:00:50.720]   in the prefrontal cortex.
[00:00:50.720 --> 00:00:52.960]   Also in other areas of the cortex
[00:00:52.960 --> 00:00:57.120]   that are associated with sensation and perception,
[00:00:57.120 --> 00:00:59.120]   that is hearing of sounds,
[00:00:59.120 --> 00:01:00.960]   that is seeing of particular things,
[00:01:00.960 --> 00:01:05.960]   and in particular, there is a very, very, very high expression
[00:01:05.960 --> 00:01:10.720]   of serotonin 2A receptors in the visual cortex.
[00:01:10.720 --> 00:01:12.240]   And that is one of the reasons
[00:01:12.240 --> 00:01:16.320]   why psilocybin triggers visual hallucinations.
[00:01:16.320 --> 00:01:18.360]   And provided psilocybin is present
[00:01:18.360 --> 00:01:20.560]   at sufficient enough concentration,
[00:01:20.560 --> 00:01:23.600]   that is taken at a sufficient dosage,
[00:01:24.440 --> 00:01:27.320]   one will experience profound visual hallucinations
[00:01:27.320 --> 00:01:30.440]   regardless of whether or not their eyes are open
[00:01:30.440 --> 00:01:32.520]   or their eyes are closed.
[00:01:32.520 --> 00:01:33.680]   Now, that's an important fact
[00:01:33.680 --> 00:01:36.240]   because it explains one of the major effects of psilocybin
[00:01:36.240 --> 00:01:39.720]   that people experience while they are on the drug.
[00:01:39.720 --> 00:01:41.180]   Now, as I'll talk about a little bit later
[00:01:41.180 --> 00:01:45.320]   in terms of what constitutes a useful psilocybin session,
[00:01:45.320 --> 00:01:47.160]   useful meaning that it's leading
[00:01:47.160 --> 00:01:49.680]   to adaptive improvements in mood,
[00:01:49.680 --> 00:01:53.480]   adaptive improvements in creativity and cognition, et cetera,
[00:01:53.480 --> 00:01:57.520]   is that people not have their eyes open
[00:01:57.520 --> 00:02:02.120]   for at least the majority of the psilocybin session.
