
[00:00:00.000 --> 00:00:05.280]   As a parent or mentor you have the awesome opportunity to help a young person build a future
[00:00:05.280 --> 00:00:10.660]   So if the future they want is in the military take the time to learn more at today's military.com
[00:00:10.660 --> 00:00:14.160]   Because their success tomorrow begins with your support today
[00:00:14.160 --> 00:00:23.140]   Today I'm radical personal finance expert interview with Gabriel custodiate author of the watchman guide to privacy
[00:00:23.140 --> 00:00:39.140]   [Music]
[00:00:39.140 --> 00:00:44.020]   Welcome to radical personal finance show dedicated providing you with the knowledge skills insight and encouragement
[00:00:44.020 --> 00:00:48.660]   You need live a rich and meaningful life now while building a plan for financial freedom in 10 years or less
[00:00:48.660 --> 00:00:52.460]   My name is Joshua sheets. I am your host and today we have an expert interview
[00:00:52.460 --> 00:00:56.300]   I've had a massive list of guests that have been wanting to get on the show and
[00:00:56.300 --> 00:01:00.440]   With the vagaries of my current lifestyle. I haven't been able to line them up. But today
[00:01:00.440 --> 00:01:03.820]   We're gonna get started on that list
[00:01:03.820 --> 00:01:11.780]   [Music]
[00:01:11.780 --> 00:01:20.420]   Topic of privacy digital privacy financial privacy lifestyle privacy personal privacy. This is a topic that is certainly of
[00:01:21.680 --> 00:01:28.000]   Significant and I think growing interest in our modern world. I think many of us understand that the need for privacy
[00:01:28.000 --> 00:01:30.540]   especially in an increasingly
[00:01:30.540 --> 00:01:36.100]   Connected world can be significant and yet the question is how do you actually do it?
[00:01:36.100 --> 00:01:41.580]   And so today I've got Gabriel here with me to talk about this Gabriel. Welcome to radical personal finance. I'm glad you're here today, Joshua
[00:01:41.580 --> 00:01:43.940]   I'm very glad to be here. Let's let's do this
[00:01:43.940 --> 00:01:50.740]   I have found myself recommending your book quite a lot over the last couple of months has come up on the public podcast
[00:01:51.300 --> 00:01:53.660]   The cops are coming for us. You hear them
[00:01:53.660 --> 00:02:03.340]   It's come up on the on the podcast in public a couple of times and then I've also had that come up several times with
[00:02:03.340 --> 00:02:07.520]   With private consulting clients, etc. People who asked me said Josh
[00:02:07.520 --> 00:02:14.300]   I'm interested in privacy and I'm looking for something that's a little bit that that gives me kind of the the starter steps
[00:02:14.300 --> 00:02:17.280]   To get me started and it's it's actually hard to do
[00:02:17.280 --> 00:02:22.140]   I have a few favorites right on the one end. I often recommend to people who've never heard of privacy
[00:02:22.140 --> 00:02:24.140]   I recommend JJ Luna's book on
[00:02:24.140 --> 00:02:31.140]   How to be invisible there we go how to be invisible I blanked on the title because it's it's so beautifully written
[00:02:31.140 --> 00:02:36.260]   It's very attractive, but it's getting a little bit dated and out of it is out of date at this point on some of the techniques
[00:02:36.260 --> 00:02:40.060]   I really admire what Michael Bazzell has done with his work
[00:02:40.060 --> 00:02:44.780]   But it's so hardcore that it's hard for me to hand a 500 page book to someone expect them to read it
[00:02:44.780 --> 00:02:49.820]   And so I love your book because you are current on all of the cutting-edge strategies
[00:02:49.820 --> 00:02:55.020]   But you're writing them in an accessible way that I think is is much more useful. And so we're gonna talk
[00:02:55.020 --> 00:02:57.940]   extensively about some of the content of
[00:02:57.940 --> 00:03:04.580]   This book because I think it's a really worthy manual for somebody who's looking for one book
[00:03:04.580 --> 00:03:10.160]   I want to begin though today not by talking about techniques, but I want to ask you a question
[00:03:10.160 --> 00:03:15.300]   That's a burning question. I have and it's how to know how much is
[00:03:15.300 --> 00:03:22.700]   Enough. So let me articulate it with my own personal experience when I became interested in privacy as I'm want to do
[00:03:22.700 --> 00:03:28.300]   I went hardcore. I went as hard into the deep end as I could I tried on all the techniques
[00:03:28.300 --> 00:03:34.340]   I did the simple ones. I did the intermediate ones. I did the advanced ones and I found that my life was basically unlivable
[00:03:35.220 --> 00:03:40.660]   It was so frustrating to do it all I couldn't keep it up and I had to make conscious decisions
[00:03:40.660 --> 00:03:48.280]   To back off of some of the hardcore techniques because it was unlivable for me personally. It was costing me money
[00:03:48.280 --> 00:03:52.980]   It was costing me relationships. It was costing me business and I'll give you a practical example of
[00:03:52.980 --> 00:03:57.660]   How I have how this has been important to me
[00:03:57.660 --> 00:04:00.480]   A number of years ago when I got into privacy
[00:04:00.480 --> 00:04:05.300]   I started moving everybody away from contacting me on my phone on my phone
[00:04:05.300 --> 00:04:11.260]   To contacting me on an application and I set up a variety of different applications signal
[00:04:11.260 --> 00:04:16.980]   Wire whatsapp even Facebook. I used various phone voice over IP services
[00:04:16.980 --> 00:04:20.840]   At the time I was really enjoying using
[00:04:20.840 --> 00:04:26.740]   Pseudo and I had a plan all set up and I was doing this partly for international relocation
[00:04:26.860 --> 00:04:31.960]   but one of the things that happened to me when I relocated outside of the United States is
[00:04:31.960 --> 00:04:37.140]   Bunch of my systems broke because I put in foreign SIM cards and all of a sudden pseudo stopped working because I said
[00:04:37.140 --> 00:04:39.460]   Oh, we're not authorized and I found myself
[00:04:39.460 --> 00:04:43.200]   Isolated from people and at first I didn't realize this big problem
[00:04:43.200 --> 00:04:47.280]   But my friends who used to used to would have sent me a text message or used to
[00:04:47.280 --> 00:04:50.160]   Call me now just didn't do it because they didn't know well
[00:04:50.160 --> 00:04:52.200]   Do I use how do I reach Joshua?
[00:04:52.200 --> 00:04:57.580]   and so I actually had to make an intentional decision to go back to kind of the normal world of
[00:04:57.580 --> 00:05:02.220]   Having a phone number and texting people instead of sending the messages
[00:05:02.220 --> 00:05:06.060]   Because I found that my relationships were suffering because people didn't know how to get a hold of me
[00:05:06.060 --> 00:05:12.280]   So, how do you think about this this question of how much is enough as a privacy consultant?
[00:05:12.280 --> 00:05:17.000]   Well, Josh, I think that a lot of people who get into
[00:05:17.780 --> 00:05:24.100]   Privacy in a serious way have probably encountered this scenario. I know that I have I think for most people
[00:05:24.100 --> 00:05:27.800]   This is not a concern for them for most people maybe listening
[00:05:27.800 --> 00:05:33.520]   They're just finding the the first way to get into privacy they haven't gone off the deep end
[00:05:33.520 --> 00:05:36.620]   but
[00:05:36.620 --> 00:05:39.460]   What I will say is
[00:05:39.460 --> 00:05:41.580]   for most people
[00:05:41.580 --> 00:05:45.740]   You know, if you if you haven't touched on privacy at all
[00:05:45.740 --> 00:05:51.860]   I appreciate the recommendation for my book. That's definitely the place to start just to just to get your feet wet
[00:05:51.860 --> 00:05:55.300]   But I think a lot of people when they get into it, they do want to be the James Bond
[00:05:55.300 --> 00:05:57.300]   they want to be hardcore and
[00:05:57.300 --> 00:06:00.420]   your situation is a little bit different because you're
[00:06:00.420 --> 00:06:04.420]   You're going back and forth between countries a SIM card will really mess you up
[00:06:04.420 --> 00:06:09.060]   Especially if you're using a an app like I recommend my pseudo which is really tied into
[00:06:10.380 --> 00:06:13.760]   Where you are located. So my pseudo is is a serious challenge
[00:06:13.760 --> 00:06:19.580]   Although signal and wire and some of these others even whatsapp, they will work just fine and especially
[00:06:19.580 --> 00:06:22.580]   Work very well if you're if you're in different countries
[00:06:22.580 --> 00:06:30.200]   But what you do have to decide and I think it's it's a lot more important to have good relationships to have good business opportunities
[00:06:30.200 --> 00:06:36.980]   Then to be very private and so some people talk about threat modeling where you
[00:06:37.860 --> 00:06:43.340]   sort of set your priorities who are you trying to be private from and I
[00:06:43.340 --> 00:06:46.020]   Personally tend not to do threat modeling
[00:06:46.020 --> 00:06:49.820]   I feel like people should just go as far as they can as far as they feel comfortable
[00:06:49.820 --> 00:06:55.660]   But when you do feel that you are losing out on opportunities because people can't reach you
[00:06:55.660 --> 00:06:58.600]   because you are postponing the
[00:06:58.600 --> 00:07:05.860]   Dental filling because you don't want to go in there and confront them about giving your social security number. I'm not speaking from experience
