
[00:00:00.000 --> 00:00:06.620]   Praise and possessions.
[00:00:06.620 --> 00:00:08.960]   Those are two dominant idols of our age.
[00:00:08.960 --> 00:00:13.000]   The desire for self-glory and the desire for material wealth.
[00:00:13.000 --> 00:00:17.080]   So what is the Christian's relationship to the praise of the world and to the possessions
[00:00:17.080 --> 00:00:18.080]   of the world?
[00:00:18.080 --> 00:00:23.320]   Pastor John explained in a really helpful sermon at the 2019 Gospel Coalition National
[00:00:23.320 --> 00:00:25.720]   Conference in Indianapolis.
[00:00:25.720 --> 00:00:30.520]   The sermon on Jesus' words in Mark 8 verses 31 to 38.
[00:00:30.520 --> 00:00:33.760]   I'll begin by reading the text.
[00:00:33.760 --> 00:00:35.480]   Mark 8 31 to 38.
[00:00:35.480 --> 00:00:39.680]   And he, Jesus, began to teach them that the Son of Man must suffer many things and be
[00:00:39.680 --> 00:00:45.800]   rejected by the elders and the chief priests and the scribes and be killed and after three
[00:00:45.800 --> 00:00:47.600]   days rise again.
[00:00:47.600 --> 00:00:49.320]   And he said this plainly.
[00:00:49.320 --> 00:00:51.420]   And Peter took him aside and began to rebuke him.
[00:00:51.420 --> 00:00:57.040]   But turning and seeing his disciples, he rebuked Peter and said, "Get behind me, Satan, for
[00:00:57.040 --> 00:01:01.320]   you are not setting your mind on the things of God, but on the things of man."
[00:01:01.320 --> 00:01:05.520]   And calling the crowd to him with his disciples, he said to them, "If anyone would come after
[00:01:05.520 --> 00:01:09.040]   me, let him deny himself and take up his cross and follow me.
[00:01:09.040 --> 00:01:12.240]   For whoever would save his life will lose it.
[00:01:12.240 --> 00:01:16.940]   But whoever loses his life for my sake and the gospels will save it.
[00:01:16.940 --> 00:01:21.560]   For what does it profit a man to gain the whole world and to forfeit his soul?
[00:01:21.560 --> 00:01:24.440]   For what can a man give in return for his soul?
[00:01:24.440 --> 00:01:30.160]   For whoever is ashamed of me and of my words in this adulterous and sinful generation,
[00:01:30.160 --> 00:01:35.720]   of him will the Son of Man also be ashamed when he comes in the glory of his Father with
[00:01:35.720 --> 00:01:39.440]   the holy angels."
[00:01:39.440 --> 00:01:42.240]   Here now is Pastor John.
[00:01:42.240 --> 00:01:53.840]   Verse 36, "What does it profit a man to gain the whole world and forfeit his soul?
[00:01:53.840 --> 00:01:59.300]   For what can a man give in return for his soul?"
[00:01:59.300 --> 00:02:00.300]   This is about possessions.
[00:02:00.300 --> 00:02:12.160]   This is about stuff, money, houses, books, computers, land, businesses.
[00:02:12.160 --> 00:02:19.720]   Suppose your heart considers the worth of Jesus and considers the worth of possessions,
[00:02:19.720 --> 00:02:24.760]   the gladness you could have in Jesus, the gladness you could have in possessions.
[00:02:24.760 --> 00:02:33.560]   And suppose your heart is drawn to prefer possessions, which is what is happening to
[00:02:33.560 --> 00:02:35.600]   billions of people.
[00:02:35.600 --> 00:02:40.800]   Suppose your heart is drawn to prefer the worth of possessions and you turn away from
[00:02:40.800 --> 00:02:51.080]   Jesus and you embrace as superior to Jesus all that earthly possessions can give you.
[00:02:51.080 --> 00:02:55.960]   And suppose you succeed all your life, you succeed, nothing but success.
[00:02:55.960 --> 00:03:08.640]   And by the end of your life, suppose you own everything, the world, everything, not just
[00:03:08.640 --> 00:03:15.400]   Apple and Google, mobile oil, all of it.
[00:03:15.400 --> 00:03:16.400]   It's yours.
[00:03:16.400 --> 00:03:17.960]   You call all the shots.
[00:03:17.960 --> 00:03:19.920]   You own them all.
[00:03:19.920 --> 00:03:22.040]   That's what he envisages, right?
[00:03:22.040 --> 00:03:31.080]   Verse 36, "Gain the whole world and then you die."
[00:03:31.080 --> 00:03:37.800]   And instantly you realize it was suicide.
[00:03:37.800 --> 00:03:41.680]   It was eternal suicide.
[00:03:41.680 --> 00:03:48.680]   And suppose facing Jesus, you say, "I'll give you everything.
[00:03:48.680 --> 00:03:51.080]   I'll give you everything I have.
[00:03:51.080 --> 00:03:52.080]   I own it all.
[00:03:52.080 --> 00:03:57.960]   I'll give you everything, the whole world in return for my soul."
[00:03:57.960 --> 00:04:02.720]   What do you think he will say?
[00:04:02.720 --> 00:04:15.640]   I think he will say this, "You would try to buy your soul with the very possessions
