
[00:00:00.000 --> 00:00:16.860]   A couple different things, right? Like, you know, people have been talking about stagnation,
[00:00:16.860 --> 00:00:22.900]   and I don't think anyone else, anyone here sees that. But a lot of people have been talking about
[00:00:22.900 --> 00:00:27.820]   stagnation of models, and a lot of that has to just do with the fact that we haven't seen
[00:00:27.820 --> 00:00:36.220]   a big capabilities leap in the last bit. But that comes really from models that we're using today are
[00:00:36.220 --> 00:00:42.420]   largely the same as the models that were trained in 2022, right? GPT-4, 4Turbo, 4.0, those are just
[00:00:42.420 --> 00:00:47.420]   smaller models that are trained for longer, so similar quality, right? You know, 3.5 Synet came
[00:00:47.420 --> 00:00:51.760]   out recently, but again, that's actually smaller than Opus, but it's somehow better because they
[00:00:51.760 --> 00:00:56.900]   trained it for longer, right? But we haven't seen an extremely large model come out yet, but we will
[00:00:56.900 --> 00:01:01.720]   soon. But one interesting thing, right, is GPT-4 is like 1.8 trillion parameters. It's crazy,
[00:01:01.720 --> 00:01:08.180]   crazy expensive to run, right? 200 billion parameters. Each token requires, you know,
[00:01:08.180 --> 00:01:14.480]   almost 600 gigaflops, but that's almost going to be considered a last generation model, right,
[00:01:14.480 --> 00:01:18.900]   in a year from now. So there's a couple of things that I wanted to talk about regarding that, right?
[00:01:18.900 --> 00:01:23.120]   And mostly on the inference side, because I don't think, you know, anyone here is going to try and
[00:01:23.120 --> 00:01:27.120]   train that kind of next generation model, but definitely we need to be able to run it.
[00:01:28.120 --> 00:01:33.440]   And so, you know, a few things, right? So just going to break down inference in detail,
[00:01:33.440 --> 00:01:38.820]   right? You know, there's two parts of inference, right? There's pre-fill, there's decode. Pre-fill
[00:01:38.820 --> 00:01:45.360]   is the prompt processing, right? And the interesting thing is if you have a 2K prompt, 2K context-length
[00:01:45.360 --> 00:01:52.320]   prompt, right, 2,000 tokens you input into GPT, that's a petaflop itself, right? And then, you know,
[00:01:52.340 --> 00:01:56.840]   if you have 32,000 prompt that you enter, it's 20 petaflops, actually. So it's an incredible amount
[00:01:56.840 --> 00:02:04.860]   of compute that's required to just process the prompt. And, you know, while pre-fill is very
[00:02:04.860 --> 00:02:09.300]   compute-intensive, right, it's actually the opposite of decode, right? Decode is actually generating
[00:02:09.300 --> 00:02:14.720]   each token iteratively, right? So you process the prompt, then you generate a token, you feed it back
[00:02:14.720 --> 00:02:19.860]   in, and you keep going iteratively, right? And decode is extremely memory bandwidth intensive,
[00:02:19.860 --> 00:02:26.800]   right? You have to load the whole model from the weights, the entire, all the weights into the chip,
[00:02:26.800 --> 00:02:34.280]   right, or chips for decode. And the big challenge here is that, you know, hey, if you have 1.8 trillion
[00:02:34.280 --> 00:02:37.420]   parameters, if you're running at a reasonable batch size, you're activating all the experts,
[00:02:37.420 --> 00:02:44.460]   you need to load all 1.8 trillion parameters every single token generation, right? Even if you're
[00:02:44.460 --> 00:02:51.540]   serving multiple users at once, that means you're, you need, you know, 1.8, you need terabytes a second
[00:02:51.540 --> 00:02:55.760]   of memory bandwidth. You want to do 30 tokens per second, I think that's like a minimum bar for most
[00:02:55.760 --> 00:03:00.960]   people, right? A lot of people want hundreds of tokens per second, but even if you want 30 tokens
[00:03:00.960 --> 00:03:06.960]   per second per user, 64 users, you need 60 terabytes a second of memory bandwidth. Even if you look at an
[00:03:06.960 --> 00:03:13.360]   H100, it has like three, right? So this is a extremely challenging systems problem. More, you know,
[00:03:14.200 --> 00:03:19.220]   while it is very bandwidth intensive, it's actually quite cheap on the compute, which is why if you
[00:03:19.220 --> 00:03:25.060]   look at like open AI pricing or cloud pricing, you see a three or four to one ratio between pre-fill
[00:03:25.060 --> 00:03:31.940]   versus decode pricing, right? So the input tokens cost, you know, one-third that of the output tokens,
[00:03:31.940 --> 00:03:38.640]   or one-fourth that. So, you know, today the best models, I think, 4.0 and 3.5 Senet are,
[00:03:39.140 --> 00:03:43.940]   I want to say it's $15 per million tokens, and then it's $5 per million tokens for input,
[00:03:44.160 --> 00:03:52.000]   $15 for output, so $5 for pre-fill, $15 for decode. And soon we're going to have, you know,
[00:03:52.000 --> 00:03:57.060]   in the open source, you know, so what everyone here can touch is, is Llama 3.405b, right? And that's
[00:03:57.060 --> 00:04:04.420]   going to be a real capability sort of unlock for the, you know, the open source market as well as,
[00:04:04.420 --> 00:04:09.380]   you know, builders here, right? And I think there's a couple things that people really need to be able
[00:04:09.380 --> 00:04:14.840]   to implement, right? Like, you can't just run Llama CPP on Llama 4.5b, right? Like, it's just not going
[00:04:14.840 --> 00:04:20.560]   to work. So there's a bunch of stuff that people have to work on, you know, whether it's using, you
[00:04:20.560 --> 00:04:26.240]   know, closed source libraries like TensorRTLLM that only work on NVIDIA, or like VLLM, which is an open
[00:04:26.240 --> 00:04:33.860]   source library that works on AMD and Intel and soon other people's chips as well. You know, there's a lot
