
[00:00:00.000 --> 00:00:04.660]   Elite status with airlines and hotels. Who needs it, right? Well, six months ago,
[00:00:04.660 --> 00:00:10.340]   I would have said not me. But somehow, heading into 2025, I've racked up status on four airlines
[00:00:10.340 --> 00:00:14.520]   and four hotel groups. In this episode, I break down exactly how it happened,
[00:00:14.520 --> 00:00:18.720]   the unexpected perks, and whether chasing status is actually worth it. Plus,
[00:00:18.720 --> 00:00:23.620]   I'm sharing some incredible listener wins, the biggest loyalty program devaluations you should
[00:00:23.620 --> 00:00:28.080]   know about, and my new approach to actually using points instead of just collecting them.
[00:00:28.080 --> 00:00:32.040]   I'm Chris Hutchins. If you enjoy this episode, please share it with a friend or leave a comment
[00:00:32.040 --> 00:00:37.020]   or review. And if you want to keep upgrading your life, money, and travel, click follow or subscribe.
[00:00:37.020 --> 00:00:44.480]   Okay, so in episode 182, I went over almost a dozen different ways that you can fast track your way
[00:00:44.480 --> 00:00:49.980]   to elite status. But I actually remember saying that I didn't care about elite status that much
[00:00:49.980 --> 00:00:55.400]   because I don't travel that much, and we had so many points and miles saved up that we often use
[00:00:55.400 --> 00:01:00.500]   them to fly in premium cabins, business class, first class. And that gives us a lot of the features
[00:01:00.500 --> 00:01:05.380]   we would get with status. And so if you asked me on the street six, seven months ago and said,
[00:01:05.380 --> 00:01:10.500]   Oh, how do you feel about elite status? I would say, it doesn't really matter. I'm not focused on it.
[00:01:10.500 --> 00:01:17.060]   Well, I found that funny because I started looking at where I ended up for 2025. And it completely
[00:01:17.060 --> 00:01:22.620]   contradicts that thought. I looked and I ended up having status on four different airlines and four
[00:01:22.620 --> 00:01:27.760]   different hotel groups. And I want to talk about how that happened, what it means for the future and
[00:01:27.760 --> 00:01:33.180]   how it might impact your life. And I also want to share a few amazing takeaways I've gotten from
[00:01:33.180 --> 00:01:37.620]   listeners that you've all sent in, as well as some of the interesting things that are happening in the
[00:01:37.620 --> 00:01:42.400]   world of travel points, miles, cards, some of what we've been sending out lately, and some of the
[00:01:42.400 --> 00:01:47.520]   things I've been doing about it. So let's jump straight into airline status. And I'll talk a little
[00:01:47.520 --> 00:01:53.360]   bit about what's going on. So first off Southwest, I don't think I have ever actually had Southwest
[00:01:53.360 --> 00:01:58.620]   status. I've gone for companion pass. But for those who aren't familiar, companion pass actually
[00:01:58.620 --> 00:02:03.600]   is separate from their status, you can earn companion pass just by spending on a credit card,
[00:02:03.600 --> 00:02:07.920]   get a free companion you can add. It's an awesome deal. We've done it multiple times,
[00:02:07.920 --> 00:02:12.340]   highly recommend if you're traveling a lot with the same person to places Southwest flies.
[00:02:12.660 --> 00:02:17.840]   However, the points you earn to get companion pass are different than the tier qualifying points you
[00:02:17.840 --> 00:02:24.560]   earn for status. And I rarely fly Southwest enough and on expensive enough tickets to earn anywhere close
[00:02:24.560 --> 00:02:29.920]   to what you need for A-list. However, there was this promo last year that I caught wind of in a Facebook
[00:02:29.920 --> 00:02:37.140]   group about Southwest, where transferred points from hotel groups were actually counting as tier points.
[00:02:37.140 --> 00:02:42.340]   And there was a separate promo where credit card spend was almost earning twice as many tier
[00:02:42.340 --> 00:02:47.040]   points as normal. Now, this was a really tight window from when I learned about it. Unfortunately,
[00:02:47.040 --> 00:02:52.020]   it never made it to the podcast because it was such a narrow window to act. I did share it with the
[00:02:52.020 --> 00:02:56.380]   membership. So something worth taking a look at if you want to get alerted when I find these wild
[00:02:56.380 --> 00:03:03.220]   things. But what happened was I transferred points from Marriott to Southwest and from Choice Hotels to
[00:03:03.220 --> 00:03:09.480]   Southwest. And those cleared as tier points. And so very quickly, I was on my way to A-list. And then I have
[00:03:09.480 --> 00:03:15.280]   a Southwest credit card and I spent a little extra on that than I normally would. And by the end of last
[00:03:15.280 --> 00:03:21.200]   year, I found my way to A-list. Now, why did I even do this? Well, the primary reason I did it was because
[00:03:21.200 --> 00:03:27.440]   Southwest had already announced that they were making a bunch of changes coming up this year. And one of
[00:03:27.440 --> 00:03:33.100]   them was that there was going to be seat selection, including extra legroom and preferred seats. And that
[00:03:33.100 --> 00:03:37.620]   was the main big change they were going to do. There was no more pick your own seat. Boarding
[00:03:37.620 --> 00:03:43.380]   isn't going to operate how it used to be. And I thought, gosh, if I have this limited opportunity
[00:03:43.380 --> 00:03:49.460]   to get Southwest A-list, maybe when they make that change, I'll be able to pick seats and board and do
[00:03:49.460 --> 00:03:54.760]   all these things that I wouldn't otherwise be able to do. Now, I didn't know how much Southwest would end
[00:03:54.760 --> 00:04:00.240]   up changing between that point in time and this year. And specifically in the last week, for anyone who
[00:04:00.240 --> 00:04:06.520]   hasn't seen, Southwest has basically gone the way of every other airline and almost feels like it'll
[00:04:06.520 --> 00:04:11.040]   be indistinguishable from other airlines because all of the things that Southwest used to do that
[00:04:11.040 --> 00:04:15.840]   made them so Southwest are either things that other airlines have already started doing or that they've
[00:04:15.840 --> 00:04:21.440]   gotten rid of. So going forward, and I can't remember the exact start date. Some of these are flights
[00:04:21.440 --> 00:04:27.600]   booked after May 28th, 2025, but no free checked bags. There's one advantage to this, which I didn't
[00:04:27.600 --> 00:04:33.260]   realize, which is that you have to pay these airline taxes and fees when you sell tickets.
[00:04:33.260 --> 00:04:38.900]   And even if bag fees are part of those tickets, you have to pay those taxes. When you unbundle those,
[00:04:38.900 --> 00:04:44.500]   you don't have to pay all those taxes on the bag fees. So there is some rational economic argument to
[00:04:44.500 --> 00:04:49.480]   do that. You will going forward still get two bags with A-list preferred and one with A-list or a credit
[00:04:49.480 --> 00:04:54.380]   card. A Southwest card is an easy way to avoid that. They're going to add basic economy. They've already
