
[00:00:00.000 --> 00:00:29.980]   Thank you.
[00:00:29.980 --> 00:00:50.960]   Hello, hello.
[00:00:50.960 --> 00:00:55.560]   How are you going, Sriq?
[00:00:55.560 --> 00:00:59.960]   It's going okay, just hanging out, doing work.
[00:00:59.960 --> 00:01:05.360]   You know, you should just let the AI do your work, you know.
[00:01:05.360 --> 00:01:07.340]   Yeah, I wish.
[00:01:07.340 --> 00:01:11.440]   We're not there yet.
[00:01:11.440 --> 00:01:12.520]   Is that your take?
[00:01:12.520 --> 00:01:17.720]   Dorkesh says podcaster is the only AI-proof job.
[00:01:17.720 --> 00:01:19.560]   Oh, no, it's investor.
[00:01:22.480 --> 00:01:27.460]   No, investors say investors are AI-proof, and then podcasters say podcasters are AI-proof.
[00:01:27.460 --> 00:01:40.100]   Is this Zoom going better than the Discord?
[00:01:40.100 --> 00:01:41.540]   Yeah.
[00:01:41.540 --> 00:01:42.220]   Yeah.
[00:01:42.840 --> 00:01:43.860]   I'm surprised.
[00:01:43.860 --> 00:01:45.720]   I thought Discord was great.
[00:01:45.720 --> 00:01:50.800]   But, you know, you guys said you wanted Zoom, so we do Zoom.
[00:01:50.800 --> 00:01:56.120]   I think it's basically like Discord falls apart after like 20 people in a channel.
[00:01:57.860 --> 00:02:01.480]   But, like, you know they're way larger Discords than us.
[00:02:01.480 --> 00:02:05.100]   Like, I don't know why it would fall apart.
[00:02:05.100 --> 00:02:06.500]   Yeah.
[00:02:06.500 --> 00:02:14.640]   Well, even then, like, I've been in a couple of the crypto servers that have, like, really large stages that they'll host with hundreds of people.
[00:02:14.640 --> 00:02:17.420]   And even then, they have issues like sharing screen or whatever.
[00:02:17.660 --> 00:02:19.060]   So, I do think it's a Discord issue.
[00:02:19.060 --> 00:02:21.640]   Yeah.
[00:02:21.640 --> 00:02:23.960]   I'm wondering if Discord's going to die.
[00:02:23.960 --> 00:02:25.440]   Apparently, there's a new CEO.
[00:02:25.440 --> 00:02:28.180]   And the CEO is really into microtransactions.
[00:02:28.180 --> 00:02:29.440]   Yes, I saw that.
[00:02:29.440 --> 00:02:30.140]   I saw that.
[00:02:30.140 --> 00:02:39.680]   Is there any alternative at the horizon, then, to just, like, jump shit?
[00:02:39.680 --> 00:02:42.260]   Not really.
[00:02:42.260 --> 00:02:44.740]   Black is an amazing piece of software.
[00:02:44.740 --> 00:02:47.920]   Like, I think I've never seen something that's, like, so slow.
[00:02:47.920 --> 00:02:50.620]   It's just, it's so brutal.
[00:02:50.620 --> 00:02:54.440]   Yeah, I know Slack.
[00:02:54.440 --> 00:02:56.260]   Slack sucks for a community.
[00:02:56.260 --> 00:03:04.160]   Are we waiting?
[00:03:04.160 --> 00:03:05.940]   I think Kevin's, like, probably busy.
[00:03:05.940 --> 00:03:07.660]   I'm going to ask him.
[00:03:07.660 --> 00:03:12.240]   I'm hoping, is Dave in here?
[00:03:12.240 --> 00:03:13.560]   David Gutman.
[00:03:13.880 --> 00:03:19.140]   I'm checking the, is Dave Jean the same as Dave Gutman?
[00:03:19.140 --> 00:03:20.040]   No, probably different.
[00:03:20.040 --> 00:03:25.300]   Because, like, the bot, they were having some issues with rescheduling on the bot, it seems.
[00:03:25.300 --> 00:03:27.640]   Like, somebody booked originally for this date, for this Friday.
[00:03:27.640 --> 00:03:29.760]   And I think that's why you couldn't book, Manuel.
[00:03:29.760 --> 00:03:31.300]   Because, yeah.
[00:03:31.300 --> 00:03:33.660]   Because there's, like, a ghost booking somewhere.
[00:03:33.660 --> 00:03:34.920]   Yeah, yeah, yeah.
[00:03:34.920 --> 00:03:36.780]   That's all good.
[00:03:36.780 --> 00:03:37.840]   I like the bot, though.
[00:03:37.840 --> 00:03:38.340]   Yeah, Kevin's coming.
[00:03:38.340 --> 00:03:39.900]   Nice.
[00:03:39.900 --> 00:03:42.060]   Nice.
[00:03:42.060 --> 00:03:42.080]   Nice.
[00:03:42.080 --> 00:03:42.100]   Nice.
[00:03:42.100 --> 00:03:46.680]   I wish, I wish I was better at prompt injection.
[00:03:46.680 --> 00:03:47.080]   Right.
[00:03:47.080 --> 00:03:58.100]   I think, I think Zoom is ultimately nicer than Discord because of the, the, the built-in recording.
[00:03:58.100 --> 00:04:05.640]   I think it's kind of, like, what it comes down to is that, like, you can make use of the, and then, and then, but the only thing that sucks about it is, like, the chat doesn't persist.
