
[00:00:00.000 --> 00:00:05.140]   Your credit score has so much information in it that impacts how much you pay for everything from
[00:00:05.140 --> 00:00:10.480]   your home to your car. It could even impact what jobs you can get. Even worse, there are over 20
[00:00:10.480 --> 00:00:14.140]   different models being used to calculate your credit score. So if you don't know which model
[00:00:14.140 --> 00:00:18.960]   is being used and how credit scores actually work, it can really cost you money. But good news,
[00:00:18.960 --> 00:00:23.660]   today is a masterclass on credit reports and scores, and we're going to go deep on how these
[00:00:23.660 --> 00:00:28.240]   numbers are generated, how to improve them, why they matter, how opening cards, closing cards,
[00:00:28.240 --> 00:00:32.180]   and earning points plays into it all. And I'm going to share what I learned from checking over
[00:00:32.180 --> 00:00:37.900]   42 different versions of my own credit score and so much more. If you're new here, I'm Chris Hutchins.
[00:00:37.900 --> 00:00:42.040]   I learned so much doing the research for this episode, so I really hope you enjoy it. And if
[00:00:42.040 --> 00:00:46.560]   you do, please share it with a friend or leave a comment or review. And if you want to keep upgrading
[00:00:46.560 --> 00:00:52.760]   your life, money, and travel, click follow or subscribe. First, let's talk about credit reports,
[00:00:52.760 --> 00:00:57.620]   which are a multi-billion dollar industry that's been around for a long time. In fact,
[00:00:57.620 --> 00:01:04.060]   maintaining information on borrowers actually dates back to the early 1800s. Merchants on the East
[00:01:04.060 --> 00:01:08.440]   Coast actually needed a way to judge the creditworthiness of customers and borrowers on
[00:01:08.440 --> 00:01:13.160]   the West Coast. This was in the age of the Transcontinental Railroad and the Telegraph,
[00:01:13.160 --> 00:01:19.060]   and suddenly people could communicate across really far distances pretty quickly, but where they were
[00:01:19.060 --> 00:01:24.200]   increasingly doing business with folks they'd never met in person. So they needed a way to figure out
[00:01:24.200 --> 00:01:28.680]   who was a safe bet for a loan and who was most likely to end up on one of those old-school
[00:01:28.680 --> 00:01:30.640]   wanted posters. In 1841,
[00:01:30.640 --> 00:01:37.160]   Louis Tappan founded the Mercantile Agency, which started as an informal operation collecting
[00:01:37.160 --> 00:01:43.140]   subjective and anecdotal information on customers' financial reliability. These early little bureaus,
[00:01:43.140 --> 00:01:48.320]   like that one, started recording details about people's character, their lifestyle. They started
[00:01:48.320 --> 00:01:53.460]   compiling data through conversations with neighbors, associates, local merchants, and they were really
[00:01:53.460 --> 00:02:00.080]   subjective as an approach to creditworthiness. But by the mid-20th century, credit reporting became much
[00:02:00.080 --> 00:02:05.720]   more standardized, driven by increased consumer lending and the growth of department stores and
[00:02:05.720 --> 00:02:12.560]   credit cards. In the early 1950s and 1960s, thousands of local credit bureaus began consolidating
[00:02:12.560 --> 00:02:19.440]   into larger agencies, with companies like Equifax, Experian, and TransUnion emerging as the dominant
[00:02:19.440 --> 00:02:25.800]   players. The era also saw the advent of computerized databases dramatically improving the efficiency,
[00:02:26.080 --> 00:02:31.720]   accuracy, and reach of credit reporting. However, the rapid expansion of credit data collection led to
[00:02:31.720 --> 00:02:37.360]   growing concerns over privacy, accuracy, transparency, and all of those things for consumers.
[00:02:37.360 --> 00:02:43.000]   In response to these issues, the Fair Credit Reporting Act, FCRA, was enacted by Congress
[00:02:43.000 --> 00:02:49.520]   in 1970, significantly reshaping the industry. The FCRA established regulations to ensure credit
