
[00:00:00.000 --> 00:00:06.340]   Every day it seems to me at the moment there are crazy claims and headlines not just in AI
[00:00:06.340 --> 00:00:12.240]   but in the wider world. So this video is going to attempt to debunk a few of those headlines
[00:00:12.240 --> 00:00:18.140]   and just give you what we know. I'm going to look at Llama 4, the model that has been a year in the
[00:00:18.140 --> 00:00:24.680]   waiting and has many claims and counterclaims about it. Then the blog post slash paper from
[00:00:24.680 --> 00:00:31.080]   a former OpenAI researcher that has millions and millions of views online and was featured in the
[00:00:31.080 --> 00:00:36.660]   New York Times essentially predicting superintelligence by 2027. Then some very recent
[00:00:36.660 --> 00:00:42.960]   news about the release date of what could be the smartest model of them all along with a ton of
[00:00:42.960 --> 00:00:48.680]   contradictions about whether and when it might come out. I just simply can't resist starting out
[00:00:48.680 --> 00:00:54.780]   with a quote which could dampen literally all the hype that you see in AI. When Dario Amadei,
[00:00:54.780 --> 00:01:01.080]   the CEO of Anthropic, makers of the Claude series of models, was asked what could stop AI? What could
[00:01:01.080 --> 00:01:06.520]   stop the progress? He mentioned a war in Taiwan which we've known is a risk for a long time. I
[00:01:06.520 --> 00:01:11.720]   highly recommend the book Chip Wars by Chris Miller. He then briefly touched on there being a potential
[00:01:11.720 --> 00:01:16.280]   data war where they run out of high quality data to train their models on but then he touched on a
[00:01:16.280 --> 00:01:20.880]   new risk that he hadn't mentioned before. And before you hear this quote, note that it came
[00:01:20.880 --> 00:01:25.960]   three weeks ago before all of this tariff craziness. What are the top three things that could stop the
[00:01:25.960 --> 00:01:30.680]   show? If there's a large enough disruption to the stock market that messes with the capitalization of
[00:01:30.680 --> 00:01:38.520]   these companies, basically a kind of belief that the technology will not, you know, move forward and
[00:01:38.520 --> 00:01:42.360]   that kind of creates a self-fulfilling prophecy where there's there's not enough capitalization.
[00:01:42.360 --> 00:01:48.200]   I just want to spend 30 seconds on explaining how that might play out. Companies like OpenAI and
[00:01:48.200 --> 00:01:53.960]   Anthropic need to raise money to fund those vast training runs that go behind their latest models.
[00:01:53.960 --> 00:01:59.720]   They don't just have 40 billion or 100 billion sitting around in their bank account to fund those vast
[00:01:59.720 --> 00:02:04.440]   data centers and everything else that goes into training a language model. The trouble is, of course,
[00:02:04.440 --> 00:02:09.240]   if investors don't think they'll get their money back, perhaps due to a recession, then they either
[00:02:09.240 --> 00:02:15.000]   won't invest in these companies or invest less at lower valuations. Less money means less compute,
[00:02:15.000 --> 00:02:19.800]   which means slower AI progress. That's not a prediction, of course. No one, including myself,
[00:02:19.800 --> 00:02:25.320]   knows what's going to happen. It's just easy to forget that AI operates in the real world and real
[00:02:25.320 --> 00:02:31.240]   world things can have consequences for AI progress. And speaking of AI progress, how much progress is
[00:02:31.240 --> 00:02:37.240]   represented by the release of Llama 4 and two of the three models in the Llama 4 family? Well,
[00:02:37.240 --> 00:02:43.560]   it's hard to be exact because, as ever, there's a lot more spin than honest analysis in the release
[00:02:43.560 --> 00:02:49.240]   of this family. But it seems like not too much. There's no paper, of course, that's starting to become
[00:02:49.240 --> 00:02:55.000]   the norm. But here are the highlights of what we do know. First, the smallest of the Llama 4 models
[00:02:55.000 --> 00:03:01.160]   has what they call an industry-leading context window of 10 million tokens. Think of that being
[00:03:01.160 --> 00:03:06.520]   around seven and a half million words. That sounds insane, of course, and innovative, but two quick
[00:03:06.520 --> 00:03:14.120]   caveats. All the way back to February 2024, we had a model, Gemini 1.5 Pro, that had a 10 million token
[00:03:14.120 --> 00:03:20.440]   context window. And with that extreme window, it could perform amazing needle in a haystack recovery
[00:03:20.440 --> 00:03:26.680]   on videos and audio and text. In public, at least, we, quote, "only" got models of up to two million
[00:03:26.680 --> 00:03:31.640]   tokens of context window, though, perhaps because Google realized something. They realized, perhaps,
[00:03:31.640 --> 00:03:36.840]   that it's all well and good finding individual needles in a haystack, as demonstrated in this
[00:03:36.840 --> 00:03:43.480]   Llama 4 blog post. If you dump in all the Harry Potter books and drop in a password, say, halfway through,
[00:03:43.480 --> 00:03:48.280]   the model will be able to find it and retrieve it. But most people, let's be honest, aren't sneaking in
[00:03:48.280 --> 00:03:55.400]   passwords into seven volumes of Harry Potter. So these results from the release 48 hours ago
