
[00:00:00.000 --> 00:00:17.520]   I'm Phoebe, I'm a machine learning engineer at Normal Computing, and I'm really excited to tell
[00:00:17.520 --> 00:00:21.600]   you guys about some of our recent research, and in particular, extended mind transformers.
[00:00:21.600 --> 00:00:26.160]   All right, so just to briefly cover what we're going to go over in today's talk,
[00:00:26.160 --> 00:00:29.960]   we'll introduce the problem, which I think will be quite familiar, given the amazing talk
[00:00:29.960 --> 00:00:35.320]   which came before mine, and then dive right into the methods, so what is the retrieval mechanism
[00:00:35.320 --> 00:00:39.480]   that extended mind transformers implement, and then we'll dive into some experiments which
[00:00:39.480 --> 00:00:42.280]   give us confidence that these methods are actually performant.
[00:00:42.280 --> 00:00:46.280]   After that, we'll get into two of my favorite and I think most compelling features that extended
[00:00:46.280 --> 00:00:51.240]   mind transformers enable. This is a new kind of citation, as well as a new kind of generation
[00:00:51.240 --> 00:00:56.280]   paradigm, which is active learning inspired, and then we'll go over the most important parameters
[00:00:56.280 --> 00:01:01.640]   to tune when implementing EMTs in your applications, and generally how to use them.
[00:01:01.640 --> 00:01:09.880]   All right, so we pre-train language models so that they have general knowledge, but as we've
[00:01:09.880 --> 00:01:14.840]   been discussing all this conference, that's not enough. We need a lot of application-specific
[00:01:14.840 --> 00:01:19.240]   information and a topical description of the world in order to make these things useful.
[00:01:19.240 --> 00:01:26.120]   I'm not going to belabor the two most popular methods which try to load this description into
[00:01:26.120 --> 00:01:31.560]   the language model, those being longcontext and RAG, as I think, yeah, we've heard a lot about those
[00:01:31.560 --> 00:01:36.840]   great methods already, but I'd like to point out that they solve the problem in different ways,
[00:01:36.840 --> 00:01:43.480]   and thus suffer from different downsides. So longcontext seeks to extend the context window of the
[00:01:43.480 --> 00:01:49.000]   transformer model. So we train language models, we train them on sequences of a fixed length, and then we're
[00:01:49.000 --> 00:01:54.920]   trying to say, well, can we extend that so we can include more in the context, more in the prompt
[00:01:54.920 --> 00:01:59.800]   during inference time? Fine-tuning is usually how this is done, and that's awfully expensive,
[00:01:59.800 --> 00:02:06.200]   and more so than that, including all of that context in your prompt can confuse the model with a lot of
[00:02:06.200 --> 00:02:11.640]   irrelevant information. And kind of beyond that, just conceptually speaking, it seems a little
[00:02:11.640 --> 00:02:17.000]   like wasteful, right? Like if we're trying to do question answering over a big code base, our query
[00:02:17.000 --> 00:02:21.640]   is most usually, does not need to reference like all of those different function definitions, but just
[00:02:21.640 --> 00:02:27.080]   needs some subset of them to answer the query correctly. Okay, so this is what RAG tries to do,
[00:02:27.080 --> 00:02:33.560]   right? Let's try to subset that information down and just include the most relevant context in our prompt.
[00:02:33.560 --> 00:02:41.080]   So what are the issues here? Well, these mechanisms are external to the transformer, kind of like
[00:02:41.080 --> 00:02:47.080]   necessarily limited by being external to the model. So we make this choice of what's relevant once and
[00:02:47.080 --> 00:02:52.680]   up front before the generation starts, and we're also making this choice about what's relevant using
[00:02:52.680 --> 00:02:58.200]   kind of the least granular representation of that data and often ones that are disjoint from the way
[00:02:58.200 --> 00:03:05.640]   that the model will reason about that data. Kind of also just conceptually, neither of these methods
[00:03:05.640 --> 00:03:10.920]   make a difference or make a distinction between things that should go in memory and things that should be
[00:03:10.920 --> 00:03:15.400]   included along with your inference query. And this is more than just aesthetics, it's actually going to enable
[00:03:15.400 --> 00:03:24.760]   us to, oh, it's going to enable us to have these like more granular causal citations and allow the model
[00:03:24.760 --> 00:03:29.400]   to retrieve more information when we can tell it's uncertain, kind of actively within the generation.
[00:03:29.400 --> 00:03:37.320]   All right, so how do we do this? Extended mind attention is a very simple edit to the attention
[00:03:37.320 --> 00:03:41.240]   mechanism of the transformer. I'm not going to get too much into the math because we don't have a ton
[00:03:41.240 --> 00:03:44.840]   of time today, but would love for anyone to check out the paper and let me know what you think.
[00:03:44.840 --> 00:03:50.920]   So, but I'll just go over kind of, yeah, from a qualitative perspective, how this works.
[00:03:50.920 --> 00:03:56.680]   So the model represents data within each decoder layer. Most of the transformers that we're using
[00:03:56.680 --> 00:04:02.040]   today are decoder-only transformers. And within each of those decoder layers, the model will represent
[00:04:02.040 --> 00:04:07.480]   that data as a key value pair. So it actually already has this retrieval mechanism built into the
[00:04:07.480 --> 00:04:13.960]   transformer. All we have to do is kind of hack around it. And so we pass all of the memory tokens
[00:04:13.960 --> 00:04:19.640]   through the model and save off those key value representations. And then during generation time,
[00:04:19.640 --> 00:04:26.440]   we allow each query token, just like RAG, using cosine similarity, to go retrieve a particular number
[00:04:26.440 --> 00:04:33.320]   of those memory tokens and attend to them. So in this picture, these kind of red tokens, red highlighted
[00:04:33.320 --> 00:04:40.440]   tokens are meant to represent those retrieved tokens. Again, this actually ends up being a very simple
