
[00:00:00.000 --> 00:00:22.980]   Hey everybody, my name is Doug Guthrie. I'm a solutions engineer at BrainTrust. As you can
[00:00:22.980 --> 00:00:28.360]   see here, we're an end-to-end developer platform for building AI products. We do evals. If you
[00:00:28.360 --> 00:00:32.680]   watched the keynote this morning, you saw our founding engineer jumping up and down on
[00:00:32.680 --> 00:00:38.960]   stage yelling evals. I am not going to do that. I'm not as funny or cool as him, but we
[00:00:38.960 --> 00:00:45.460]   should all be very excited about evals here. Very brief agenda of what we'll cover today
[00:00:45.460 --> 00:00:54.360]   in this sort of intro. Very, very brief company overview. Give you an intro to evals. Why would
[00:00:54.360 --> 00:00:59.740]   you even start thinking about using them? What are they? What are the different components
[00:00:59.740 --> 00:01:08.160]   that you need to create an eval? Some more BrainTrust specific things via running evals via our SDK.
[00:01:08.160 --> 00:01:14.680]   You'll see in the examples that you can run evals both in the platform itself as well as the
[00:01:14.680 --> 00:01:19.800]   SDK. I think it's a really kind of cool thing that we can connect maybe the local development
[00:01:19.800 --> 00:01:25.180]   that we're doing with what we're doing within the platform. And then how we then move to
[00:01:25.180 --> 00:01:31.500]   production. This is maybe human review. This is online scoring. So how well is our application
[00:01:31.500 --> 00:01:37.180]   performing in production? And then lastly, a little bit of human in the loop. Getting user
[00:01:37.180 --> 00:01:43.400]   feedback from your users. How do we now take some of these production logs and feed them into
[00:01:43.400 --> 00:01:47.780]   the data sets that we're using in our evals. Creating this really great flywheel effect.
[00:01:47.780 --> 00:01:57.780]   Cool. Quick, quick company overview. You see up there maybe in the top right some of our fund,
[00:01:57.780 --> 00:02:05.000]   excuse me, some of our investors. Maybe a quick call out on the leadership side. Ankur Goyal is our CEO.
[00:02:05.000 --> 00:02:16.380]   Maybe the reason to call out that is Ankur in the last two stops, he essentially built BrainTrust from scratch the last two places.
[00:02:16.380 --> 00:02:23.380]   And this is really where he found the idea to like maybe this is actually a thing that people need.
[00:02:23.380 --> 00:02:33.380]   And really the origination story of BrainTrust. The other thing to call out here is like we already have a lot of companies using BrainTrust in production today.
[00:02:33.380 --> 00:02:44.900]   This is just a few of the companies that are utilizing us for evals, for observability of their Gen AI applications.
[00:02:44.900 --> 00:02:51.760]   I won't bore you too much with that, but let's jump into this. If you're at the keynote, you probably saw a similar slide here.
[00:02:51.760 --> 00:03:01.760]   I didn't take it out, but you see like the tech luminaries here, I think as Manu referenced them, talking about evals and the importance of them.
