
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:08.000]   Well, it's never a bad time to soak in the glorious truths of
[00:00:08.000 --> 00:00:12.000]   Psalm 16, and that's what we're going to do today in a clip from
[00:00:12.000 --> 00:00:16.000]   2015. This clip comes from a memorable sermon titled
[00:00:16.000 --> 00:00:20.000]   "The Path to Full and Lasting Pleasure." The clip begins
[00:00:20.000 --> 00:00:24.000]   where the sermon begins, with John Piper walking out on stage
[00:00:24.000 --> 00:00:28.000]   at a Shane and Shane conference. There, Pastor John recited
[00:00:28.000 --> 00:00:32.000]   Psalm 16 from heart. This text and this
[00:00:32.000 --> 00:00:36.000]   sermon was fresh on his heart, coming in light of pretty deep
[00:00:36.000 --> 00:00:40.000]   sorrow for the Bethlehem community, as you will hear in a moment, making
[00:00:40.000 --> 00:00:44.000]   for a clip and for a sermon, and for an event that has
[00:00:44.000 --> 00:00:48.000]   impacted many of you, I know. Without any further introduction,
[00:00:48.000 --> 00:00:52.000]   here's Pastor John reciting Psalm 16.
[00:00:52.000 --> 00:00:56.000]   Preserve me, O God, for in you
[00:00:56.000 --> 00:01:00.000]   I take refuge. I say to the Lord, "You are my Lord. I have no good
[00:01:00.000 --> 00:01:04.000]   apart from you." As for the saints in the land,
[00:01:04.000 --> 00:01:08.000]   they are the noble in whom is all my delight.
[00:01:08.000 --> 00:01:12.000]   Those who choose another god multiply their sorrows.
[00:01:12.000 --> 00:01:16.000]   Their libations of blood I will not pour out
[00:01:16.000 --> 00:01:20.000]   or take their names upon my lips. The Lord is
[00:01:20.000 --> 00:01:24.000]   my chosen portion and my cup. You hold
[00:01:24.000 --> 00:01:28.000]   my lot. The lines have fallen for me in
[00:01:28.000 --> 00:01:32.000]   pleasant places. Indeed, I have a beautiful
[00:01:32.000 --> 00:01:36.000]   inheritance. I bless the Lord who gives me
[00:01:36.000 --> 00:01:40.000]   counsel. In the night also my heart instructs me.
[00:01:40.000 --> 00:01:44.000]   Because you are right at my right hand, I shall not
[00:01:44.000 --> 00:01:48.000]   be moved. Therefore, my heart is
[00:01:48.000 --> 00:01:52.000]   glad and my soul rejoices, and my whole body dwells
[00:01:52.000 --> 00:01:56.000]   secure. For you do not give me up to shield or let your
[00:01:56.000 --> 00:02:00.000]   godly ones see the pit. You show me the path of life.
[00:02:00.000 --> 00:02:04.000]   In your presence is fullness of joy.
[00:02:04.000 --> 00:02:08.000]   At your right hand are pleasures forevermore.
[00:02:08.000 --> 00:02:12.000]   So if you have a Bible,
[00:02:12.000 --> 00:02:16.000]   I want you to open it to Psalm 16,
[00:02:16.000 --> 00:02:20.000]   which I just recited. Let me set the table for you
[00:02:20.000 --> 00:02:24.000]   before I pray and ask God to come and do mighty things among us.
[00:02:24.000 --> 00:02:28.000]   And the reason I feel an anticipation that he's going to do remarkable
[00:02:28.000 --> 00:02:32.000]   things is because the way he has set up this evening.
[00:02:32.000 --> 00:02:36.000]   So two weeks ago, I was in the Boundary Waters in northern
[00:02:36.000 --> 00:02:40.000]   Minnesota fishing with my son and
[00:02:40.000 --> 00:02:44.000]   six others. And one of those others was
[00:02:44.000 --> 00:02:48.000]   a 20-year colleague whom I love, who has
[00:02:48.000 --> 00:02:52.000]   been the worship leader at our church for 20 years.
[00:02:52.000 --> 00:02:56.000]   When we got back to the Outfitters, he was to call home and the
[00:02:56.000 --> 00:03:00.000]   phone call was that his son had died
[00:03:00.000 --> 00:03:04.000]   at 22 without the slightest
[00:03:04.000 --> 00:03:08.000]   history of trouble. He was in northern Ireland
[00:03:08.000 --> 00:03:12.000]   doing a mission trip and simply
[00:03:12.000 --> 00:03:16.000]   fell over. And with his sister at his side
