
[00:00:00.000 --> 00:00:22.640]   Hello, so I'm Ben Kuss, I'm CTO of Boxx and I'm going to talk today about our journey of through
[00:00:22.640 --> 00:00:29.440]   AI and in particular our AI agentic journey. And if you don't know much about Boxx,
[00:00:29.440 --> 00:00:36.720]   a little bit of background. So at Boxx we are an unstructured content platform, we've been around
[00:00:36.720 --> 00:00:44.960]   for a while, more than 15 years, and we very much concentrate on large enterprises. So we've got
[00:00:44.960 --> 00:00:52.640]   over 115,000 enterprise customers, we've got two-thirds of the Fortune 500, and our job really
[00:00:52.640 --> 00:00:57.040]   is to bring everything you'd want to do with your content to these customers and to provide them all
[00:00:57.040 --> 00:01:01.680]   the capabilities they might want. In many cases, for AI, many of these customers, their first AI
[00:01:01.680 --> 00:01:08.720]   deployment was actually with Boxx because, of course, many enterprises worry a lot about data
[00:01:08.720 --> 00:01:13.120]   security concerns and worry about data leakage with AI, make sure to do safe and secure AI,
[00:01:13.120 --> 00:01:18.320]   and this is one thing that we have specialized in over time. But the way that we think about
[00:01:18.320 --> 00:01:24.880]   AI is at a platform level. So we have sort of the historic version of Boxx which has the idea of the
[00:01:24.880 --> 00:01:29.280]   global infrastructure, sort of everything you need to manage and maintain content at scale. We've got
[00:01:29.280 --> 00:01:34.640]   over an exabyte of data, we have an awful lot of hundreds of billions of files that our customers have
[00:01:34.640 --> 00:01:39.280]   trusted us with, and we have the natural way to protect them in addition to the type of services that
[00:01:39.280 --> 00:01:44.080]   you provide when you're an unstructured data platform. But then for the last few years, one of the key
[00:01:44.080 --> 00:01:48.640]   things we've been investing in has been in AI on top of the platform, and I'm here to tell you a bit
[00:01:48.640 --> 00:01:58.800]   about our journey here. So we started our journey in 2023, shortly after AI became sort of production
[00:01:58.800 --> 00:02:02.320]   ready from a generative AI sense. And everything I'm talking about here today will be generative AI, of course.
[00:02:03.280 --> 00:02:08.160]   So we ended up with a set of features, things like QA across documents, things like being able
[00:02:08.160 --> 00:02:12.640]   to extract data, things like being able to do AI power workflows. Happy to talk about these in general,
[00:02:12.640 --> 00:02:18.880]   but today I'm going to focus on one aspect of the features that we built, which is the idea of data
[00:02:18.880 --> 00:02:24.320]   extraction. This is the idea of taking structured data from your unstructured data and using that in
[00:02:24.320 --> 00:02:30.640]   an enterprise setting. And partly I'm going to focus on this one because this is interestingly,
[00:02:30.640 --> 00:02:36.400]   like maybe the least agentic sort of thing that you might think of when you're thinking about these
[00:02:36.400 --> 00:02:42.240]   other examples about how you interact with AI. This is much less like a standard chatbot style
[00:02:42.240 --> 00:02:47.760]   integration, but what we learned and what I'll tell you about is how you the concepts of agentic
[00:02:47.760 --> 00:02:52.560]   capabilities applies well beyond just sort of end user interactions.
[00:02:52.560 --> 00:02:58.720]   So we'll be talking about data extraction for a moment, just a quick background. When we talk about
[00:02:58.720 --> 00:03:04.560]   metadata or data, we talk about the things in unstructured data, be it documents, be it contracts,
[00:03:04.560 --> 00:03:10.400]   be it project proposals with anything that then turns into structured data. This is a very common
[00:03:10.400 --> 00:03:16.160]   challenge in enterprises is that they have like 90% of their data is unstructured, 10% of their data is
[00:03:16.160 --> 00:03:22.720]   in databases, structured data. And historically, there has been this challenge that like it was kind of
[00:03:22.720 --> 00:03:28.720]   hard to utilize this. So many customers have for a very long time, wish they had better ways to automate
[00:03:28.720 --> 00:03:32.560]   their unstructured data. And there's a lot of it. And it's really critical. In some cases, it's the most
[00:03:32.560 --> 00:03:40.480]   critical thing in an enterprise. So the things you do with it would be to like query your data, being able to
[00:03:40.480 --> 00:03:46.320]   kick off workflows, being able to do just a better search and filtering across all of your data. And so
[00:03:46.320 --> 00:03:50.480]   so this like the prototypical example, this is something like a contract where you have an
[00:03:50.480 --> 00:03:55.520]   authoritative unstructured piece of data, but then also the key fields in there are very important.
[00:03:57.040 --> 00:04:04.800]   So this is not a new thing. For many, many years, the world for box included has been interested in
[00:04:04.800 --> 00:04:10.160]   pulling out unstructured, structured data from unstructured data. And there were a lot of techniques
[00:04:10.160 --> 00:04:14.240]   to do this. And there's a whole industry. If you ever heard of IDP, this is like a multi-billion dollar
[00:04:14.240 --> 00:04:21.680]   industry whose job in life was to do this kind of attraction. But it was really hard, you had to build
[00:04:21.680 --> 00:04:26.800]   these specialized AI models, you had to like focus on specific types of content, you had to have this huge
[00:04:26.800 --> 00:04:32.320]   corpus of training data. Oftentimes you need to get custom vendors and custom ML models that you make.
[00:04:32.320 --> 00:04:37.120]   And it was quite brittle. And then to the point, not a lot of companies ever thought about automating
[00:04:37.120 --> 00:04:42.400]   most of their most, their critical unstructured data. So this was sort of the state of the industry for a
[00:04:42.400 --> 00:04:48.880]   very long time. Like just don't bother trying too hard with unstructured data, do everything you can to
[00:04:48.880 --> 00:04:55.040]   get it in some sort of structured format, but don't try too hard to deal with unstructured data. Until
[00:04:55.040 --> 00:05:01.360]   generative AI came along. And so this is where our journey sort of begins with AI is for a long time,
[00:05:01.360 --> 00:05:08.720]   we've been using ML models in different ways. And the first thing that we tried when confronted
[00:05:08.720 --> 00:05:18.560]   with sort of a GPT-2, GPT-3 style of AI models is that you just say, I have a question for you, AI model,
[00:05:18.560 --> 00:05:28.000]   can you extract this kind of data? And as we mostly all know, AI is not only great at generating content,
[00:05:28.000 --> 00:05:34.240]   it's also great at understanding the nuances of content. So what we did, we first started out with
[00:05:34.240 --> 00:05:43.120]   some pre-processing, doing sort of OCR steps, classic ways to do this, and then being able to then say,
[00:05:43.120 --> 00:05:49.360]   I want to extract these fields, standard AI calls, single shot, or with some decoration on the prompts.
[00:05:49.360 --> 00:05:57.280]   And this worked great. This was amazing. This was something where suddenly, a standard, generic,
[00:05:57.280 --> 00:06:02.480]   off-the-shelf AI model from multiple vendors could outperform even the best sort of models that you
[00:06:02.480 --> 00:06:08.000]   had seen in the past. And we supported multiple models just in case, and then it got better and
[00:06:08.000 --> 00:06:11.840]   better. This was wonderful. So this was flexible. You could do it across any kind of data. You could,
[00:06:11.840 --> 00:06:18.960]   it performed well. It was, yes, you had to do OCR and pre-process it, but that was straightforward.
[00:06:18.960 --> 00:06:25.760]   And so we were just thrilled. This was like, for us, it was like, this is a new generation of AI.
[00:06:25.760 --> 00:06:29.920]   And interestingly, we would go to our customers and say, we can do this across any data. And then
[00:06:29.920 --> 00:06:33.200]   they would give us some, and it would work. And then we'd be like, great, AI models are awesome.
[00:06:33.200 --> 00:06:40.080]   Until they said, oh, now that you do that well, and I get it. Now, what about this one? What about this
[00:06:40.080 --> 00:06:45.920]   300-page least document with 300 fields? What about this really complex set of digital assets?
[00:06:45.920 --> 00:06:49.680]   You want to get these really complex questions associated with it. What about, I want to do not
[00:06:49.680 --> 00:06:53.280]   just extract data. I want to do risk assessments and things that are these more complex fields. You
[00:06:53.280 --> 00:06:58.400]   start to realize, huh, like this, as a human, when I, if you ask me that question, I'm struggling to
[00:06:58.400 --> 00:07:07.200]   answer it. And then in the same way the AI struggled to answer it. So suddenly, we ended up with more
[00:07:07.200 --> 00:07:14.720]   complex documents. Also, OCR is just a hard problem. Like, like there's no seemingly like no end of
[00:07:14.720 --> 00:07:20.000]   heuristics and tricks that you do on OCR to get it right. So I've got a scan document, somebody writes
[00:07:20.000 --> 00:07:24.800]   stuff in it, somebody crosses stuff out. It's just hard. And then, and then for people who have dealt
[00:07:24.800 --> 00:07:31.840]   with like things like different file formats, PDFs, like it's a challenge. So whenever the OCR broke,
[00:07:31.840 --> 00:07:37.760]   it would just naturally give that info to the AI and then languages were a big pain. And so we started
[00:07:37.760 --> 00:07:40.960]   to get more and more challenges as we have an international set of customers across different
[00:07:40.960 --> 00:07:49.040]   use cases. Also, there was a clear limit to the AI in terms of how much it could handle the attention
[00:07:49.040 --> 00:07:54.320]   to so many different fields. So if you say, here's 10 fields, here's a 10 page document, figure it out.
[00:07:54.320 --> 00:07:59.280]   They're great. They're most of them are great. If you say, here's a 100 page document, and here's 100
[00:07:59.280 --> 00:08:04.240]   fields that are each of them complex with separate instructions, then it loses track. And I have
[00:08:04.240 --> 00:08:10.000]   sympathy because people would lose track too. And so this became very problematic because if you want
[00:08:10.000 --> 00:08:15.520]   high accuracy in an enterprise setting, like this just starts to not work. And then also it's just like,
[00:08:15.520 --> 00:08:19.360]   well, what is accuracy? What does it mean? In the old ML world, they give you confidence scores.
[00:08:19.360 --> 00:08:25.440]   0.865 is this one. And then, of course, large language models don't really know their own accuracy.
[00:08:25.440 --> 00:08:29.600]   So we would implement things like LM as a judge. And we'd come back and tell you like, here's your
[00:08:29.600 --> 00:08:34.640]   extraction. Also, we're not quite sure this is right. And then our enterprise customers would kind
[00:08:34.640 --> 00:08:39.360]   of be like, well, that's helpful to know. But like, I want it to work right. Not just you tell me
