
[00:00:00.040 --> 00:00:09.460]   intelig
[00:00:09.460 --> 00:00:10.380]   en like,,,,
[00:00:10.380 --> 00:00:26.720]  fin
[00:04:40.440 --> 00:04:51.880]   I
[00:04:51.880 --> 00:05:08.660]   gi like,,,,,ed end
[00:05:09.380 --> 00:05:19.460]   edge
[00:05:19.460 --> 00:05:33.340]   as more
[00:05:33.340 --> 00:05:38.780]  ,,,, en Sch abusive
[00:05:38.820 --> 00:05:39.820]  archive.com/SupportingPoints.
[00:05:39.820 --> 00:05:46.560]   Is that a good summary of your basic argument as you put it to me in that series of tweets?
[00:05:46.560 --> 00:05:53.980]   No, those are all supporting points in a bigger argument. They're important points.
[00:05:53.980 --> 00:05:59.460]   I think that I've lived in Washington, D.C. I didn't grow up here, but I've lived here
[00:05:59.460 --> 00:06:06.460]   for 30 plus years. I have learned a lot about what kind of the vast majority of people who
[00:06:06.460 --> 00:06:07.080]   live in Washington, D.C. are.
[00:06:07.080 --> 00:06:07.080]   What's your take on that?
[00:06:07.080 --> 00:06:07.080]   I think that's a very important point. I think that's a very important point.
[00:06:07.080 --> 00:06:07.180]   I think that's a very important point. I think that's a very important point.
[00:06:07.180 --> 00:06:07.280]   I think that's a very important point.
[00:06:07.280 --> 00:06:07.280]   I think that's a very important point.
[00:06:07.280 --> 00:06:07.460]   I think that's a very important point.
[00:06:07.460 --> 00:06:07.720]   I think that's a very important point.
[00:06:07.760 --> 00:06:18.580]   was
[00:06:18.580 --> 00:06:36.700]   Moon I,
[00:08:33.760 --> 00:08:38.520]   7
[00:08:38.520 --> 00:08:41.540]   saw day see
[00:08:41.540 --> 00:08:43.900]  ав
[00:08:43.900 --> 00:09:02.660]  這 I I in the in the alguna
[00:09:03.780 --> 00:09:32.580]   lí which is the
[00:11:18.140 --> 00:11:33.680]   You know, you've just been stupid, right? So let's assume the fact let's talk about the mother that was reported in the NPR story. I forget her name, but let's assume that you're speaking to somebody. And so if you were given the same platform that I have, and you feel like my shaming that mother and using strong and strong emphatic language, things like that is inappropriate. What would you say?
[00:11:33.680 --> 00:11:33.940]   .
[00:11:33.940 --> 00:11:33.940]  .
[00:11:33.940 --> 00:11:33.940]   .
[00:11:33.980 --> 00:11:43.840]  國
[00:11:43.840 --> 00:11:45.000]   possono heard, Esse,
[00:11:45.000 --> 00:12:01.780]  -- gun and it is a person who is the question . . . control�
[00:12:33.980 --> 00:12:33.980]  ,
[00:12:34.020 --> 00:12:45.040]   seem
[00:14:58.180 --> 00:14:58.200]   I think there are times in which you metaphorically want to slap somebody across the face, right? There are times in which that can be an effective communication tactic. There are times in which that's exactly the worst thing that you could possibly do. And if you do that in that circumstance, then you can really cause all kinds of problems and really hurt somebody. And so in general, when you create content for a public audience, it's very difficult to know who the person is.
[00:14:58.200 --> 00:14:58.260]   Okay.
[00:14:58.260 --> 00:14:58.320]   Okay.
[00:16:24.860 --> 00:16:24.940]   Okay.
[00:16:24.940 --> 00:16:24.960]   Okay.
[00:16:25.020 --> 00:16:36.920]   call
[00:16:36.920 --> 00:16:54.000]   I with,,,.
[00:16:54.600 --> 00:16:56.620]   comment on that?
[00:16:56.620 --> 00:16:59.620]   Yeah, a couple things maybe that we'll come back to.
[00:16:59.620 --> 00:17:03.620]   I agree with you totally about the methodology.
[00:17:03.620 --> 00:17:09.620]   I think a lot about how we, you know, we all have to build personas for ourselves.
[00:17:09.620 --> 00:17:23.620]   Whether you're a blogger or not, even just an ordinary person with a Twitter, builds a little bit of a persona for, you know, who they represent themselves to be in those social settings versus like, we're all much more complex than that, obviously.
[00:17:23.620 --> 00:17:24.620]   We're all much more complex than that, obviously.
[00:17:24.660 --> 00:17:35.060]   sometimes
[00:17:35.060 --> 00:17:53.560]   Также Se see,
[00:18:22.540 --> 00:18:22.540]   and
[00:18:51.520 --> 00:18:51.520]   and
[00:21:14.020 --> 00:21:23.920]   is a very good question.
[00:21:23.920 --> 00:21:40.040]   And it will tell you what housing plus transportation costs on average for people living in that city. So I'm looking at San Francisco and most people living in San Francisco are spending forty one percent of their income. So that's what that's an average, right? So some people are spending a lot more, some people left forty one percent of their take home income is going only to housing and transportation in Dallas. It's forty four percent in Cleveland. It's thirty nine percent.
[00:21:40.040 --> 00:21:41.240]   Um
[00:21:41.240 --> 00:21:41.260]   um
[00:21:41.260 --> 00:21:41.600]   um
[00:22:04.580 --> 00:22:04.660]   um.
[00:22:04.740 --> 00:22:07.040]   but
[00:22:07.040 --> 00:22:14.640]   A E this et
[00:22:14.640 --> 00:22:26.260]   pert al G
[00:22:58.740 --> 00:23:25.660]   of the other person. And so, if you have a job that is a little bit more difficult, then you're going to be in and out of work. But if they are holding down jobs, they may not have access to all the terrific jobs that other people have. And they're spending about 40 to 50 percent sometimes before they even get home, right? So, in that scenario, it becomes really difficult. And mind you, if you have one setback, 40 percent of Americans, it's a much quoted, cited figure, 40 percent of Americans are about 400,000.
[00:23:52.740 --> 00:24:01.960]   locker
[00:24:01.960 --> 00:24:21.680]   led the just saw
[00:24:22.740 --> 00:24:26.660]   led the just saw.
[00:24:26.660 --> 00:24:52.740]   We're bringing in a lot of different factors. I hope you can edit me to sound really super smart. But my main takeaway is when I started, I come at this from a place of deep shame myself because I've had a lot of advantages and yet I was just in a lot of debt, partly because of personal situations and partly, I think, because of some bad decisions. When I really began to look at how hard it is to save every month, that is number one when I started to get really, really tired.
[00:24:52.740 --> 00:24:52.740]   That is number one when I started to get really, really tired.
[00:24:52.740 --> 00:24:52.740]   That is number one when I started to get really, really tired.
[00:24:52.740 --> 00:24:52.740]   That is number one when I started to get really, really tired.
[00:24:52.740 --> 00:24:52.740]   That is number one when I started to get really, really tired.
[00:24:52.740 --> 00:24:52.740]   That is number one when I started to get really, really tired.
[00:24:52.740 --> 00:24:52.740]   That is number one when I started to get really, really tired.
[00:24:52.780 --> 00:25:22.760]  ,
[00:25:22.760 --> 00:25:22.760]   I think good planning can help.
[00:25:22.800 --> 00:25:32.680]  ed
[00:25:32.680 --> 00:25:33.900]   a stuff,,,,giving
[00:25:41.700 --> 00:25:43.720]   a stuff,,,,,giving
[00:26:00.600 --> 00:26:19.560]  .
[00:26:19.560 --> 00:26:19.620]   I'm going to go ahead and do that.
[00:26:19.620 --> 00:26:19.700]   I'm going to go ahead and do that.
[00:26:19.700 --> 00:26:19.720]   I'm going to go ahead and do that.
[00:26:19.720 --> 00:26:19.760]   I'm going to go ahead and do that.
[00:26:19.760 --> 00:26:19.780]   I'm going to go ahead and do that.
[00:26:19.780 --> 00:26:19.820]   I'm going to go ahead and do that.
[00:26:19.820 --> 00:26:19.880]   I'm going to go ahead and do that.
[00:26:19.880 --> 00:26:19.920]   I'm going to go ahead and do that.
[00:26:19.920 --> 00:26:19.980]   I'm going to go ahead and do that.
[00:26:19.980 --> 00:26:20.020]   I'm going to go ahead and do that.
[00:26:20.020 --> 00:26:20.080]   I'm going to go ahead and do that.
[00:26:20.080 --> 00:26:20.140]   I'm going to go ahead and do that.
[00:26:20.140 --> 00:26:20.320]   I'm going to go ahead and do that.
[00:26:20.320 --> 00:26:20.400]   I'm going to go ahead and do that.
[00:26:20.400 --> 00:26:20.460]   I'm going to go ahead and do that.
[00:26:20.460 --> 00:26:20.480]   I'm going to go ahead and do that.
[00:26:20.480 --> 00:26:20.560]   I'm going to go ahead and do that.
[00:26:20.560 --> 00:26:20.600]   I'm going to go ahead and do that.
[00:26:20.620 --> 00:26:22.540]   I'm going to go ahead and do that.
[00:26:22.540 --> 00:26:22.600]   I'm going to go ahead and do that.
[00:26:22.600 --> 00:26:22.640]   I'm going to go ahead and do that.
[00:26:22.640 --> 00:26:22.700]   I'm going to go ahead and do that.
[00:26:22.700 --> 00:26:22.740]   I'm going to go ahead and do that.
[00:26:22.740 --> 00:26:22.800]   I'm going to go ahead and do that.
[00:26:22.800 --> 00:26:22.820]   I'm going to go ahead and do that.
[00:26:22.820 --> 00:26:22.860]   I'm going to go ahead and do that.
[00:26:22.860 --> 00:26:22.900]   I'm going to go ahead and do that.
[00:26:22.900 --> 00:26:22.960]   I'm going to go ahead and do that.
[00:26:22.960 --> 00:26:34.000]   I concede the point that many people have experienced intense trauma that makes them psychologically unequipped or poorly equipped to deal with the challenges of the modern world.
[00:26:34.000 --> 00:26:36.580]   I concede all of those points.
[00:26:36.580 --> 00:26:43.460]   And yet, once we go through that, you still have to come to a point of saying, well, what do I do?
[00:26:43.460 --> 00:26:50.040]   And I also happily concede that personal responsibility is not a panacea.
[00:26:50.180 --> 00:27:20.200]  , but it's not something that just simply solves everything.
[00:27:20.200 --> 00:27:20.200]   You can take personal responsibility.
[00:27:20.200 --> 00:27:20.200]   I could take personal responsibility for everything in my life and still be diagnosed with cancer.
[00:27:20.200 --> 00:27:20.200]   It happens all the time.
