
[00:00:00.000 --> 00:00:01.000]   BG Squared.
[00:00:01.000 --> 00:00:03.000]   This is our BG Squared panel.
[00:00:03.000 --> 00:00:05.000]   Everybody knows Friends of the Pod.
[00:00:05.000 --> 00:00:09.000]   Brad Gerstner and Bill Gurley give it up for our guest.
[00:00:27.000 --> 00:00:36.000]   Bill, you predicted five of the last three recessions.
[00:00:36.000 --> 00:00:39.000]   A broken clock is still right twice a day.
[00:00:39.000 --> 00:00:41.000]   Here we are again.
[00:00:41.000 --> 00:00:44.000]   You've sounded the alarm bell and of course you're right.
[00:00:44.000 --> 00:00:53.000]   You've seen this movie before for all of us younger capital allocators who are experiencing it for the second or third time,
[00:00:53.000 --> 00:00:54.000]   but you've experienced it a couple more times.
[00:00:54.000 --> 00:00:56.000]   Not bad.
[00:00:56.000 --> 00:00:57.000]   How do you see it?
[00:00:57.000 --> 00:00:58.000]   It's pretty old.
[00:00:58.000 --> 00:01:08.000]   How does this one measure up to Great Recession, dot-com bust, '87, and the many ones we've seen in between?
[00:01:08.000 --> 00:01:14.000]   One thing that I think is super important to put this into context, I'll try and tell this quick.
[00:01:14.000 --> 00:01:18.000]   I had a meeting once with Howard Marks who I'd wanted to meet for a long period of time.
[00:01:18.000 --> 00:01:22.000]   He's a famous bond investor that does a lot of writing.
[00:01:22.000 --> 00:01:26.000]   For 15 minutes, he asked me questions about the venture industry.
[00:01:26.000 --> 00:01:28.000]   A lot of structural questions.
[00:01:28.000 --> 00:01:32.000]   I told him my answers best I could.
[00:01:32.000 --> 00:01:35.000]   He said, "Man, that's a really shitty industry."
[00:01:35.000 --> 00:01:37.000]   I said, "Well, why do you say that? What do you mean?"
[00:01:37.000 --> 00:01:43.000]   He says, "Cyclical collapse is built into the structure."
[00:01:43.000 --> 00:01:51.000]   We have funds that are committed to that have 10 to 15 year lives.
[00:01:51.000 --> 00:01:55.000]   You have low barriers to entry, but you have very high barriers to exit.
[00:01:55.000 --> 00:02:01.000]   He felt that it was just systematically set up to rise and crash, rise and crash.
[00:02:01.000 --> 00:02:12.000]   One thing that I realized coming out of that is that it doesn't happen like a sine curve, which is what we all imagine when we think of a cyclical business.
[00:02:12.000 --> 00:02:14.000]   It's more like a sawtooth.
[00:02:14.000 --> 00:02:18.000]   Risk on is a very slow process.
[00:02:18.000 --> 00:02:21.000]   It's reflexive, so it grows and grows and grows and grows.
[00:02:21.000 --> 00:02:24.000]   Then risk off tends to be very abrupt.
[00:02:24.000 --> 00:02:26.000]   We've seen that here.
[00:02:26.000 --> 00:02:33.000]   This cycle, risk on was from '09 to five months ago.
[00:02:33.000 --> 00:02:34.000]   That's really well said.
[00:02:34.000 --> 00:02:36.000]   Risk off is five months.
[00:02:36.000 --> 00:02:48.000]   The thing that's really tough about that is it requires mental adjustment very quickly because it didn't gradually change.
[00:02:48.000 --> 00:02:50.000]   It abruptly changed.
[00:02:50.000 --> 00:02:53.000]   Cap charts might have systematic changes.
