
[00:00:00.000 --> 00:00:07.860]   In this chapter we are going to introduce agents. Now agents I think are one of the most important
[00:00:07.860 --> 00:00:14.880]   components in the world of AI and I don't see that going away anytime soon. I think
[00:00:14.880 --> 00:00:23.920]   the majority of AI applications, the intelligent part of those will be almost always an implementation
[00:00:23.920 --> 00:00:30.220]   of an AI agent or most of all AI agents. So in this chapter we are just going to introduce
[00:00:30.220 --> 00:00:36.760]   agents within the context of linechain. We're going to keep it relatively simple. We're going
[00:00:36.760 --> 00:00:44.040]   to go into much more depth in agents in the next chapter where we'll do a bit of a deep dive but
[00:00:44.040 --> 00:00:52.120]   we'll focus on just introducing the core concepts and of course agents within linechain here. So
[00:00:52.120 --> 00:00:59.880]   jumping straight into our notebook, let's run our prerequisites. You'll see that we do have an
[00:00:59.880 --> 00:01:04.600]   additional prerequisite here which is Google search results. That's because we're going to be using the
[00:01:04.600 --> 00:01:13.980]   SERP API to allow our LLM as an agent to search the web which is one of the great things about agents
[00:01:13.980 --> 00:01:20.300]   that they can do all of these additional things and LLM by itself obviously cannot. So we'll come down to
[00:01:20.300 --> 00:01:27.260]   here we have our Linesmith parameters again of course so you enter your linechain API key if you have one and
[00:01:27.260 --> 00:01:35.980]   now we're going to take a look at tools which is a very essential part of agents. So tools are a way for
[00:01:35.980 --> 00:01:44.060]   us to augment our LLMs with essentially anything that we can write in code. So we mentioned that we're going to
[00:01:44.060 --> 00:01:50.940]   Google search tool, that Google search tool is some code that gets executed by our LLM in order to search
[00:01:50.940 --> 00:01:59.900]   Google and get some results. So a tool can be thought of as any code logic or any function indicate in the
[00:01:59.900 --> 00:02:08.060]   case of Python and a function that has been formatted in a way so that our LLM can understand how to use it
[00:02:08.060 --> 00:02:17.020]   and then actually use it although the LLM itself is not using the tool it's more our agent execution logic
[00:02:17.020 --> 00:02:24.060]   which uses the tool for the LLM. So we're going to go ahead and actually create a few simple tools we're
[00:02:24.060 --> 00:02:30.300]   going to be using what is called the tool decorator from Langchain and there are a few things to keep in
[00:02:31.020 --> 00:02:37.500]   when we're building tools. So for optimal performance our tool needs to be just very readable and what I
[00:02:37.500 --> 00:02:44.700]   mean by readable is we need three main things. One is a dot string that is written in natural language and
[00:02:44.700 --> 00:02:52.860]   it is going to be used to explain to the LLM when and why and how it should use this tool. We should also
[00:02:52.860 --> 00:03:00.940]   have clear parameter names. Those parameter names should tell the LLM okay what each one of these parameters
[00:03:00.940 --> 00:03:08.140]   are they should be self-explanatory. If they are not self-explanatory we should be including an
[00:03:08.140 --> 00:03:13.900]   explanation for those parameters within the dot string. Then finally we should have type annotations
[00:03:13.900 --> 00:03:21.100]   for both our parameters and also what we're returning from the tool. So let's jump in and see how we would
[00:03:21.100 --> 00:03:28.540]   implement all of that. So come down to here and we have linechain core tools import tools okay so these are
[00:03:28.540 --> 00:03:37.340]   just four incredibly simple tools. We have the addition or add tool, multiply, the exponentiate and the subtract tools.
[00:03:37.340 --> 00:03:47.820]   Okay so a few calculator s tools. Now when we add this tool decorator it is turning each of these tools
[00:03:47.820 --> 00:03:55.180]   into what we call a structured tool object. So you can see that here we can see we have this
[00:03:55.900 --> 00:04:01.980]   structured tool we have a name description okay and then we have this arg schema we'll see this in a
[00:04:01.980 --> 00:04:08.060]   moment and a function right so this function is literally just the original function it's a mapping
[00:04:08.060 --> 00:04:14.140]   to the original function so in this case it's the add function. Now the description we can see is coming
[00:04:14.140 --> 00:04:19.340]   from our dot string and of course the name as well is just coming from the function name.
[00:04:19.900 --> 00:04:26.860]   okay and then we can also see let's just print the name and description but then we can also see the
[00:04:26.860 --> 00:04:33.820]   args schema right we can so this thing here that we can't read at the moment to read it we're just going
[00:04:33.820 --> 00:04:40.380]   to look at the model.json schema method and then we can see what that contains which is all of this
[00:04:40.380 --> 00:04:46.700]   information. So this actually contains everything includes properties so we have the x it creates a little
[00:04:46.700 --> 00:04:55.340]   title for that and it also specifies the type okay so the type that we define is float float for openai
[00:04:55.340 --> 00:05:01.420]   gets mapped to number rather than just being float and then we also see that we have this required
[00:05:01.420 --> 00:05:08.460]   field so this is telling our lm which parameters are required which ones are optional so we you know in
[00:05:08.460 --> 00:05:19.500]   some cases you would we can even do that here let's do z that is going to be float or none okay and we're
[00:05:19.500 --> 00:05:26.700]   just going to say it is 0.3 all right wait i'm going to remove this in a minute because it's kind of weird but
[00:05:26.700 --> 00:05:36.380]   let's just see what that looks like so you see that we now have x y and z but then in z we have some
[00:05:36.380 --> 00:05:41.820]   additional information okay so it can be any of it can be a number or it can just be nothing
[00:05:41.820 --> 00:05:48.780]   the default value for that is 0.3 okay and then if we look here we can see that the required
[00:05:48.780 --> 00:05:56.940]   field does not include z so it's just x and y so it's describing the full function schema for us but let's
[00:05:56.940 --> 00:06:02.380]   remove that okay and we can see that again with our exponentiate tool
[00:06:02.380 --> 00:06:13.180]   similar thing okay so how how are we going to invoke our tool so the lm the underlying lm is actually
[00:06:13.180 --> 00:06:21.340]   going to generate a string okay so we'll look something like this this is going to be our lm output so it is
[00:06:21.340 --> 00:06:30.860]   is a string that is some json and of course to load a string into a dictionary format we just use json
[00:06:30.860 --> 00:06:38.220]   loads okay so let's see that so this could be the output from our lm we load it into a dictionary and
[00:06:38.220 --> 00:06:46.540]   then we get an actual dictionary and then what we would do is we can take our exponentiate tool we access the
[00:06:46.540 --> 00:06:52.780]   underlying function and then we pass it the keyword arguments from our dictionary here
[00:06:52.780 --> 00:07:01.500]   okay and that will execute our tool that is the tool execution logic that line chain implements and
[00:07:01.500 --> 00:07:07.580]   then later on in the next chapter we'll be implementing ourselves cool so let's move on to
[00:07:07.580 --> 00:07:13.660]   creating an agent now we're going to be constructing a simple tool calling agent we're going to be using line
[00:07:13.660 --> 00:07:20.620]   chain expression language to do this now we will be covering line chain expression language or else
[00:07:20.620 --> 00:07:29.340]   more in a upcoming chapter but for now all we need to know is that our agent will be constructed using
[00:07:29.340 --> 00:07:36.300]   syntax and components like this so we would start with our input parameters that is going to include our
[00:07:36.300 --> 00:07:41.660]   user query and of course the chat history because we need our agent to be conversational and remember
[00:07:41.660 --> 00:07:47.660]   previous interactions within the conversation these input parameters will also include a placeholder for
[00:07:47.660 --> 00:07:53.420]   what we call the agent scratch pad now the agent stretch pad is essentially where we are storing the
[00:07:53.420 --> 00:07:59.420]   internal thoughts or the internal dialogue of the agent as it is using tools getting observations from those
[00:07:59.420 --> 00:08:07.420]   tools and working through those multiple internal steps so in the case that we will see it will be using for
