
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.460]   - I think everyone should have a part-time
[00:00:07.460 --> 00:00:08.300]   personal assistant.
[00:00:08.300 --> 00:00:11.260]   And that's an absolutely life-changing productivity hack.
[00:00:11.260 --> 00:00:14.220]   - So I do not have one, and I've struggled in the past.
[00:00:14.220 --> 00:00:16.140]   And like five years ago, I tried.
[00:00:16.140 --> 00:00:19.340]   What kinds of things do you have this person do?
[00:00:19.340 --> 00:00:22.020]   And do you ever get too caught up in,
[00:00:22.020 --> 00:00:23.400]   I wanna make sure that they're doing them
[00:00:23.400 --> 00:00:24.400]   the exact way I would do them,
[00:00:24.400 --> 00:00:26.280]   and then it ends up taking more time?
[00:00:26.280 --> 00:00:29.740]   - Basically, everything that I don't wanna do myself.
[00:00:29.740 --> 00:00:34.740]   So a lot of emails, so my assistant, Dan, is remote,
[00:00:34.740 --> 00:00:36.860]   but he's based in the UK, so we've met in real life,
[00:00:36.860 --> 00:00:39.580]   which I think is really useful.
[00:00:39.580 --> 00:00:42.280]   A lot of people try and hire a VA in the Philippines
[00:00:42.280 --> 00:00:43.120]   for $5 an hour,
[00:00:43.120 --> 00:00:44.840]   and then they're surprised when it doesn't work.
[00:00:44.840 --> 00:00:46.620]   But if you have the ability to hire someone
[00:00:46.620 --> 00:00:48.840]   that you can potentially work with in real life
[00:00:48.840 --> 00:00:51.640]   some of the time, or at least meet in person,
[00:00:51.640 --> 00:00:53.680]   it's just really nice.
[00:00:53.680 --> 00:00:55.520]   But anyway, Dan basically goes through all my emails,
[00:00:55.520 --> 00:00:57.060]   he deals with all my scheduling,
[00:00:57.060 --> 00:01:00.220]   things like scheduling this podcast, for example,
[00:01:00.220 --> 00:01:03.060]   I have basically outsourced the management of my calendar
[00:01:03.060 --> 00:01:05.400]   to Dan, so he deals with it.
[00:01:05.400 --> 00:01:07.400]   And it means that as emails come in and stuff,
[00:01:07.400 --> 00:01:10.200]   I'm actually not the first person to see an email.
[00:01:10.200 --> 00:01:11.940]   I'll see the superhuman notification on my phone,
[00:01:11.940 --> 00:01:13.740]   and if it's something really interesting or really urgent,
[00:01:13.740 --> 00:01:15.620]   then I'll reply to it there and then.
[00:01:15.620 --> 00:01:18.380]   So yes, scheduling and emails is a big one.
[00:01:18.380 --> 00:01:19.420]   But just beyond that,
[00:01:19.420 --> 00:01:22.700]   there's a lot of random admin tasks in life.
[00:01:22.700 --> 00:01:23.620]   Like for example,
[00:01:23.620 --> 00:01:25.960]   I knew I wanted to get a cleaner for the house,
[00:01:25.960 --> 00:01:27.640]   kind of a bit of a first world problem.
[00:01:27.640 --> 00:01:29.840]   But I don't want to be the one
[00:01:29.840 --> 00:01:31.680]   calling up random cleaning agencies in London
[00:01:31.680 --> 00:01:32.640]   and trying to find a cleaner
[00:01:32.640 --> 00:01:35.300]   who can be there at the same time that I want
[00:01:35.300 --> 00:01:39.100]   and do some of the ironing and change the sheets.
[00:01:39.100 --> 00:01:40.020]   So I just said, "Hey, Dan,
[00:01:40.020 --> 00:01:41.980]   can you find me a cleaner for the house?"
[00:01:41.980 --> 00:01:43.600]   Basically, if they can come in on a weekday morning
[00:01:43.600 --> 00:01:46.520]   and do all the things including ironing, that's what I want.
[00:01:46.520 --> 00:01:47.780]   And he was like, "Cool, I'll call around,
[00:01:47.780 --> 00:01:48.700]   I'll ring a few agencies."
[00:01:48.700 --> 00:01:51.820]   And he found someone and now we've got a cleaner.
[00:01:51.820 --> 00:01:54.500]   Things like, I remember when I first got an assistant,
[00:01:54.500 --> 00:01:56.200]   I was just sort of like hanging around to be like,
[00:01:56.200 --> 00:01:58.700]   "Huh, what are all the things I could delegate?"
[00:01:58.700 --> 00:01:59.540]   I was like, you know,
[00:01:59.540 --> 00:02:01.160]   I wanted to learn how to play the ukulele.
[00:02:01.160 --> 00:02:03.700]   I said, her name was Elizabeth at the time.
[00:02:03.700 --> 00:02:05.500]   I said, "Hey, Elizabeth,
[00:02:05.500 --> 00:02:07.800]   can you find me a ukulele for under like 200 pounds
[00:02:07.800 --> 00:02:10.000]   and just find some reviews and just order it?"
[00:02:10.000 --> 00:02:11.340]   And she was like, "Cool."
[00:02:11.340 --> 00:02:13.060]   The next day, a ukulele arrived at my house.
[00:02:13.060 --> 00:02:15.420]   And it's like, I'd been procrastinating
[00:02:15.420 --> 00:02:17.180]   from again, playing the ukulele for like two years,
[00:02:17.180 --> 00:02:19.020]   because all it would have taken was for me to sit down
[00:02:19.020 --> 00:02:20.560]   and spend five minutes searching on the internet
[00:02:20.560 --> 00:02:23.140]   for what's the best ukulele for a certain budget.
[00:02:23.140 --> 00:02:24.620]   But it's in a way so much easier
