
[00:00:00.000 --> 00:00:05.820]   popping off he's actively developing it he uh and uh you know we're friends so i get to just
[00:00:05.820 --> 00:00:11.400]   invite him uh to to come on and share i figure you guys would love it too
[00:00:11.400 --> 00:00:20.180]   here louis hey sean hey how you doing i'm good i'm good nice to see man nice to see you uh this
[00:00:20.180 --> 00:00:25.840]   is the crew for ai in action uh i don't know how big it gets but we record it so uh it gets posted
[00:00:25.840 --> 00:00:30.440]   on youtube and people can catch up later but this is basically like the place where we discuss coding
[00:00:30.440 --> 00:00:36.240]   tools and things that are you know just making people more productive we have a different club
[00:00:36.240 --> 00:00:42.600]   that is for discussing papers but this is more for tools um yeah we're already recording so if you
[00:00:42.600 --> 00:00:50.920]   just want to kick it off like go ahead awesome um so well this is a very new thing it's only really
[00:00:50.920 --> 00:00:58.960]   existed for a couple of weeks internally and then for about six days externally of uh of my company
[00:00:58.960 --> 00:01:07.160]   uh for context i'm one of the co-founders of bloop um we have been working on legacy code modernization
[00:01:07.160 --> 00:01:14.100]   for the last two years so predominantly helping very large companies uh translate things like kobol
[00:01:14.100 --> 00:01:21.700]   um to um uh to java but more recently you know a lot of dotnet a lot of java 8 for some reason people
[00:01:21.700 --> 00:01:27.700]   are still running that um etc and what we found is that a lot of our internal development recently
[00:01:27.700 --> 00:01:35.160]   has switched from coding agents without having favorites you know the curses the the windsurfs of
[00:01:35.160 --> 00:01:41.200]   the world to clawed code and i wouldn't be surprised if if virtually everybody in this call had kind of had the
[00:01:41.200 --> 00:01:49.540]   same uh change over the last few months yeah and so what i found is that um and hope i don't know if
[00:01:49.540 --> 00:01:56.420]   there's a pg-13 filter on this but i'm basically a cuckold to clawed all i do is sit there and watch it
[00:01:56.420 --> 00:02:04.600]   do what i used to love doing and um i'm just helpless i sit there it takes you know one to two minutes to uh
[00:02:04.600 --> 00:02:10.960]   to complete and i often find myself getting you know on twitter and it's actually quite demoralizing
[00:02:10.960 --> 00:02:15.080]   to be honest as a workflow to just like constantly go back and forth between twitter and claw code
[00:02:15.080 --> 00:02:21.840]   so i think there are lots of things that we can be doing as developers during those one to two minutes
[00:02:21.840 --> 00:02:31.080]   um that we're waiting and essentially what i've come up with is uh vibe kanban and it is it's really
[00:02:31.080 --> 00:02:39.060]   simple concept it's basically a kanban board and you can add projects so projects are um git repos
[00:02:39.060 --> 00:02:46.040]   and you can queue up different tasks in the kanban just like this so what we're editing at the moment
[00:02:46.040 --> 00:02:53.840]   is actually vibe kanban itself so what i will do is you know just make a very simple dummy ticket change
[00:02:53.840 --> 00:03:02.920]   the settings icon to uh you know some fruit or something and we can go ahead and hit create start
[00:03:02.920 --> 00:03:10.040]   you have the option of so what what what just happened when i hit start is the uh in the background
[00:03:10.040 --> 00:03:17.760]   a git work tree is being created specifically for this task you can see the um a setup script is now
[00:03:17.760 --> 00:03:23.200]   running and so these are defined on a project level it's kind of like what you would do if you were setting
[00:03:23.200 --> 00:03:28.740]   up your github ci or you had some scripts in you know in your docker file or something like that
[00:03:28.740 --> 00:03:37.320]   um i've just got pmpmi and cargo build uh and then what's going to happen in a minute although it takes
[00:03:37.320 --> 00:03:42.900]   a minute so i'll just skip maybe to one of these that uh has already run is that an executor will start
[00:03:42.900 --> 00:03:50.620]   and this can be either clawed code amp or gemini i actually find myself mainly using amp these days i don't
[00:03:50.620 --> 00:03:55.680]   know uh how familiar everybody is with that but um it's from its source graph's new coding agent which
[00:03:55.680 --> 00:04:00.920]   is pretty cool gemini i haven't been able to try yet because i just get 429'd every single time i try it
[00:04:00.920 --> 00:04:07.780]   but i've heard you know decent things from people that have managed to get through and essentially once a
[00:04:07.780 --> 00:04:14.100]   task is complete uh what do you want to do well you want to review the changes so you get a um uh a kind
