
[00:00:00.000 --> 00:00:09.680]   So today, it's my pleasure to welcome Joshua Batson from Anthropic.
[00:00:09.680 --> 00:00:16.300]   So he'll be talking about on the biology of a large language model, which should be a very interesting talk.
[00:00:16.300 --> 00:00:23.960]   So Josh leads the circuits effort of the Anthropic Mechanistic Interpretability Team.
[00:00:24.280 --> 00:00:31.960]   Before Anthropic, he worked on biogenomics and computational microscopy at the Chan Zuckerberg Biohub.
[00:00:31.960 --> 00:00:36.700]   And his academic training is in pure mathematics, which is very cool and impressive.
[00:00:36.700 --> 00:00:43.840]   And just another thing, which is some more recordings for this quarter have released, like Karina and Divs Talks.
[00:00:43.840 --> 00:00:46.440]   So feel free to check those out on our YouTube playlist.
[00:00:46.440 --> 00:00:54.140]   And for the folks on Zoom, feel free to ask questions either on the Zoom or the Slido with the code CS25.
[00:00:54.720 --> 00:00:57.660]   And without further ado, I'll hand it off to Josh.
[00:00:57.660 --> 00:00:59.380]   Thank you.
[00:00:59.380 --> 00:01:02.260]   Clap. Come on. We're getting started.
[00:01:02.260 --> 00:01:02.660]   Okay.
[00:01:02.660 --> 00:01:06.940]   It's a pleasure to be here.
[00:01:06.940 --> 00:01:12.660]   It's crazy to me that there is a class on Transformers now, which I think, you know, were invented rather recently.
[00:01:13.960 --> 00:01:17.960]   So we've got, like, an hour for the class, I guess, and then, like, 15, 20 minutes for questions.
[00:01:17.960 --> 00:01:21.100]   Feel free to just, like, interrupt me with questions.
[00:01:21.100 --> 00:01:28.040]   Like, as he said, like, my training's in pure mathematics and, like, people just interrupt each other all the time very rudely.
[00:01:28.040 --> 00:01:30.200]   And it's totally fine.
[00:01:30.320 --> 00:01:33.900]   And so if I want to just cut you off and move on to something, I will.
[00:01:33.900 --> 00:01:38.420]   But, you know, this can kind of be as interactive as you guys would like it to be.
[00:01:38.420 --> 00:01:41.120]   And that's true for the people on Zoom, too.
[00:01:41.120 --> 00:01:42.160]   Okay.
[00:01:42.900 --> 00:01:57.440]   So this talk is titled On the Biology of a Large Language Model, which is also the title of a paper, which is what we call our, like, 100-page interactive blog post that went out a few weeks ago.
[00:01:57.440 --> 00:02:02.060]   And if you're here, you probably know something about large language models.
[00:02:03.100 --> 00:02:07.460]   The biology word is, like, you know, was our sort of choice here.
[00:02:07.460 --> 00:02:17.020]   And maybe you should contrast it to, like, you know, a series of papers called On the Physics of Large Language Models, where you're sort of thinking of them as, like, dynamical systems over the course of training.
[00:02:17.020 --> 00:02:32.780]   But we sort of think of, you know, interpretability being in relationship to neural networks as, which are trained by gradient descent, right, as biology is to living systems that are developed through evolution.
[00:02:32.780 --> 00:02:42.300]   So you have some process that gives rise to complexity, and you can just study the objects that are produced for, like, how they do the kind of miraculous things that they do.
[00:02:42.300 --> 00:02:45.880]   So models do lots of cool things.
[00:02:45.880 --> 00:02:47.040]   I don't need to tell you guys this.
[00:02:47.040 --> 00:02:47.880]   This is an example.
[00:02:47.880 --> 00:02:51.040]   Oh, I don't know when it's from now.
[00:02:51.040 --> 00:02:54.020]   Maybe six months ago, which is, like, 10 years in AI time.
[00:02:54.020 --> 00:02:56.700]   But I quite enjoyed this.
[00:02:56.700 --> 00:03:03.580]   This is just somebody who was working on natural language processing for Circassian, which is, like, a very low-resource language.
[00:03:03.580 --> 00:03:04.540]   Not many people speak it.
[00:03:04.540 --> 00:03:05.500]   There's not many documents.
[00:03:05.500 --> 00:03:18.200]   And he'd been sort of tracking the state of the art in NLP for many years, like, you know, using the best models at the time to try to, like, just help translate into this language, translate from this language, you know, help preserve it.
[00:03:20.840 --> 00:03:35.000]   And tried it with a version of Claude, where I think this was probably Sonnet 3.5, where he just shoved this master list of Russian Circadian translations into the context window.
[00:03:35.540 --> 00:03:37.480]   So just, like, painstakingly gathered over years.
[00:03:37.480 --> 00:03:44.420]   Rather than train a model, just put it in the context window and then just ask the model to do, like, other translations.
[00:03:44.420 --> 00:03:51.000]   And it could not only translate it successfully, but also kind of, like, break down the grammar, right?
[00:03:51.000 --> 00:03:59.180]   And so just in-context learning with these models was sort of enough to beat the state of the art for the NLP-specific models that he'd been working on for a while.
[00:03:59.180 --> 00:04:06.340]   So, like, that's cool, would be my summary of that.
[00:04:06.340 --> 00:04:08.540]   But models are also weird.
[00:04:08.540 --> 00:04:14.380]   So this was also Claude.
[00:04:14.380 --> 00:04:20.000]   And someone asked it what day is tomorrow on Leap Day.
[00:04:21.100 --> 00:04:26.320]   And it just, like, got in a big fight, you know.
[00:04:26.320 --> 00:04:32.860]   If today is February 29th, 2024, then tomorrow would be March 1st.
[00:04:32.860 --> 00:04:36.280]   However, 2024 is not a leap year, which is untrue.
[00:04:36.280 --> 00:04:40.660]   So February 29th is not a valid date in the Gregorian calendar.
[00:04:40.660 --> 00:04:42.120]   Okay, now it starts looking at the rules.
[00:04:42.120 --> 00:04:43.620]   Following this year, 2000 will be a leap year.
[00:04:43.620 --> 00:04:45.840]   2100 will not be, like, fine.
[00:04:47.060 --> 00:04:52.520]   And then it says the next leap year after 2024 will be 2028, which is true.
[00:04:52.520 --> 00:04:59.260]   And then so if we assume you meant February 28th, 2024, the last valid date in February, then it gives a...
[00:04:59.260 --> 00:05:01.000]   It's just, like, what is going on, right?
[00:05:01.000 --> 00:05:05.640]   There's, like, some smorgasbord of, like, correct recollection of facts, correct reasoning from the facts,
[00:05:05.640 --> 00:05:10.860]   and then, like, disregarding them out of consistency with this, like, initial, it's just pretty weird for it to be Leap Day.
[00:05:10.860 --> 00:05:12.620]   So, like, that's odd, right?
[00:05:12.620 --> 00:05:16.780]   I mean, if a person were doing this, you would wonder, like, what was in the brownies they had consumed.
[00:05:16.780 --> 00:05:18.360]   There's just this, like...
[00:05:18.360 --> 00:05:22.160]   Now, children are sort of like this, so maybe that's an interesting topic.
[00:05:22.160 --> 00:05:24.960]   And then I just love this.
