
[00:00:00.000 --> 00:00:03.160]   (projector whirring)
[00:00:03.160 --> 00:00:17.220]   - Welcome back to Portfolio Rescue.
[00:00:17.220 --> 00:00:18.980]   We missed the music today 'cause Duncan's not here
[00:00:18.980 --> 00:00:20.360]   and everything's just all over the place.
[00:00:20.360 --> 00:00:23.300]   But Bill is sitting in today.
[00:00:23.300 --> 00:00:24.780]   Duncan's a little under the weather.
[00:00:24.780 --> 00:00:26.760]   Bill Sweet, regular of the show.
[00:00:26.760 --> 00:00:28.320]   Remember, we always appreciate your questions,
[00:00:28.320 --> 00:00:31.800]   comments, feedback, askthecompoundshow@gmail.com.
[00:00:31.800 --> 00:00:33.000]   Bill, the stock market is up today
[00:00:33.000 --> 00:00:34.540]   so everyone in the chat room is happy.
[00:00:34.540 --> 00:00:35.640]   - Yeah, I'm feeling good.
[00:00:35.640 --> 00:00:36.880]   Ben, the sun is shining.
[00:00:36.880 --> 00:00:40.000]   It's 70 degrees in Grand Rapids, as they tell me.
[00:00:40.000 --> 00:00:41.500]   It's a good day.
[00:00:41.500 --> 00:00:42.340]   - We'll take it.
[00:00:42.340 --> 00:00:47.000]   The funny thing is, so the inflation rate is still 7.7%
[00:00:47.000 --> 00:00:47.840]   year over year.
[00:00:47.840 --> 00:00:48.680]   Seems bad, right?
[00:00:48.680 --> 00:00:50.920]   40 year, it's still higher than it's been
[00:00:50.920 --> 00:00:52.560]   in 40 years or something.
[00:00:52.560 --> 00:00:54.520]   And the funny thing is,
[00:00:54.520 --> 00:00:56.560]   when we first passed this level in February,
[00:00:56.560 --> 00:00:58.840]   I think in February, it was like 7.8%.
[00:00:58.840 --> 00:00:59.840]   And the stock market got killed.
[00:00:59.840 --> 00:01:02.280]   It was down 2%, the day it happened.
[00:01:02.280 --> 00:01:03.760]   The next day, it was down 2% again.
[00:01:03.760 --> 00:01:05.480]   Like three days later, it was down another 2%.
[00:01:05.480 --> 00:01:06.720]   Stocks got killed.
[00:01:06.720 --> 00:01:08.880]   So we've been, the inflation data gets released
[00:01:08.880 --> 00:01:10.360]   on Thursdays when we do this show.
[00:01:10.360 --> 00:01:11.520]   We've had a lot of bad days this year.
[00:01:11.520 --> 00:01:14.960]   And of course, today, the inflation rate came out
[00:01:14.960 --> 00:01:17.720]   and it was better than expected and stocks are up 4%.
[00:01:17.720 --> 00:01:19.380]   The NASDAQ's up 6%.
[00:01:19.380 --> 00:01:20.840]   Everything's screaming higher.
[00:01:20.840 --> 00:01:24.120]   - Yeah, go back a year ago and inflation printed 7%
[00:01:24.120 --> 00:01:25.800]   and investors rejoice, right?
[00:01:25.800 --> 00:01:26.640]   - Yeah.
[00:01:26.640 --> 00:01:27.520]   - How do you make any sense of that?
[00:01:27.520 --> 00:01:28.360]   - This is why it's so funny,
[00:01:28.360 --> 00:01:31.160]   because the markets run on not good or bad,
[00:01:31.160 --> 00:01:32.320]   but better or worse.
[00:01:32.320 --> 00:01:33.400]   And better or worse than expected,
[00:01:33.400 --> 00:01:34.720]   especially in the short to intermediate term.
[00:01:34.720 --> 00:01:36.860]   Obviously, over the long term, fundamentals matter.
[00:01:36.860 --> 00:01:38.440]   But in the short to intermediate term,
[00:01:38.440 --> 00:01:41.120]   if you're confused, it's because better or worse
[00:01:41.120 --> 00:01:42.360]   matters more than good or bad.
[00:01:42.360 --> 00:01:44.960]   And this, today, was better than expected.
[00:01:44.960 --> 00:01:46.560]   And so investors are rejoicing.
[00:01:46.560 --> 00:01:48.360]   I don't know what this means going forward.
[00:01:48.360 --> 00:01:50.240]   Maybe we get rugged like everyone else
[00:01:50.240 --> 00:01:51.780]   and things go back to being bad again.
[00:01:51.780 --> 00:01:53.200]   But for today, we'll take it.
[00:01:53.200 --> 00:01:54.320]   It's a nice reprieve.
[00:01:55.440 --> 00:01:56.500]   - I'll take it too.
[00:01:56.500 --> 00:01:57.960]   I just wish Duncan was feeling better.
[00:01:57.960 --> 00:01:58.800]   That's the thing.
[00:01:58.800 --> 00:02:00.760]   I would trade the market returns today
[00:02:00.760 --> 00:02:02.940]   for a healthy Duncan every day of the week, Ben.
[00:02:02.940 --> 00:02:03.780]   - Yes.
[00:02:03.780 --> 00:02:05.440]   - Feel better, feel better, my man.
[00:02:05.440 --> 00:02:06.280]   - Yes, all right.
[00:02:06.280 --> 00:02:07.200]   Let's do the first question.
[00:02:07.200 --> 00:02:08.040]   - Let's do it.
[00:02:08.040 --> 00:02:11.720]   Okay, Ben, for the average investor
[00:02:11.720 --> 00:02:13.820]   who's looking for a mix of stocks and bonds,
[00:02:13.820 --> 00:02:17.000]   should they use a simple heuristic for bond allocation,
[00:02:17.000 --> 00:02:20.320]   such as bond percentage, 10 times interest rate,
[00:02:20.320 --> 00:02:22.320]   a max up to 50%?
[00:02:22.320 --> 00:02:23.920]   If not, how should they know when to shift
[00:02:23.920 --> 00:02:25.340]   to that relative allocation?
[00:02:25.340 --> 00:02:27.580]   Another rule of thumb that I'm aware of, Ben,
[00:02:27.580 --> 00:02:30.120]   just you subtract, I think, 50 minus your age
[00:02:30.120 --> 00:02:30.960]   or 100 minus your age, something like that.
[00:02:30.960 --> 00:02:32.640]   - Yeah, that's a John Bloga one.
[00:02:32.640 --> 00:02:33.480]   So I want to start this one with this.
[00:02:33.480 --> 00:02:35.160]   So this question was an obvious follow-up
[00:02:35.160 --> 00:02:36.540]   to the one last week where someone asked us,
[00:02:36.540 --> 00:02:38.220]   how do you know when to change your asset allocation?
[00:02:38.220 --> 00:02:39.560]   So the starting question for this one was,
[00:02:39.560 --> 00:02:40.880]   how do you know when to,
[00:02:40.880 --> 00:02:42.120]   like what to start with at the beginning?
[00:02:42.120 --> 00:02:43.800]   And so I want to tell a story here.
[00:02:43.800 --> 00:02:45.800]   Not too long after I started my blog,
[00:02:45.800 --> 00:02:48.440]   Wealth of Common Sense, I think it was like 2014,
[00:02:48.440 --> 00:02:49.800]   someone reached out to me and said,
[00:02:49.800 --> 00:02:51.720]   hey, I'm a retiree.
[00:02:51.720 --> 00:02:54.400]   I send out an email newsletter to young people
[00:02:54.400 --> 00:02:55.680]   and people who are a little older
[00:02:55.680 --> 00:02:57.560]   who aren't really prepared for retirement.
[00:02:57.560 --> 00:02:58.400]   I'm trying to help them.
[00:02:58.400 --> 00:02:59.960]   Can I include some of your blog posts?
[00:02:59.960 --> 00:03:02.320]   And this was a retired gentleman named John,
[00:03:02.320 --> 00:03:03.480]   really nice guy.
[00:03:03.480 --> 00:03:04.300]   And I said, sure.
[00:03:04.300 --> 00:03:06.880]   And I kind of drew up a email correspondence,
[00:03:06.880 --> 00:03:07.880]   friendship with this guy.
[00:03:07.880 --> 00:03:10.080]   We became email pen pals, basically.
[00:03:10.080 --> 00:03:11.960]   And older guy, and he decided,
[00:03:11.960 --> 00:03:13.920]   he said, can I send you my strategy
[00:03:13.920 --> 00:03:15.120]   for asset allocation in retirement?
[00:03:15.120 --> 00:03:16.160]   I want to see what you think.
[00:03:16.160 --> 00:03:17.680]   And I, sure, let's have at it.
[00:03:17.680 --> 00:03:20.040]   So he sent it to me and he called it the four-year rule.
[00:03:20.040 --> 00:03:22.120]   So he had his own rule of thumb, right?
[00:03:22.120 --> 00:03:23.320]   And it went something like this.
[00:03:23.320 --> 00:03:24.880]   And this is for someone who's in retirement.
[00:03:24.880 --> 00:03:26.680]   And he said, this is the strategy I use
[00:03:26.680 --> 00:03:28.760]   for spending down my assets and setting my asset allocation.
[00:03:28.760 --> 00:03:30.520]   He said, before retirement,
[00:03:30.520 --> 00:03:32.960]   I accumulated four years worth of cash that I kept in,
[00:03:32.960 --> 00:03:34.960]   money market CDs, some sort of cash equivalent,
[00:03:34.960 --> 00:03:36.560]   savings account, whatever.
[00:03:36.560 --> 00:03:38.040]   The rest is held in stocks.
[00:03:38.040 --> 00:03:40.940]   And then when I retire, if the market's up,
[00:03:40.940 --> 00:03:43.240]   I'm taking no money for spending from stocks.
[00:03:43.240 --> 00:03:46.160]   If the market's down, I'm taking from the cash portion.
[00:03:46.160 --> 00:03:47.960]   And then if we get back into a bull market,
[00:03:47.960 --> 00:03:49.160]   I'm replenishing that cash
[00:03:49.160 --> 00:03:50.720]   and getting it back to four years
[00:03:50.720 --> 00:03:51.760]   and then sort of going from there
[00:03:51.760 --> 00:03:53.960]   and using that as the heuristic, right?
[00:03:53.960 --> 00:03:56.680]   And obviously, there's more give and take to that.
[00:03:56.680 --> 00:03:57.560]   That's the gist of it.
[00:03:57.560 --> 00:03:59.440]   And the thing I liked most about John's strategy
[00:03:59.440 --> 00:04:01.480]   is that he reverse engineered the problem, right?
[00:04:01.480 --> 00:04:03.520]   He started with his goal in mind,
[00:04:03.520 --> 00:04:04.360]   and then he figured out
[00:04:04.360 --> 00:04:05.560]   that's going to lead to the asset allocation.
[00:04:05.560 --> 00:04:07.200]   Now, some people could look at this and say,
[00:04:07.200 --> 00:04:08.280]   well, that's way too conservative.
[00:04:08.280 --> 00:04:09.120]   You don't need that much in cash.
[00:04:09.120 --> 00:04:10.920]   Or some people could say, that's not conservative enough.
[00:04:10.920 --> 00:04:12.640]   I need more there.
[00:04:12.640 --> 00:04:17.600]   So the point is, it depends on your risk profile.
[00:04:17.600 --> 00:04:20.120]   And I was reminded of John's strategy this week
[00:04:20.120 --> 00:04:20.960]   for the first time in a while,
[00:04:20.960 --> 00:04:23.160]   because sadly, his wife informed me
[00:04:23.160 --> 00:04:25.480]   he had an incurable disease and he passed away recently.
[00:04:25.480 --> 00:04:26.320]   - Oh. - Really nice guy.
[00:04:26.320 --> 00:04:28.000]   Yeah. - Oh no, RIP.
[00:04:28.000 --> 00:04:29.120]   - Anyway, wanted to give him a shout out.
[00:04:29.120 --> 00:04:30.640]   One of the nicest guys I've interacted with.
[00:04:30.640 --> 00:04:33.280]   And I posted this on my blog in 2014,
[00:04:33.280 --> 00:04:34.880]   and I posted his four-year rule.
[00:04:34.880 --> 00:04:36.480]   And I still to this day get people asking,
[00:04:36.480 --> 00:04:37.320]   can you send it to me?
[00:04:37.320 --> 00:04:40.000]   'Cause he gave me his whole rundown on it anyway.
[00:04:40.000 --> 00:04:40.960]   So anyway, really nice guy.
[00:04:40.960 --> 00:04:43.680]   One of the nicest people I've interacted with
[00:04:43.680 --> 00:04:46.680]   for all my contacts I've had with people on the blog.
[00:04:46.680 --> 00:04:48.880]   So back to the original question about this rule.
[00:04:48.880 --> 00:04:49.760]   I've never heard of the rule
[00:04:49.760 --> 00:04:52.560]   about multiplying by the bond interest rate.
[00:04:52.560 --> 00:04:55.320]   My worry there, it kind of makes sense, I guess.
[00:04:55.320 --> 00:04:57.280]   My worry there is that it's very volatile.
[00:04:57.280 --> 00:04:59.080]   So if you did that this year,
[00:04:59.080 --> 00:05:00.720]   you start off the year at 10% bonds,
[00:05:00.720 --> 00:05:03.280]   'cause rates were 1% if you're using the 10-year.
[00:05:03.280 --> 00:05:05.240]   Now rates are at 4%, you're up to 40%.
[00:05:05.240 --> 00:05:06.720]   What happens if they scream higher to six?
[00:05:06.720 --> 00:05:08.480]   You go to 60, or they go back to two,
[00:05:08.480 --> 00:05:09.320]   you go back down to 20.
[00:05:09.320 --> 00:05:11.840]   It seems like, I guess you're thinking there
[00:05:11.840 --> 00:05:14.840]   as you're using valuations, but it's very volatile.
[00:05:14.840 --> 00:05:16.320]   So you mentioned Bogle's rule.
[00:05:16.320 --> 00:05:20.680]   He said the age that you're at is how much you have in bonds.
[00:05:20.680 --> 00:05:24.960]   So if you're 25 years old, you have a 75% stock, 25% bond.
[00:05:24.960 --> 00:05:27.840]   If you're 65, it's 35% stock, 65% bonds.
[00:05:27.840 --> 00:05:30.520]   Some people have said you could also subtract 10 or 20
[00:05:30.520 --> 00:05:32.280]   from that using a starting point.
[00:05:32.280 --> 00:05:34.120]   It's a pretty decent rule of thumb.
[00:05:34.120 --> 00:05:37.400]   I think my way of thinking about this is there's no
[00:05:37.400 --> 00:05:40.080]   such thing as a perfect asset allocation for anyone.
[00:05:40.080 --> 00:05:41.280]   There's a lot of factors.
[00:05:41.280 --> 00:05:42.720]   You have to figure out where you're at in your life cycle.
[00:05:42.720 --> 00:05:45.240]   Are you accumulating assets in your 20s and 30s?
[00:05:45.240 --> 00:05:46.440]   Are you mid-life like us?
[00:05:46.440 --> 00:05:49.040]   I hate to break it to you, Bill, but we're in our 40s.
[00:05:49.040 --> 00:05:49.880]   It's weird, right?
[00:05:49.880 --> 00:05:51.400]   - I think about that every morning, yeah, yeah.
[00:05:51.400 --> 00:05:52.720]   - We're in the weird stage of life
[00:05:52.720 --> 00:05:54.840]   where we've accumulated assets.
[00:05:54.840 --> 00:05:57.000]   So we're doing way better than we were in our 20s.
[00:05:57.000 --> 00:05:58.520]   We're making more money.
[00:05:58.520 --> 00:05:59.800]   So we have these financial assets,
[00:05:59.800 --> 00:06:02.120]   and it stings a little bit when we get into bear market.
[00:06:02.120 --> 00:06:04.680]   But we're also, we have a few decades left
[00:06:04.680 --> 00:06:06.040]   until we're gonna retire, hopefully.
[00:06:06.040 --> 00:06:08.480]   But we're also like, we see this faint little light
[00:06:08.480 --> 00:06:09.760]   at the end of the tunnel of retirement.
[00:06:09.760 --> 00:06:11.840]   It's like, oh, it's not like four decades away anymore.
[00:06:11.840 --> 00:06:13.160]   It's a couple decades potentially.
[00:06:13.160 --> 00:06:16.120]   So you're in that weird balance phase, right?
[00:06:16.120 --> 00:06:18.360]   I think that's a strange one to be in.
[00:06:18.360 --> 00:06:20.640]   - Yeah, I had an advisor today in our group
[00:06:20.640 --> 00:06:22.440]   throughout thinking about retirement.
[00:06:22.440 --> 00:06:23.960]   I think it's just 'cause he had a rough week,
[00:06:23.960 --> 00:06:26.440]   and I was thinking, man, you're not ever retiring
[00:06:26.440 --> 00:06:28.240]   this fancy or the other.
[00:06:28.240 --> 00:06:30.080]   No, but I think back to the question,
[00:06:30.080 --> 00:06:31.840]   like what I like about your answer, Ben,
[00:06:31.840 --> 00:06:33.360]   like let me throw this at you.
[00:06:33.360 --> 00:06:35.240]   It probably doesn't matter what your heuristic is
[00:06:35.240 --> 00:06:37.080]   as long as you have something that you can stick with,
[00:06:37.080 --> 00:06:39.520]   right, that obviously works for you.
[00:06:39.520 --> 00:06:41.760]   So yeah, I don't like that volatile,
[00:06:41.760 --> 00:06:43.240]   like using the interest rate, right?
[00:06:43.240 --> 00:06:45.800]   'Cause how do you adjust for inflation, et cetera?
[00:06:45.800 --> 00:06:46.640]   But no, I think that's a great answer.
[00:06:46.640 --> 00:06:47.480]   - Yeah, it moves around a lot.
[00:06:47.480 --> 00:06:48.920]   And like the most subjective factor of all
[00:06:48.920 --> 00:06:49.760]   is your behavior, right?
[00:06:49.760 --> 00:06:51.480]   'Cause there are things in your life,
[00:06:51.480 --> 00:06:52.920]   whether they're world events or things that happen
[00:06:52.920 --> 00:06:55.240]   in your personal life that are gonna impact your behavior
[00:06:55.240 --> 00:06:56.680]   in ways that you have no idea,
[00:06:56.680 --> 00:06:58.600]   that you just can't predict them ahead of time, right?
[00:06:58.600 --> 00:06:59.960]   And so I think, to your point,
[00:06:59.960 --> 00:07:01.040]   that the right asset allocation
[00:07:01.040 --> 00:07:03.120]   is the one you can stick with come hell or high water.
[00:07:03.120 --> 00:07:04.120]   And this is a pretty good time
[00:07:04.120 --> 00:07:05.640]   to understand what that could be.
[00:07:05.640 --> 00:07:09.200]   So I always think that like the good strategy
[00:07:09.200 --> 00:07:10.520]   you can stick with is vastly superior
[00:07:10.520 --> 00:07:12.400]   to the great strategy you can't stick with.
[00:07:12.400 --> 00:07:14.400]   And I just think you just have to figure out
[00:07:14.400 --> 00:07:15.920]   what's the one that's gonna give you
[00:07:15.920 --> 00:07:18.120]   the highest probability of reaching your goals
[00:07:18.120 --> 00:07:19.960]   that also balances out like the emotional
[00:07:19.960 --> 00:07:22.720]   and financial strain of seeing losses.
[00:07:22.720 --> 00:07:24.000]   - Yeah, I love that.
[00:07:24.000 --> 00:07:25.080]   Great answer.
[00:07:25.080 --> 00:07:26.400]   - Cool, let's do the next one.
[00:07:26.400 --> 00:07:27.240]   - Awesome.
[00:07:27.240 --> 00:07:29.760]   All right, question two for Ben.
[00:07:29.760 --> 00:07:30.800]   I am 28.
[00:07:30.800 --> 00:07:32.080]   Like many people my age,
[00:07:32.080 --> 00:07:34.640]   I got caught up in the SPAC craze of 2021,
[00:07:34.640 --> 00:07:37.440]   those heady days of last year.
[00:07:37.440 --> 00:07:39.000]   At that time, I thought to myself, I'm young.
[00:07:39.000 --> 00:07:41.200]   My Roth IRA is worth about 33,000.
[00:07:41.200 --> 00:07:43.360]   I should speculate now while I can still afford
[00:07:43.360 --> 00:07:45.720]   to lose a few bucks and make up for it later.
[00:07:45.720 --> 00:07:48.200]   So about half the portfolio goes to SPACs
[00:07:48.200 --> 00:07:49.240]   and the other half in ETFs.
