
[00:00:00.000 --> 00:00:03.000]   Who's your Realtor?
[00:00:03.000 --> 00:00:06.000]   Seriously, who is your Realtor?
[00:00:06.000 --> 00:00:10.000]   Lately, there's been a lot in the news about real estate and Realtors.
[00:00:10.000 --> 00:00:12.000]   So let us help clear the air.
[00:00:12.000 --> 00:00:16.000]   California Realtors are Californians just like you,
[00:00:16.000 --> 00:00:18.000]   your neighbor, your best friend's brother,
[00:00:18.000 --> 00:00:20.000]   and your kid's baseball coach.
[00:00:20.000 --> 00:00:23.000]   And we all strive every day to be your trusted advisors
[00:00:23.000 --> 00:00:26.000]   on the biggest financial decision of your life.
[00:00:26.000 --> 00:00:30.000]   No one cares more about helping Californians live the California dream
[00:00:30.000 --> 00:00:32.000]   than California Realtors.
[00:00:32.000 --> 00:00:35.000]   Because we know California real estate is not easy.
[00:00:35.000 --> 00:00:37.000]   That's an understatement.
[00:00:37.000 --> 00:00:41.000]   But if you're a first-timer, we help you confidently get in the game.
[00:00:41.000 --> 00:00:43.000]   And if you've been there, done that,
[00:00:43.000 --> 00:00:46.000]   we're there to help you get through what's new and different.
[00:00:46.000 --> 00:00:49.000]   We tirelessly negotiate so you don't have to.
[00:00:49.000 --> 00:00:53.000]   And we help you get past all the tough stuff and on to the good stuff.
[00:00:53.000 --> 00:00:56.000]   Not because it's our job, but because it's your dream.
[00:00:56.000 --> 00:00:58.000]   Let's go to work.
[00:00:58.000 --> 00:01:00.000]   California Association of Realtors.
[00:01:00.000 --> 00:01:04.000]   The rich should leave their wealth to their children,
[00:01:04.000 --> 00:01:07.000]   not to charity.
[00:01:07.000 --> 00:01:10.000]   Mick Jagger's announcement that he would not leave his fortune to his children
[00:01:10.000 --> 00:01:12.000]   caused much controversy.
[00:01:12.000 --> 00:01:15.000]   A chorus of celebrities have announced the same.
[00:01:15.000 --> 00:01:18.000]   I've told the same thing my dad told me.
[00:01:18.000 --> 00:01:21.000]   My dad says, "When I die, you can expect that I'm going to die broke
[00:01:21.000 --> 00:01:24.000]   and you're going to be paying for the funeral."
[00:01:24.000 --> 00:01:28.000]   Guy Fieri, net worth about $100 million.
[00:01:28.000 --> 00:01:32.000]   "I just think all an inheritance does is breed laziness and entitlement.
