
[00:00:00.040 --> 00:00:07.020]  oncé just over
[00:00:07.020 --> 00:00:27.920]   li li lucky. I for their
[00:00:27.920 --> 00:00:28.840]   Z play produce
[00:00:28.900 --> 00:00:40.600]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now while building a plan for financial freedom in 10 years or less.
[00:00:40.600 --> 00:00:48.380]   Today on the show, we're going to talk about one financial goal that I think that you should consider setting. This is part of a financial goals series.
[00:00:48.380 --> 00:00:57.440]   What I've learned as a financial advisor has been that many people don't set a goal unless they've seen someone else set that goal.
[00:00:57.440 --> 00:00:57.760]   And, or they have been inspired by someone else's goal.
[00:00:57.760 --> 00:00:57.760]   And, or they have been inspired by someone else's goal.
[00:00:57.760 --> 00:00:57.780]   And, or they have been inspired by someone else's goal.
[00:00:57.780 --> 00:00:57.880]   And, or they have been inspired by someone else's goal.
[00:00:57.880 --> 00:00:57.880]   And, or they have been inspired by someone else's goal.
[00:00:57.880 --> 00:00:57.920]   And, or they have been inspired by someone else's goal.
[00:00:57.920 --> 00:00:57.980]   And, or they have been inspired by someone else's goal.
[00:00:58.960 --> 00:01:27.160]   And, or they have been inspired by someone else's goal.
[00:01:27.160 --> 00:01:27.220]   And, or they have been inspired by someone else's goal.
[00:01:27.220 --> 00:01:27.420]   And, or they have been inspired by someone else's goal.
[00:01:27.420 --> 00:01:27.440]   And, or they have been inspired by someone else's goal.
[00:01:27.440 --> 00:01:27.460]   And, or they have been inspired by someone else's goal.
[00:01:27.460 --> 00:01:27.480]   And, or they have been inspired by someone else's goal.
[00:01:27.480 --> 00:01:27.500]   And, or they have been inspired by someone else's goal.
[00:01:27.500 --> 00:01:27.560]   And, or they have been inspired by someone else's goal.
[00:01:27.560 --> 00:01:27.620]   And, or they have been inspired by someone else's goal.
[00:01:27.620 --> 00:01:27.620]   And, or they have been inspired by someone else's goal. And, or they have been inspired by someone else's goal.
[00:01:27.660 --> 00:01:56.520]   set
[00:02:25.540 --> 00:02:35.660]   receive
[00:02:35.660 --> 00:02:45.760]   not,
[00:02:45.760 --> 00:02:55.520]   of the life the way the köt
[00:02:55.540 --> 00:02:56.580]   not,
[00:02:56.580 --> 00:03:25.540]   of the life the way the köt
[00:03:25.540 --> 00:03:25.540]   and
[00:03:25.540 --> 00:03:25.540]   your better job might be in the same company that you're working in right now.
[00:03:25.540 --> 00:03:25.540]   Your better job might be in the same company that you're working in right now.
[00:03:25.540 --> 00:03:25.540]   Your better job might be in the same company that you're working in right now.
[00:03:25.540 --> 00:03:25.540]   Your better job might be in the same company that you're working in right now.
[00:03:25.540 --> 00:03:25.540]   Your better job might be in the same company that you're working in right now.
[00:03:25.540 --> 00:03:25.540]   Your better job might be in the same company that you're working in right now.
[00:03:25.540 --> 00:03:25.540]   Your better job might be in the same company that you're working in right now.
[00:03:25.540 --> 00:03:25.540]   Your better job might be in the same company that you're working in right now.
[00:03:25.540 --> 00:03:25.540]   Your better job might be in the same company that you're working in right now.
[00:03:25.540 --> 00:03:25.540]   Your better job might be in the same company that you're working in right now.
[00:03:25.580 --> 00:03:55.560]   máxima
[00:03:55.560 --> 00:03:55.560]   Your better job might be in the same company that you're working in right now.
[00:03:55.560 --> 00:03:55.560]   Your better job might be in the same company that you're working in right now.
[00:03:55.560 --> 00:03:55.560]   Your better job might be in the same company that you're working in right now.
[00:03:55.560 --> 00:03:55.560]   Your better job might be in the same company that you're working in right now.
[00:03:55.560 --> 00:03:55.560]   Your better job might be in the same company that you're working in right now.
[00:03:55.560 --> 00:03:55.560]   Your better job might be in the same company that you're working in right now.
[00:03:55.560 --> 00:03:55.560]   Your better job might be in the same company that you're working in right now.
[00:03:55.560 --> 00:03:55.560]   Your better job might be in the same company that you're working in right now.
[00:03:55.560 --> 00:03:55.560]   Your better job might be in the same company that you're working in right now.
[00:03:55.560 --> 00:03:55.560]   Your better job might be in the same company that you're working in right now.
[00:03:55.600 --> 00:04:25.580]  ,
[00:04:25.580 --> 00:04:25.580]   Your better job might be in the same company that you're working in right now.
[00:04:25.580 --> 00:04:25.580]   Your better job might be in the same company that you're working in right now.
[00:04:25.580 --> 00:04:25.580]   Your better job might be in the same company that you're working in right now.
[00:04:25.580 --> 00:04:25.580]   Your better job might be in the same company that you're working in right now.
[00:04:25.580 --> 00:04:25.580]   Your better job might be in the same company that you're working in right now.
[00:04:25.580 --> 00:04:25.580]   Your better job might be in the same company that you're working in right now.
[00:04:25.580 --> 00:04:25.580]   Your better job might be in the same company that you're working in right now.
[00:04:25.580 --> 00:04:25.580]   Your better job might be in the same company that you're working in right now.
[00:04:25.580 --> 00:04:25.580]   Your better job might be in the same company that you're working in right now.
[00:04:25.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:04:55.600]   I'm not sure if you're listening to this.
[00:04:55.600 --> 00:05:25.620]   I'm not sure if you're listening to this.
[00:05:25.620 --> 00:05:25.620]   I'm not sure if you're listening to this.
[00:05:25.620 --> 00:05:25.620]   I'm not sure if you're listening to this.
[00:05:25.620 --> 00:05:25.620]   I'm not sure if you're listening to this.
[00:05:25.620 --> 00:05:25.620]   I'm not sure if you're listening to this.
[00:05:25.620 --> 00:05:25.620]   I'm not sure if you're listening to this.
[00:05:25.620 --> 00:05:25.620]   I'm not sure if you're listening to this.
[00:05:25.620 --> 00:05:25.620]   I'm not sure if you're listening to this.
[00:05:25.620 --> 00:05:25.620]   I'm not sure if you're listening to this.
[00:05:25.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:05:55.640]   I'm not sure if you're listening to this.
[00:05:55.640 --> 00:06:25.660]   I'm not sure if you're listening to this.
[00:06:25.660 --> 00:06:25.660]   I'm not sure if you're listening to this.
[00:06:25.660 --> 00:06:25.660]   I'm not sure if you're listening to this.
[00:06:25.660 --> 00:06:25.660]   I'm not sure if you're listening to this.
[00:06:25.660 --> 00:06:25.660]   I'm not sure if you're listening to this.
[00:06:25.660 --> 00:06:25.660]   I'm not sure if you're listening to this.
[00:06:25.660 --> 00:06:25.660]   I'm not sure if you're listening to this.
[00:06:25.660 --> 00:06:25.660]   I'm not sure if you're listening to this.
[00:06:25.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:06:55.680]   I'm not sure if you're listening to this.
[00:06:55.680 --> 00:07:25.700]   I'm not sure if you're listening to this.
[00:07:25.700 --> 00:07:25.700]   I'm not sure if you're listening to this.
[00:07:25.700 --> 00:07:25.700]   I'm not sure if you're listening to this.
[00:07:25.700 --> 00:07:25.700]   I'm not sure if you're listening to this.
[00:07:25.700 --> 00:07:25.700]   I'm not sure if you're listening to this.
[00:07:25.700 --> 00:07:25.700]   I'm not sure if you're listening to this.
